MPO_PTP_Fst_estimates	Subsampling_group
0.195269	x12SubSamp
0.186825	x12SubSamp
0.189478	x12SubSamp
0.189536	x12SubSamp
0.19148	x12SubSamp
0.190315	x12SubSamp
0.18963	x12SubSamp
0.182444	x12SubSamp
0.189517	x12SubSamp
0.186327	x12SubSamp
0.190394	x12SubSamp
0.194783	x12SubSamp
0.189525	x12SubSamp
0.186738	x12SubSamp
0.185103	x12SubSamp
0.188981	x12SubSamp
0.193327	x12SubSamp
0.19294	x12SubSamp
0.190873	x12SubSamp
0.188743	x12SubSamp
0.187088	x12SubSamp
0.191734	x12SubSamp
0.190955	x12SubSamp
0.194812	x12SubSamp
0.192717	x14SubSamp
0.187455	x14SubSamp
0.191657	x14SubSamp
0.19059	x14SubSamp
0.189633	x14SubSamp
0.193254	x14SubSamp
0.193481	x14SubSamp
0.195641	x14SubSamp
0.193526	x14SubSamp
0.191202	x14SubSamp
0.187562	x14SubSamp
0.189869	x14SubSamp
0.193584	x14SubSamp
0.187062	x14SubSamp
0.186726	x14SubSamp
0.184765	x14SubSamp
0.189292	x14SubSamp
0.19431	x14SubSamp
0.189693	x14SubSamp
0.192894	x14SubSamp
0.196717	x14SubSamp
0.186216	x14SubSamp
0.186889	x14SubSamp
0.190172	x14SubSamp
0.194493	x14SubSamp
0.184666	x14SubSamp
0.191709	x14SubSamp
0.182326	x14SubSamp
0.191009	x14SubSamp
0.191171	x14SubSamp
0.191115	x14SubSamp
0.193157	x14SubSamp
0.189676	x14SubSamp
0.193198	x14SubSamp
0.191005	x14SubSamp
0.191617	x14SubSamp
0.193067	x14SubSamp
0.189573	x14SubSamp
0.184231	x14SubSamp
0.192966	x14SubSamp
0.190288	x14SubSamp
0.19179	x14SubSamp
0.192721	x14SubSamp
0.19041	x14SubSamp
0.191991	x14SubSamp
0.187843	x14SubSamp
0.191149	x14SubSamp
0.19374	x14SubSamp
0.188356	x14SubSamp
0.187432	x14SubSamp
0.185263	x14SubSamp
0.195664	x14SubSamp
0.190548	x14SubSamp
0.185242	x14SubSamp
0.192167	x14SubSamp
0.192446	x14SubSamp
0.192764	x14SubSamp
0.188382	x14SubSamp
0.187256	x14SubSamp
0.190236	x14SubSamp
0.190007	x14SubSamp
0.19125	x14SubSamp
0.186989	x14SubSamp
0.191801	x14SubSamp
0.189918	x14SubSamp
0.193214	x14SubSamp
0.18553	x14SubSamp
0.191373	x14SubSamp
0.185532	x14SubSamp
0.185983	x14SubSamp
0.194401	x14SubSamp
0.185357	x14SubSamp
0.186657	x14SubSamp
0.193892	x14SubSamp
0.190293	x14SubSamp
0.186187	x14SubSamp
0.192797	x14SubSamp
0.185875	x14SubSamp
0.185024	x14SubSamp
0.189823	x14SubSamp
0.189497	x14SubSamp
0.198753	x14SubSamp
0.191266	x14SubSamp
0.187339	x14SubSamp
0.186411	x14SubSamp
0.191388	x14SubSamp
0.187324	x14SubSamp
0.192433	x14SubSamp
0.18629	x14SubSamp
0.19139	x14SubSamp
0.19477	x14SubSamp
0.188709	x14SubSamp
0.188185	x14SubSamp
0.190366	x14SubSamp
0.192679	x14SubSamp
0.188663	x14SubSamp
0.192982	x14SubSamp
0.190369	x14SubSamp
0.184982	x14SubSamp
0.190124	x14SubSamp
0.18784	x16SubSamp
0.187656	x16SubSamp
0.187988	x16SubSamp
0.189577	x16SubSamp
0.192405	x16SubSamp
0.191189	x16SubSamp
0.190413	x16SubSamp
0.192171	x16SubSamp
0.187529	x16SubSamp
0.191457	x16SubSamp
0.191328	x16SubSamp
0.188181	x16SubSamp
0.188204	x16SubSamp
0.191312	x16SubSamp
0.190574	x16SubSamp
0.189871	x16SubSamp
0.190373	x16SubSamp
0.189019	x16SubSamp
0.19321	x16SubSamp
0.190606	x16SubSamp
0.189342	x16SubSamp
0.187739	x16SubSamp
0.186569	x16SubSamp
0.18936	x16SubSamp
0.186419	x16SubSamp
0.191817	x16SubSamp
0.18895	x16SubSamp
0.188074	x16SubSamp
0.189323	x16SubSamp
0.193607	x16SubSamp
0.190514	x16SubSamp
0.188193	x16SubSamp
0.18714	x16SubSamp
0.190326	x16SubSamp
0.191285	x16SubSamp
0.189534	x16SubSamp
0.187776	x16SubSamp
0.193908	x16SubSamp
0.188303	x16SubSamp
0.186558	x16SubSamp
0.188061	x16SubSamp
0.186451	x16SubSamp
0.192387	x16SubSamp
0.18925	x16SubSamp
0.189992	x16SubSamp
0.189873	x16SubSamp
0.193607	x16SubSamp
0.190898	x16SubSamp
0.190932	x16SubSamp
0.184285	x16SubSamp
0.188247	x16SubSamp
0.186505	x16SubSamp
0.187481	x16SubSamp
0.194292	x16SubSamp
0.189014	x16SubSamp
0.190156	x16SubSamp
0.190017	x16SubSamp
0.187685	x16SubSamp
0.18782	x16SubSamp
0.190032	x16SubSamp
0.191481	x16SubSamp
0.192352	x16SubSamp
0.18992	x16SubSamp
0.189651	x16SubSamp
0.191606	x16SubSamp
0.189698	x16SubSamp
0.184798	x16SubSamp
0.18794	x16SubSamp
0.188658	x16SubSamp
0.189403	x16SubSamp
0.189708	x16SubSamp
0.18402	x16SubSamp
0.187178	x16SubSamp
0.191555	x16SubSamp
0.192324	x16SubSamp
0.19065	x16SubSamp
0.190717	x16SubSamp
0.192068	x16SubSamp
0.184709	x16SubSamp
0.190413	x16SubSamp
0.193623	x16SubSamp
0.186838	x16SubSamp
0.186777	x16SubSamp
0.187999	x16SubSamp
0.186741	x16SubSamp
0.194102	x16SubSamp
0.194127	x16SubSamp
0.190323	x16SubSamp
0.187486	x16SubSamp
0.19027	x16SubSamp
0.18817	x16SubSamp
0.189389	x16SubSamp
0.188394	x16SubSamp
0.190141	x16SubSamp
0.189915	x16SubSamp
0.18564	x16SubSamp
0.189928	x16SubSamp
0.19282	x16SubSamp
0.186566	x16SubSamp
0.18664	x16SubSamp
0.188413	x18SubSamp
0.186181	x18SubSamp
0.191486	x18SubSamp
0.1895	x18SubSamp
0.187609	x18SubSamp
0.188959	x18SubSamp
0.190874	x18SubSamp
0.186952	x18SubSamp
0.192829	x18SubSamp
0.190819	x18SubSamp
0.188088	x18SubSamp
0.188253	x18SubSamp
0.191493	x18SubSamp
0.188933	x18SubSamp
0.188674	x18SubSamp
0.191323	x18SubSamp
0.189064	x18SubSamp
0.186352	x18SubSamp
0.190106	x18SubSamp
0.185349	x18SubSamp
0.193985	x18SubSamp
0.191967	x18SubSamp
0.187727	x18SubSamp
0.190748	x18SubSamp
0.192847	x18SubSamp
0.189622	x18SubSamp
0.188312	x18SubSamp
0.189643	x18SubSamp
0.188997	x18SubSamp
0.187643	x18SubSamp
0.188442	x18SubSamp
0.189276	x18SubSamp
0.1886	x18SubSamp
0.189445	x18SubSamp
0.187405	x18SubSamp
0.189246	x18SubSamp
0.190708	x18SubSamp
0.192206	x18SubSamp
0.191864	x18SubSamp
0.188705	x18SubSamp
0.188169	x18SubSamp
0.189743	x18SubSamp
0.192787	x18SubSamp
0.189795	x18SubSamp
0.189647	x18SubSamp
0.188695	x18SubSamp
0.187918	x18SubSamp
0.188808	x18SubSamp
0.188435	x18SubSamp
0.189579	x18SubSamp
0.189963	x18SubSamp
0.190545	x18SubSamp
0.193722	x18SubSamp
0.191273	x18SubSamp
0.187994	x18SubSamp
0.190085	x18SubSamp
0.187261	x18SubSamp
0.191038	x18SubSamp
0.188435	x18SubSamp
0.188985	x18SubSamp
0.189693	x18SubSamp
0.189982	x18SubSamp
0.19481	x18SubSamp
0.188156	x18SubSamp
0.18727	x18SubSamp
0.186079	x18SubSamp
0.191801	x18SubSamp
0.192642	x18SubSamp
0.188465	x18SubSamp
0.188023	x18SubSamp
0.190301	x18SubSamp
0.191888	x18SubSamp
0.192389	x18SubSamp
0.193087	x18SubSamp
0.191268	x18SubSamp
0.190257	x18SubSamp
0.188598	x18SubSamp
0.189726	x18SubSamp
0.185783	x18SubSamp
0.187239	x18SubSamp
0.18914	x18SubSamp
0.190353	x18SubSamp
0.186	x18SubSamp
0.191011	x18SubSamp
0.187399	x18SubSamp
0.188158	x18SubSamp
0.190157	x18SubSamp
0.187503	x18SubSamp
0.19019	x18SubSamp
0.191189	x18SubSamp
0.186471	x18SubSamp
0.191477	x18SubSamp
0.191548	x18SubSamp
0.190256	x18SubSamp
0.187427	x18SubSamp
0.190352	x18SubSamp
0.186286	x18SubSamp
0.187976	x18SubSamp
0.187812	x18SubSamp
0.189143	x18SubSamp
0.186576	x20SubSamp
0.187892	x20SubSamp
0.189673	x20SubSamp
0.188305	x20SubSamp
0.186818	x20SubSamp
0.187445	x20SubSamp
0.189441	x20SubSamp
0.189658	x20SubSamp
0.188993	x20SubSamp
0.188425	x20SubSamp
0.19009	x20SubSamp
0.189836	x20SubSamp
0.188292	x20SubSamp
0.187109	x20SubSamp
0.189933	x20SubSamp
0.190312	x20SubSamp
0.188953	x20SubSamp
0.188764	x20SubSamp
0.186435	x20SubSamp
0.190421	x20SubSamp
0.190158	x20SubSamp
0.187967	x20SubSamp
0.190236	x20SubSamp
0.190109	x20SubSamp
0.192009	x20SubSamp
0.189652	x20SubSamp
0.190177	x20SubSamp
0.187899	x20SubSamp
0.192786	x20SubSamp
0.190962	x20SubSamp
0.188272	x20SubSamp
0.188509	x20SubSamp
0.190209	x20SubSamp
0.188466	x20SubSamp
0.19285	x20SubSamp
0.190143	x20SubSamp
0.190501	x20SubSamp
0.188522	x20SubSamp
0.187947	x20SubSamp
0.187046	x20SubSamp
0.186658	x20SubSamp
0.190668	x20SubSamp
0.190448	x20SubSamp
0.190318	x20SubSamp
0.189717	x20SubSamp
0.191103	x20SubSamp
0.190565	x20SubSamp
0.189757	x20SubSamp
0.191061	x20SubSamp
0.190714	x20SubSamp
0.192183	x20SubSamp
0.190428	x20SubSamp
0.187806	x20SubSamp
0.19043	x20SubSamp
0.18912	x20SubSamp
0.189393	x20SubSamp
0.190817	x20SubSamp
0.192105	x20SubSamp
0.191017	x20SubSamp
0.188619	x20SubSamp
0.189786	x20SubSamp
0.191314	x20SubSamp
0.187039	x20SubSamp
0.19057	x20SubSamp
0.189693	x20SubSamp
0.19031	x20SubSamp
0.189211	x20SubSamp
0.191596	x20SubSamp
0.187279	x20SubSamp
0.189768	x20SubSamp
0.188804	x20SubSamp
0.188617	x20SubSamp
0.189512	x20SubSamp
0.190127	x20SubSamp
0.191082	x20SubSamp
0.190417	x20SubSamp
0.191298	x20SubSamp
0.192468	x20SubSamp
0.187351	x20SubSamp
0.190774	x20SubSamp
0.187007	x20SubSamp
0.190883	x20SubSamp
0.188552	x20SubSamp
0.189848	x20SubSamp
0.191045	x20SubSamp
0.188603	x20SubSamp
0.189224	x20SubSamp
0.18765	x20SubSamp
0.189309	x20SubSamp
0.186611	x20SubSamp
0.189649	x20SubSamp
0.189408	x20SubSamp
0.187903	x20SubSamp
0.18913	x20SubSamp
0.188239	x20SubSamp
0.190732	x20SubSamp
0.188578	x20SubSamp
0.189227	x20SubSamp
0.188295	x20SubSamp
0.186712	x20SubSamp
0.187538	x22SubSamp
0.188135	x22SubSamp
0.189554	x22SubSamp
0.189426	x22SubSamp
0.18867	x22SubSamp
0.189279	x22SubSamp
0.189952	x22SubSamp
0.187768	x22SubSamp
0.189738	x22SubSamp
0.189135	x22SubSamp
0.189846	x22SubSamp
0.189639	x22SubSamp
0.190374	x22SubSamp
0.189549	x22SubSamp
0.188492	x22SubSamp
0.191492	x22SubSamp
0.189383	x22SubSamp
0.190387	x22SubSamp
0.189049	x22SubSamp
0.190359	x22SubSamp
0.189861	x22SubSamp
0.189299	x22SubSamp
0.188392	x22SubSamp
0.18766	x22SubSamp
0.188465	x22SubSamp
0.187626	x22SubSamp
0.190039	x22SubSamp
0.191988	x22SubSamp
0.188935	x22SubSamp
0.190977	x22SubSamp
0.190451	x22SubSamp
0.188516	x22SubSamp
0.188873	x22SubSamp
0.190148	x22SubSamp
0.189546	x22SubSamp
0.189736	x22SubSamp
0.19108	x22SubSamp
0.190515	x22SubSamp
0.187283	x22SubSamp
0.189247	x22SubSamp
0.189286	x22SubSamp
0.190973	x22SubSamp
0.189537	x22SubSamp
0.188922	x22SubSamp
0.189684	x22SubSamp
0.189052	x22SubSamp
0.191134	x22SubSamp
0.188086	x22SubSamp
0.189782	x22SubSamp
0.191048	x22SubSamp
0.190226	x22SubSamp
0.190089	x22SubSamp
0.190813	x22SubSamp
0.190289	x22SubSamp
0.189007	x22SubSamp
0.190337	x22SubSamp
0.189768	x22SubSamp
0.188841	x22SubSamp
0.188902	x22SubSamp
0.189365	x22SubSamp
0.189338	x22SubSamp
0.190143	x22SubSamp
0.189148	x22SubSamp
0.188638	x22SubSamp
0.189753	x22SubSamp
0.190529	x22SubSamp
0.189305	x22SubSamp
0.189104	x22SubSamp
0.19121	x22SubSamp
0.189446	x22SubSamp
0.188807	x22SubSamp
0.188364	x22SubSamp
0.18989	x22SubSamp
0.189093	x22SubSamp
0.188385	x22SubSamp
0.189343	x22SubSamp
0.1888	x22SubSamp
0.190305	x22SubSamp
0.188691	x22SubSamp
0.189296	x22SubSamp
0.188603	x22SubSamp
0.189699	x22SubSamp
0.188742	x22SubSamp
0.18825	x22SubSamp
0.189937	x22SubSamp
0.189557	x22SubSamp
0.191098	x22SubSamp
0.18955	x22SubSamp
0.188134	x22SubSamp
0.189106	x22SubSamp
0.189612	x22SubSamp
0.189474	x22SubSamp
0.188707	x22SubSamp
0.188696	x22SubSamp
0.189121	x22SubSamp
0.18932	x22SubSamp
0.188778	x22SubSamp
0.190164	x22SubSamp
0.190741	x22SubSamp
0.188044	x22SubSamp
