STT_PTP_Fst_estimates	Subsampling_group
0.195513	x06SubSamp
0.205998	x06SubSamp
0.210944	x06SubSamp
0.206095	x06SubSamp
0.210512	x06SubSamp
0.201093	x06SubSamp
0.204094	x06SubSamp
0.197307	x06SubSamp
0.211619	x06SubSamp
0.208764	x06SubSamp
0.209267	x06SubSamp
0.201461	x06SubSamp
0.192317	x06SubSamp
0.205819	x06SubSamp
0.20561	x06SubSamp
0.205548	x06SubSamp
0.208588	x06SubSamp
0.199147	x08SubSamp
0.194161	x08SubSamp
0.203642	x08SubSamp
0.206039	x08SubSamp
0.204371	x08SubSamp
0.198227	x08SubSamp
0.204299	x08SubSamp
0.205583	x08SubSamp
0.201042	x08SubSamp
0.198184	x08SubSamp
0.209195	x08SubSamp
0.206927	x08SubSamp
0.206586	x08SubSamp
0.207198	x08SubSamp
0.199741	x08SubSamp
0.206798	x08SubSamp
0.198798	x08SubSamp
0.205155	x08SubSamp
0.196812	x08SubSamp
0.199858	x08SubSamp
0.201449	x08SubSamp
0.198587	x08SubSamp
0.208057	x08SubSamp
0.211755	x08SubSamp
0.197321	x08SubSamp
0.202412	x08SubSamp
0.217324	x08SubSamp
0.217295	x08SubSamp
0.209632	x08SubSamp
0.198847	x08SubSamp
0.207088	x08SubSamp
0.20261	x08SubSamp
0.2116	x08SubSamp
0.200959	x08SubSamp
0.194725	x08SubSamp
0.21651	x08SubSamp
0.214073	x08SubSamp
0.204189	x08SubSamp
0.204307	x08SubSamp
0.19143	x08SubSamp
0.202538	x08SubSamp
0.198704	x08SubSamp
0.196755	x08SubSamp
0.200441	x08SubSamp
0.194029	x08SubSamp
0.208695	x08SubSamp
0.200458	x08SubSamp
0.203458	x08SubSamp
0.197331	x08SubSamp
0.19982	x08SubSamp
0.197802	x08SubSamp
0.195344	x08SubSamp
0.204784	x08SubSamp
0.197884	x08SubSamp
0.201331	x08SubSamp
0.206556	x08SubSamp
0.197624	x08SubSamp
0.206056	x08SubSamp
0.206646	x08SubSamp
0.198502	x08SubSamp
0.214542	x08SubSamp
0.206708	x08SubSamp
0.207879	x08SubSamp
0.203511	x08SubSamp
0.196978	x08SubSamp
0.193579	x08SubSamp
0.206699	x08SubSamp
0.205151	x08SubSamp
0.20791	x08SubSamp
0.206803	x08SubSamp
0.206475	x08SubSamp
0.201875	x08SubSamp
0.207311	x08SubSamp
0.205701	x08SubSamp
0.209897	x08SubSamp
0.207127	x08SubSamp
0.196557	x08SubSamp
0.207422	x08SubSamp
0.20726	x08SubSamp
0.203038	x08SubSamp
0.207958	x08SubSamp
0.20802	x08SubSamp
0.194293	x08SubSamp
0.193935	x08SubSamp
0.190225	x08SubSamp
0.204966	x08SubSamp
0.194189	x08SubSamp
0.203279	x08SubSamp
0.20071	x08SubSamp
0.201474	x08SubSamp
0.208672	x08SubSamp
0.20264	x08SubSamp
0.199575	x08SubSamp
0.196923	x08SubSamp
0.191004	x08SubSamp
0.208975	x08SubSamp
0.203717	x08SubSamp
0.204635	x08SubSamp
0.212607	x08SubSamp
0.202588	x08SubSamp
0.202153	x10SubSamp
0.199002	x10SubSamp
0.21312	x10SubSamp
0.197515	x10SubSamp
0.20913	x10SubSamp
0.199815	x10SubSamp
0.207921	x10SubSamp
0.215188	x10SubSamp
0.207621	x10SubSamp
0.207786	x10SubSamp
0.207523	x10SubSamp
0.201963	x10SubSamp
0.201509	x10SubSamp
0.198357	x10SubSamp
0.205729	x10SubSamp
0.194298	x10SubSamp
0.207047	x10SubSamp
0.207332	x10SubSamp
0.208025	x10SubSamp
0.203343	x10SubSamp
0.195582	x10SubSamp
0.206753	x10SubSamp
0.204257	x10SubSamp
0.203552	x10SubSamp
0.206601	x10SubSamp
0.198648	x10SubSamp
0.20102	x10SubSamp
0.206091	x10SubSamp
0.201468	x10SubSamp
0.200214	x10SubSamp
0.199576	x10SubSamp
0.203801	x10SubSamp
0.200001	x10SubSamp
0.204743	x10SubSamp
0.207982	x10SubSamp
0.20033	x10SubSamp
0.200625	x10SubSamp
0.20558	x10SubSamp
0.202282	x10SubSamp
0.20518	x10SubSamp
0.202216	x10SubSamp
0.196595	x10SubSamp
0.199924	x10SubSamp
0.20095	x10SubSamp
0.195668	x10SubSamp
0.201065	x10SubSamp
0.204086	x10SubSamp
0.209187	x10SubSamp
0.207854	x10SubSamp
0.204257	x10SubSamp
0.201276	x10SubSamp
0.213478	x10SubSamp
0.203092	x10SubSamp
0.195522	x10SubSamp
0.202221	x10SubSamp
0.200496	x10SubSamp
0.209415	x10SubSamp
0.207463	x10SubSamp
0.202287	x10SubSamp
0.190278	x10SubSamp
0.206381	x10SubSamp
0.206353	x10SubSamp
0.20369	x10SubSamp
0.206407	x10SubSamp
0.197667	x10SubSamp
0.20421	x10SubSamp
0.199817	x10SubSamp
0.205321	x10SubSamp
0.207743	x10SubSamp
0.20058	x10SubSamp
0.200497	x10SubSamp
0.200797	x10SubSamp
0.199538	x10SubSamp
0.208368	x10SubSamp
0.205996	x10SubSamp
0.212011	x10SubSamp
0.199472	x10SubSamp
0.202815	x10SubSamp
0.217249	x10SubSamp
0.204902	x10SubSamp
0.198243	x10SubSamp
0.210295	x10SubSamp
0.198027	x10SubSamp
0.199228	x10SubSamp
0.204895	x10SubSamp
0.199049	x10SubSamp
0.211989	x10SubSamp
0.206661	x10SubSamp
0.200686	x10SubSamp
0.19682	x10SubSamp
0.204622	x10SubSamp
0.202553	x10SubSamp
0.19963	x10SubSamp
0.209586	x10SubSamp
0.204336	x10SubSamp
0.196871	x10SubSamp
0.19712	x10SubSamp
0.211074	x10SubSamp
0.19583	x10SubSamp
0.200575	x10SubSamp
0.194678	x12SubSamp
0.201254	x12SubSamp
0.203651	x12SubSamp
0.203503	x12SubSamp
0.207167	x12SubSamp
0.199264	x12SubSamp
0.205811	x12SubSamp
0.201606	x12SubSamp
0.206052	x12SubSamp
0.205238	x12SubSamp
0.204255	x12SubSamp
0.195767	x12SubSamp
0.202373	x12SubSamp
0.200229	x12SubSamp
0.198514	x12SubSamp
0.1995	x12SubSamp
0.201791	x12SubSamp
0.201615	x12SubSamp
0.205871	x12SubSamp
0.200657	x12SubSamp
0.20268	x12SubSamp
0.204848	x12SubSamp
0.202825	x12SubSamp
0.210559	x12SubSamp
0.201716	x12SubSamp
0.199164	x12SubSamp
0.198082	x12SubSamp
0.199528	x12SubSamp
0.206867	x12SubSamp
0.196059	x12SubSamp
0.201342	x12SubSamp
0.202905	x12SubSamp
0.206448	x12SubSamp
0.200577	x12SubSamp
0.198664	x12SubSamp
0.198328	x12SubSamp
0.203507	x12SubSamp
0.20351	x12SubSamp
0.200812	x12SubSamp
0.206784	x12SubSamp
0.206906	x12SubSamp
0.198637	x12SubSamp
0.201157	x12SubSamp
0.202838	x12SubSamp
0.201366	x12SubSamp
0.20254	x12SubSamp
0.201584	x12SubSamp
0.204906	x12SubSamp
0.20364	x12SubSamp
0.210063	x12SubSamp
0.206137	x12SubSamp
0.201452	x12SubSamp
0.202815	x12SubSamp
0.200943	x12SubSamp
0.203779	x12SubSamp
0.201775	x12SubSamp
0.198673	x12SubSamp
0.20711	x12SubSamp
0.209022	x12SubSamp
0.201659	x12SubSamp
0.202647	x12SubSamp
0.210751	x12SubSamp
0.203569	x12SubSamp
0.203143	x12SubSamp
0.205371	x12SubSamp
0.206608	x12SubSamp
0.203854	x12SubSamp
0.207402	x12SubSamp
0.204054	x12SubSamp
0.19904	x12SubSamp
0.203183	x12SubSamp
0.205125	x12SubSamp
0.20083	x12SubSamp
0.204779	x12SubSamp
0.205657	x12SubSamp
0.202591	x12SubSamp
0.203147	x12SubSamp
0.20055	x12SubSamp
0.209091	x12SubSamp
0.203319	x12SubSamp
0.206216	x12SubSamp
0.203853	x12SubSamp
0.204676	x12SubSamp
0.198823	x12SubSamp
0.205086	x12SubSamp
0.203996	x12SubSamp
0.206616	x12SubSamp
0.200872	x12SubSamp
0.207791	x12SubSamp
0.203521	x12SubSamp
0.200333	x12SubSamp
0.209701	x12SubSamp
0.205331	x12SubSamp
0.212277	x12SubSamp
0.200946	x12SubSamp
0.205218	x12SubSamp
0.201613	x12SubSamp
0.202211	x12SubSamp
0.207079	x12SubSamp
0.211446	x12SubSamp
0.200936	x14SubSamp
0.202502	x14SubSamp
0.199917	x14SubSamp
0.20006	x14SubSamp
0.200168	x14SubSamp
0.206804	x14SubSamp
0.202139	x14SubSamp
0.206691	x14SubSamp
0.20353	x14SubSamp
0.200201	x14SubSamp
0.205092	x14SubSamp
0.198897	x14SubSamp
0.201237	x14SubSamp
0.203256	x14SubSamp
0.201352	x14SubSamp
0.200039	x14SubSamp
0.199464	x14SubSamp
0.199314	x14SubSamp
0.203752	x14SubSamp
0.20236	x14SubSamp
0.201085	x14SubSamp
0.204308	x14SubSamp
0.203275	x14SubSamp
0.202116	x14SubSamp
0.200397	x14SubSamp
0.195463	x14SubSamp
0.204249	x14SubSamp
0.20183	x14SubSamp
0.2075	x14SubSamp
0.205499	x14SubSamp
0.199406	x14SubSamp
0.206308	x14SubSamp
0.20261	x14SubSamp
0.204207	x14SubSamp
0.20396	x14SubSamp
0.204308	x14SubSamp
0.20683	x14SubSamp
0.198183	x14SubSamp
0.202791	x14SubSamp
0.204838	x14SubSamp
0.203413	x14SubSamp
0.201249	x14SubSamp
0.201107	x14SubSamp
0.200341	x14SubSamp
0.20866	x14SubSamp
0.202054	x14SubSamp
0.200889	x14SubSamp
0.204696	x14SubSamp
0.198734	x14SubSamp
0.199516	x14SubSamp
0.194983	x14SubSamp
0.200173	x14SubSamp
0.198522	x14SubSamp
0.199944	x14SubSamp
0.203268	x14SubSamp
0.201201	x14SubSamp
0.20326	x14SubSamp
0.205022	x14SubSamp
0.198859	x14SubSamp
0.204927	x14SubSamp
0.199629	x14SubSamp
0.201141	x14SubSamp
0.201406	x14SubSamp
0.204359	x14SubSamp
0.200423	x14SubSamp
0.20718	x14SubSamp
0.199154	x14SubSamp
0.206141	x14SubSamp
0.19976	x14SubSamp
0.202346	x14SubSamp
0.20687	x14SubSamp
0.206972	x14SubSamp
0.198458	x14SubSamp
0.200591	x14SubSamp
0.200872	x14SubSamp
0.203264	x14SubSamp
0.20458	x14SubSamp
0.198067	x14SubSamp
0.197346	x14SubSamp
0.203941	x14SubSamp
0.20693	x14SubSamp
0.201747	x14SubSamp
0.202479	x14SubSamp
0.201063	x14SubSamp
0.197972	x14SubSamp
0.204214	x14SubSamp
0.202539	x14SubSamp
0.205274	x14SubSamp
0.200567	x14SubSamp
0.200501	x14SubSamp
0.203444	x14SubSamp
0.204338	x14SubSamp
0.202751	x14SubSamp
0.201505	x14SubSamp
0.200664	x14SubSamp
0.202826	x14SubSamp
0.201774	x14SubSamp
0.200806	x14SubSamp
0.200591	x14SubSamp
0.204903	x14SubSamp
0.200773	x16SubSamp
0.202833	x16SubSamp
0.200781	x16SubSamp
0.202351	x16SubSamp
0.202576	x16SubSamp
0.20274	x16SubSamp
0.206449	x16SubSamp
0.199632	x16SubSamp
0.203181	x16SubSamp
0.203457	x16SubSamp
0.206669	x16SubSamp
0.206224	x16SubSamp
0.206833	x16SubSamp
0.203971	x16SubSamp
0.199185	x16SubSamp
0.200102	x16SubSamp
0.205019	x16SubSamp
0.206603	x16SubSamp
0.203264	x16SubSamp
0.202118	x16SubSamp
0.200082	x16SubSamp
0.202166	x16SubSamp
0.198167	x16SubSamp
0.20007	x16SubSamp
0.203931	x16SubSamp
0.202793	x16SubSamp
0.201834	x16SubSamp
0.201266	x16SubSamp
0.201533	x16SubSamp
0.203923	x16SubSamp
0.203397	x16SubSamp
0.198763	x16SubSamp
0.200114	x16SubSamp
0.204442	x16SubSamp
0.204933	x16SubSamp
0.197994	x16SubSamp
0.202417	x16SubSamp
0.20633	x16SubSamp
0.201953	x16SubSamp
0.201589	x16SubSamp
0.201378	x16SubSamp
0.203092	x16SubSamp
0.199495	x16SubSamp
0.199146	x16SubSamp
0.203433	x16SubSamp
0.204479	x16SubSamp
0.20445	x16SubSamp
0.206164	x16SubSamp
0.20321	x16SubSamp
0.200652	x16SubSamp
0.203079	x16SubSamp
0.20213	x16SubSamp
0.19775	x16SubSamp
0.202308	x16SubSamp
0.200903	x16SubSamp
0.203788	x16SubSamp
0.202958	x16SubSamp
0.200999	x16SubSamp
0.198837	x16SubSamp
0.202191	x16SubSamp
0.202406	x16SubSamp
0.199334	x16SubSamp
0.200687	x16SubSamp
0.207027	x16SubSamp
0.205812	x16SubSamp
0.201935	x16SubSamp
0.200146	x16SubSamp
0.202767	x16SubSamp
0.203783	x16SubSamp
0.199992	x16SubSamp
0.205248	x16SubSamp
0.200814	x16SubSamp
0.203246	x16SubSamp
0.201268	x16SubSamp
0.204883	x16SubSamp
0.201265	x16SubSamp
0.199669	x16SubSamp
0.203471	x16SubSamp
0.201625	x16SubSamp
0.207306	x16SubSamp
0.206029	x16SubSamp
0.200969	x16SubSamp
0.200928	x16SubSamp
0.198178	x16SubSamp
0.203411	x16SubSamp
0.207098	x16SubSamp
0.201717	x16SubSamp
0.200614	x16SubSamp
0.201483	x16SubSamp
0.203056	x16SubSamp
0.200411	x16SubSamp
0.202204	x16SubSamp
0.200035	x16SubSamp
0.19995	x16SubSamp
0.201604	x16SubSamp
0.200967	x16SubSamp
0.201581	x16SubSamp
0.205734	x16SubSamp
0.201601	x16SubSamp
0.20291	x16SubSamp
0.20061	x18SubSamp
0.204964	x18SubSamp
0.202102	x18SubSamp
0.20653	x18SubSamp
0.204368	x18SubSamp
0.203349	x18SubSamp
0.200567	x18SubSamp
0.203422	x18SubSamp
0.206146	x18SubSamp
0.202566	x18SubSamp
0.201633	x18SubSamp
0.202249	x18SubSamp
0.204537	x18SubSamp
0.202597	x18SubSamp
0.204668	x18SubSamp
0.202135	x18SubSamp
0.203784	x18SubSamp
0.202312	x18SubSamp
0.200144	x18SubSamp
0.202333	x18SubSamp
0.207071	x18SubSamp
0.204658	x18SubSamp
0.205744	x18SubSamp
0.202869	x18SubSamp
0.204166	x18SubSamp
0.205852	x18SubSamp
0.200283	x18SubSamp
0.204446	x18SubSamp
0.200079	x18SubSamp
0.199312	x18SubSamp
0.207821	x18SubSamp
0.201769	x18SubSamp
0.202308	x18SubSamp
0.202305	x18SubSamp
0.202123	x18SubSamp
0.201733	x18SubSamp
0.202292	x18SubSamp
0.203362	x18SubSamp
0.200948	x18SubSamp
0.202761	x18SubSamp
0.200883	x18SubSamp
0.202997	x18SubSamp
0.205473	x18SubSamp
0.204511	x18SubSamp
0.202886	x18SubSamp
0.207477	x18SubSamp
0.199413	x18SubSamp
0.201571	x18SubSamp
0.200236	x18SubSamp
0.201107	x18SubSamp
0.203771	x18SubSamp
0.200459	x18SubSamp
0.202963	x18SubSamp
0.201642	x18SubSamp
0.19849	x18SubSamp
0.206537	x18SubSamp
0.20421	x18SubSamp
0.204199	x18SubSamp
0.203167	x18SubSamp
0.204303	x18SubSamp
0.202347	x18SubSamp
0.204332	x18SubSamp
0.206078	x18SubSamp
0.201231	x18SubSamp
0.202275	x18SubSamp
0.20161	x18SubSamp
0.206156	x18SubSamp
0.201138	x18SubSamp
0.20086	x18SubSamp
0.201289	x18SubSamp
0.204275	x18SubSamp
0.206865	x18SubSamp
0.20217	x18SubSamp
0.203199	x18SubSamp
0.203835	x18SubSamp
0.202931	x18SubSamp
0.199842	x18SubSamp
0.203435	x18SubSamp
0.199614	x18SubSamp
0.200658	x18SubSamp
0.201243	x18SubSamp
0.202825	x18SubSamp
0.198255	x18SubSamp
0.200745	x18SubSamp
0.20431	x18SubSamp
0.20314	x18SubSamp
0.202526	x18SubSamp
0.200747	x18SubSamp
0.202984	x18SubSamp
0.204334	x18SubSamp
0.202282	x18SubSamp
0.203996	x18SubSamp
0.202316	x18SubSamp
0.20191	x18SubSamp
0.202588	x18SubSamp
0.202326	x18SubSamp
0.201545	x18SubSamp
0.206488	x18SubSamp
0.199665	x18SubSamp
0.200483	x18SubSamp
0.199203	x20SubSamp
0.202665	x20SubSamp
0.204156	x20SubSamp
0.203503	x20SubSamp
0.202192	x20SubSamp
0.20105	x20SubSamp
0.202867	x20SubSamp
0.202133	x20SubSamp
0.202061	x20SubSamp
0.201088	x20SubSamp
0.204575	x20SubSamp
0.204352	x20SubSamp
0.201407	x20SubSamp
0.203288	x20SubSamp
0.202227	x20SubSamp
0.202501	x20SubSamp
0.204017	x20SubSamp
0.200615	x20SubSamp
0.199726	x20SubSamp
0.203117	x20SubSamp
0.201391	x20SubSamp
0.202272	x20SubSamp
0.203407	x20SubSamp
0.202097	x20SubSamp
0.200767	x20SubSamp
0.203516	x20SubSamp
0.200824	x20SubSamp
0.200545	x20SubSamp
0.204509	x20SubSamp
0.200656	x20SubSamp
0.204186	x20SubSamp
0.200359	x20SubSamp
0.202883	x20SubSamp
0.202804	x20SubSamp
0.20388	x20SubSamp
0.202945	x20SubSamp
0.201661	x20SubSamp
0.202705	x20SubSamp
0.202142	x20SubSamp
0.200664	x20SubSamp
0.204308	x20SubSamp
0.205208	x20SubSamp
0.203506	x20SubSamp
0.201452	x20SubSamp
0.202426	x20SubSamp
0.203844	x20SubSamp
0.202092	x20SubSamp
0.206465	x20SubSamp
0.202376	x20SubSamp
0.205652	x20SubSamp
0.205403	x20SubSamp
0.201755	x20SubSamp
0.202642	x20SubSamp
0.203909	x20SubSamp
0.202036	x20SubSamp
0.202344	x20SubSamp
0.203543	x20SubSamp
0.20349	x20SubSamp
0.204855	x20SubSamp
0.201878	x20SubSamp
0.202913	x20SubSamp
0.203613	x20SubSamp
0.200655	x20SubSamp
0.201161	x20SubSamp
0.202647	x20SubSamp
0.203743	x20SubSamp
0.203406	x20SubSamp
0.20287	x20SubSamp
0.205162	x20SubSamp
0.20173	x20SubSamp
0.206049	x20SubSamp
0.203443	x20SubSamp
0.205378	x20SubSamp
0.201677	x20SubSamp
0.202837	x20SubSamp
0.202544	x20SubSamp
0.205767	x20SubSamp
0.202845	x20SubSamp
0.20421	x20SubSamp
0.204725	x20SubSamp
0.201817	x20SubSamp
0.20488	x20SubSamp
0.201908	x20SubSamp
0.202102	x20SubSamp
0.204226	x20SubSamp
0.203849	x20SubSamp
0.205008	x20SubSamp
0.200866	x20SubSamp
0.203054	x20SubSamp
0.20255	x20SubSamp
0.201805	x20SubSamp
0.204052	x20SubSamp
0.201086	x20SubSamp
0.203422	x20SubSamp
0.20214	x20SubSamp
0.20247	x20SubSamp
0.200999	x20SubSamp
0.201132	x20SubSamp
0.201143	x20SubSamp
0.202247	x20SubSamp
0.202628	x22SubSamp
0.202668	x22SubSamp
0.202743	x22SubSamp
0.203364	x22SubSamp
0.201714	x22SubSamp
0.201285	x22SubSamp
0.204196	x22SubSamp
0.20412	x22SubSamp
0.202183	x22SubSamp
0.202217	x22SubSamp
0.203156	x22SubSamp
0.205208	x22SubSamp
0.201999	x22SubSamp
0.203168	x22SubSamp
0.201265	x22SubSamp
0.203432	x22SubSamp
0.202301	x22SubSamp
0.204805	x22SubSamp
0.202493	x22SubSamp
0.201941	x22SubSamp
0.205655	x22SubSamp
0.202262	x22SubSamp
0.202935	x22SubSamp
0.202409	x22SubSamp
0.201539	x22SubSamp
0.20358	x22SubSamp
0.204744	x22SubSamp
0.203182	x22SubSamp
0.201179	x22SubSamp
0.203068	x22SubSamp
0.203768	x22SubSamp
0.201736	x22SubSamp
0.204878	x22SubSamp
0.204074	x22SubSamp
0.201647	x22SubSamp
0.203409	x22SubSamp
0.202968	x22SubSamp
0.203487	x22SubSamp
0.201604	x22SubSamp
0.202297	x22SubSamp
0.202787	x22SubSamp
0.200895	x22SubSamp
0.202853	x22SubSamp
0.201326	x22SubSamp
0.201955	x22SubSamp
0.204196	x22SubSamp
0.203592	x22SubSamp
0.201695	x22SubSamp
0.202506	x22SubSamp
0.204503	x22SubSamp
0.203382	x22SubSamp
0.202516	x22SubSamp
0.202708	x22SubSamp
0.20369	x22SubSamp
0.202653	x22SubSamp
0.2037	x22SubSamp
0.20123	x22SubSamp
0.203064	x22SubSamp
0.203873	x22SubSamp
0.202294	x22SubSamp
0.20269	x22SubSamp
0.202648	x22SubSamp
0.203509	x22SubSamp
0.203156	x22SubSamp
0.202301	x22SubSamp
0.20222	x22SubSamp
0.202817	x22SubSamp
0.201353	x22SubSamp
0.202736	x22SubSamp
0.203393	x22SubSamp
0.202692	x22SubSamp
0.201126	x22SubSamp
0.201429	x22SubSamp
0.203236	x22SubSamp
0.202414	x22SubSamp
0.201455	x22SubSamp
0.201972	x22SubSamp
0.202662	x22SubSamp
0.201559	x22SubSamp
0.203232	x22SubSamp
0.202165	x22SubSamp
0.203848	x22SubSamp
0.203401	x22SubSamp
0.20332	x22SubSamp
0.201822	x22SubSamp
0.202827	x22SubSamp
0.203014	x22SubSamp
0.202224	x22SubSamp
0.202809	x22SubSamp
0.202796	x22SubSamp
0.202235	x22SubSamp
0.202172	x22SubSamp
0.200879	x22SubSamp
0.202194	x22SubSamp
0.202207	x22SubSamp
0.201971	x22SubSamp
0.202677	x22SubSamp
0.20326	x22SubSamp
0.201595	x22SubSamp
0.200694	x22SubSamp
