TGCP_PTP_Fst_estimates	Subsampling_group
0.182963	x06SubSamp
0.171514	x06SubSamp
0.196818	x06SubSamp
0.189683	x06SubSamp
0.183858	x06SubSamp
0.174088	x06SubSamp
0.174645	x06SubSamp
0.182826	x06SubSamp
0.171701	x06SubSamp
0.180399	x06SubSamp
0.187763	x06SubSamp
0.179152	x06SubSamp
0.176145	x06SubSamp
0.186079	x06SubSamp
0.208488	x06SubSamp
0.182232	x06SubSamp
0.17596	x06SubSamp
0.180332	x06SubSamp
0.184196	x06SubSamp
0.191539	x06SubSamp
0.186065	x06SubSamp
0.181906	x08SubSamp
0.183781	x08SubSamp
0.175779	x08SubSamp
0.176988	x08SubSamp
0.186766	x08SubSamp
0.178844	x08SubSamp
0.183634	x08SubSamp
0.179785	x08SubSamp
0.193079	x08SubSamp
0.182433	x08SubSamp
0.197009	x08SubSamp
0.183119	x08SubSamp
0.168876	x08SubSamp
0.189781	x08SubSamp
0.174244	x08SubSamp
0.171072	x08SubSamp
0.191682	x08SubSamp
0.190362	x08SubSamp
0.184605	x08SubSamp
0.174888	x08SubSamp
0.184741	x08SubSamp
0.182624	x08SubSamp
0.185639	x08SubSamp
0.188068	x08SubSamp
0.176075	x08SubSamp
0.190895	x08SubSamp
0.187864	x08SubSamp
0.180658	x08SubSamp
0.193244	x08SubSamp
0.186538	x08SubSamp
0.17811	x08SubSamp
0.191234	x08SubSamp
0.181369	x08SubSamp
0.180267	x08SubSamp
0.186978	x08SubSamp
0.201419	x08SubSamp
0.184925	x08SubSamp
0.183578	x08SubSamp
0.18258	x08SubSamp
0.172999	x08SubSamp
0.175124	x08SubSamp
0.197387	x08SubSamp
0.182564	x08SubSamp
0.188385	x08SubSamp
0.187439	x08SubSamp
0.200031	x08SubSamp
0.177528	x08SubSamp
0.186277	x08SubSamp
0.180384	x08SubSamp
0.18922	x08SubSamp
0.17291	x08SubSamp
0.192035	x08SubSamp
0.204051	x08SubSamp
0.176316	x08SubSamp
0.178198	x08SubSamp
0.185195	x08SubSamp
0.176258	x08SubSamp
0.187082	x08SubSamp
0.185916	x08SubSamp
0.184316	x08SubSamp
0.182442	x08SubSamp
0.179019	x08SubSamp
0.188284	x08SubSamp
0.201821	x08SubSamp
0.182601	x08SubSamp
0.181294	x08SubSamp
0.182654	x08SubSamp
0.185338	x08SubSamp
0.185251	x08SubSamp
0.186695	x08SubSamp
0.197655	x08SubSamp
0.197932	x08SubSamp
0.181151	x08SubSamp
0.194065	x08SubSamp
0.180606	x08SubSamp
0.179804	x08SubSamp
0.184584	x08SubSamp
0.194301	x08SubSamp
0.186375	x08SubSamp
0.186928	x08SubSamp
0.182546	x08SubSamp
0.197317	x08SubSamp
0.189152	x08SubSamp
0.177926	x08SubSamp
0.16636	x08SubSamp
0.179273	x08SubSamp
0.18887	x08SubSamp
0.184959	x08SubSamp
0.175603	x08SubSamp
0.178152	x08SubSamp
0.173507	x08SubSamp
0.186085	x08SubSamp
0.189083	x08SubSamp
0.174567	x08SubSamp
0.180837	x08SubSamp
0.202461	x08SubSamp
0.178237	x08SubSamp
0.188955	x08SubSamp
0.192504	x08SubSamp
0.185647	x08SubSamp
0.183638	x10SubSamp
0.186845	x10SubSamp
0.186807	x10SubSamp
0.186391	x10SubSamp
0.190919	x10SubSamp
0.180603	x10SubSamp
0.190335	x10SubSamp
0.185022	x10SubSamp
0.184154	x10SubSamp
0.183049	x10SubSamp
0.178817	x10SubSamp
0.194611	x10SubSamp
0.188969	x10SubSamp
0.183375	x10SubSamp
0.192241	x10SubSamp
0.173481	x10SubSamp
0.191786	x10SubSamp
0.19783	x10SubSamp
0.18779	x10SubSamp
0.176509	x10SubSamp
0.180289	x10SubSamp
0.181755	x10SubSamp
0.187335	x10SubSamp
0.176313	x10SubSamp
0.190572	x10SubSamp
0.172555	x10SubSamp
0.186641	x10SubSamp
0.191499	x10SubSamp
0.17925	x10SubSamp
0.196874	x10SubSamp
0.183691	x10SubSamp
0.188337	x10SubSamp
0.183207	x10SubSamp
0.183724	x10SubSamp
0.181293	x10SubSamp
0.191806	x10SubSamp
0.191813	x10SubSamp
0.191422	x10SubSamp
0.184153	x10SubSamp
0.193893	x10SubSamp
0.183703	x10SubSamp
0.184056	x10SubSamp
0.185044	x10SubSamp
0.184865	x10SubSamp
0.178171	x10SubSamp
0.18243	x10SubSamp
0.187409	x10SubSamp
0.19375	x10SubSamp
0.190317	x10SubSamp
0.184985	x10SubSamp
0.177946	x10SubSamp
0.192972	x10SubSamp
0.183028	x10SubSamp
0.183056	x10SubSamp
0.192268	x10SubSamp
0.192388	x10SubSamp
0.189813	x10SubSamp
0.188404	x10SubSamp
0.178376	x10SubSamp
0.187915	x10SubSamp
0.185614	x10SubSamp
0.188509	x10SubSamp
0.183605	x10SubSamp
0.18198	x10SubSamp
0.185319	x10SubSamp
0.183196	x10SubSamp
0.184038	x10SubSamp
0.185431	x10SubSamp
0.190846	x10SubSamp
0.182544	x10SubSamp
0.189218	x10SubSamp
0.186252	x10SubSamp
0.198952	x10SubSamp
0.191223	x10SubSamp
0.182514	x10SubSamp
0.201478	x10SubSamp
0.181729	x10SubSamp
0.194173	x10SubSamp
0.190957	x10SubSamp
0.185291	x10SubSamp
0.184986	x10SubSamp
0.189626	x10SubSamp
0.200561	x10SubSamp
0.186071	x10SubSamp
0.189719	x10SubSamp
0.174271	x10SubSamp
0.189658	x10SubSamp
0.180702	x10SubSamp
0.191216	x10SubSamp
0.180461	x10SubSamp
0.181827	x10SubSamp
0.17883	x10SubSamp
0.185555	x10SubSamp
0.196415	x10SubSamp
0.190045	x10SubSamp
0.179391	x10SubSamp
0.192407	x10SubSamp
0.192346	x10SubSamp
0.183813	x10SubSamp
0.184933	x10SubSamp
0.184631	x12SubSamp
0.189326	x12SubSamp
0.186428	x12SubSamp
0.196454	x12SubSamp
0.183956	x12SubSamp
0.189267	x12SubSamp
0.185146	x12SubSamp
0.17885	x12SubSamp
0.188655	x12SubSamp
0.190811	x12SubSamp
0.190486	x12SubSamp
0.182515	x12SubSamp
0.18776	x12SubSamp
0.189815	x12SubSamp
0.189578	x12SubSamp
0.182939	x12SubSamp
0.193214	x12SubSamp
0.188741	x12SubSamp
0.192006	x12SubSamp
0.185185	x12SubSamp
0.192265	x12SubSamp
0.191749	x12SubSamp
0.18366	x12SubSamp
0.187047	x12SubSamp
0.185805	x12SubSamp
0.180874	x12SubSamp
0.188593	x12SubSamp
0.190757	x12SubSamp
0.173688	x12SubSamp
0.193157	x12SubSamp
0.184571	x12SubSamp
0.192824	x12SubSamp
0.182595	x12SubSamp
0.191096	x12SubSamp
0.180336	x12SubSamp
0.190813	x12SubSamp
0.184198	x12SubSamp
0.185087	x12SubSamp
0.184214	x12SubSamp
0.18719	x12SubSamp
0.185142	x12SubSamp
0.180518	x12SubSamp
0.190546	x12SubSamp
0.181778	x12SubSamp
0.184157	x12SubSamp
0.182199	x12SubSamp
0.187335	x12SubSamp
0.186246	x12SubSamp
0.18725	x12SubSamp
0.188088	x12SubSamp
0.188319	x12SubSamp
0.194703	x12SubSamp
0.181094	x12SubSamp
0.181516	x12SubSamp
0.182475	x12SubSamp
0.189338	x12SubSamp
0.182981	x12SubSamp
0.186092	x12SubSamp
0.193889	x12SubSamp
0.180089	x12SubSamp
0.184952	x12SubSamp
0.189743	x12SubSamp
0.188731	x12SubSamp
0.188921	x12SubSamp
0.186834	x12SubSamp
0.182609	x12SubSamp
0.182742	x12SubSamp
0.185049	x12SubSamp
0.185837	x12SubSamp
0.184692	x12SubSamp
0.183253	x12SubSamp
0.19243	x12SubSamp
0.186173	x12SubSamp
0.188163	x12SubSamp
0.190235	x12SubSamp
0.191657	x12SubSamp
0.191349	x12SubSamp
0.185394	x12SubSamp
0.187091	x12SubSamp
0.195062	x12SubSamp
0.184222	x12SubSamp
0.184242	x12SubSamp
0.186181	x12SubSamp
0.179992	x12SubSamp
0.187147	x12SubSamp
0.183707	x12SubSamp
0.183613	x12SubSamp
0.186207	x12SubSamp
0.182273	x12SubSamp
0.188407	x12SubSamp
0.183854	x12SubSamp
0.17941	x12SubSamp
0.183966	x12SubSamp
0.185133	x12SubSamp
0.184305	x12SubSamp
0.185161	x12SubSamp
0.181325	x12SubSamp
0.19385	x12SubSamp
0.187574	x12SubSamp
0.190722	x12SubSamp
0.185139	x14SubSamp
0.184911	x14SubSamp
0.182426	x14SubSamp
0.186755	x14SubSamp
0.187077	x14SubSamp
0.179565	x14SubSamp
0.179443	x14SubSamp
0.191651	x14SubSamp
0.189782	x14SubSamp
0.180745	x14SubSamp
0.182014	x14SubSamp
0.182311	x14SubSamp
0.189542	x14SubSamp
0.186573	x14SubSamp
0.191394	x14SubSamp
0.185386	x14SubSamp
0.189298	x14SubSamp
0.182212	x14SubSamp
0.184831	x14SubSamp
0.180326	x14SubSamp
0.185315	x14SubSamp
0.180563	x14SubSamp
0.192873	x14SubSamp
0.184681	x14SubSamp
0.185533	x14SubSamp
0.188429	x14SubSamp
0.186222	x14SubSamp
0.183503	x14SubSamp
0.195545	x14SubSamp
0.182126	x14SubSamp
0.183035	x14SubSamp
0.188446	x14SubSamp
0.19073	x14SubSamp
0.188472	x14SubSamp
0.190451	x14SubSamp
0.18647	x14SubSamp
0.191582	x14SubSamp
0.179508	x14SubSamp
0.189118	x14SubSamp
0.185346	x14SubSamp
0.196378	x14SubSamp
0.178159	x14SubSamp
0.187559	x14SubSamp
0.183064	x14SubSamp
0.19142	x14SubSamp
0.181792	x14SubSamp
0.182037	x14SubSamp
0.186931	x14SubSamp
0.181759	x14SubSamp
0.178152	x14SubSamp
0.184187	x14SubSamp
0.189269	x14SubSamp
0.181657	x14SubSamp
0.189209	x14SubSamp
0.191294	x14SubSamp
0.19043	x14SubSamp
0.182932	x14SubSamp
0.182553	x14SubSamp
0.179934	x14SubSamp
0.184371	x14SubSamp
0.184059	x14SubSamp
0.182535	x14SubSamp
0.184189	x14SubSamp
0.190543	x14SubSamp
0.192576	x14SubSamp
0.18618	x14SubSamp
0.186211	x14SubSamp
0.190949	x14SubSamp
0.185939	x14SubSamp
0.178666	x14SubSamp
0.192726	x14SubSamp
0.184606	x14SubSamp
0.184155	x14SubSamp
0.185896	x14SubSamp
0.185693	x14SubSamp
0.183233	x14SubSamp
0.189135	x14SubSamp
0.179748	x14SubSamp
0.182986	x14SubSamp
0.183996	x14SubSamp
0.185361	x14SubSamp
0.18858	x14SubSamp
0.187347	x14SubSamp
0.182606	x14SubSamp
0.184153	x14SubSamp
0.191627	x14SubSamp
0.180135	x14SubSamp
0.195458	x14SubSamp
0.18175	x14SubSamp
0.190506	x14SubSamp
0.188887	x14SubSamp
0.18546	x14SubSamp
0.180027	x14SubSamp
0.177703	x14SubSamp
0.179985	x14SubSamp
0.185523	x14SubSamp
0.192101	x14SubSamp
0.190726	x14SubSamp
0.175964	x14SubSamp
0.186369	x14SubSamp
0.18597	x16SubSamp
0.18593	x16SubSamp
0.189007	x16SubSamp
0.188145	x16SubSamp
0.188397	x16SubSamp
0.181622	x16SubSamp
0.189563	x16SubSamp
0.185293	x16SubSamp
0.185087	x16SubSamp
0.189809	x16SubSamp
0.192009	x16SubSamp
0.188558	x16SubSamp
0.190111	x16SubSamp
0.17829	x16SubSamp
0.190377	x16SubSamp
0.183672	x16SubSamp
0.187644	x16SubSamp
0.185859	x16SubSamp
0.184398	x16SubSamp
0.190424	x16SubSamp
0.193991	x16SubSamp
0.185163	x16SubSamp
0.184809	x16SubSamp
0.183098	x16SubSamp
0.183498	x16SubSamp
0.184881	x16SubSamp
0.187895	x16SubSamp
0.190269	x16SubSamp
0.190727	x16SubSamp
0.189254	x16SubSamp
0.185472	x16SubSamp
0.18775	x16SubSamp
0.177447	x16SubSamp
0.183336	x16SubSamp
0.187913	x16SubSamp
0.180662	x16SubSamp
0.18673	x16SubSamp
0.177772	x16SubSamp
0.187173	x16SubSamp
0.190407	x16SubSamp
0.188236	x16SubSamp
0.193294	x16SubSamp
0.187317	x16SubSamp
0.183806	x16SubSamp
0.187641	x16SubSamp
0.185013	x16SubSamp
0.186338	x16SubSamp
0.184001	x16SubSamp
0.188197	x16SubSamp
0.178834	x16SubSamp
0.187874	x16SubSamp
0.187834	x16SubSamp
0.191844	x16SubSamp
0.190953	x16SubSamp
0.188604	x16SubSamp
0.187527	x16SubSamp
0.18591	x16SubSamp
0.182309	x16SubSamp
0.188966	x16SubSamp
0.189866	x16SubSamp
0.186587	x16SubSamp
0.184658	x16SubSamp
0.18855	x16SubSamp
0.187572	x16SubSamp
0.189504	x16SubSamp
0.188026	x16SubSamp
0.181218	x16SubSamp
0.193407	x16SubSamp
0.18579	x16SubSamp
0.186146	x16SubSamp
0.190296	x16SubSamp
0.190239	x16SubSamp
0.186619	x16SubSamp
0.188063	x16SubSamp
0.185616	x16SubSamp
0.19245	x16SubSamp
0.191705	x16SubSamp
0.189646	x16SubSamp
0.185992	x16SubSamp
0.189249	x16SubSamp
0.188007	x16SubSamp
0.185161	x16SubSamp
0.193854	x16SubSamp
0.182887	x16SubSamp
0.185586	x16SubSamp
0.190923	x16SubSamp
0.186068	x16SubSamp
0.186749	x16SubSamp
0.185767	x16SubSamp
0.184498	x16SubSamp
0.189068	x16SubSamp
0.181796	x16SubSamp
0.184595	x16SubSamp
0.184191	x16SubSamp
0.187947	x16SubSamp
0.18615	x16SubSamp
0.184136	x16SubSamp
0.191414	x16SubSamp
0.187778	x16SubSamp
0.184747	x16SubSamp
0.185951	x18SubSamp
0.189382	x18SubSamp
0.18653	x18SubSamp
0.187124	x18SubSamp
0.187735	x18SubSamp
0.186355	x18SubSamp
0.184838	x18SubSamp
0.185141	x18SubSamp
0.185762	x18SubSamp
0.185635	x18SubSamp
0.185121	x18SubSamp
0.182956	x18SubSamp
0.190269	x18SubSamp
0.187835	x18SubSamp
0.191156	x18SubSamp
0.184054	x18SubSamp
0.190406	x18SubSamp
0.17957	x18SubSamp
0.190855	x18SubSamp
0.187925	x18SubSamp
0.188318	x18SubSamp
0.189019	x18SubSamp
0.181983	x18SubSamp
0.187726	x18SubSamp
0.188569	x18SubSamp
0.192696	x18SubSamp
0.185677	x18SubSamp
0.188668	x18SubSamp
0.18162	x18SubSamp
0.187618	x18SubSamp
0.186706	x18SubSamp
0.188766	x18SubSamp
0.186102	x18SubSamp
0.186319	x18SubSamp
0.185033	x18SubSamp
0.191968	x18SubSamp
0.188867	x18SubSamp
0.192215	x18SubSamp
0.193974	x18SubSamp
0.181766	x18SubSamp
0.185406	x18SubSamp
0.189289	x18SubSamp
0.187443	x18SubSamp
0.18567	x18SubSamp
0.184562	x18SubSamp
0.187687	x18SubSamp
0.187445	x18SubSamp
0.181699	x18SubSamp
0.189105	x18SubSamp
0.184285	x18SubSamp
0.186931	x18SubSamp
0.188137	x18SubSamp
0.186672	x18SubSamp
0.186485	x18SubSamp
0.184465	x18SubSamp
0.189702	x18SubSamp
0.19034	x18SubSamp
0.192232	x18SubSamp
0.18936	x18SubSamp
0.184196	x18SubSamp
0.189047	x18SubSamp
0.187264	x18SubSamp
0.187195	x18SubSamp
0.18725	x18SubSamp
0.1849	x18SubSamp
0.18957	x18SubSamp
0.189225	x18SubSamp
0.188774	x18SubSamp
0.188941	x18SubSamp
0.186599	x18SubSamp
0.190336	x18SubSamp
0.188411	x18SubSamp
0.188931	x18SubSamp
0.187993	x18SubSamp
0.185095	x18SubSamp
0.188757	x18SubSamp
0.185541	x18SubSamp
0.184939	x18SubSamp
0.18433	x18SubSamp
0.186169	x18SubSamp
0.189302	x18SubSamp
0.18591	x18SubSamp
0.190015	x18SubSamp
0.190933	x18SubSamp
0.187528	x18SubSamp
0.188596	x18SubSamp
0.189008	x18SubSamp
0.186607	x18SubSamp
0.186992	x18SubSamp
0.189251	x18SubSamp
0.187798	x18SubSamp
0.190967	x18SubSamp
0.183535	x18SubSamp
0.193294	x18SubSamp
0.184895	x18SubSamp
0.193906	x18SubSamp
0.185192	x18SubSamp
0.18762	x18SubSamp
0.187651	x18SubSamp
0.18404	x18SubSamp
0.186641	x20SubSamp
0.188034	x20SubSamp
0.183	x20SubSamp
0.188723	x20SubSamp
0.186335	x20SubSamp
0.186098	x20SubSamp
0.186679	x20SubSamp
0.183866	x20SubSamp
0.185437	x20SubSamp
0.185279	x20SubSamp
0.184992	x20SubSamp
0.18683	x20SubSamp
0.18491	x20SubSamp
0.187112	x20SubSamp
0.18828	x20SubSamp
0.190091	x20SubSamp
0.189862	x20SubSamp
0.191692	x20SubSamp
0.186258	x20SubSamp
0.187699	x20SubSamp
0.186912	x20SubSamp
0.185779	x20SubSamp
0.187281	x20SubSamp
0.184201	x20SubSamp
0.186684	x20SubSamp
0.187436	x20SubSamp
0.185102	x20SubSamp
0.185079	x20SubSamp
0.187894	x20SubSamp
0.186311	x20SubSamp
0.186294	x20SubSamp
0.185959	x20SubSamp
0.183548	x20SubSamp
0.187926	x20SubSamp
0.188575	x20SubSamp
0.187139	x20SubSamp
0.187028	x20SubSamp
0.186089	x20SubSamp
0.186173	x20SubSamp
0.184436	x20SubSamp
0.183036	x20SubSamp
0.190109	x20SubSamp
0.187062	x20SubSamp
0.187681	x20SubSamp
0.188651	x20SubSamp
0.191051	x20SubSamp
0.186483	x20SubSamp
0.191282	x20SubSamp
0.186537	x20SubSamp
0.186687	x20SubSamp
0.187807	x20SubSamp
0.184384	x20SubSamp
0.184136	x20SubSamp
0.190578	x20SubSamp
0.18873	x20SubSamp
0.188084	x20SubSamp
0.188061	x20SubSamp
0.1915	x20SubSamp
0.188311	x20SubSamp
0.18404	x20SubSamp
0.188759	x20SubSamp
0.184072	x20SubSamp
0.189503	x20SubSamp
0.186149	x20SubSamp
0.185368	x20SubSamp
0.190046	x20SubSamp
0.186341	x20SubSamp
0.187985	x20SubSamp
0.18605	x20SubSamp
0.18854	x20SubSamp
0.185509	x20SubSamp
0.186118	x20SubSamp
0.187485	x20SubSamp
0.18843	x20SubSamp
0.188535	x20SubSamp
0.184349	x20SubSamp
0.185792	x20SubSamp
0.189191	x20SubSamp
0.183042	x20SubSamp
0.185128	x20SubSamp
0.186626	x20SubSamp
0.186951	x20SubSamp
0.186812	x20SubSamp
0.192368	x20SubSamp
0.189329	x20SubSamp
0.190519	x20SubSamp
0.190922	x20SubSamp
0.186629	x20SubSamp
0.185927	x20SubSamp
0.183553	x20SubSamp
0.185249	x20SubSamp
0.186873	x20SubSamp
0.186462	x20SubSamp
0.18836	x20SubSamp
0.189388	x20SubSamp
0.191457	x20SubSamp
0.185459	x20SubSamp
0.18633	x20SubSamp
0.185747	x20SubSamp
0.183476	x20SubSamp
0.185586	x22SubSamp
0.186719	x22SubSamp
0.186313	x22SubSamp
0.186134	x22SubSamp
0.186372	x22SubSamp
0.1874	x22SubSamp
0.188275	x22SubSamp
0.187712	x22SubSamp
0.187751	x22SubSamp
0.189204	x22SubSamp
0.189639	x22SubSamp
0.18968	x22SubSamp
0.186901	x22SubSamp
0.185137	x22SubSamp
0.188656	x22SubSamp
0.186899	x22SubSamp
0.186969	x22SubSamp
0.189229	x22SubSamp
0.188083	x22SubSamp
0.186997	x22SubSamp
0.187932	x22SubSamp
0.187241	x22SubSamp
0.186019	x22SubSamp
0.186846	x22SubSamp
0.189006	x22SubSamp
0.1853	x22SubSamp
0.187884	x22SubSamp
0.185981	x22SubSamp
0.185235	x22SubSamp
0.19156	x22SubSamp
0.186751	x22SubSamp
0.186111	x22SubSamp
0.187524	x22SubSamp
0.186803	x22SubSamp
0.187978	x22SubSamp
0.188252	x22SubSamp
0.189231	x22SubSamp
0.18912	x22SubSamp
0.187444	x22SubSamp
0.189106	x22SubSamp
0.185233	x22SubSamp
0.189561	x22SubSamp
0.185929	x22SubSamp
0.186079	x22SubSamp
0.185303	x22SubSamp
0.186362	x22SubSamp
0.185618	x22SubSamp
0.184766	x22SubSamp
0.18738	x22SubSamp
0.188445	x22SubSamp
0.188964	x22SubSamp
0.186424	x22SubSamp
0.188135	x22SubSamp
0.185595	x22SubSamp
0.188429	x22SubSamp
0.187957	x22SubSamp
0.186014	x22SubSamp
0.184853	x22SubSamp
0.186947	x22SubSamp
0.189765	x22SubSamp
0.187112	x22SubSamp
0.188055	x22SubSamp
0.187963	x22SubSamp
0.187139	x22SubSamp
0.189139	x22SubSamp
0.186169	x22SubSamp
0.1891	x22SubSamp
0.188454	x22SubSamp
0.188333	x22SubSamp
0.187817	x22SubSamp
0.189573	x22SubSamp
0.188804	x22SubSamp
0.188671	x22SubSamp
0.185653	x22SubSamp
0.189084	x22SubSamp
0.186904	x22SubSamp
0.18667	x22SubSamp
0.186628	x22SubSamp
0.186496	x22SubSamp
0.187643	x22SubSamp
0.18774	x22SubSamp
0.1883	x22SubSamp
0.18474	x22SubSamp
0.188965	x22SubSamp
0.187063	x22SubSamp
0.189816	x22SubSamp
0.187128	x22SubSamp
0.187575	x22SubSamp
0.186145	x22SubSamp
0.187449	x22SubSamp
0.190098	x22SubSamp
0.185722	x22SubSamp
0.186797	x22SubSamp
0.187554	x22SubSamp
0.188132	x22SubSamp
0.18726	x22SubSamp
0.184882	x22SubSamp
0.189926	x22SubSamp
0.185696	x22SubSamp
0.188804	x22SubSamp
