TGCP_MPO_Fst_estimates	Subsampling_group
0.161375	x12SubSamp
0.168239	x12SubSamp
0.168596	x12SubSamp
0.167513	x12SubSamp
0.169264	x14SubSamp
0.168483	x14SubSamp
0.171073	x14SubSamp
0.173442	x14SubSamp
0.166862	x14SubSamp
0.167015	x14SubSamp
0.164647	x14SubSamp
0.174773	x14SubSamp
0.170253	x14SubSamp
0.16423	x14SubSamp
0.164528	x14SubSamp
0.171368	x14SubSamp
0.16763	x14SubSamp
0.168938	x14SubSamp
0.169419	x14SubSamp
0.163291	x14SubSamp
0.168862	x14SubSamp
0.164368	x14SubSamp
0.166425	x14SubSamp
0.167287	x14SubSamp
0.163982	x14SubSamp
0.166519	x14SubSamp
0.164381	x14SubSamp
0.164886	x14SubSamp
0.168224	x14SubSamp
0.1741	x14SubSamp
0.165478	x14SubSamp
0.161957	x14SubSamp
0.167607	x14SubSamp
0.167567	x14SubSamp
0.163818	x14SubSamp
0.161273	x14SubSamp
0.165698	x14SubSamp
0.166269	x14SubSamp
0.168989	x14SubSamp
0.168658	x14SubSamp
0.162822	x14SubSamp
0.165347	x14SubSamp
0.167185	x14SubSamp
0.167772	x14SubSamp
0.170042	x14SubSamp
0.169297	x14SubSamp
0.171471	x14SubSamp
0.163997	x14SubSamp
0.16589	x14SubSamp
0.16595	x14SubSamp
0.160497	x14SubSamp
0.163111	x14SubSamp
0.167868	x14SubSamp
0.16128	x14SubSamp
0.168605	x14SubSamp
0.16999	x14SubSamp
0.16851	x14SubSamp
0.16568	x14SubSamp
0.168524	x14SubSamp
0.166556	x14SubSamp
0.165949	x14SubSamp
0.169172	x14SubSamp
0.166876	x14SubSamp
0.167946	x14SubSamp
0.16675	x14SubSamp
0.168517	x14SubSamp
0.165106	x14SubSamp
0.164773	x14SubSamp
0.16761	x14SubSamp
0.165493	x14SubSamp
0.167791	x14SubSamp
0.16505	x14SubSamp
0.168631	x14SubSamp
0.161341	x14SubSamp
0.172728	x14SubSamp
0.165246	x14SubSamp
0.165276	x14SubSamp
0.16938	x14SubSamp
0.167499	x14SubSamp
0.170946	x14SubSamp
0.165368	x14SubSamp
0.165936	x14SubSamp
0.164537	x14SubSamp
0.168402	x14SubSamp
0.164761	x14SubSamp
0.173041	x14SubSamp
0.167496	x14SubSamp
0.165191	x14SubSamp
0.166516	x14SubSamp
0.167579	x14SubSamp
0.170296	x14SubSamp
0.167151	x14SubSamp
0.163496	x14SubSamp
0.165288	x14SubSamp
0.167353	x14SubSamp
0.164824	x14SubSamp
0.159308	x14SubSamp
0.163916	x14SubSamp
0.169856	x14SubSamp
0.162789	x14SubSamp
0.166271	x14SubSamp
0.167921	x14SubSamp
0.164052	x14SubSamp
0.164745	x14SubSamp
0.166753	x16SubSamp
0.164043	x16SubSamp
0.168266	x16SubSamp
0.168462	x16SubSamp
0.166226	x16SubSamp
0.166736	x16SubSamp
0.167933	x16SubSamp
0.166835	x16SubSamp
0.164315	x16SubSamp
0.168078	x16SubSamp
0.167321	x16SubSamp
0.170215	x16SubSamp
0.167993	x16SubSamp
0.164424	x16SubSamp
0.170788	x16SubSamp
0.1635	x16SubSamp
0.16929	x16SubSamp
0.165958	x16SubSamp
0.16663	x16SubSamp
0.168208	x16SubSamp
0.167997	x16SubSamp
0.164956	x16SubSamp
0.164018	x16SubSamp
0.167027	x16SubSamp
0.164907	x16SubSamp
0.1681	x16SubSamp
0.167659	x16SubSamp
0.167445	x16SubSamp
0.167933	x16SubSamp
0.164144	x16SubSamp
0.166328	x16SubSamp
0.165586	x16SubSamp
0.166943	x16SubSamp
0.165975	x16SubSamp
0.166693	x16SubSamp
0.166666	x16SubSamp
0.16642	x16SubSamp
0.163501	x16SubSamp
0.164269	x16SubSamp
0.167958	x16SubSamp
0.169774	x16SubSamp
0.168518	x16SubSamp
0.171651	x16SubSamp
0.167833	x16SubSamp
0.167607	x16SubSamp
0.169462	x16SubSamp
0.168923	x16SubSamp
0.163528	x16SubSamp
0.166188	x16SubSamp
0.164169	x16SubSamp
0.168099	x16SubSamp
0.166082	x16SubSamp
0.170187	x16SubSamp
0.166225	x16SubSamp
0.166552	x16SubSamp
0.166796	x16SubSamp
0.16903	x16SubSamp
0.165616	x16SubSamp
0.161602	x16SubSamp
0.165126	x16SubSamp
0.165385	x16SubSamp
0.169597	x16SubSamp
0.166199	x16SubSamp
0.167581	x16SubSamp
0.169479	x16SubSamp
0.168089	x16SubSamp
0.164465	x16SubSamp
0.168053	x16SubSamp
0.167361	x16SubSamp
0.167649	x16SubSamp
0.167757	x16SubSamp
0.170705	x16SubSamp
0.169646	x16SubSamp
0.171033	x16SubSamp
0.166749	x16SubSamp
0.167428	x16SubSamp
0.167717	x16SubSamp
0.16918	x16SubSamp
0.165112	x16SubSamp
0.166801	x16SubSamp
0.168033	x16SubSamp
0.169263	x16SubSamp
0.172188	x16SubSamp
0.170723	x16SubSamp
0.165772	x16SubSamp
0.170979	x16SubSamp
0.167323	x16SubSamp
0.164573	x16SubSamp
0.169583	x16SubSamp
0.167841	x16SubSamp
0.167901	x16SubSamp
0.163477	x16SubSamp
0.167656	x16SubSamp
0.170127	x16SubSamp
0.170231	x16SubSamp
0.166354	x16SubSamp
0.162291	x16SubSamp
0.167891	x16SubSamp
0.164589	x16SubSamp
0.165542	x16SubSamp
0.168444	x18SubSamp
0.165203	x18SubSamp
0.165285	x18SubSamp
0.167222	x18SubSamp
0.166257	x18SubSamp
0.165913	x18SubSamp
0.167687	x18SubSamp
0.164656	x18SubSamp
0.170313	x18SubSamp
0.165234	x18SubSamp
0.16601	x18SubSamp
0.165513	x18SubSamp
0.166429	x18SubSamp
0.166136	x18SubSamp
0.168411	x18SubSamp
0.167212	x18SubSamp
0.16801	x18SubSamp
0.165579	x18SubSamp
0.168154	x18SubSamp
0.166142	x18SubSamp
0.167083	x18SubSamp
0.16983	x18SubSamp
0.165445	x18SubSamp
0.167507	x18SubSamp
0.166664	x18SubSamp
0.171916	x18SubSamp
0.17016	x18SubSamp
0.167145	x18SubSamp
0.165579	x18SubSamp
0.166321	x18SubSamp
0.163273	x18SubSamp
0.169085	x18SubSamp
0.165262	x18SubSamp
0.166168	x18SubSamp
0.166168	x18SubSamp
0.166302	x18SubSamp
0.166725	x18SubSamp
0.169859	x18SubSamp
0.169979	x18SubSamp
0.166318	x18SubSamp
0.166785	x18SubSamp
0.166446	x18SubSamp
0.167379	x18SubSamp
0.164202	x18SubSamp
0.165563	x18SubSamp
0.167687	x18SubSamp
0.166622	x18SubSamp
0.166186	x18SubSamp
0.166806	x18SubSamp
0.163785	x18SubSamp
0.165259	x18SubSamp
0.170893	x18SubSamp
0.165601	x18SubSamp
0.166854	x18SubSamp
0.165898	x18SubSamp
0.165185	x18SubSamp
0.168725	x18SubSamp
0.1677	x18SubSamp
0.166011	x18SubSamp
0.169344	x18SubSamp
0.16676	x18SubSamp
0.169189	x18SubSamp
0.167472	x18SubSamp
0.17034	x18SubSamp
0.165434	x18SubSamp
0.168346	x18SubSamp
0.169125	x18SubSamp
0.170208	x18SubSamp
0.165012	x18SubSamp
0.166469	x18SubSamp
0.166746	x18SubSamp
0.1688	x18SubSamp
0.168098	x18SubSamp
0.168312	x18SubSamp
0.164211	x18SubSamp
0.169667	x18SubSamp
0.165995	x18SubSamp
0.168422	x18SubSamp
0.167184	x18SubSamp
0.165796	x18SubSamp
0.170009	x18SubSamp
0.16968	x18SubSamp
0.169789	x18SubSamp
0.168095	x18SubSamp
0.16578	x18SubSamp
0.169088	x18SubSamp
0.167763	x18SubSamp
0.163738	x18SubSamp
0.167724	x18SubSamp
0.166618	x18SubSamp
0.16688	x18SubSamp
0.170523	x18SubSamp
0.163527	x18SubSamp
0.169989	x18SubSamp
0.165387	x18SubSamp
0.171321	x18SubSamp
0.165312	x18SubSamp
0.165028	x18SubSamp
0.162571	x18SubSamp
0.166656	x18SubSamp
0.167818	x20SubSamp
0.167049	x20SubSamp
0.16687	x20SubSamp
0.16576	x20SubSamp
0.167457	x20SubSamp
0.167445	x20SubSamp
0.168166	x20SubSamp
0.164984	x20SubSamp
0.167132	x20SubSamp
0.167454	x20SubSamp
0.166315	x20SubSamp
0.168135	x20SubSamp
0.167902	x20SubSamp
0.166513	x20SubSamp
0.167615	x20SubSamp
0.168398	x20SubSamp
0.169411	x20SubSamp
0.16938	x20SubSamp
0.167281	x20SubSamp
0.16796	x20SubSamp
0.166623	x20SubSamp
0.166956	x20SubSamp
0.169109	x20SubSamp
0.166177	x20SubSamp
0.167648	x20SubSamp
0.16827	x20SubSamp
0.167264	x20SubSamp
0.16437	x20SubSamp
0.167709	x20SubSamp
0.168429	x20SubSamp
0.166533	x20SubSamp
0.165514	x20SubSamp
0.168597	x20SubSamp
0.166226	x20SubSamp
0.167761	x20SubSamp
0.166664	x20SubSamp
0.166464	x20SubSamp
0.167027	x20SubSamp
0.168165	x20SubSamp
0.164971	x20SubSamp
0.164972	x20SubSamp
0.166979	x20SubSamp
0.166312	x20SubSamp
0.168966	x20SubSamp
0.166582	x20SubSamp
0.168439	x20SubSamp
0.165866	x20SubSamp
0.167278	x20SubSamp
0.167062	x20SubSamp
0.165699	x20SubSamp
0.167413	x20SubSamp
0.16443	x20SubSamp
0.164211	x20SubSamp
0.166986	x20SubSamp
0.168063	x20SubSamp
0.165501	x20SubSamp
0.166537	x20SubSamp
0.169083	x20SubSamp
0.16573	x20SubSamp
0.165127	x20SubSamp
0.167479	x20SubSamp
0.167829	x20SubSamp
0.167725	x20SubSamp
0.168472	x20SubSamp
0.164574	x20SubSamp
0.168314	x20SubSamp
0.165859	x20SubSamp
0.167706	x20SubSamp
0.165832	x20SubSamp
0.169334	x20SubSamp
0.164322	x20SubSamp
0.167755	x20SubSamp
0.167969	x20SubSamp
0.166722	x20SubSamp
0.165081	x20SubSamp
0.166954	x20SubSamp
0.166107	x20SubSamp
0.168369	x20SubSamp
0.164655	x20SubSamp
0.166416	x20SubSamp
0.166652	x20SubSamp
0.167825	x20SubSamp
0.168	x20SubSamp
0.170922	x20SubSamp
0.16798	x20SubSamp
0.166625	x20SubSamp
0.168021	x20SubSamp
0.166659	x20SubSamp
0.165298	x20SubSamp
0.163862	x20SubSamp
0.16528	x20SubSamp
0.167966	x20SubSamp
0.165977	x20SubSamp
0.165301	x20SubSamp
0.168532	x20SubSamp
0.167672	x20SubSamp
0.166684	x20SubSamp
0.166193	x20SubSamp
0.167533	x20SubSamp
0.166565	x20SubSamp
0.167525	x22SubSamp
0.167258	x22SubSamp
0.166305	x22SubSamp
0.168811	x22SubSamp
0.16711	x22SubSamp
0.166687	x22SubSamp
0.16669	x22SubSamp
0.166726	x22SubSamp
0.167814	x22SubSamp
0.167737	x22SubSamp
0.167933	x22SubSamp
0.1661	x22SubSamp
0.166078	x22SubSamp
0.166647	x22SubSamp
0.166808	x22SubSamp
0.169064	x22SubSamp
0.166699	x22SubSamp
0.167909	x22SubSamp
0.168529	x22SubSamp
0.166805	x22SubSamp
0.167297	x22SubSamp
0.167602	x22SubSamp
0.167412	x22SubSamp
0.167235	x22SubSamp
0.168166	x22SubSamp
0.167079	x22SubSamp
0.166292	x22SubSamp
0.168841	x22SubSamp
0.167159	x22SubSamp
0.168784	x22SubSamp
0.168027	x22SubSamp
0.165945	x22SubSamp
0.165401	x22SubSamp
0.166701	x22SubSamp
0.168287	x22SubSamp
0.166519	x22SubSamp
0.169423	x22SubSamp
0.167941	x22SubSamp
0.166239	x22SubSamp
0.168508	x22SubSamp
0.166665	x22SubSamp
0.167998	x22SubSamp
0.166552	x22SubSamp
0.166988	x22SubSamp
0.166362	x22SubSamp
0.166799	x22SubSamp
0.166903	x22SubSamp
0.166461	x22SubSamp
0.166965	x22SubSamp
0.168372	x22SubSamp
0.169017	x22SubSamp
0.166406	x22SubSamp
0.168782	x22SubSamp
0.167848	x22SubSamp
0.165875	x22SubSamp
0.167148	x22SubSamp
0.168256	x22SubSamp
0.167567	x22SubSamp
0.167631	x22SubSamp
0.167316	x22SubSamp
0.165564	x22SubSamp
0.167268	x22SubSamp
0.166378	x22SubSamp
0.16657	x22SubSamp
0.166606	x22SubSamp
0.167478	x22SubSamp
0.168959	x22SubSamp
0.168003	x22SubSamp
0.16697	x22SubSamp
0.16768	x22SubSamp
0.167911	x22SubSamp
0.167418	x22SubSamp
0.166811	x22SubSamp
0.166661	x22SubSamp
0.167429	x22SubSamp
0.168165	x22SubSamp
0.167282	x22SubSamp
0.16611	x22SubSamp
0.167997	x22SubSamp
0.167711	x22SubSamp
0.167717	x22SubSamp
0.165666	x22SubSamp
0.166349	x22SubSamp
0.166672	x22SubSamp
0.167356	x22SubSamp
0.167533	x22SubSamp
0.167237	x22SubSamp
0.167409	x22SubSamp
0.166349	x22SubSamp
0.167311	x22SubSamp
0.168525	x22SubSamp
0.167666	x22SubSamp
0.168439	x22SubSamp
0.166003	x22SubSamp
0.166311	x22SubSamp
0.16723	x22SubSamp
0.166235	x22SubSamp
0.168139	x22SubSamp
0.166953	x22SubSamp
0.168608	x22SubSamp
