TGCP_STT_Fst_estimates	Subsampling_group
0.177431	x06SubSamp
0.168013	x06SubSamp
0.17476	x06SubSamp
0.168871	x06SubSamp
0.170604	x06SubSamp
0.183054	x06SubSamp
0.184912	x06SubSamp
0.166704	x06SubSamp
0.161007	x06SubSamp
0.174808	x06SubSamp
0.178105	x06SubSamp
0.174855	x06SubSamp
0.166294	x06SubSamp
0.157289	x06SubSamp
0.156238	x06SubSamp
0.178224	x06SubSamp
0.160542	x06SubSamp
0.17318	x06SubSamp
0.165736	x06SubSamp
0.180466	x06SubSamp
0.163949	x06SubSamp
0.154354	x06SubSamp
0.16984	x06SubSamp
0.165609	x06SubSamp
0.173332	x06SubSamp
0.167086	x06SubSamp
0.165523	x06SubSamp
0.158407	x06SubSamp
0.179715	x06SubSamp
0.172578	x06SubSamp
0.164581	x06SubSamp
0.162583	x06SubSamp
0.173117	x06SubSamp
0.170689	x06SubSamp
0.168456	x06SubSamp
0.175157	x06SubSamp
0.169934	x08SubSamp
0.169646	x08SubSamp
0.167262	x08SubSamp
0.165691	x08SubSamp
0.174468	x08SubSamp
0.162845	x08SubSamp
0.163354	x08SubSamp
0.157558	x08SubSamp
0.177552	x08SubSamp
0.163309	x08SubSamp
0.17049	x08SubSamp
0.163642	x08SubSamp
0.165043	x08SubSamp
0.181053	x08SubSamp
0.158178	x08SubSamp
0.172829	x08SubSamp
0.173812	x08SubSamp
0.17153	x08SubSamp
0.167927	x08SubSamp
0.161287	x08SubSamp
0.164009	x08SubSamp
0.170326	x08SubSamp
0.175748	x08SubSamp
0.164909	x08SubSamp
0.169326	x08SubSamp
0.163245	x08SubSamp
0.171774	x08SubSamp
0.167283	x08SubSamp
0.172311	x08SubSamp
0.165083	x08SubSamp
0.167746	x08SubSamp
0.171165	x08SubSamp
0.170141	x08SubSamp
0.17088	x08SubSamp
0.169491	x08SubSamp
0.178123	x08SubSamp
0.168227	x08SubSamp
0.174777	x08SubSamp
0.165454	x08SubSamp
0.164396	x08SubSamp
0.163754	x08SubSamp
0.164218	x08SubSamp
0.161325	x08SubSamp
0.167852	x08SubSamp
0.162418	x08SubSamp
0.175221	x08SubSamp
0.169701	x08SubSamp
0.160319	x08SubSamp
0.168911	x08SubSamp
0.174313	x08SubSamp
0.172151	x08SubSamp
0.172056	x08SubSamp
0.178491	x08SubSamp
0.164432	x08SubSamp
0.175704	x08SubSamp
0.17157	x08SubSamp
0.171675	x08SubSamp
0.172321	x08SubSamp
0.1759	x08SubSamp
0.168118	x08SubSamp
0.166394	x08SubSamp
0.16828	x08SubSamp
0.165531	x08SubSamp
0.170141	x08SubSamp
0.169545	x08SubSamp
0.170929	x08SubSamp
0.171284	x08SubSamp
0.17853	x08SubSamp
0.163828	x08SubSamp
0.171921	x08SubSamp
0.177956	x08SubSamp
0.171311	x08SubSamp
0.164993	x08SubSamp
0.170812	x08SubSamp
0.170777	x08SubSamp
0.161634	x08SubSamp
0.166724	x08SubSamp
0.175636	x08SubSamp
0.16563	x08SubSamp
0.167285	x08SubSamp
0.180822	x08SubSamp
0.171058	x08SubSamp
0.16854	x08SubSamp
0.168154	x08SubSamp
0.165942	x08SubSamp
0.1659	x08SubSamp
0.168093	x08SubSamp
0.173307	x08SubSamp
0.162467	x08SubSamp
0.167535	x08SubSamp
0.162461	x08SubSamp
0.171747	x08SubSamp
0.166627	x08SubSamp
0.158556	x08SubSamp
0.168237	x08SubSamp
0.178036	x08SubSamp
0.172567	x08SubSamp
0.163686	x08SubSamp
0.174482	x08SubSamp
0.173456	x08SubSamp
0.172301	x10SubSamp
0.166858	x10SubSamp
0.169844	x10SubSamp
0.173321	x10SubSamp
0.175517	x10SubSamp
0.167615	x10SubSamp
0.166847	x10SubSamp
0.172948	x10SubSamp
0.174462	x10SubSamp
0.16957	x10SubSamp
0.169381	x10SubSamp
0.171129	x10SubSamp
0.165349	x10SubSamp
0.167338	x10SubSamp
0.165318	x10SubSamp
0.158749	x10SubSamp
0.172513	x10SubSamp
0.168139	x10SubSamp
0.167705	x10SubSamp
0.167329	x10SubSamp
0.174907	x10SubSamp
0.170508	x10SubSamp
0.167142	x10SubSamp
0.169674	x10SubSamp
0.176765	x10SubSamp
0.164094	x10SubSamp
0.165568	x10SubSamp
0.172353	x10SubSamp
0.168566	x10SubSamp
0.168499	x10SubSamp
0.16436	x10SubSamp
0.167495	x10SubSamp
0.168969	x10SubSamp
0.176003	x10SubSamp
0.161045	x10SubSamp
0.168497	x10SubSamp
0.165692	x10SubSamp
0.170775	x10SubSamp
0.164198	x10SubSamp
0.167741	x10SubSamp
0.165798	x10SubSamp
0.17268	x10SubSamp
0.173829	x10SubSamp
0.171254	x10SubSamp
0.168255	x10SubSamp
0.164641	x10SubSamp
0.174498	x10SubSamp
0.172554	x10SubSamp
0.175596	x10SubSamp
0.161887	x10SubSamp
0.166788	x10SubSamp
0.176266	x10SubSamp
0.172172	x10SubSamp
0.167803	x10SubSamp
0.164235	x10SubSamp
0.171053	x10SubSamp
0.166167	x10SubSamp
0.170725	x10SubSamp
0.165638	x10SubSamp
0.171283	x10SubSamp
0.168107	x10SubSamp
0.173084	x10SubSamp
0.168037	x10SubSamp
0.165506	x10SubSamp
0.174814	x10SubSamp
0.168031	x10SubSamp
0.164304	x10SubSamp
0.171705	x10SubSamp
0.173727	x10SubSamp
0.179876	x10SubSamp
0.16517	x10SubSamp
0.167816	x10SubSamp
0.174995	x10SubSamp
0.16967	x10SubSamp
0.163428	x10SubSamp
0.178101	x10SubSamp
0.167318	x10SubSamp
0.167121	x10SubSamp
0.17373	x10SubSamp
0.161197	x10SubSamp
0.169348	x10SubSamp
0.161591	x10SubSamp
0.174619	x10SubSamp
0.162791	x10SubSamp
0.172131	x10SubSamp
0.167959	x10SubSamp
0.166619	x10SubSamp
0.165618	x10SubSamp
0.16888	x10SubSamp
0.164885	x10SubSamp
0.166294	x10SubSamp
0.17155	x10SubSamp
0.171405	x10SubSamp
0.175806	x10SubSamp
0.173781	x10SubSamp
0.170736	x10SubSamp
0.172577	x10SubSamp
0.169488	x10SubSamp
0.172124	x10SubSamp
0.167259	x10SubSamp
0.164855	x12SubSamp
0.171327	x12SubSamp
0.173008	x12SubSamp
0.169859	x12SubSamp
0.169527	x12SubSamp
0.169254	x12SubSamp
0.167876	x12SubSamp
0.168843	x12SubSamp
0.175197	x12SubSamp
0.163128	x12SubSamp
0.166548	x12SubSamp
0.167818	x12SubSamp
0.169603	x12SubSamp
0.174553	x12SubSamp
0.168652	x12SubSamp
0.163204	x12SubSamp
0.172607	x12SubSamp
0.173514	x12SubSamp
0.167634	x12SubSamp
0.170749	x12SubSamp
0.170715	x12SubSamp
0.168458	x12SubSamp
0.167454	x12SubSamp
0.168002	x12SubSamp
0.167496	x12SubSamp
0.168195	x12SubSamp
0.168113	x12SubSamp
0.170428	x12SubSamp
0.159294	x12SubSamp
0.165269	x12SubSamp
0.166698	x12SubSamp
0.167985	x12SubSamp
0.163661	x12SubSamp
0.174245	x12SubSamp
0.164006	x12SubSamp
0.173781	x12SubSamp
0.169492	x12SubSamp
0.1729	x12SubSamp
0.165082	x12SubSamp
0.169297	x12SubSamp
0.16557	x12SubSamp
0.165343	x12SubSamp
0.169054	x12SubSamp
0.165895	x12SubSamp
0.168467	x12SubSamp
0.17235	x12SubSamp
0.16508	x12SubSamp
0.168631	x12SubSamp
0.169124	x12SubSamp
0.171261	x12SubSamp
0.164793	x12SubSamp
0.171988	x12SubSamp
0.17105	x12SubSamp
0.169313	x12SubSamp
0.171454	x12SubSamp
0.168651	x12SubSamp
0.165663	x12SubSamp
0.166225	x12SubSamp
0.178309	x12SubSamp
0.166055	x12SubSamp
0.163142	x12SubSamp
0.170089	x12SubSamp
0.169515	x12SubSamp
0.16193	x12SubSamp
0.164628	x12SubSamp
0.168669	x12SubSamp
0.173747	x12SubSamp
0.167857	x12SubSamp
0.165916	x12SubSamp
0.167687	x12SubSamp
0.163275	x12SubSamp
0.177508	x12SubSamp
0.166211	x12SubSamp
0.17265	x12SubSamp
0.171788	x12SubSamp
0.179294	x12SubSamp
0.17046	x12SubSamp
0.172655	x12SubSamp
0.173889	x12SubSamp
0.168144	x12SubSamp
0.163869	x12SubSamp
0.169962	x12SubSamp
0.165636	x12SubSamp
0.171957	x12SubSamp
0.17311	x12SubSamp
0.167576	x12SubSamp
0.172592	x12SubSamp
0.168991	x12SubSamp
0.174507	x12SubSamp
0.165099	x12SubSamp
0.172824	x12SubSamp
0.168896	x12SubSamp
0.165436	x12SubSamp
0.1686	x12SubSamp
0.166301	x12SubSamp
0.162275	x12SubSamp
0.164018	x12SubSamp
0.172657	x12SubSamp
0.170993	x12SubSamp
0.171148	x12SubSamp
0.168005	x14SubSamp
0.170192	x14SubSamp
0.166164	x14SubSamp
0.172329	x14SubSamp
0.165106	x14SubSamp
0.170937	x14SubSamp
0.167226	x14SubSamp
0.176452	x14SubSamp
0.165676	x14SubSamp
0.168978	x14SubSamp
0.165489	x14SubSamp
0.168065	x14SubSamp
0.167837	x14SubSamp
0.174467	x14SubSamp
0.17258	x14SubSamp
0.167761	x14SubSamp
0.168061	x14SubSamp
0.167536	x14SubSamp
0.167944	x14SubSamp
0.167133	x14SubSamp
0.163809	x14SubSamp
0.168081	x14SubSamp
0.167674	x14SubSamp
0.166385	x14SubSamp
0.168421	x14SubSamp
0.16902	x14SubSamp
0.168766	x14SubSamp
0.172105	x14SubSamp
0.171985	x14SubSamp
0.168891	x14SubSamp
0.16941	x14SubSamp
0.164757	x14SubSamp
0.169332	x14SubSamp
0.170431	x14SubSamp
0.171701	x14SubSamp
0.169077	x14SubSamp
0.166813	x14SubSamp
0.16713	x14SubSamp
0.171016	x14SubSamp
0.170588	x14SubSamp
0.172131	x14SubSamp
0.173303	x14SubSamp
0.16779	x14SubSamp
0.168581	x14SubSamp
0.167581	x14SubSamp
0.167516	x14SubSamp
0.160688	x14SubSamp
0.168117	x14SubSamp
0.167489	x14SubSamp
0.16307	x14SubSamp
0.172447	x14SubSamp
0.171068	x14SubSamp
0.167465	x14SubSamp
0.170485	x14SubSamp
0.172422	x14SubSamp
0.168143	x14SubSamp
0.166382	x14SubSamp
0.172366	x14SubSamp
0.166896	x14SubSamp
0.16866	x14SubSamp
0.168934	x14SubSamp
0.168215	x14SubSamp
0.169181	x14SubSamp
0.167472	x14SubSamp
0.16919	x14SubSamp
0.169096	x14SubSamp
0.167747	x14SubSamp
0.170517	x14SubSamp
0.169624	x14SubSamp
0.165268	x14SubSamp
0.171425	x14SubSamp
0.169381	x14SubSamp
0.169064	x14SubSamp
0.165812	x14SubSamp
0.173562	x14SubSamp
0.170767	x14SubSamp
0.165432	x14SubSamp
0.168941	x14SubSamp
0.167709	x14SubSamp
0.169814	x14SubSamp
0.170036	x14SubSamp
0.170742	x14SubSamp
0.168322	x14SubSamp
0.169391	x14SubSamp
0.167766	x14SubSamp
0.168777	x14SubSamp
0.169578	x14SubSamp
0.166399	x14SubSamp
0.1657	x14SubSamp
0.167149	x14SubSamp
0.16896	x14SubSamp
0.170975	x14SubSamp
0.163956	x14SubSamp
0.163856	x14SubSamp
0.167994	x14SubSamp
0.168821	x14SubSamp
0.172362	x14SubSamp
0.17018	x14SubSamp
0.166526	x14SubSamp
0.170821	x14SubSamp
0.167963	x16SubSamp
0.169708	x16SubSamp
0.170255	x16SubSamp
0.171287	x16SubSamp
0.167954	x16SubSamp
0.169409	x16SubSamp
0.168067	x16SubSamp
0.169787	x16SubSamp
0.167967	x16SubSamp
0.171505	x16SubSamp
0.170825	x16SubSamp
0.171628	x16SubSamp
0.173156	x16SubSamp
0.168383	x16SubSamp
0.172514	x16SubSamp
0.166917	x16SubSamp
0.171015	x16SubSamp
0.16846	x16SubSamp
0.166697	x16SubSamp
0.173481	x16SubSamp
0.172236	x16SubSamp
0.171271	x16SubSamp
0.168737	x16SubSamp
0.169005	x16SubSamp
0.166116	x16SubSamp
0.1727	x16SubSamp
0.171661	x16SubSamp
0.17212	x16SubSamp
0.171812	x16SubSamp
0.168326	x16SubSamp
0.170667	x16SubSamp
0.166785	x16SubSamp
0.163792	x16SubSamp
0.168505	x16SubSamp
0.167121	x16SubSamp
0.164992	x16SubSamp
0.172103	x16SubSamp
0.165368	x16SubSamp
0.167318	x16SubSamp
0.168932	x16SubSamp
0.171855	x16SubSamp
0.172696	x16SubSamp
0.168747	x16SubSamp
0.166261	x16SubSamp
0.169997	x16SubSamp
0.168582	x16SubSamp
0.172493	x16SubSamp
0.165474	x16SubSamp
0.168971	x16SubSamp
0.168878	x16SubSamp
0.170932	x16SubSamp
0.170315	x16SubSamp
0.171788	x16SubSamp
0.16835	x16SubSamp
0.171448	x16SubSamp
0.167245	x16SubSamp
0.165974	x16SubSamp
0.16771	x16SubSamp
0.166384	x16SubSamp
0.165246	x16SubSamp
0.16875	x16SubSamp
0.17061	x16SubSamp
0.17022	x16SubSamp
0.169067	x16SubSamp
0.171511	x16SubSamp
0.167411	x16SubSamp
0.165283	x16SubSamp
0.169776	x16SubSamp
0.168739	x16SubSamp
0.171232	x16SubSamp
0.171655	x16SubSamp
0.173588	x16SubSamp
0.169933	x16SubSamp
0.170961	x16SubSamp
0.168617	x16SubSamp
0.170206	x16SubSamp
0.166139	x16SubSamp
0.169544	x16SubSamp
0.171538	x16SubSamp
0.168984	x16SubSamp
0.170363	x16SubSamp
0.168881	x16SubSamp
0.173239	x16SubSamp
0.168714	x16SubSamp
0.168417	x16SubSamp
0.17427	x16SubSamp
0.167757	x16SubSamp
0.166954	x16SubSamp
0.171424	x16SubSamp
0.172368	x16SubSamp
0.169765	x16SubSamp
0.167256	x16SubSamp
0.165793	x16SubSamp
0.172167	x16SubSamp
0.168656	x16SubSamp
0.166259	x16SubSamp
0.167064	x16SubSamp
0.173068	x16SubSamp
0.171826	x16SubSamp
0.174496	x16SubSamp
0.168652	x18SubSamp
0.170754	x18SubSamp
0.168365	x18SubSamp
0.169162	x18SubSamp
0.172026	x18SubSamp
0.171923	x18SubSamp
0.168193	x18SubSamp
0.170667	x18SubSamp
0.169841	x18SubSamp
0.168174	x18SubSamp
0.170146	x18SubSamp
0.171395	x18SubSamp
0.171625	x18SubSamp
0.169452	x18SubSamp
0.174488	x18SubSamp
0.167764	x18SubSamp
0.171418	x18SubSamp
0.167292	x18SubSamp
0.168058	x18SubSamp
0.167862	x18SubSamp
0.170306	x18SubSamp
0.168154	x18SubSamp
0.170329	x18SubSamp
0.168779	x18SubSamp
0.170933	x18SubSamp
0.175489	x18SubSamp
0.169524	x18SubSamp
0.1707	x18SubSamp
0.16674	x18SubSamp
0.168669	x18SubSamp
0.17094	x18SubSamp
0.169811	x18SubSamp
0.169103	x18SubSamp
0.169628	x18SubSamp
0.166002	x18SubSamp
0.1693	x18SubSamp
0.168664	x18SubSamp
0.171455	x18SubSamp
0.170053	x18SubSamp
0.167736	x18SubSamp
0.170015	x18SubSamp
0.167027	x18SubSamp
0.168811	x18SubSamp
0.167725	x18SubSamp
0.16719	x18SubSamp
0.172879	x18SubSamp
0.169921	x18SubSamp
0.169049	x18SubSamp
0.167712	x18SubSamp
0.165498	x18SubSamp
0.167657	x18SubSamp
0.169395	x18SubSamp
0.168387	x18SubSamp
0.169605	x18SubSamp
0.168631	x18SubSamp
0.167692	x18SubSamp
0.168797	x18SubSamp
0.172073	x18SubSamp
0.17199	x18SubSamp
0.169158	x18SubSamp
0.167862	x18SubSamp
0.171306	x18SubSamp
0.16959	x18SubSamp
0.171221	x18SubSamp
0.171744	x18SubSamp
0.172666	x18SubSamp
0.169894	x18SubSamp
0.172095	x18SubSamp
0.167024	x18SubSamp
0.170112	x18SubSamp
0.169553	x18SubSamp
0.171714	x18SubSamp
0.171067	x18SubSamp
0.16697	x18SubSamp
0.167464	x18SubSamp
0.169206	x18SubSamp
0.167402	x18SubSamp
0.171288	x18SubSamp
0.170064	x18SubSamp
0.170787	x18SubSamp
0.169936	x18SubSamp
0.16958	x18SubSamp
0.17113	x18SubSamp
0.168828	x18SubSamp
0.171473	x18SubSamp
0.171829	x18SubSamp
0.170078	x18SubSamp
0.16652	x18SubSamp
0.170563	x18SubSamp
0.171617	x18SubSamp
0.171684	x18SubSamp
0.170287	x18SubSamp
0.169284	x18SubSamp
0.171999	x18SubSamp
0.166597	x18SubSamp
0.172411	x18SubSamp
0.16832	x18SubSamp
0.169088	x18SubSamp
0.165403	x18SubSamp
0.168615	x18SubSamp
0.167349	x20SubSamp
0.171346	x20SubSamp
0.170736	x20SubSamp
0.171164	x20SubSamp
0.168834	x20SubSamp
0.16991	x20SubSamp
0.16848	x20SubSamp
0.169531	x20SubSamp
0.170722	x20SubSamp
0.170759	x20SubSamp
0.169436	x20SubSamp
0.170485	x20SubSamp
0.168992	x20SubSamp
0.169764	x20SubSamp
0.168202	x20SubSamp
0.169307	x20SubSamp
0.172549	x20SubSamp
0.170902	x20SubSamp
0.169663	x20SubSamp
0.16847	x20SubSamp
0.168756	x20SubSamp
0.168593	x20SubSamp
0.171052	x20SubSamp
0.168676	x20SubSamp
0.168471	x20SubSamp
0.169193	x20SubSamp
0.170016	x20SubSamp
0.165633	x20SubSamp
0.169447	x20SubSamp
0.169633	x20SubSamp
0.168964	x20SubSamp
0.168231	x20SubSamp
0.169117	x20SubSamp
0.168712	x20SubSamp
0.169593	x20SubSamp
0.1701	x20SubSamp
0.168803	x20SubSamp
0.169362	x20SubSamp
0.169623	x20SubSamp
0.168651	x20SubSamp
0.169032	x20SubSamp
0.170026	x20SubSamp
0.16708	x20SubSamp
0.171334	x20SubSamp
0.169168	x20SubSamp
0.171552	x20SubSamp
0.169663	x20SubSamp
0.169693	x20SubSamp
0.168499	x20SubSamp
0.168429	x20SubSamp
0.169022	x20SubSamp
0.164251	x20SubSamp
0.170273	x20SubSamp
0.168839	x20SubSamp
0.168635	x20SubSamp
0.168168	x20SubSamp
0.168602	x20SubSamp
0.169281	x20SubSamp
0.167768	x20SubSamp
0.16822	x20SubSamp
0.168865	x20SubSamp
0.169562	x20SubSamp
0.170563	x20SubSamp
0.17041	x20SubSamp
0.167828	x20SubSamp
0.167835	x20SubSamp
0.171152	x20SubSamp
0.168965	x20SubSamp
0.171118	x20SubSamp
0.168025	x20SubSamp
0.169148	x20SubSamp
0.169901	x20SubSamp
0.17211	x20SubSamp
0.168652	x20SubSamp
0.168616	x20SubSamp
0.16932	x20SubSamp
0.170646	x20SubSamp
0.170637	x20SubSamp
0.16989	x20SubSamp
0.167467	x20SubSamp
0.17013	x20SubSamp
0.169368	x20SubSamp
0.167587	x20SubSamp
0.171233	x20SubSamp
0.167782	x20SubSamp
0.168088	x20SubSamp
0.170419	x20SubSamp
0.168348	x20SubSamp
0.168868	x20SubSamp
0.166931	x20SubSamp
0.166973	x20SubSamp
0.172017	x20SubSamp
0.168903	x20SubSamp
0.169181	x20SubSamp
0.17089	x20SubSamp
0.16943	x20SubSamp
0.167944	x20SubSamp
0.169418	x20SubSamp
0.169275	x20SubSamp
0.170527	x20SubSamp
0.170785	x22SubSamp
0.169667	x22SubSamp
0.167592	x22SubSamp
0.168812	x22SubSamp
0.169366	x22SubSamp
0.168909	x22SubSamp
0.169737	x22SubSamp
0.169322	x22SubSamp
0.169614	x22SubSamp
0.170329	x22SubSamp
0.170862	x22SubSamp
0.170369	x22SubSamp
0.168455	x22SubSamp
0.167934	x22SubSamp
0.169151	x22SubSamp
0.168846	x22SubSamp
0.168855	x22SubSamp
0.170347	x22SubSamp
0.169394	x22SubSamp
0.169952	x22SubSamp
0.170999	x22SubSamp
0.169566	x22SubSamp
0.171502	x22SubSamp
0.170952	x22SubSamp
0.169379	x22SubSamp
0.169125	x22SubSamp
0.170166	x22SubSamp
0.169129	x22SubSamp
0.168655	x22SubSamp
0.171606	x22SubSamp
0.170224	x22SubSamp
0.168694	x22SubSamp
0.170552	x22SubSamp
0.169643	x22SubSamp
0.171074	x22SubSamp
0.170006	x22SubSamp
0.171051	x22SubSamp
0.168288	x22SubSamp
0.168196	x22SubSamp
0.168962	x22SubSamp
0.16938	x22SubSamp
0.170277	x22SubSamp
0.167232	x22SubSamp
0.1686	x22SubSamp
0.167669	x22SubSamp
0.169912	x22SubSamp
0.170795	x22SubSamp
0.168167	x22SubSamp
0.170275	x22SubSamp
0.170602	x22SubSamp
0.170103	x22SubSamp
0.169335	x22SubSamp
0.169849	x22SubSamp
0.170292	x22SubSamp
0.169609	x22SubSamp
0.168795	x22SubSamp
0.169697	x22SubSamp
0.16996	x22SubSamp
0.16988	x22SubSamp
0.170572	x22SubSamp
0.169116	x22SubSamp
0.170603	x22SubSamp
0.16997	x22SubSamp
0.168525	x22SubSamp
0.169122	x22SubSamp
0.169393	x22SubSamp
0.169124	x22SubSamp
0.169087	x22SubSamp
0.168801	x22SubSamp
0.170672	x22SubSamp
0.170592	x22SubSamp
0.16997	x22SubSamp
0.169183	x22SubSamp
0.169628	x22SubSamp
0.169872	x22SubSamp
0.167535	x22SubSamp
0.16951	x22SubSamp
0.168764	x22SubSamp
0.169207	x22SubSamp
0.170055	x22SubSamp
0.169594	x22SubSamp
0.168972	x22SubSamp
0.167783	x22SubSamp
0.169747	x22SubSamp
0.169849	x22SubSamp
0.169003	x22SubSamp
0.169167	x22SubSamp
0.169381	x22SubSamp
0.16928	x22SubSamp
0.169177	x22SubSamp
0.170513	x22SubSamp
0.168981	x22SubSamp
0.170034	x22SubSamp
0.168751	x22SubSamp
0.168647	x22SubSamp
0.16857	x22SubSamp
0.169057	x22SubSamp
0.170575	x22SubSamp
0.16909	x22SubSamp
0.171703	x22SubSamp
