STT_MPO_Fst_estimates	Subsampling_group
0.0656	x10SubSamp
0.063003	x10SubSamp
0.061907	x10SubSamp
0.068769	x10SubSamp
0.060892	x10SubSamp
0.058924	x10SubSamp
0.065799	x10SubSamp
0.063436	x10SubSamp
0.069189	x10SubSamp
0.064575	x10SubSamp
0.06422	x10SubSamp
0.066166	x10SubSamp
0.061434	x10SubSamp
0.071714	x10SubSamp
0.064918	x10SubSamp
0.061769	x10SubSamp
0.066596	x10SubSamp
0.070318	x10SubSamp
0.061315	x10SubSamp
0.062121	x10SubSamp
0.066193	x10SubSamp
0.062016	x10SubSamp
0.066631	x10SubSamp
0.067857	x10SubSamp
0.066489	x10SubSamp
0.064151	x10SubSamp
0.05885	x10SubSamp
0.070186	x10SubSamp
0.067704	x10SubSamp
0.059232	x10SubSamp
0.057166	x10SubSamp
0.060222	x10SubSamp
0.068192	x10SubSamp
0.059335	x10SubSamp
0.067462	x10SubSamp
0.068303	x10SubSamp
0.066728	x10SubSamp
0.073306	x10SubSamp
0.063617	x10SubSamp
0.060512	x10SubSamp
0.066091	x10SubSamp
0.06262	x10SubSamp
0.067992	x10SubSamp
0.058416	x10SubSamp
0.066358	x10SubSamp
0.061025	x10SubSamp
0.062096	x10SubSamp
0.063886	x10SubSamp
0.069791	x10SubSamp
0.06193	x10SubSamp
0.067896	x10SubSamp
0.060642	x10SubSamp
0.063532	x10SubSamp
0.067307	x10SubSamp
0.063505	x10SubSamp
0.060955	x10SubSamp
0.065367	x10SubSamp
0.061931	x10SubSamp
0.065822	x10SubSamp
0.066849	x10SubSamp
0.066866	x10SubSamp
0.06152	x10SubSamp
0.063884	x10SubSamp
0.072332	x10SubSamp
0.063508	x10SubSamp
0.069214	x10SubSamp
0.054138	x10SubSamp
0.059783	x10SubSamp
0.064622	x10SubSamp
0.064694	x10SubSamp
0.063833	x10SubSamp
0.070661	x10SubSamp
0.058526	x10SubSamp
0.069981	x10SubSamp
0.064747	x10SubSamp
0.058214	x10SubSamp
0.069345	x10SubSamp
0.067253	x10SubSamp
0.059418	x10SubSamp
0.070551	x10SubSamp
0.064314	x10SubSamp
0.063832	x10SubSamp
0.063065	x10SubSamp
0.070248	x10SubSamp
0.06714	x10SubSamp
0.067411	x10SubSamp
0.063113	x10SubSamp
0.070838	x10SubSamp
0.061989	x10SubSamp
0.065238	x10SubSamp
0.062327	x12SubSamp
0.063238	x12SubSamp
0.064842	x12SubSamp
0.061992	x12SubSamp
0.05879	x12SubSamp
0.060556	x12SubSamp
0.068213	x12SubSamp
0.067621	x12SubSamp
0.062599	x12SubSamp
0.062031	x12SubSamp
0.068239	x12SubSamp
0.064894	x12SubSamp
0.073228	x12SubSamp
0.061066	x12SubSamp
0.065066	x12SubSamp
0.063203	x12SubSamp
0.065688	x12SubSamp
0.067011	x12SubSamp
0.0613	x12SubSamp
0.05821	x12SubSamp
0.066188	x12SubSamp
0.069291	x12SubSamp
0.066539	x12SubSamp
0.063683	x12SubSamp
0.067483	x12SubSamp
0.068676	x12SubSamp
0.065773	x12SubSamp
0.063705	x12SubSamp
0.065913	x12SubSamp
0.061616	x12SubSamp
0.066632	x12SubSamp
0.06254	x12SubSamp
0.065391	x12SubSamp
0.066802	x12SubSamp
0.061239	x12SubSamp
0.067789	x12SubSamp
0.064729	x12SubSamp
0.062134	x12SubSamp
0.06373	x12SubSamp
0.067059	x12SubSamp
0.065903	x12SubSamp
0.060572	x12SubSamp
0.060393	x12SubSamp
0.06157	x12SubSamp
0.062733	x12SubSamp
0.065615	x12SubSamp
0.066073	x12SubSamp
0.066608	x12SubSamp
0.064599	x12SubSamp
0.067865	x12SubSamp
0.066682	x12SubSamp
0.065676	x12SubSamp
0.063943	x12SubSamp
0.059853	x12SubSamp
0.066274	x12SubSamp
0.0659	x12SubSamp
0.064105	x12SubSamp
0.071759	x12SubSamp
0.068147	x12SubSamp
0.060374	x12SubSamp
0.063153	x12SubSamp
0.064409	x12SubSamp
0.064275	x12SubSamp
0.061249	x12SubSamp
0.06444	x12SubSamp
0.068649	x12SubSamp
0.067263	x12SubSamp
0.060988	x12SubSamp
0.060623	x12SubSamp
0.068519	x12SubSamp
0.063514	x12SubSamp
0.066496	x12SubSamp
0.0609	x12SubSamp
0.064519	x12SubSamp
0.067914	x12SubSamp
0.065885	x12SubSamp
0.060834	x12SubSamp
0.065986	x12SubSamp
0.0636	x12SubSamp
0.063326	x12SubSamp
0.067432	x12SubSamp
0.061242	x12SubSamp
0.06342	x12SubSamp
0.065882	x12SubSamp
0.068715	x12SubSamp
0.065824	x12SubSamp
0.065072	x12SubSamp
0.060567	x12SubSamp
0.064033	x12SubSamp
0.064925	x12SubSamp
0.064356	x12SubSamp
0.065804	x12SubSamp
0.064339	x12SubSamp
0.070694	x12SubSamp
0.067676	x12SubSamp
0.058567	x12SubSamp
0.060119	x12SubSamp
0.065431	x12SubSamp
0.070562	x12SubSamp
0.065993	x12SubSamp
0.065968	x14SubSamp
0.065106	x14SubSamp
0.066065	x14SubSamp
0.066046	x14SubSamp
0.060109	x14SubSamp
0.067948	x14SubSamp
0.066972	x14SubSamp
0.068415	x14SubSamp
0.068194	x14SubSamp
0.065931	x14SubSamp
0.063699	x14SubSamp
0.06633	x14SubSamp
0.062066	x14SubSamp
0.065183	x14SubSamp
0.065563	x14SubSamp
0.064065	x14SubSamp
0.06311	x14SubSamp
0.068146	x14SubSamp
0.065509	x14SubSamp
0.066341	x14SubSamp
0.067862	x14SubSamp
0.069013	x14SubSamp
0.061576	x14SubSamp
0.064243	x14SubSamp
0.067388	x14SubSamp
0.062413	x14SubSamp
0.064049	x14SubSamp
0.066636	x14SubSamp
0.063531	x14SubSamp
0.064132	x14SubSamp
0.065944	x14SubSamp
0.061879	x14SubSamp
0.063764	x14SubSamp
0.065716	x14SubSamp
0.066866	x14SubSamp
0.064621	x14SubSamp
0.068916	x14SubSamp
0.065578	x14SubSamp
0.06267	x14SubSamp
0.067049	x14SubSamp
0.066553	x14SubSamp
0.069473	x14SubSamp
0.063749	x14SubSamp
0.065077	x14SubSamp
0.064581	x14SubSamp
0.060479	x14SubSamp
0.060925	x14SubSamp
0.062374	x14SubSamp
0.066195	x14SubSamp
0.062793	x14SubSamp
0.062608	x14SubSamp
0.067232	x14SubSamp
0.0645	x14SubSamp
0.065386	x14SubSamp
0.067239	x14SubSamp
0.06647	x14SubSamp
0.067225	x14SubSamp
0.067152	x14SubSamp
0.061751	x14SubSamp
0.059632	x14SubSamp
0.064061	x14SubSamp
0.066554	x14SubSamp
0.065684	x14SubSamp
0.06511	x14SubSamp
0.062	x14SubSamp
0.064488	x14SubSamp
0.060836	x14SubSamp
0.060845	x14SubSamp
0.060648	x14SubSamp
0.061845	x14SubSamp
0.069955	x14SubSamp
0.063469	x14SubSamp
0.064427	x14SubSamp
0.062976	x14SubSamp
0.066106	x14SubSamp
0.063425	x14SubSamp
0.065249	x14SubSamp
0.060429	x14SubSamp
0.063838	x14SubSamp
0.068188	x14SubSamp
0.067371	x14SubSamp
0.069085	x14SubSamp
0.066546	x14SubSamp
0.062073	x14SubSamp
0.062332	x14SubSamp
0.061812	x14SubSamp
0.06704	x14SubSamp
0.063998	x14SubSamp
0.060748	x14SubSamp
0.065901	x14SubSamp
0.067908	x14SubSamp
0.064818	x14SubSamp
0.0659	x14SubSamp
0.067198	x14SubSamp
0.064424	x14SubSamp
0.060076	x14SubSamp
0.064671	x14SubSamp
0.065068	x14SubSamp
0.066171	x14SubSamp
0.063743	x14SubSamp
0.06305	x16SubSamp
0.066412	x16SubSamp
0.062003	x16SubSamp
0.063608	x16SubSamp
0.065627	x16SubSamp
0.065631	x16SubSamp
0.064516	x16SubSamp
0.063668	x16SubSamp
0.065705	x16SubSamp
0.068757	x16SubSamp
0.06388	x16SubSamp
0.066164	x16SubSamp
0.067136	x16SubSamp
0.065948	x16SubSamp
0.064116	x16SubSamp
0.060907	x16SubSamp
0.064162	x16SubSamp
0.063588	x16SubSamp
0.062384	x16SubSamp
0.069975	x16SubSamp
0.063398	x16SubSamp
0.062743	x16SubSamp
0.062602	x16SubSamp
0.063781	x16SubSamp
0.062529	x16SubSamp
0.067584	x16SubSamp
0.063598	x16SubSamp
0.063694	x16SubSamp
0.063214	x16SubSamp
0.064284	x16SubSamp
0.064294	x16SubSamp
0.06133	x16SubSamp
0.063947	x16SubSamp
0.065555	x16SubSamp
0.065096	x16SubSamp
0.062963	x16SubSamp
0.066578	x16SubSamp
0.065019	x16SubSamp
0.063186	x16SubSamp
0.062491	x16SubSamp
0.063671	x16SubSamp
0.064727	x16SubSamp
0.063248	x16SubSamp
0.06481	x16SubSamp
0.060611	x16SubSamp
0.064894	x16SubSamp
0.068033	x16SubSamp
0.065262	x16SubSamp
0.067307	x16SubSamp
0.061878	x16SubSamp
0.065904	x16SubSamp
0.063832	x16SubSamp
0.061419	x16SubSamp
0.063674	x16SubSamp
0.063696	x16SubSamp
0.063223	x16SubSamp
0.065231	x16SubSamp
0.064743	x16SubSamp
0.061724	x16SubSamp
0.062098	x16SubSamp
0.064019	x16SubSamp
0.067281	x16SubSamp
0.065093	x16SubSamp
0.062115	x16SubSamp
0.065117	x16SubSamp
0.065876	x16SubSamp
0.060635	x16SubSamp
0.06149	x16SubSamp
0.064694	x16SubSamp
0.063306	x16SubSamp
0.064864	x16SubSamp
0.06013	x16SubSamp
0.062433	x16SubSamp
0.070033	x16SubSamp
0.061583	x16SubSamp
0.064958	x16SubSamp
0.064527	x16SubSamp
0.066346	x16SubSamp
0.062671	x16SubSamp
0.06371	x16SubSamp
0.066591	x16SubSamp
0.063359	x16SubSamp
0.065022	x16SubSamp
0.065651	x16SubSamp
0.06421	x16SubSamp
0.067984	x16SubSamp
0.066785	x16SubSamp
0.064065	x16SubSamp
0.066506	x16SubSamp
0.066534	x16SubSamp
0.063249	x16SubSamp
0.061807	x16SubSamp
0.064927	x16SubSamp
0.066255	x16SubSamp
0.060317	x16SubSamp
0.062628	x16SubSamp
0.065651	x16SubSamp
0.069773	x16SubSamp
0.062403	x16SubSamp
0.063883	x16SubSamp
0.062502	x18SubSamp
0.062021	x18SubSamp
0.063522	x18SubSamp
0.065459	x18SubSamp
0.06413	x18SubSamp
0.067717	x18SubSamp
0.063097	x18SubSamp
0.062542	x18SubSamp
0.067169	x18SubSamp
0.066943	x18SubSamp
0.065557	x18SubSamp
0.065152	x18SubSamp
0.063863	x18SubSamp
0.064482	x18SubSamp
0.064806	x18SubSamp
0.063098	x18SubSamp
0.065343	x18SubSamp
0.064086	x18SubSamp
0.064114	x18SubSamp
0.063458	x18SubSamp
0.067784	x18SubSamp
0.062661	x18SubSamp
0.066034	x18SubSamp
0.065557	x18SubSamp
0.065942	x18SubSamp
0.065905	x18SubSamp
0.061359	x18SubSamp
0.065136	x18SubSamp
0.062161	x18SubSamp
0.067629	x18SubSamp
0.064065	x18SubSamp
0.066749	x18SubSamp
0.062902	x18SubSamp
0.066522	x18SubSamp
0.062948	x18SubSamp
0.062308	x18SubSamp
0.064762	x18SubSamp
0.066053	x18SubSamp
0.065425	x18SubSamp
0.066381	x18SubSamp
0.065894	x18SubSamp
0.064576	x18SubSamp
0.064676	x18SubSamp
0.064147	x18SubSamp
0.064946	x18SubSamp
0.067675	x18SubSamp
0.063211	x18SubSamp
0.063767	x18SubSamp
0.067098	x18SubSamp
0.065327	x18SubSamp
0.064617	x18SubSamp
0.065877	x18SubSamp
0.062499	x18SubSamp
0.063444	x18SubSamp
0.064764	x18SubSamp
0.066191	x18SubSamp
0.061521	x18SubSamp
0.065742	x18SubSamp
0.064771	x18SubSamp
0.064139	x18SubSamp
0.063124	x18SubSamp
0.063021	x18SubSamp
0.064941	x18SubSamp
0.065196	x18SubSamp
0.065205	x18SubSamp
0.063802	x18SubSamp
0.065682	x18SubSamp
0.065105	x18SubSamp
0.065818	x18SubSamp
0.063421	x18SubSamp
0.067121	x18SubSamp
0.06513	x18SubSamp
0.064475	x18SubSamp
0.065201	x18SubSamp
0.063932	x18SubSamp
0.065146	x18SubSamp
0.062926	x18SubSamp
0.065245	x18SubSamp
0.0614	x18SubSamp
0.066417	x18SubSamp
0.064647	x18SubSamp
0.065787	x18SubSamp
0.065764	x18SubSamp
0.063462	x18SubSamp
0.063231	x18SubSamp
0.061852	x18SubSamp
0.065223	x18SubSamp
0.060948	x18SubSamp
0.068956	x18SubSamp
0.063808	x18SubSamp
0.066046	x18SubSamp
0.068013	x18SubSamp
0.066643	x18SubSamp
0.063055	x18SubSamp
0.065801	x18SubSamp
0.064625	x18SubSamp
0.062804	x18SubSamp
0.062585	x18SubSamp
0.061993	x18SubSamp
0.066612	x18SubSamp
0.063835	x20SubSamp
0.064005	x20SubSamp
0.065598	x20SubSamp
0.063155	x20SubSamp
0.063642	x20SubSamp
0.063226	x20SubSamp
0.065718	x20SubSamp
0.06554	x20SubSamp
0.065124	x20SubSamp
0.066075	x20SubSamp
0.065883	x20SubSamp
0.064308	x20SubSamp
0.064294	x20SubSamp
0.061139	x20SubSamp
0.064454	x20SubSamp
0.066135	x20SubSamp
0.065345	x20SubSamp
0.063666	x20SubSamp
0.063324	x20SubSamp
0.064645	x20SubSamp
0.064996	x20SubSamp
0.063	x20SubSamp
0.06593	x20SubSamp
0.064818	x20SubSamp
0.06479	x20SubSamp
0.066592	x20SubSamp
0.064353	x20SubSamp
0.06209	x20SubSamp
0.066358	x20SubSamp
0.066106	x20SubSamp
0.062768	x20SubSamp
0.064665	x20SubSamp
0.063811	x20SubSamp
0.063804	x20SubSamp
0.068135	x20SubSamp
0.062779	x20SubSamp
0.065833	x20SubSamp
0.064529	x20SubSamp
0.064663	x20SubSamp
0.063895	x20SubSamp
0.064539	x20SubSamp
0.065423	x20SubSamp
0.066219	x20SubSamp
0.066283	x20SubSamp
0.064769	x20SubSamp
0.064249	x20SubSamp
0.065747	x20SubSamp
0.063223	x20SubSamp
0.066012	x20SubSamp
0.064358	x20SubSamp
0.066381	x20SubSamp
0.063324	x20SubSamp
0.064644	x20SubSamp
0.065544	x20SubSamp
0.062112	x20SubSamp
0.064913	x20SubSamp
0.06341	x20SubSamp
0.063007	x20SubSamp
0.064624	x20SubSamp
0.063648	x20SubSamp
0.065824	x20SubSamp
0.066675	x20SubSamp
0.063109	x20SubSamp
0.065167	x20SubSamp
0.063341	x20SubSamp
0.065312	x20SubSamp
0.06215	x20SubSamp
0.063504	x20SubSamp
0.066037	x20SubSamp
0.065628	x20SubSamp
0.064911	x20SubSamp
0.064258	x20SubSamp
0.066306	x20SubSamp
0.062757	x20SubSamp
0.06394	x20SubSamp
0.066091	x20SubSamp
0.067492	x20SubSamp
0.065378	x20SubSamp
0.063371	x20SubSamp
0.066096	x20SubSamp
0.063842	x20SubSamp
0.065034	x20SubSamp
0.063972	x20SubSamp
0.063896	x20SubSamp
0.065001	x20SubSamp
0.061622	x20SubSamp
0.063993	x20SubSamp
0.064668	x20SubSamp
0.063314	x20SubSamp
0.064917	x20SubSamp
0.066772	x20SubSamp
0.066888	x20SubSamp
0.063689	x20SubSamp
0.064546	x20SubSamp
0.062298	x20SubSamp
0.063646	x20SubSamp
0.063995	x20SubSamp
0.065034	x20SubSamp
0.064913	x20SubSamp
0.064699	x20SubSamp
0.063753	x22SubSamp
0.064333	x22SubSamp
0.064236	x22SubSamp
0.064576	x22SubSamp
0.06431	x22SubSamp
0.063992	x22SubSamp
0.064833	x22SubSamp
0.063692	x22SubSamp
0.064283	x22SubSamp
0.062533	x22SubSamp
0.06356	x22SubSamp
0.064659	x22SubSamp
0.064088	x22SubSamp
0.06486	x22SubSamp
0.063431	x22SubSamp
0.064527	x22SubSamp
0.06446	x22SubSamp
0.064571	x22SubSamp
0.064497	x22SubSamp
0.065024	x22SubSamp
0.064987	x22SubSamp
0.064026	x22SubSamp
0.065172	x22SubSamp
0.064252	x22SubSamp
0.063758	x22SubSamp
0.063199	x22SubSamp
0.064605	x22SubSamp
0.065078	x22SubSamp
0.065821	x22SubSamp
0.064431	x22SubSamp
0.065311	x22SubSamp
0.063862	x22SubSamp
0.064301	x22SubSamp
0.064817	x22SubSamp
0.063555	x22SubSamp
0.064303	x22SubSamp
0.065601	x22SubSamp
0.065927	x22SubSamp
0.062849	x22SubSamp
0.064114	x22SubSamp
0.065154	x22SubSamp
0.065113	x22SubSamp
0.063455	x22SubSamp
0.064125	x22SubSamp
0.06614	x22SubSamp
0.063523	x22SubSamp
0.06647	x22SubSamp
0.064884	x22SubSamp
0.065841	x22SubSamp
0.065346	x22SubSamp
0.065225	x22SubSamp
0.063348	x22SubSamp
0.064893	x22SubSamp
0.065455	x22SubSamp
0.06458	x22SubSamp
0.063422	x22SubSamp
0.065055	x22SubSamp
0.064196	x22SubSamp
0.063519	x22SubSamp
0.063689	x22SubSamp
0.064908	x22SubSamp
0.064986	x22SubSamp
0.065123	x22SubSamp
0.064425	x22SubSamp
0.064581	x22SubSamp
0.064935	x22SubSamp
0.063508	x22SubSamp
0.063381	x22SubSamp
0.064601	x22SubSamp
0.065216	x22SubSamp
0.064531	x22SubSamp
0.062706	x22SubSamp
0.063749	x22SubSamp
0.064623	x22SubSamp
0.065296	x22SubSamp
0.064475	x22SubSamp
0.065789	x22SubSamp
0.063878	x22SubSamp
0.063609	x22SubSamp
0.064254	x22SubSamp
0.064545	x22SubSamp
0.0637	x22SubSamp
0.064562	x22SubSamp
0.065632	x22SubSamp
0.0644	x22SubSamp
0.064476	x22SubSamp
0.064697	x22SubSamp
0.064641	x22SubSamp
0.064554	x22SubSamp
0.065114	x22SubSamp
0.064174	x22SubSamp
0.06512	x22SubSamp
0.064241	x22SubSamp
0.064415	x22SubSamp
0.063761	x22SubSamp
0.064329	x22SubSamp
0.065968	x22SubSamp
0.064551	x22SubSamp
0.065409	x22SubSamp
0.063644	x22SubSamp
