
___________________________________________________________________

GenoDive 3.01, 2021-11-24 11:02:23 +0000
Amova: Analysis of Molecular Variance (Excoffier et al., 1995)
File: TrkNbr-1524n1282n1083_AllPops_PGDSpider_p14_r080_LDnHWEx__genepopRF.txt
178 of 178 individuals included, 8480 of 8480 loci included
Used an Infinite Allele Model, so the reported statistics are equivalent to Fst
Significance was tested using 999 permutations


– AMOVA summary:

Source of Variation	Nested in	%var	F-stat	F-value	Std.Dev.	c.i.2.5%	c.i.97.5%	P-value	F'-value
Within Individual 	--	0.782	F_it	0.218	0.003	0.211	0.225	--	--
Among Individual 	Population 	0.063	F_is	0.074	0.004	0.065	0.083	0.001	--
Among Population 	--	0.155	F_st	0.155	0.002	0.151	0.159	0.001	0.159

Standard deviations of F-statistics were obtained through jackknifing over loci.
95% confidence intervals of F-statistics were obtained through bootstrapping over loci.


– AMOVA table per locus:

Locus	Source of Variation	Nested in	SSD	d.f.	MS	Var-comp	%Var	F-stat	F-value	P-value	F(max)	F'-value
3105_41	Within Individual   	--	1.000	142	0.007	0.007	0.504	F_it	0.496	--	--	--
	Among Individual   	Population 	2.550	127	0.020	0.007	0.466	F_is	0.481	0.103	--	--
	Among Population   	--	0.394	14	0.028	0.000	0.030	F_st	0.030	0.133	0.973	0.031

3181_44	Within Individual   	--	1.000	129	0.008	0.008	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	0.800	115	0.007	-0.000	-0.051	F_is	-0.054	1.000	--	--
	Among Population   	--	0.184	13	0.014	0.000	0.051	F_st	0.051	0.061	0.985	0.051

3186_16	Within Individual   	--	0.500	131	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	117	0.004	-0.000	-0.002	F_is	-0.002	1.000	--	--
	Among Population   	--	0.052	13	0.004	0.000	0.003	F_st	0.003	0.409	0.992	0.003

3352_5	Within Individual   	--	0.500	153	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.444	136	0.003	0.000	0.000	F_is	0.000	1.000	--	--
	Among Population   	--	0.052	16	0.003	-0.000	-0.000	F_st	-0.000	0.561	0.993	-0.000

3355_8	Within Individual   	--	1.500	127	0.012	0.012	1.006	F_it	-0.006	--	--	--
	Among Individual   	Population 	1.228	113	0.011	-0.000	-0.040	F_is	-0.042	1.000	--	--
	Among Population   	--	0.237	13	0.018	0.000	0.035	F_st	0.035	0.116	0.977	0.035

3742_7	Within Individual   	--	1.500	128	0.012	0.012	1.006	F_it	-0.006	--	--	--
	Among Individual   	Population 	1.250	114	0.011	-0.000	-0.032	F_is	-0.033	1.000	--	--
	Among Population   	--	0.215	13	0.017	0.000	0.026	F_st	0.026	0.154	0.977	0.027

3863_23	Within Individual   	--	1.000	161	0.006	0.006	0.500	F_it	0.500	--	--	--
	Among Individual   	Population 	2.111	144	0.015	0.004	0.340	F_is	0.405	0.308	--	--
	Among Population   	--	0.839	16	0.052	0.002	0.161	F_st	0.161	0.001	0.979	0.164

4322_10	Within Individual   	--	1.000	130	0.008	0.008	1.004	F_it	-0.004	--	--	--
	Among Individual   	Population 	0.894	116	0.008	0.000	0.001	F_is	0.001	1.000	--	--
	Among Population   	--	0.090	13	0.007	-0.000	-0.005	F_st	-0.005	0.665	0.985	-0.006

4415_65	Within Individual   	--	5.500	128	0.043	0.043	0.683	F_it	0.317	--	--	--
	Among Individual   	Population 	7.400	114	0.065	0.011	0.174	F_is	0.203	0.187	--	--
	Among Population   	--	2.971	13	0.229	0.009	0.142	F_st	0.142	0.003	0.892	0.160

4451_18	Within Individual   	--	1.500	134	0.011	0.011	0.998	F_it	0.002	--	--	--
	Among Individual   	Population 	0.938	119	0.008	-0.002	-0.148	F_is	-0.174	1.000	--	--
	Among Population   	--	0.529	14	0.038	0.002	0.149	F_st	0.149	0.001	0.981	0.152

4535_33	Within Individual   	--	2.500	127	0.020	0.020	0.726	F_it	0.274	--	--	--
	Among Individual   	Population 	3.275	113	0.029	0.005	0.172	F_is	0.191	0.414	--	--
	Among Population   	--	1.032	13	0.079	0.003	0.102	F_st	0.102	0.002	0.951	0.108

4611_34	Within Individual   	--	1.000	130	0.008	0.008	0.499	F_it	0.501	--	--	--
	Among Individual   	Population 	2.000	116	0.017	0.005	0.309	F_is	0.383	0.375	--	--
	Among Population   	--	0.938	13	0.072	0.003	0.192	F_st	0.192	0.001	0.975	0.197

4698_52	Within Individual   	--	5.000	155	0.032	0.032	0.851	F_it	0.149	--	--	--
	Among Individual   	Population 	3.250	139	0.023	-0.004	-0.117	F_is	-0.160	0.930	--	--
	Among Population   	--	3.285	15	0.219	0.010	0.266	F_st	0.266	0.001	0.944	0.282

4703_37	Within Individual   	--	0.500	133	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	119	0.004	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.003	F_st	-0.003	1.000	0.992	-0.003

4778_38	Within Individual   	--	1.500	124	0.012	0.012	1.006	F_it	-0.006	--	--	--
	Among Individual   	Population 	1.222	110	0.011	-0.000	-0.041	F_is	-0.042	1.000	--	--
	Among Population   	--	0.241	13	0.019	0.000	0.035	F_st	0.035	0.111	0.977	0.036

4880_66	Within Individual   	--	3.000	130	0.023	0.023	1.018	F_it	-0.018	--	--	--
	Among Individual   	Population 	2.465	116	0.021	-0.001	-0.040	F_is	-0.041	1.000	--	--
	Among Population   	--	0.396	13	0.030	0.000	0.022	F_st	0.022	0.121	0.956	0.023

4940_46	Within Individual   	--	1.500	152	0.010	0.010	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	1.050	136	0.008	-0.001	-0.109	F_is	-0.122	1.000	--	--
	Among Population   	--	0.420	15	0.028	0.001	0.108	F_st	0.108	0.002	0.982	0.110

4958_12	Within Individual   	--	0.500	136	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.429	121	0.004	-0.000	-0.018	F_is	-0.019	1.000	--	--
	Among Population   	--	0.068	14	0.005	0.000	0.019	F_st	0.019	0.044	0.993	0.020

5054_15	Within Individual   	--	1.500	132	0.011	0.011	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	1.050	118	0.009	-0.001	-0.109	F_is	-0.122	1.000	--	--
	Among Population   	--	0.416	13	0.032	0.001	0.108	F_st	0.108	0.007	0.980	0.110

5108_23	Within Individual   	--	0.500	158	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	141	0.003	-0.000	-0.002	F_is	-0.002	1.000	--	--
	Among Population   	--	0.052	16	0.003	0.000	0.002	F_st	0.002	0.435	0.994	0.002

5219_16	Within Individual   	--	0.500	135	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	120	0.004	-0.000	-0.008	F_is	-0.008	1.000	--	--
	Among Population   	--	0.059	14	0.004	0.000	0.008	F_st	0.008	0.310	0.993	0.008

5268_19	Within Individual   	--	2.500	129	0.019	0.019	0.726	F_it	0.274	--	--	--
	Among Individual   	Population 	3.325	115	0.029	0.005	0.179	F_is	0.197	0.366	--	--
	Among Population   	--	0.985	13	0.076	0.003	0.095	F_st	0.095	0.002	0.952	0.100

5433_15	Within Individual   	--	1.000	139	0.007	0.007	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.778	124	0.006	-0.000	-0.064	F_is	-0.068	1.000	--	--
	Among Population   	--	0.208	14	0.015	0.000	0.064	F_st	0.064	0.022	0.987	0.065

5627_25	Within Individual   	--	2.500	130	0.019	0.019	0.711	F_it	0.289	--	--	--
	Among Individual   	Population 	1.438	116	0.012	-0.003	-0.126	F_is	-0.216	0.911	--	--
	Among Population   	--	2.874	13	0.221	0.011	0.416	F_st	0.416	0.001	0.968	0.429

5682_65	Within Individual   	--	11.500	128	0.090	0.090	0.936	F_it	0.064	--	--	--
	Among Individual   	Population 	7.334	114	0.064	-0.013	-0.133	F_is	-0.165	0.958	--	--
	Among Population   	--	5.318	13	0.409	0.019	0.197	F_st	0.197	0.001	0.846	0.233

5747_79	Within Individual   	--	2.500	141	0.018	0.018	1.010	F_it	-0.010	--	--	--
	Among Individual   	Population 	1.837	126	0.015	-0.002	-0.090	F_is	-0.097	1.000	--	--
	Among Population   	--	0.574	14	0.041	0.001	0.080	F_st	0.080	0.007	0.968	0.083

5826_8	Within Individual   	--	1.500	126	0.012	0.012	1.006	F_it	-0.006	--	--	--
	Among Individual   	Population 	1.250	112	0.011	-0.000	-0.031	F_is	-0.032	1.000	--	--
	Among Population   	--	0.214	13	0.016	0.000	0.025	F_st	0.025	0.185	0.977	0.026

5839_35	Within Individual   	--	2.500	127	0.020	0.020	0.714	F_it	0.286	--	--	--
	Among Individual   	Population 	1.778	113	0.016	-0.002	-0.072	F_is	-0.112	0.870	--	--
	Among Population   	--	2.529	13	0.195	0.010	0.358	F_st	0.358	0.001	0.965	0.371

5938_82	Within Individual   	--	0.500	140	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	125	0.004	-0.000	-0.002	F_is	-0.002	1.000	--	--
	Among Population   	--	0.052	14	0.004	0.000	0.002	F_st	0.002	0.577	0.993	0.002

6043_12	Within Individual   	--	1.500	130	0.012	0.012	1.008	F_it	-0.008	--	--	--
	Among Individual   	Population 	1.332	116	0.011	-0.000	-0.002	F_is	-0.002	1.000	--	--
	Among Population   	--	0.133	13	0.010	-0.000	-0.006	F_st	-0.006	0.448	0.977	-0.006

6054_15	Within Individual   	--	1.000	145	0.007	0.007	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.800	130	0.006	-0.000	-0.054	F_is	-0.057	1.000	--	--
	Among Population   	--	0.186	14	0.013	0.000	0.054	F_st	0.054	0.070	0.987	0.054

6077_44	Within Individual   	--	0.500	128	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	114	0.004	-0.000	-0.009	F_is	-0.009	1.000	--	--
	Among Population   	--	0.059	13	0.005	0.000	0.009	F_st	0.009	0.168	0.992	0.009

6162_41	Within Individual   	--	2.000	162	0.012	0.012	0.505	F_it	0.495	--	--	--
	Among Individual   	Population 	4.000	145	0.028	0.008	0.312	F_is	0.382	0.183	--	--
	Among Population   	--	1.802	16	0.113	0.004	0.183	F_st	0.183	0.001	0.960	0.190

6336_32	Within Individual   	--	0.500	127	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	113	0.004	0.000	0.006	F_is	0.006	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.006	F_st	-0.006	1.000	0.992	-0.006

6338_27	Within Individual   	--	1.500	151	0.010	0.010	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	1.000	135	0.007	-0.001	-0.127	F_is	-0.146	1.000	--	--
	Among Population   	--	0.470	15	0.031	0.001	0.128	F_st	0.128	0.002	0.983	0.130

6398_73	Within Individual   	--	6.500	167	0.039	0.039	0.711	F_it	0.289	--	--	--
	Among Individual   	Population 	5.250	149	0.035	-0.002	-0.034	F_is	-0.050	0.782	--	--
	Among Population   	--	6.169	17	0.363	0.018	0.323	F_st	0.323	0.001	0.926	0.349

6422_18	Within Individual   	--	0.500	150	0.003	0.003	0.333	F_it	0.667	--	--	--
	Among Individual   	Population 	1.938	134	0.014	0.006	0.555	F_is	0.625	0.224	--	--
	Among Population   	--	0.533	15	0.036	0.001	0.112	F_st	0.112	0.010	0.982	0.114

6489_53	Within Individual   	--	0.500	126	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	112	0.004	-0.000	-0.008	F_is	-0.008	1.000	--	--
	Among Population   	--	0.059	13	0.005	0.000	0.008	F_st	0.008	0.196	0.992	0.008

6749_31	Within Individual   	--	0.500	134	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	120	0.004	-0.000	-0.004	F_is	-0.004	1.000	--	--
	Among Population   	--	0.052	13	0.004	0.000	0.004	F_st	0.004	0.237	0.993	0.004

6831_32	Within Individual   	--	6.000	137	0.044	0.044	0.891	F_it	0.109	--	--	--
	Among Individual   	Population 	4.732	122	0.039	-0.003	-0.051	F_is	-0.061	0.846	--	--
	Among Population   	--	2.553	14	0.182	0.008	0.160	F_st	0.160	0.001	0.917	0.174

6998_51	Within Individual   	--	1.000	129	0.008	0.008	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.750	115	0.007	-0.001	-0.079	F_is	-0.086	1.000	--	--
	Among Population   	--	0.234	13	0.018	0.001	0.081	F_st	0.081	0.013	0.986	0.082

7093_13	Within Individual   	--	1.000	151	0.007	0.007	1.004	F_it	-0.004	--	--	--
	Among Individual   	Population 	0.894	135	0.007	0.000	0.000	F_is	0.000	1.000	--	--
	Among Population   	--	0.092	15	0.006	-0.000	-0.004	F_st	-0.004	0.578	0.987	-0.004

7186_19	Within Individual   	--	1.000	141	0.007	0.007	0.500	F_it	0.500	--	--	--
	Among Individual   	Population 	2.200	126	0.017	0.005	0.366	F_is	0.422	0.324	--	--
	Among Population   	--	0.743	14	0.053	0.002	0.134	F_st	0.134	0.002	0.975	0.137

7284_20	Within Individual   	--	0.500	136	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	121	0.004	-0.000	-0.000	F_is	-0.000	1.000	--	--
	Among Population   	--	0.052	14	0.004	0.000	0.000	F_st	0.000	0.654	0.993	0.000

7322_9	Within Individual   	--	2.500	140	0.018	0.018	1.010	F_it	-0.010	--	--	--
	Among Individual   	Population 	1.828	125	0.015	-0.002	-0.091	F_is	-0.100	1.000	--	--
	Among Population   	--	0.583	14	0.042	0.001	0.082	F_st	0.082	0.003	0.968	0.085

7385_19	Within Individual   	--	0.500	127	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	113	0.004	-0.000	-0.000	F_is	-0.000	1.000	--	--
	Among Population   	--	0.052	13	0.004	0.000	0.001	F_st	0.001	0.513	0.992	0.001

7403_58	Within Individual   	--	2.000	140	0.014	0.014	1.006	F_it	-0.006	--	--	--
	Among Individual   	Population 	1.494	125	0.012	-0.001	-0.082	F_is	-0.089	1.000	--	--
	Among Population   	--	0.448	14	0.032	0.001	0.076	F_st	0.076	0.009	0.974	0.078

7460_64	Within Individual   	--	3.000	146	0.021	0.021	1.010	F_it	-0.010	--	--	--
	Among Individual   	Population 	1.889	130	0.015	-0.003	-0.148	F_is	-0.172	1.000	--	--
	Among Population   	--	0.988	15	0.066	0.003	0.138	F_st	0.138	0.001	0.965	0.143

7615_47	Within Individual   	--	0.500	169	0.003	0.003	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	151	0.003	-0.000	-0.010	F_is	-0.010	1.000	--	--
	Among Population   	--	0.060	17	0.004	0.000	0.011	F_st	0.011	0.139	0.994	0.011

7676_35	Within Individual   	--	2.000	160	0.013	0.013	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	1.111	143	0.008	-0.002	-0.189	F_is	-0.233	1.000	--	--
	Among Population   	--	0.839	16	0.052	0.002	0.190	F_st	0.190	0.001	0.980	0.194

7711_31	Within Individual   	--	0.500	145	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.438	129	0.003	-0.000	-0.008	F_is	-0.008	1.000	--	--
	Among Population   	--	0.059	15	0.004	0.000	0.009	F_st	0.009	0.322	0.993	0.009

7729_32	Within Individual   	--	0.500	140	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	125	0.004	-0.000	-0.010	F_is	-0.010	1.000	--	--
	Among Population   	--	0.059	14	0.004	0.000	0.011	F_st	0.011	0.167	0.993	0.011

7848_12	Within Individual   	--	0.500	132	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	118	0.004	-0.000	-0.003	F_is	-0.003	1.000	--	--
	Among Population   	--	0.052	13	0.004	0.000	0.003	F_st	0.003	0.503	0.992	0.003

7858_21	Within Individual   	--	0.500	162	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	145	0.003	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.047	16	0.003	-0.000	-0.003	F_st	-0.003	1.000	0.994	-0.003

7869_16	Within Individual   	--	0.500	160	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	143	0.003	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.047	16	0.003	-0.000	-0.004	F_st	-0.004	1.000	0.994	-0.004

7893_40	Within Individual   	--	1.000	130	0.008	0.008	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.750	115	0.007	-0.001	-0.076	F_is	-0.082	1.000	--	--
	Among Population   	--	0.235	14	0.017	0.001	0.077	F_st	0.077	0.034	0.986	0.078

7952_8	Within Individual   	--	2.500	147	0.017	0.017	1.010	F_it	-0.010	--	--	--
	Among Individual   	Population 	1.850	131	0.014	-0.001	-0.086	F_is	-0.093	1.000	--	--
	Among Population   	--	0.565	15	0.038	0.001	0.076	F_st	0.076	0.006	0.969	0.079

8019_31	Within Individual   	--	1.500	130	0.012	0.012	1.005	F_it	-0.005	--	--	--
	Among Individual   	Population 	1.200	116	0.010	-0.001	-0.052	F_is	-0.055	1.000	--	--
	Among Population   	--	0.265	13	0.020	0.001	0.047	F_st	0.047	0.030	0.978	0.048

8106_70	Within Individual   	--	0.500	133	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.429	119	0.004	-0.000	-0.021	F_is	-0.021	1.000	--	--
	Among Population   	--	0.068	13	0.005	0.000	0.022	F_st	0.022	0.051	0.993	0.023

8208_13	Within Individual   	--	1.000	130	0.008	0.008	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.778	116	0.007	-0.000	-0.064	F_is	-0.069	1.000	--	--
