Shell_Width_2	Population
18.91	Cluster2
17.65	Cluster2
18.96	Cluster2
19.17	Cluster2
17.33	Cluster2
19.58	Cluster2
18.07	Cluster2
18.97	Cluster2
18.73	Cluster2
18.27	Cluster2
18.49	Cluster2
17.78	Cluster2
17.58	Cluster2
17.31	Cluster2
17.47	Cluster2
18.87	Cluster2
16.54	Cluster2
17.32	Cluster2
15.72	Cluster2
17.8	Cluster2
17.77	Cluster2
18.65	Cluster2
18.18	Cluster2
17.97	Cluster2
16.38	Cluster2
17.83	Cluster2
17.66	Cluster2
17.48	Cluster2
15.87	Cluster2
17.19	Cluster2
18.21	Cluster2
18	Cluster2
17.89	Cluster2
15.4	Cluster2
16.17	Cluster2
18.35	Cluster2
15.77	Cluster2
17.25	Cluster2
17.1	Cluster2
18.37	Cluster2
17.68	Cluster2
16.36	Cluster2
18.51	Cluster2
17.47	Cluster2
17.13	Cluster2
20.49	Cluster2
19.84	Cluster2
18.85	Cluster2
19.25	Cluster2
19.66	Cluster2
17.95	Cluster2
18.09	Cluster2
17.14	Cluster2
17.68	Cluster2
17.53	Cluster2
17.95	Cluster2
17.38	Cluster2
20.05	Cluster2
18.54	Cluster2
19.09	Cluster2
17.63	Cluster2
16.68	Cluster2
17.45	Cluster2
18.21	Cluster3
16.86	Cluster3
18.2	Cluster3
16.56	Cluster3
17.6	Cluster3
18.23	Cluster3
18.89	Cluster3
17.72	Cluster3
16.6	Cluster3
15.99	Cluster3
17.93	Cluster3
19.32	Cluster3
19.26	Cluster3
19.88	Cluster3
20.06	Cluster3
19.5	Cluster3
21.25	Cluster3
20.31	Cluster3
17.88	Cluster3
18.88	Cluster3
19.52	Cluster3
18.6	Cluster3
18.52	Cluster4
17.66	Cluster4
17.42	Cluster4
18.08	Cluster4
17.26	Cluster4
17.77	Cluster4
18.25	Cluster4
17.83	Cluster4
16.12	Cluster4
19.03	Cluster4
17.8	Cluster4
17.79	Cluster4
18.56	Cluster4
16.78	Cluster4
18.7	Cluster4
19.63	Cluster4
18.54	Cluster4
20.14	Cluster4
19.7	Cluster4
18.03	Cluster4
18.45	Cluster4
18.1	Cluster4
17.77	Cluster4
15.76	Cluster4
16.77	Cluster4
17.37	Cluster4
16.45	Cluster4
17.85	Cluster4
18.03	Cluster4
17.72	Cluster4
17.9	Cluster4
18.46	Cluster4
17.52	Cluster4
17.65	Cluster4
19.2	Cluster4
18.75	Cluster4
18.63	Cluster4
18.66	Cluster4
19.17	Cluster4
20.46	Cluster4
17.37	Cluster4
18.2	Cluster4
18.5	Cluster4
18.74	Cluster4
20.78	Cluster4
20.45	Cluster4
19.65	Cluster4
19.9	Cluster4
18.01	Cluster4
18.6	Cluster4
17.61	Cluster4
18.36	Cluster4
19.38	Cluster4
19.38	Cluster4
18.07	Cluster4
17.77	Cluster4
16.49	Cluster4
18.16	Cluster4
