Shell_Height	Population
11.05	Cluster1
11.1	Cluster1
10.25	Cluster1
10.2	Cluster1
10.78	Cluster1
10.36	Cluster1
9.32	Cluster1
10.2	Cluster1
11.22	Cluster1
12.35	Cluster2
11.96	Cluster2
10.07	Cluster2
11.58	Cluster2
10.96	Cluster2
11.63	Cluster2
11.32	Cluster2
12.34	Cluster2
10.84	Cluster2
11.18	Cluster2
12.48	Cluster2
12.24	Cluster2
12.94	Cluster2
12.53	Cluster2
14.02	Cluster2
12.78	Cluster2
11.68	Cluster2
11.34	Cluster2
11.3	Cluster2
11.68	Cluster2
11.57	Cluster2
12.48	Cluster2
11.3	Cluster2
12.05	Cluster2
13.67	Cluster2
11.87	Cluster2
12.37	Cluster2
13.15	Cluster2
13.78	Cluster2
12.32	Cluster2
11.76	Cluster2
12.23	Cluster2
11.69	Cluster2
10.96	Cluster2
11.63	Cluster2
11.85	Cluster2
12.29	Cluster2
12.36	Cluster2
12.09	Cluster2
12.46	Cluster2
12.27	Cluster2
11.83	Cluster2
12.83	Cluster2
11.13	Cluster2
12.35	Cluster2
12.19	Cluster2
10.17	Cluster2
11.9	Cluster2
11	Cluster2
12.28	Cluster2
12.31	Cluster2
11.05	Cluster2
11.99	Cluster2
10.71	Cluster2
10.79	Cluster2
11.64	Cluster2
11.08	Cluster2
11.98	Cluster2
10.97	Cluster2
11.09	Cluster2
9.71	Cluster2
10.13	Cluster2
11.97	Cluster2
11.67	Cluster2
10.17	Cluster2
10.18	Cluster2
9.33	Cluster2
10	Cluster2
10.28	Cluster2
10.27	Cluster2
9.7	Cluster2
10.06	Cluster2
9.93	Cluster2
10.98	Cluster2
10.43	Cluster2
9.9	Cluster2
9.61	Cluster2
10.32	Cluster2
9.75	Cluster2
10.37	Cluster2
10.43	Cluster2
9.92	Cluster2
9.78	Cluster2
9.72	Cluster2
10.06	Cluster2
9.62	Cluster2
9.65	Cluster2
12.45	Cluster2
11.3	Cluster2
11.57	Cluster2
12.56	Cluster2
12.69	Cluster2
10.8	Cluster2
10.97	Cluster2
10.38	Cluster2
11.43	Cluster2
10.17	Cluster2
10.98	Cluster2
10.96	Cluster2
12.2	Cluster2
11.05	Cluster2
11.92	Cluster2
11.19	Cluster2
10.47	Cluster2
11.15	Cluster2
11.14	Cluster3
10.18	Cluster3
10.89	Cluster3
9.55	Cluster3
10.32	Cluster3
11.49	Cluster3
10.88	Cluster3
10.36	Cluster3
9.72	Cluster3
9.19	Cluster3
11.37	Cluster3
11.3	Cluster3
11.1	Cluster3
12.59	Cluster3
11.58	Cluster3
11.57	Cluster3
12.59	Cluster3
11.84	Cluster3
11.29	Cluster3
11.41	Cluster3
11.49	Cluster3
10.68	Cluster3
11.76	Cluster4
11.75	Cluster4
11.13	Cluster4
10.95	Cluster4
10.7	Cluster4
11.26	Cluster4
11.65	Cluster4
11.14	Cluster4
10.24	Cluster4
11.67	Cluster4
11.12	Cluster4
10.36	Cluster4
12.05	Cluster4
10.69	Cluster4
12.01	Cluster4
11.36	Cluster4
12.78	Cluster4
12.36	Cluster4
11.24	Cluster4
12.22	Cluster4
12.19	Cluster4
11.04	Cluster4
9.97	Cluster4
10.4	Cluster4
11.81	Cluster4
10.24	Cluster4
10.68	Cluster4
10.84	Cluster4
10.57	Cluster4
12.4	Cluster4
11.28	Cluster4
10.3	Cluster4
10.65	Cluster4
11.82	Cluster4
11.9	Cluster4
11.62	Cluster4
12.52	Cluster4
11.91	Cluster4
12.44	Cluster4
10.64	Cluster4
11.39	Cluster4
11.77	Cluster4
12.36	Cluster4
12.85	Cluster4
12.04	Cluster4
12.01	Cluster4
12.06	Cluster4
11.78	Cluster4
12.48	Cluster4
10.75	Cluster4
11.48	Cluster4
11.54	Cluster4
12.18	Cluster4
11.28	Cluster4
10.64	Cluster4
10.44	Cluster4
10.57	Cluster4
