TGCP_Ho_estimates	Subsampling_group
0.149	Ho_04SubSamp
0.159	Ho_04SubSamp
0.14	Ho_04SubSamp
0.148	Ho_04SubSamp
0.153	Ho_04SubSamp
0.154	Ho_04SubSamp
0.161	Ho_04SubSamp
0.16	Ho_04SubSamp
0.158	Ho_04SubSamp
0.149	Ho_04SubSamp
0.151	Ho_04SubSamp
0.16	Ho_04SubSamp
0.152	Ho_04SubSamp
0.148	Ho_04SubSamp
0.156	Ho_04SubSamp
0.155	Ho_04SubSamp
0.162	Ho_04SubSamp
0.166	Ho_04SubSamp
0.148	Ho_04SubSamp
0.153	Ho_04SubSamp
0.156	Ho_04SubSamp
0.152	Ho_04SubSamp
0.162	Ho_04SubSamp
0.151	Ho_04SubSamp
0.159	Ho_04SubSamp
0.155	Ho_04SubSamp
0.155	Ho_04SubSamp
0.149	Ho_04SubSamp
0.147	Ho_04SubSamp
0.159	Ho_04SubSamp
0.153	Ho_04SubSamp
0.151	Ho_04SubSamp
0.146	Ho_04SubSamp
0.158	Ho_04SubSamp
0.16	Ho_04SubSamp
0.162	Ho_04SubSamp
0.155	Ho_04SubSamp
0.156	Ho_04SubSamp
0.155	Ho_04SubSamp
0.148	Ho_04SubSamp
0.149	Ho_04SubSamp
0.158	Ho_04SubSamp
0.171	Ho_04SubSamp
0.153	Ho_04SubSamp
0.162	Ho_04SubSamp
0.15	Ho_04SubSamp
0.145	Ho_04SubSamp
0.166	Ho_04SubSamp
0.148	Ho_04SubSamp
0.159	Ho_04SubSamp
0.16	Ho_04SubSamp
0.152	Ho_04SubSamp
0.155	Ho_04SubSamp
0.153	Ho_04SubSamp
0.146	Ho_04SubSamp
0.156	Ho_04SubSamp
0.161	Ho_04SubSamp
0.151	Ho_04SubSamp
0.153	Ho_04SubSamp
0.159	Ho_04SubSamp
0.152	Ho_04SubSamp
0.168	Ho_04SubSamp
0.156	Ho_04SubSamp
0.159	Ho_04SubSamp
0.16	Ho_04SubSamp
0.141	Ho_04SubSamp
0.167	Ho_04SubSamp
0.152	Ho_04SubSamp
0.163	Ho_04SubSamp
0.147	Ho_04SubSamp
0.15	Ho_04SubSamp
0.145	Ho_04SubSamp
0.15	Ho_04SubSamp
0.154	Ho_04SubSamp
0.158	Ho_04SubSamp
0.155	Ho_04SubSamp
0.159	Ho_04SubSamp
0.148	Ho_04SubSamp
0.151	Ho_04SubSamp
0.144	Ho_04SubSamp
0.154	Ho_04SubSamp
0.154	Ho_04SubSamp
0.164	Ho_04SubSamp
0.151	Ho_06SubSamp
0.154	Ho_06SubSamp
0.145	Ho_06SubSamp
0.161	Ho_06SubSamp
0.152	Ho_06SubSamp
0.159	Ho_06SubSamp
0.15	Ho_06SubSamp
0.152	Ho_06SubSamp
0.152	Ho_06SubSamp
0.16	Ho_06SubSamp
0.155	Ho_06SubSamp
0.148	Ho_06SubSamp
0.164	Ho_06SubSamp
0.151	Ho_06SubSamp
0.148	Ho_06SubSamp
0.16	Ho_06SubSamp
0.155	Ho_06SubSamp
0.154	Ho_06SubSamp
0.157	Ho_06SubSamp
0.156	Ho_06SubSamp
0.148	Ho_06SubSamp
0.162	Ho_06SubSamp
0.152	Ho_06SubSamp
0.162	Ho_06SubSamp
0.15	Ho_06SubSamp
0.15	Ho_06SubSamp
0.152	Ho_06SubSamp
0.163	Ho_06SubSamp
0.161	Ho_06SubSamp
0.147	Ho_06SubSamp
0.147	Ho_06SubSamp
0.155	Ho_06SubSamp
0.154	Ho_06SubSamp
0.15	Ho_06SubSamp
0.156	Ho_06SubSamp
0.165	Ho_06SubSamp
0.154	Ho_06SubSamp
0.155	Ho_06SubSamp
0.153	Ho_06SubSamp
0.159	Ho_06SubSamp
0.153	Ho_06SubSamp
0.154	Ho_06SubSamp
0.156	Ho_06SubSamp
0.158	Ho_06SubSamp
0.155	Ho_06SubSamp
0.156	Ho_06SubSamp
0.159	Ho_06SubSamp
0.167	Ho_06SubSamp
0.157	Ho_06SubSamp
0.149	Ho_06SubSamp
0.159	Ho_06SubSamp
0.144	Ho_06SubSamp
0.155	Ho_06SubSamp
0.151	Ho_06SubSamp
0.162	Ho_06SubSamp
0.161	Ho_06SubSamp
0.156	Ho_06SubSamp
0.15	Ho_06SubSamp
0.154	Ho_06SubSamp
0.149	Ho_06SubSamp
0.158	Ho_06SubSamp
0.158	Ho_06SubSamp
0.147	Ho_06SubSamp
0.147	Ho_06SubSamp
0.15	Ho_06SubSamp
0.153	Ho_06SubSamp
0.156	Ho_06SubSamp
0.147	Ho_06SubSamp
0.152	Ho_06SubSamp
0.148	Ho_06SubSamp
0.149	Ho_06SubSamp
0.157	Ho_06SubSamp
0.152	Ho_06SubSamp
0.157	Ho_06SubSamp
0.155	Ho_06SubSamp
0.143	Ho_06SubSamp
0.149	Ho_06SubSamp
0.152	Ho_06SubSamp
0.157	Ho_06SubSamp
0.157	Ho_06SubSamp
0.156	Ho_06SubSamp
0.155	Ho_06SubSamp
0.148	Ho_06SubSamp
0.154	Ho_06SubSamp
0.165	Ho_06SubSamp
0.154	Ho_06SubSamp
0.15	Ho_06SubSamp
0.157	Ho_06SubSamp
0.146	Ho_06SubSamp
0.159	Ho_06SubSamp
0.159	Ho_06SubSamp
0.154	Ho_06SubSamp
0.153	Ho_06SubSamp
0.15	Ho_06SubSamp
0.146	Ho_06SubSamp
0.152	Ho_06SubSamp
0.145	Ho_06SubSamp
0.15	Ho_06SubSamp
0.16	Ho_06SubSamp
0.165	Ho_06SubSamp
0.155	Ho_08SubSamp
0.153	Ho_08SubSamp
0.164	Ho_08SubSamp
0.166	Ho_08SubSamp
0.158	Ho_08SubSamp
0.154	Ho_08SubSamp
0.149	Ho_08SubSamp
0.156	Ho_08SubSamp
0.156	Ho_08SubSamp
0.149	Ho_08SubSamp
0.153	Ho_08SubSamp
0.152	Ho_08SubSamp
0.156	Ho_08SubSamp
0.156	Ho_08SubSamp
0.152	Ho_08SubSamp
0.155	Ho_08SubSamp
0.149	Ho_08SubSamp
0.156	Ho_08SubSamp
0.147	Ho_08SubSamp
0.165	Ho_08SubSamp
0.156	Ho_08SubSamp
0.148	Ho_08SubSamp
0.148	Ho_08SubSamp
0.151	Ho_08SubSamp
0.154	Ho_08SubSamp
0.16	Ho_08SubSamp
0.152	Ho_08SubSamp
0.161	Ho_08SubSamp
0.158	Ho_08SubSamp
0.158	Ho_08SubSamp
0.158	Ho_08SubSamp
0.155	Ho_08SubSamp
0.148	Ho_08SubSamp
0.162	Ho_08SubSamp
0.156	Ho_08SubSamp
0.153	Ho_08SubSamp
0.151	Ho_08SubSamp
0.152	Ho_08SubSamp
0.161	Ho_08SubSamp
0.158	Ho_08SubSamp
0.157	Ho_08SubSamp
0.152	Ho_08SubSamp
0.154	Ho_08SubSamp
0.148	Ho_08SubSamp
0.152	Ho_08SubSamp
0.156	Ho_08SubSamp
0.163	Ho_08SubSamp
0.153	Ho_08SubSamp
0.152	Ho_08SubSamp
0.154	Ho_08SubSamp
0.151	Ho_08SubSamp
0.149	Ho_08SubSamp
0.151	Ho_08SubSamp
0.161	Ho_08SubSamp
0.163	Ho_08SubSamp
0.148	Ho_08SubSamp
0.155	Ho_08SubSamp
0.159	Ho_08SubSamp
0.151	Ho_08SubSamp
0.153	Ho_08SubSamp
0.157	Ho_08SubSamp
0.157	Ho_08SubSamp
0.152	Ho_08SubSamp
0.154	Ho_08SubSamp
0.155	Ho_08SubSamp
0.149	Ho_08SubSamp
0.159	Ho_08SubSamp
0.158	Ho_08SubSamp
0.152	Ho_08SubSamp
0.155	Ho_08SubSamp
0.159	Ho_08SubSamp
0.152	Ho_08SubSamp
0.154	Ho_08SubSamp
0.149	Ho_08SubSamp
0.157	Ho_08SubSamp
0.154	Ho_08SubSamp
0.16	Ho_08SubSamp
0.146	Ho_08SubSamp
0.15	Ho_08SubSamp
0.159	Ho_08SubSamp
0.15	Ho_08SubSamp
0.153	Ho_08SubSamp
0.155	Ho_08SubSamp
0.156	Ho_08SubSamp
0.161	Ho_08SubSamp
0.158	Ho_08SubSamp
0.153	Ho_08SubSamp
0.149	Ho_08SubSamp
0.153	Ho_08SubSamp
0.161	Ho_08SubSamp
0.16	Ho_08SubSamp
0.156	Ho_08SubSamp
0.151	Ho_08SubSamp
0.164	Ho_08SubSamp
0.153	Ho_08SubSamp
0.152	Ho_08SubSamp
0.158	Ho_08SubSamp
0.157	Ho_08SubSamp
0.161	Ho_08SubSamp
0.154	Ho_08SubSamp
0.159	Ho_10SubSamp
0.16	Ho_10SubSamp
0.149	Ho_10SubSamp
0.15	Ho_10SubSamp
0.157	Ho_10SubSamp
0.151	Ho_10SubSamp
0.158	Ho_10SubSamp
0.155	Ho_10SubSamp
0.154	Ho_10SubSamp
0.153	Ho_10SubSamp
0.156	Ho_10SubSamp
0.148	Ho_10SubSamp
0.152	Ho_10SubSamp
0.153	Ho_10SubSamp
0.151	Ho_10SubSamp
0.15	Ho_10SubSamp
0.157	Ho_10SubSamp
0.147	Ho_10SubSamp
0.153	Ho_10SubSamp
0.152	Ho_10SubSamp
0.151	Ho_10SubSamp
0.16	Ho_10SubSamp
0.154	Ho_10SubSamp
0.15	Ho_10SubSamp
0.154	Ho_10SubSamp
0.155	Ho_10SubSamp
0.151	Ho_10SubSamp
0.161	Ho_10SubSamp
0.155	Ho_10SubSamp
0.147	Ho_10SubSamp
0.158	Ho_10SubSamp
0.154	Ho_10SubSamp
0.153	Ho_10SubSamp
0.155	Ho_10SubSamp
0.159	Ho_10SubSamp
0.162	Ho_10SubSamp
0.152	Ho_10SubSamp
0.152	Ho_10SubSamp
0.161	Ho_10SubSamp
0.151	Ho_10SubSamp
0.15	Ho_10SubSamp
0.156	Ho_10SubSamp
0.151	Ho_10SubSamp
0.151	Ho_10SubSamp
0.154	Ho_10SubSamp
0.164	Ho_10SubSamp
0.156	Ho_10SubSamp
0.149	Ho_10SubSamp
0.144	Ho_10SubSamp
0.155	Ho_10SubSamp
0.156	Ho_10SubSamp
0.153	Ho_10SubSamp
0.155	Ho_10SubSamp
0.148	Ho_10SubSamp
0.153	Ho_10SubSamp
0.151	Ho_10SubSamp
0.162	Ho_10SubSamp
0.154	Ho_10SubSamp
0.161	Ho_10SubSamp
0.148	Ho_10SubSamp
0.154	Ho_10SubSamp
0.154	Ho_10SubSamp
0.156	Ho_10SubSamp
0.157	Ho_10SubSamp
0.157	Ho_10SubSamp
0.154	Ho_10SubSamp
0.154	Ho_10SubSamp
0.157	Ho_10SubSamp
0.148	Ho_10SubSamp
0.152	Ho_10SubSamp
0.157	Ho_10SubSamp
0.154	Ho_10SubSamp
0.155	Ho_10SubSamp
0.154	Ho_10SubSamp
0.154	Ho_10SubSamp
0.155	Ho_10SubSamp
0.152	Ho_10SubSamp
0.154	Ho_10SubSamp
0.156	Ho_10SubSamp
0.151	Ho_10SubSamp
0.153	Ho_10SubSamp
0.155	Ho_10SubSamp
0.153	Ho_10SubSamp
0.156	Ho_10SubSamp
0.153	Ho_10SubSamp
0.149	Ho_10SubSamp
0.159	Ho_10SubSamp
0.152	Ho_10SubSamp
0.146	Ho_10SubSamp
0.149	Ho_10SubSamp
0.148	Ho_10SubSamp
0.155	Ho_10SubSamp
0.156	Ho_10SubSamp
0.158	Ho_10SubSamp
0.151	Ho_10SubSamp
0.153	Ho_10SubSamp
0.152	Ho_10SubSamp
0.154	Ho_10SubSamp
0.154	Ho_10SubSamp
0.156	Ho_10SubSamp
0.151	Ho_12SubSamp
0.149	Ho_12SubSamp
0.15	Ho_12SubSamp
0.153	Ho_12SubSamp
0.155	Ho_12SubSamp
0.149	Ho_12SubSamp
0.154	Ho_12SubSamp
0.157	Ho_12SubSamp
0.151	Ho_12SubSamp
0.159	Ho_12SubSamp
0.149	Ho_12SubSamp
0.158	Ho_12SubSamp
0.159	Ho_12SubSamp
0.152	Ho_12SubSamp
0.15	Ho_12SubSamp
0.16	Ho_12SubSamp
0.156	Ho_12SubSamp
0.154	Ho_12SubSamp
0.155	Ho_12SubSamp
0.156	Ho_12SubSamp
0.154	Ho_12SubSamp
0.152	Ho_12SubSamp
0.155	Ho_12SubSamp
0.155	Ho_12SubSamp
0.155	Ho_12SubSamp
0.158	Ho_12SubSamp
0.153	Ho_12SubSamp
0.153	Ho_12SubSamp
0.156	Ho_12SubSamp
0.156	Ho_12SubSamp
0.153	Ho_12SubSamp
0.157	Ho_12SubSamp
0.154	Ho_12SubSamp
0.152	Ho_12SubSamp
0.152	Ho_12SubSamp
0.157	Ho_12SubSamp
0.153	Ho_12SubSamp
0.153	Ho_12SubSamp
0.155	Ho_12SubSamp
0.154	Ho_12SubSamp
0.155	Ho_12SubSamp
0.158	Ho_12SubSamp
0.15	Ho_12SubSamp
0.154	Ho_12SubSamp
0.152	Ho_12SubSamp
0.157	Ho_12SubSamp
0.152	Ho_12SubSamp
0.152	Ho_12SubSamp
0.158	Ho_12SubSamp
0.155	Ho_12SubSamp
0.153	Ho_12SubSamp
0.153	Ho_12SubSamp
0.155	Ho_12SubSamp
0.156	Ho_12SubSamp
0.157	Ho_12SubSamp
0.157	Ho_12SubSamp
0.153	Ho_12SubSamp
0.151	Ho_12SubSamp
0.152	Ho_12SubSamp
0.157	Ho_12SubSamp
0.156	Ho_12SubSamp
0.154	Ho_12SubSamp
0.154	Ho_12SubSamp
0.152	Ho_12SubSamp
0.154	Ho_12SubSamp
0.156	Ho_12SubSamp
0.155	Ho_12SubSamp
0.148	Ho_12SubSamp
0.152	Ho_12SubSamp
0.156	Ho_12SubSamp
0.152	Ho_12SubSamp
0.157	Ho_12SubSamp
0.156	Ho_12SubSamp
0.151	Ho_12SubSamp
0.153	Ho_12SubSamp
0.149	Ho_12SubSamp
0.151	Ho_12SubSamp
0.156	Ho_12SubSamp
0.153	Ho_12SubSamp
0.152	Ho_12SubSamp
0.155	Ho_12SubSamp
0.154	Ho_12SubSamp
0.155	Ho_12SubSamp
0.153	Ho_12SubSamp
0.156	Ho_12SubSamp
0.153	Ho_12SubSamp
0.159	Ho_12SubSamp
0.157	Ho_12SubSamp
0.153	Ho_12SubSamp
0.149	Ho_12SubSamp
0.154	Ho_12SubSamp
0.151	Ho_12SubSamp
0.159	Ho_12SubSamp
0.157	Ho_12SubSamp
0.154	Ho_12SubSamp
0.16	Ho_12SubSamp
0.156	Ho_12SubSamp
0.154	Ho_12SubSamp
0.155	Ho_12SubSamp
0.153	Ho_12SubSamp
0.15	Ho_14SubSamp
0.152	Ho_14SubSamp
0.153	Ho_14SubSamp
0.151	Ho_14SubSamp
0.156	Ho_14SubSamp
0.156	Ho_14SubSamp
0.156	Ho_14SubSamp
0.156	Ho_14SubSamp
0.152	Ho_14SubSamp
0.158	Ho_14SubSamp
0.151	Ho_14SubSamp
0.155	Ho_14SubSamp
0.151	Ho_14SubSamp
0.153	Ho_14SubSamp
0.154	Ho_14SubSamp
0.156	Ho_14SubSamp
0.156	Ho_14SubSamp
0.155	Ho_14SubSamp
0.154	Ho_14SubSamp
0.154	Ho_14SubSamp
0.157	Ho_14SubSamp
0.155	Ho_14SubSamp
0.153	Ho_14SubSamp
0.159	Ho_14SubSamp
0.156	Ho_14SubSamp
0.15	Ho_14SubSamp
0.152	Ho_14SubSamp
0.154	Ho_14SubSamp
0.153	Ho_14SubSamp
0.154	Ho_14SubSamp
0.155	Ho_14SubSamp
0.155	Ho_14SubSamp
0.152	Ho_14SubSamp
0.151	Ho_14SubSamp
0.152	Ho_14SubSamp
0.15	Ho_14SubSamp
0.155	Ho_14SubSamp
0.156	Ho_14SubSamp
0.155	Ho_14SubSamp
0.16	Ho_14SubSamp
0.153	Ho_14SubSamp
0.15	Ho_14SubSamp
0.157	Ho_14SubSamp
0.156	Ho_14SubSamp
0.151	Ho_14SubSamp
0.155	Ho_14SubSamp
0.159	Ho_14SubSamp
0.153	Ho_14SubSamp
0.15	Ho_14SubSamp
0.155	Ho_14SubSamp
0.153	Ho_14SubSamp
0.153	Ho_14SubSamp
0.151	Ho_14SubSamp
0.15	Ho_14SubSamp
0.157	Ho_14SubSamp
0.157	Ho_14SubSamp
0.155	Ho_14SubSamp
0.15	Ho_14SubSamp
0.154	Ho_14SubSamp
0.159	Ho_14SubSamp
0.159	Ho_14SubSamp
0.158	Ho_14SubSamp
0.152	Ho_14SubSamp
0.151	Ho_14SubSamp
0.155	Ho_14SubSamp
0.154	Ho_14SubSamp
0.155	Ho_14SubSamp
0.156	Ho_14SubSamp
0.151	Ho_14SubSamp
0.155	Ho_14SubSamp
0.156	Ho_14SubSamp
0.15	Ho_14SubSamp
0.152	Ho_14SubSamp
0.149	Ho_14SubSamp
0.158	Ho_14SubSamp
0.153	Ho_14SubSamp
0.152	Ho_14SubSamp
0.154	Ho_14SubSamp
0.153	Ho_14SubSamp
0.155	Ho_14SubSamp
0.152	Ho_14SubSamp
0.153	Ho_14SubSamp
0.157	Ho_14SubSamp
0.155	Ho_14SubSamp
0.148	Ho_14SubSamp
0.155	Ho_14SubSamp
0.157	Ho_14SubSamp
0.15	Ho_14SubSamp
0.154	Ho_14SubSamp
0.152	Ho_14SubSamp
0.157	Ho_14SubSamp
0.15	Ho_14SubSamp
0.156	Ho_14SubSamp
0.154	Ho_14SubSamp
0.158	Ho_14SubSamp
0.156	Ho_14SubSamp
0.153	Ho_14SubSamp
0.154	Ho_14SubSamp
0.155	Ho_14SubSamp
0.154	Ho_14SubSamp
0.151	Ho_16SubSamp
0.152	Ho_16SubSamp
0.152	Ho_16SubSamp
0.155	Ho_16SubSamp
0.153	Ho_16SubSamp
0.154	Ho_16SubSamp
0.158	Ho_16SubSamp
0.152	Ho_16SubSamp
0.156	Ho_16SubSamp
0.155	Ho_16SubSamp
0.155	Ho_16SubSamp
0.157	Ho_16SubSamp
0.153	Ho_16SubSamp
0.156	Ho_16SubSamp
0.155	Ho_16SubSamp
0.154	Ho_16SubSamp
0.154	Ho_16SubSamp
0.152	Ho_16SubSamp
0.155	Ho_16SubSamp
0.153	Ho_16SubSamp
0.154	Ho_16SubSamp
0.153	Ho_16SubSamp
0.155	Ho_16SubSamp
0.152	Ho_16SubSamp
0.154	Ho_16SubSamp
0.155	Ho_16SubSamp
0.156	Ho_16SubSamp
0.153	Ho_16SubSamp
0.151	Ho_16SubSamp
0.153	Ho_16SubSamp
0.155	Ho_16SubSamp
0.154	Ho_16SubSamp
0.156	Ho_16SubSamp
0.156	Ho_16SubSamp
0.15	Ho_16SubSamp
0.155	Ho_16SubSamp
0.154	Ho_16SubSamp
0.156	Ho_16SubSamp
0.154	Ho_16SubSamp
0.154	Ho_16SubSamp
0.156	Ho_16SubSamp
0.151	Ho_16SubSamp
0.152	Ho_16SubSamp
0.155	Ho_16SubSamp
0.151	Ho_16SubSamp
0.15	Ho_16SubSamp
0.153	Ho_16SubSamp
0.154	Ho_16SubSamp
0.158	Ho_16SubSamp
0.152	Ho_16SubSamp
0.151	Ho_16SubSamp
0.153	Ho_16SubSamp
0.152	Ho_16SubSamp
0.155	Ho_16SubSamp
0.152	Ho_16SubSamp
0.155	Ho_16SubSamp
0.15	Ho_16SubSamp
0.152	Ho_16SubSamp
0.156	Ho_16SubSamp
0.153	Ho_16SubSamp
0.153	Ho_16SubSamp
0.154	Ho_16SubSamp
0.151	Ho_16SubSamp
0.153	Ho_16SubSamp
0.155	Ho_16SubSamp
0.15	Ho_16SubSamp
0.154	Ho_16SubSamp
0.151	Ho_16SubSamp
0.157	Ho_16SubSamp
0.152	Ho_16SubSamp
0.154	Ho_16SubSamp
0.152	Ho_16SubSamp
0.154	Ho_16SubSamp
0.153	Ho_16SubSamp
0.156	Ho_16SubSamp
0.151	Ho_16SubSamp
0.154	Ho_16SubSamp
0.157	Ho_16SubSamp
0.157	Ho_16SubSamp
0.149	Ho_16SubSamp
0.154	Ho_16SubSamp
0.152	Ho_16SubSamp
0.154	Ho_16SubSamp
0.154	Ho_16SubSamp
0.154	Ho_16SubSamp
0.152	Ho_16SubSamp
0.157	Ho_16SubSamp
0.152	Ho_16SubSamp
0.15	Ho_16SubSamp
0.158	Ho_16SubSamp
0.153	Ho_16SubSamp
0.156	Ho_16SubSamp
0.157	Ho_16SubSamp
0.153	Ho_16SubSamp
0.156	Ho_16SubSamp
0.149	Ho_16SubSamp
0.153	Ho_16SubSamp
0.151	Ho_16SubSamp
0.152	Ho_16SubSamp
0.152	Ho_16SubSamp
0.153	Ho_18SubSamp
0.154	Ho_18SubSamp
0.154	Ho_18SubSamp
0.152	Ho_18SubSamp
0.154	Ho_18SubSamp
0.156	Ho_18SubSamp
0.154	Ho_18SubSamp
0.154	Ho_18SubSamp
0.157	Ho_18SubSamp
0.153	Ho_18SubSamp
0.155	Ho_18SubSamp
0.156	Ho_18SubSamp
0.153	Ho_18SubSamp
0.153	Ho_18SubSamp
0.157	Ho_18SubSamp
0.155	Ho_18SubSamp
0.154	Ho_18SubSamp
0.154	Ho_18SubSamp
0.151	Ho_18SubSamp
0.153	Ho_18SubSamp
0.152	Ho_18SubSamp
0.15	Ho_18SubSamp
0.154	Ho_18SubSamp
0.154	Ho_18SubSamp
0.155	Ho_18SubSamp
0.153	Ho_18SubSamp
0.156	Ho_18SubSamp
0.156	Ho_18SubSamp
0.156	Ho_18SubSamp
0.153	Ho_18SubSamp
0.153	Ho_18SubSamp
0.154	Ho_18SubSamp
0.152	Ho_18SubSamp
0.152	Ho_18SubSamp
0.156	Ho_18SubSamp
0.151	Ho_18SubSamp
0.154	Ho_18SubSamp
0.15	Ho_18SubSamp
0.153	Ho_18SubSamp
0.156	Ho_18SubSamp
0.155	Ho_18SubSamp
0.151	Ho_18SubSamp
0.154	Ho_18SubSamp
0.154	Ho_18SubSamp
0.155	Ho_18SubSamp
0.154	Ho_18SubSamp
0.154	Ho_18SubSamp
0.155	Ho_18SubSamp
0.152	Ho_18SubSamp
0.155	Ho_18SubSamp
0.155	Ho_18SubSamp
0.156	Ho_18SubSamp
0.156	Ho_18SubSamp
0.153	Ho_18SubSamp
0.154	Ho_18SubSamp
0.152	Ho_18SubSamp
0.153	Ho_18SubSamp
0.152	Ho_18SubSamp
0.152	Ho_18SubSamp
0.155	Ho_18SubSamp
0.156	Ho_18SubSamp
0.156	Ho_18SubSamp
0.155	Ho_18SubSamp
0.153	Ho_18SubSamp
0.154	Ho_18SubSamp
0.154	Ho_18SubSamp
0.155	Ho_18SubSamp
0.152	Ho_18SubSamp
0.153	Ho_18SubSamp
0.156	Ho_18SubSamp
0.154	Ho_18SubSamp
0.158	Ho_18SubSamp
0.155	Ho_18SubSamp
0.154	Ho_18SubSamp
0.156	Ho_18SubSamp
0.153	Ho_18SubSamp
0.155	Ho_18SubSamp
0.155	Ho_18SubSamp
0.154	Ho_18SubSamp
0.155	Ho_18SubSamp
0.155	Ho_18SubSamp
0.156	Ho_18SubSamp
0.153	Ho_18SubSamp
0.152	Ho_18SubSamp
0.154	Ho_18SubSamp
0.156	Ho_18SubSamp
0.155	Ho_18SubSamp
0.154	Ho_18SubSamp
0.155	Ho_18SubSamp
0.153	Ho_18SubSamp
0.154	Ho_18SubSamp
0.15	Ho_18SubSamp
0.154	Ho_18SubSamp
0.153	Ho_18SubSamp
0.158	Ho_18SubSamp
0.154	Ho_18SubSamp
0.154	Ho_18SubSamp
0.153	Ho_18SubSamp
0.153	Ho_18SubSamp
0.154	Ho_18SubSamp
0.153	Ho_20SubSamp
0.156	Ho_20SubSamp
0.155	Ho_20SubSamp
0.154	Ho_20SubSamp
0.155	Ho_20SubSamp
0.154	Ho_20SubSamp
0.155	Ho_20SubSamp
0.154	Ho_20SubSamp
0.153	Ho_20SubSamp
0.154	Ho_20SubSamp
0.154	Ho_20SubSamp
0.156	Ho_20SubSamp
0.155	Ho_20SubSamp
0.153	Ho_20SubSamp
0.154	Ho_20SubSamp
0.154	Ho_20SubSamp
0.155	Ho_20SubSamp
0.152	Ho_20SubSamp
0.155	Ho_20SubSamp
0.152	Ho_20SubSamp
0.155	Ho_20SubSamp
0.153	Ho_20SubSamp
0.155	Ho_20SubSamp
0.154	Ho_20SubSamp
0.155	Ho_20SubSamp
0.152	Ho_20SubSamp
0.155	Ho_20SubSamp
0.153	Ho_20SubSamp
0.154	Ho_20SubSamp
0.156	Ho_20SubSamp
0.153	Ho_20SubSamp
0.156	Ho_20SubSamp
0.155	Ho_20SubSamp
0.153	Ho_20SubSamp
0.155	Ho_20SubSamp
0.156	Ho_20SubSamp
0.152	Ho_20SubSamp
0.153	Ho_20SubSamp
