PTP_Ho_estimates	Subsampling_group
0.049	Ho_06SubSamp
0.05	Ho_06SubSamp
0.058	Ho_08SubSamp
0.05	Ho_08SubSamp
0.051	Ho_08SubSamp
0.052	Ho_08SubSamp
0.048	Ho_08SubSamp
0.049	Ho_08SubSamp
0.052	Ho_08SubSamp
0.057	Ho_08SubSamp
0.049	Ho_08SubSamp
0.054	Ho_08SubSamp
0.052	Ho_08SubSamp
0.051	Ho_08SubSamp
0.052	Ho_08SubSamp
0.05	Ho_08SubSamp
0.057	Ho_08SubSamp
0.058	Ho_08SubSamp
0.053	Ho_08SubSamp
0.057	Ho_08SubSamp
0.054	Ho_08SubSamp
0.049	Ho_08SubSamp
0.048	Ho_08SubSamp
0.052	Ho_08SubSamp
0.059	Ho_08SubSamp
0.05	Ho_08SubSamp
0.048	Ho_08SubSamp
0.054	Ho_08SubSamp
0.055	Ho_08SubSamp
0.05	Ho_08SubSamp
0.049	Ho_08SubSamp
0.052	Ho_08SubSamp
0.056	Ho_08SubSamp
0.054	Ho_08SubSamp
0.055	Ho_08SubSamp
0.05	Ho_08SubSamp
0.046	Ho_08SubSamp
0.051	Ho_08SubSamp
0.055	Ho_08SubSamp
0.04	Ho_08SubSamp
0.05	Ho_08SubSamp
0.056	Ho_08SubSamp
0.053	Ho_08SubSamp
0.052	Ho_08SubSamp
0.052	Ho_08SubSamp
0.05	Ho_08SubSamp
0.053	Ho_08SubSamp
0.047	Ho_08SubSamp
0.05	Ho_08SubSamp
0.051	Ho_08SubSamp
0.043	Ho_08SubSamp
0.06	Ho_08SubSamp
0.047	Ho_08SubSamp
0.06	Ho_08SubSamp
0.049	Ho_08SubSamp
0.055	Ho_08SubSamp
0.052	Ho_08SubSamp
0.046	Ho_08SubSamp
0.055	Ho_08SubSamp
0.055	Ho_08SubSamp
0.054	Ho_08SubSamp
0.043	Ho_08SubSamp
0.045	Ho_08SubSamp
0.047	Ho_08SubSamp
0.047	Ho_08SubSamp
0.053	Ho_08SubSamp
0.056	Ho_08SubSamp
0.054	Ho_08SubSamp
0.054	Ho_08SubSamp
0.048	Ho_08SubSamp
0.05	Ho_08SubSamp
0.05	Ho_08SubSamp
0.047	Ho_08SubSamp
0.05	Ho_08SubSamp
0.041	Ho_08SubSamp
0.044	Ho_08SubSamp
0.048	Ho_08SubSamp
0.045	Ho_08SubSamp
0.05	Ho_08SubSamp
0.049	Ho_08SubSamp
0.053	Ho_08SubSamp
0.056	Ho_08SubSamp
0.048	Ho_08SubSamp
0.047	Ho_08SubSamp
0.053	Ho_08SubSamp
0.054	Ho_08SubSamp
0.056	Ho_08SubSamp
0.044	Ho_08SubSamp
0.06	Ho_08SubSamp
0.044	Ho_08SubSamp
0.053	Ho_08SubSamp
0.051	Ho_08SubSamp
0.052	Ho_08SubSamp
0.048	Ho_08SubSamp
0.047	Ho_08SubSamp
0.057	Ho_08SubSamp
0.048	Ho_08SubSamp
0.045	Ho_08SubSamp
0.056	Ho_08SubSamp
0.047	Ho_08SubSamp
0.045	Ho_08SubSamp
0.052	Ho_08SubSamp
0.045	Ho_10SubSamp
0.046	Ho_10SubSamp
0.05	Ho_10SubSamp
0.056	Ho_10SubSamp
0.049	Ho_10SubSamp
0.053	Ho_10SubSamp
0.047	Ho_10SubSamp
0.045	Ho_10SubSamp
0.051	Ho_10SubSamp
0.045	Ho_10SubSamp
0.049	Ho_10SubSamp
0.046	Ho_10SubSamp
0.046	Ho_10SubSamp
0.052	Ho_10SubSamp
0.05	Ho_10SubSamp
0.054	Ho_10SubSamp
0.054	Ho_10SubSamp
0.046	Ho_10SubSamp
0.051	Ho_10SubSamp
0.058	Ho_10SubSamp
0.049	Ho_10SubSamp
0.045	Ho_10SubSamp
0.049	Ho_10SubSamp
0.051	Ho_10SubSamp
0.047	Ho_10SubSamp
0.05	Ho_10SubSamp
0.05	Ho_10SubSamp
0.051	Ho_10SubSamp
0.053	Ho_10SubSamp
0.048	Ho_10SubSamp
0.053	Ho_10SubSamp
0.053	Ho_10SubSamp
0.055	Ho_10SubSamp
0.051	Ho_10SubSamp
0.052	Ho_10SubSamp
0.053	Ho_10SubSamp
0.044	Ho_10SubSamp
0.048	Ho_10SubSamp
0.049	Ho_10SubSamp
0.048	Ho_10SubSamp
0.053	Ho_10SubSamp
0.048	Ho_10SubSamp
0.046	Ho_10SubSamp
0.048	Ho_10SubSamp
0.054	Ho_10SubSamp
0.051	Ho_10SubSamp
0.052	Ho_10SubSamp
0.048	Ho_10SubSamp
0.043	Ho_10SubSamp
0.046	Ho_10SubSamp
0.057	Ho_10SubSamp
0.051	Ho_10SubSamp
0.052	Ho_10SubSamp
0.049	Ho_10SubSamp
0.05	Ho_10SubSamp
0.048	Ho_10SubSamp
0.051	Ho_10SubSamp
0.053	Ho_10SubSamp
0.051	Ho_10SubSamp
0.051	Ho_10SubSamp
0.052	Ho_10SubSamp
0.052	Ho_10SubSamp
0.047	Ho_10SubSamp
0.052	Ho_10SubSamp
0.051	Ho_10SubSamp
0.056	Ho_10SubSamp
0.052	Ho_10SubSamp
0.051	Ho_10SubSamp
0.047	Ho_10SubSamp
0.05	Ho_10SubSamp
0.052	Ho_10SubSamp
0.049	Ho_10SubSamp
0.05	Ho_10SubSamp
0.048	Ho_10SubSamp
0.048	Ho_10SubSamp
0.05	Ho_10SubSamp
0.049	Ho_10SubSamp
0.051	Ho_10SubSamp
0.053	Ho_10SubSamp
0.043	Ho_10SubSamp
0.051	Ho_10SubSamp
0.054	Ho_10SubSamp
0.047	Ho_10SubSamp
0.051	Ho_10SubSamp
0.047	Ho_10SubSamp
0.049	Ho_10SubSamp
0.053	Ho_10SubSamp
0.054	Ho_10SubSamp
0.051	Ho_10SubSamp
0.057	Ho_10SubSamp
0.052	Ho_10SubSamp
0.05	Ho_10SubSamp
0.049	Ho_10SubSamp
0.05	Ho_10SubSamp
0.049	Ho_10SubSamp
0.052	Ho_10SubSamp
0.051	Ho_10SubSamp
0.047	Ho_10SubSamp
0.053	Ho_10SubSamp
0.048	Ho_10SubSamp
0.049	Ho_12SubSamp
0.05	Ho_12SubSamp
0.049	Ho_12SubSamp
0.052	Ho_12SubSamp
0.051	Ho_12SubSamp
0.047	Ho_12SubSamp
0.047	Ho_12SubSamp
0.055	Ho_12SubSamp
0.051	Ho_12SubSamp
0.047	Ho_12SubSamp
0.053	Ho_12SubSamp
0.054	Ho_12SubSamp
0.05	Ho_12SubSamp
0.053	Ho_12SubSamp
0.049	Ho_12SubSamp
0.051	Ho_12SubSamp
0.054	Ho_12SubSamp
0.055	Ho_12SubSamp
0.052	Ho_12SubSamp
0.052	Ho_12SubSamp
0.044	Ho_12SubSamp
0.051	Ho_12SubSamp
0.05	Ho_12SubSamp
0.047	Ho_12SubSamp
0.047	Ho_12SubSamp
0.046	Ho_12SubSamp
0.049	Ho_12SubSamp
0.052	Ho_12SubSamp
0.046	Ho_12SubSamp
0.047	Ho_12SubSamp
0.048	Ho_12SubSamp
0.051	Ho_12SubSamp
0.053	Ho_12SubSamp
0.052	Ho_12SubSamp
0.051	Ho_12SubSamp
0.047	Ho_12SubSamp
0.053	Ho_12SubSamp
0.054	Ho_12SubSamp
0.051	Ho_12SubSamp
0.048	Ho_12SubSamp
0.051	Ho_12SubSamp
0.044	Ho_12SubSamp
0.044	Ho_12SubSamp
0.048	Ho_12SubSamp
0.05	Ho_12SubSamp
0.05	Ho_12SubSamp
0.052	Ho_12SubSamp
0.051	Ho_12SubSamp
0.047	Ho_12SubSamp
0.056	Ho_12SubSamp
0.05	Ho_12SubSamp
0.051	Ho_12SubSamp
0.052	Ho_12SubSamp
0.054	Ho_12SubSamp
0.049	Ho_12SubSamp
0.05	Ho_12SubSamp
0.046	Ho_12SubSamp
0.047	Ho_12SubSamp
0.049	Ho_12SubSamp
0.051	Ho_12SubSamp
0.052	Ho_12SubSamp
0.051	Ho_12SubSamp
0.051	Ho_12SubSamp
0.047	Ho_12SubSamp
0.048	Ho_12SubSamp
0.055	Ho_12SubSamp
0.047	Ho_12SubSamp
0.049	Ho_12SubSamp
0.054	Ho_12SubSamp
0.05	Ho_12SubSamp
0.055	Ho_12SubSamp
0.049	Ho_12SubSamp
0.045	Ho_12SubSamp
0.05	Ho_12SubSamp
0.047	Ho_12SubSamp
0.049	Ho_12SubSamp
0.052	Ho_12SubSamp
0.055	Ho_12SubSamp
0.046	Ho_12SubSamp
0.043	Ho_12SubSamp
0.051	Ho_12SubSamp
0.051	Ho_12SubSamp
0.049	Ho_12SubSamp
0.051	Ho_12SubSamp
0.049	Ho_12SubSamp
0.052	Ho_12SubSamp
0.049	Ho_12SubSamp
0.047	Ho_12SubSamp
0.047	Ho_12SubSamp
0.048	Ho_12SubSamp
0.056	Ho_12SubSamp
0.046	Ho_12SubSamp
0.052	Ho_12SubSamp
0.047	Ho_12SubSamp
0.05	Ho_12SubSamp
0.046	Ho_12SubSamp
0.051	Ho_12SubSamp
0.05	Ho_12SubSamp
0.046	Ho_12SubSamp
0.048	Ho_12SubSamp
0.052	Ho_14SubSamp
0.051	Ho_14SubSamp
0.052	Ho_14SubSamp
0.052	Ho_14SubSamp
0.052	Ho_14SubSamp
0.05	Ho_14SubSamp
0.055	Ho_14SubSamp
0.052	Ho_14SubSamp
0.047	Ho_14SubSamp
0.049	Ho_14SubSamp
0.053	Ho_14SubSamp
0.052	Ho_14SubSamp
0.049	Ho_14SubSamp
0.05	Ho_14SubSamp
0.047	Ho_14SubSamp
0.052	Ho_14SubSamp
0.049	Ho_14SubSamp
0.048	Ho_14SubSamp
0.046	Ho_14SubSamp
0.054	Ho_14SubSamp
0.05	Ho_14SubSamp
0.048	Ho_14SubSamp
0.05	Ho_14SubSamp
0.047	Ho_14SubSamp
0.052	Ho_14SubSamp
0.054	Ho_14SubSamp
0.052	Ho_14SubSamp
0.047	Ho_14SubSamp
0.047	Ho_14SubSamp
0.054	Ho_14SubSamp
0.053	Ho_14SubSamp
0.048	Ho_14SubSamp
0.048	Ho_14SubSamp
0.049	Ho_14SubSamp
0.055	Ho_14SubSamp
0.053	Ho_14SubSamp
0.049	Ho_14SubSamp
0.051	Ho_14SubSamp
0.048	Ho_14SubSamp
0.051	Ho_14SubSamp
0.05	Ho_14SubSamp
0.054	Ho_14SubSamp
0.05	Ho_14SubSamp
0.051	Ho_14SubSamp
0.053	Ho_14SubSamp
0.05	Ho_14SubSamp
0.05	Ho_14SubSamp
0.048	Ho_14SubSamp
0.054	Ho_14SubSamp
0.052	Ho_14SubSamp
0.05	Ho_14SubSamp
0.049	Ho_14SubSamp
0.048	Ho_14SubSamp
0.048	Ho_14SubSamp
0.049	Ho_14SubSamp
0.048	Ho_14SubSamp
0.05	Ho_14SubSamp
0.052	Ho_14SubSamp
0.051	Ho_14SubSamp
0.052	Ho_14SubSamp
0.049	Ho_14SubSamp
0.051	Ho_14SubSamp
0.051	Ho_14SubSamp
0.05	Ho_14SubSamp
0.051	Ho_14SubSamp
0.048	Ho_14SubSamp
0.049	Ho_14SubSamp
0.05	Ho_14SubSamp
0.048	Ho_14SubSamp
0.047	Ho_14SubSamp
0.051	Ho_14SubSamp
0.05	Ho_14SubSamp
0.054	Ho_14SubSamp
0.051	Ho_14SubSamp
0.052	Ho_14SubSamp
0.05	Ho_14SubSamp
0.049	Ho_14SubSamp
0.051	Ho_14SubSamp
0.049	Ho_14SubSamp
0.05	Ho_14SubSamp
0.046	Ho_14SubSamp
0.05	Ho_14SubSamp
0.044	Ho_14SubSamp
0.052	Ho_14SubSamp
0.051	Ho_14SubSamp
0.048	Ho_14SubSamp
0.051	Ho_14SubSamp
0.05	Ho_14SubSamp
0.05	Ho_14SubSamp
0.052	Ho_14SubSamp
0.049	Ho_14SubSamp
0.053	Ho_14SubSamp
0.048	Ho_14SubSamp
0.047	Ho_14SubSamp
0.049	Ho_14SubSamp
0.052	Ho_14SubSamp
0.052	Ho_14SubSamp
0.05	Ho_14SubSamp
0.054	Ho_14SubSamp
0.054	Ho_14SubSamp
0.051	Ho_16SubSamp
0.048	Ho_16SubSamp
0.052	Ho_16SubSamp
0.049	Ho_16SubSamp
0.047	Ho_16SubSamp
0.054	Ho_16SubSamp
0.049	Ho_16SubSamp
0.053	Ho_16SubSamp
0.049	Ho_16SubSamp
0.05	Ho_16SubSamp
0.051	Ho_16SubSamp
0.051	Ho_16SubSamp
0.05	Ho_16SubSamp
0.05	Ho_16SubSamp
0.051	Ho_16SubSamp
0.049	Ho_16SubSamp
0.05	Ho_16SubSamp
0.052	Ho_16SubSamp
0.047	Ho_16SubSamp
0.053	Ho_16SubSamp
0.05	Ho_16SubSamp
0.052	Ho_16SubSamp
0.052	Ho_16SubSamp
0.05	Ho_16SubSamp
0.054	Ho_16SubSamp
0.05	Ho_16SubSamp
0.049	Ho_16SubSamp
0.051	Ho_16SubSamp
0.05	Ho_16SubSamp
0.05	Ho_16SubSamp
0.049	Ho_16SubSamp
0.053	Ho_16SubSamp
0.05	Ho_16SubSamp
0.05	Ho_16SubSamp
0.048	Ho_16SubSamp
0.049	Ho_16SubSamp
0.049	Ho_16SubSamp
0.052	Ho_16SubSamp
0.049	Ho_16SubSamp
0.049	Ho_16SubSamp
0.052	Ho_16SubSamp
0.053	Ho_16SubSamp
0.052	Ho_16SubSamp
0.049	Ho_16SubSamp
0.048	Ho_16SubSamp
0.05	Ho_16SubSamp
0.05	Ho_16SubSamp
0.049	Ho_16SubSamp
0.047	Ho_16SubSamp
0.052	Ho_16SubSamp
0.048	Ho_16SubSamp
0.051	Ho_16SubSamp
0.053	Ho_16SubSamp
0.047	Ho_16SubSamp
0.046	Ho_16SubSamp
0.049	Ho_16SubSamp
0.049	Ho_16SubSamp
0.051	Ho_16SubSamp
0.05	Ho_16SubSamp
0.053	Ho_16SubSamp
0.05	Ho_16SubSamp
0.051	Ho_16SubSamp
0.053	Ho_16SubSamp
0.05	Ho_16SubSamp
0.05	Ho_16SubSamp
0.052	Ho_16SubSamp
0.05	Ho_16SubSamp
0.049	Ho_16SubSamp
0.051	Ho_16SubSamp
0.048	Ho_16SubSamp
0.054	Ho_16SubSamp
0.053	Ho_16SubSamp
0.049	Ho_16SubSamp
0.051	Ho_16SubSamp
0.049	Ho_16SubSamp
0.051	Ho_16SubSamp
0.049	Ho_16SubSamp
0.049	Ho_16SubSamp
0.053	Ho_16SubSamp
0.049	Ho_16SubSamp
0.049	Ho_16SubSamp
0.051	Ho_16SubSamp
0.049	Ho_16SubSamp
0.051	Ho_16SubSamp
0.051	Ho_16SubSamp
0.051	Ho_16SubSamp
0.051	Ho_16SubSamp
0.05	Ho_16SubSamp
0.052	Ho_16SubSamp
0.05	Ho_16SubSamp
0.05	Ho_16SubSamp
0.052	Ho_16SubSamp
0.049	Ho_16SubSamp
0.054	Ho_16SubSamp
0.049	Ho_16SubSamp
0.053	Ho_16SubSamp
0.052	Ho_16SubSamp
0.051	Ho_16SubSamp
0.053	Ho_16SubSamp
0.048	Ho_16SubSamp
0.048	Ho_18SubSamp
0.051	Ho_18SubSamp
0.05	Ho_18SubSamp
0.05	Ho_18SubSamp
0.051	Ho_18SubSamp
0.051	Ho_18SubSamp
0.048	Ho_18SubSamp
0.051	Ho_18SubSamp
0.052	Ho_18SubSamp
0.049	Ho_18SubSamp
0.048	Ho_18SubSamp
0.052	Ho_18SubSamp
0.051	Ho_18SubSamp
0.051	Ho_18SubSamp
0.052	Ho_18SubSamp
0.051	Ho_18SubSamp
0.047	Ho_18SubSamp
0.051	Ho_18SubSamp
0.052	Ho_18SubSamp
0.048	Ho_18SubSamp
0.047	Ho_18SubSamp
0.052	Ho_18SubSamp
0.05	Ho_18SubSamp
0.051	Ho_18SubSamp
0.049	Ho_18SubSamp
0.052	Ho_18SubSamp
0.048	Ho_18SubSamp
0.048	Ho_18SubSamp
0.052	Ho_18SubSamp
0.05	Ho_18SubSamp
0.048	Ho_18SubSamp
0.051	Ho_18SubSamp
0.051	Ho_18SubSamp
0.05	Ho_18SubSamp
0.052	Ho_18SubSamp
0.05	Ho_18SubSamp
0.049	Ho_18SubSamp
0.052	Ho_18SubSamp
0.046	Ho_18SubSamp
0.051	Ho_18SubSamp
0.051	Ho_18SubSamp
0.047	Ho_18SubSamp
0.051	Ho_18SubSamp
0.048	Ho_18SubSamp
0.047	Ho_18SubSamp
0.052	Ho_18SubSamp
0.047	Ho_18SubSamp
0.049	Ho_18SubSamp
0.05	Ho_18SubSamp
0.051	Ho_18SubSamp
0.05	Ho_18SubSamp
0.049	Ho_18SubSamp
0.05	Ho_18SubSamp
0.05	Ho_18SubSamp
0.052	Ho_18SubSamp
0.047	Ho_18SubSamp
0.048	Ho_18SubSamp
0.048	Ho_18SubSamp
0.05	Ho_18SubSamp
0.05	Ho_18SubSamp
0.048	Ho_18SubSamp
0.049	Ho_18SubSamp
0.052	Ho_18SubSamp
0.052	Ho_18SubSamp
0.05	Ho_18SubSamp
0.05	Ho_18SubSamp
0.049	Ho_18SubSamp
0.052	Ho_18SubSamp
0.05	Ho_18SubSamp
0.05	Ho_18SubSamp
0.051	Ho_18SubSamp
0.049	Ho_18SubSamp
0.052	Ho_18SubSamp
0.052	Ho_18SubSamp
0.051	Ho_18SubSamp
0.052	Ho_18SubSamp
0.051	Ho_18SubSamp
0.052	Ho_18SubSamp
0.051	Ho_18SubSamp
0.051	Ho_18SubSamp
0.05	Ho_18SubSamp
0.05	Ho_18SubSamp
0.05	Ho_18SubSamp
0.049	Ho_18SubSamp
0.052	Ho_18SubSamp
0.048	Ho_18SubSamp
0.049	Ho_18SubSamp
0.052	Ho_18SubSamp
0.05	Ho_18SubSamp
0.049	Ho_18SubSamp
0.051	Ho_18SubSamp
0.048	Ho_18SubSamp
0.048	Ho_18SubSamp
0.047	Ho_18SubSamp
0.05	Ho_18SubSamp
0.051	Ho_18SubSamp
0.053	Ho_18SubSamp
0.048	Ho_18SubSamp
0.047	Ho_18SubSamp
0.049	Ho_18SubSamp
0.05	Ho_20SubSamp
0.05	Ho_20SubSamp
0.051	Ho_20SubSamp
0.049	Ho_20SubSamp
0.051	Ho_20SubSamp
0.05	Ho_20SubSamp
0.051	Ho_20SubSamp
0.05	Ho_20SubSamp
0.052	Ho_20SubSamp
0.051	Ho_20SubSamp
0.048	Ho_20SubSamp
0.05	Ho_20SubSamp
0.051	Ho_20SubSamp
0.05	Ho_20SubSamp
0.051	Ho_20SubSamp
0.05	Ho_20SubSamp
0.048	Ho_20SubSamp
0.05	Ho_20SubSamp
0.051	Ho_20SubSamp
0.052	Ho_20SubSamp
0.051	Ho_20SubSamp
0.05	Ho_20SubSamp
0.051	Ho_20SubSamp
0.052	Ho_20SubSamp
0.05	Ho_20SubSamp
0.05	Ho_20SubSamp
0.051	Ho_20SubSamp
0.051	Ho_20SubSamp
0.05	Ho_20SubSamp
0.051	Ho_20SubSamp
0.051	Ho_20SubSamp
0.05	Ho_20SubSamp
0.05	Ho_20SubSamp
0.049	Ho_20SubSamp
0.049	Ho_20SubSamp
0.053	Ho_20SubSamp
0.051	Ho_20SubSamp
0.05	Ho_20SubSamp
0.051	Ho_20SubSamp
0.05	Ho_20SubSamp
0.052	Ho_20SubSamp
0.048	Ho_20SubSamp
0.05	Ho_20SubSamp
0.05	Ho_20SubSamp
0.049	Ho_20SubSamp
0.051	Ho_20SubSamp
0.051	Ho_20SubSamp
0.05	Ho_20SubSamp
0.052	Ho_20SubSamp
0.05	Ho_20SubSamp
