PTP_Gis_estimates	Subsampling_group
0.093	Gis_06SubSamp
0.136	Gis_06SubSamp
0.108	Gis_06SubSamp
0.189	Gis_06SubSamp
0.163	Gis_06SubSamp
0.122	Gis_06SubSamp
0.131	Gis_06SubSamp
0.053	Gis_06SubSamp
0.09	Gis_08SubSamp
0.13	Gis_08SubSamp
0.095	Gis_08SubSamp
0.107	Gis_08SubSamp
0.139	Gis_08SubSamp
0.104	Gis_08SubSamp
0.071	Gis_08SubSamp
0.03	Gis_08SubSamp
0.111	Gis_08SubSamp
0.067	Gis_08SubSamp
0.07	Gis_08SubSamp
0.1	Gis_08SubSamp
0.109	Gis_08SubSamp
0.123	Gis_08SubSamp
0.061	Gis_08SubSamp
0.073	Gis_08SubSamp
0.078	Gis_08SubSamp
0.07	Gis_08SubSamp
0.084	Gis_08SubSamp
0.126	Gis_08SubSamp
0.136	Gis_08SubSamp
0.111	Gis_08SubSamp
0.027	Gis_08SubSamp
0.077	Gis_08SubSamp
0.137	Gis_08SubSamp
0.061	Gis_08SubSamp
0.021	Gis_08SubSamp
0.093	Gis_08SubSamp
0.133	Gis_08SubSamp
0.091	Gis_08SubSamp
0.047	Gis_08SubSamp
0.047	Gis_08SubSamp
0.078	Gis_08SubSamp
0.118	Gis_08SubSamp
0.143	Gis_08SubSamp
0.068	Gis_08SubSamp
0.076	Gis_08SubSamp
0.243	Gis_08SubSamp
0.093	Gis_08SubSamp
0.091	Gis_08SubSamp
0.08	Gis_08SubSamp
0.083	Gis_08SubSamp
0.112	Gis_08SubSamp
0.084	Gis_08SubSamp
0.084	Gis_08SubSamp
0.084	Gis_08SubSamp
0.102	Gis_08SubSamp
0.112	Gis_08SubSamp
0.19	Gis_08SubSamp
0.054	Gis_08SubSamp
0.145	Gis_08SubSamp
0.052	Gis_08SubSamp
0.132	Gis_08SubSamp
0.088	Gis_08SubSamp
0.081	Gis_08SubSamp
0.16	Gis_08SubSamp
0.064	Gis_08SubSamp
0.062	Gis_08SubSamp
0.048	Gis_08SubSamp
0.152	Gis_08SubSamp
0.125	Gis_08SubSamp
0.13	Gis_08SubSamp
0.123	Gis_08SubSamp
0.057	Gis_08SubSamp
0.076	Gis_08SubSamp
0.094	Gis_08SubSamp
0.069	Gis_08SubSamp
0.145	Gis_08SubSamp
0.069	Gis_08SubSamp
0.119	Gis_08SubSamp
0.12	Gis_08SubSamp
0.091	Gis_08SubSamp
0.185	Gis_08SubSamp
0.161	Gis_08SubSamp
0.07	Gis_08SubSamp
0.172	Gis_08SubSamp
0.114	Gis_08SubSamp
0.111	Gis_08SubSamp
0.085	Gis_08SubSamp
0.058	Gis_08SubSamp
0.142	Gis_08SubSamp
0.115	Gis_08SubSamp
0.083	Gis_08SubSamp
0.103	Gis_08SubSamp
0.097	Gis_08SubSamp
0.161	Gis_08SubSamp
0.048	Gis_08SubSamp
0.19	Gis_08SubSamp
0.112	Gis_08SubSamp
0.089	Gis_08SubSamp
0.118	Gis_08SubSamp
0.16	Gis_08SubSamp
0.097	Gis_08SubSamp
0.074	Gis_08SubSamp
0.146	Gis_08SubSamp
0.145	Gis_08SubSamp
0.074	Gis_08SubSamp
0.135	Gis_08SubSamp
0.178	Gis_08SubSamp
0.097	Gis_08SubSamp
0.148	Gis_10SubSamp
0.157	Gis_10SubSamp
0.111	Gis_10SubSamp
0.059	Gis_10SubSamp
0.126	Gis_10SubSamp
0.119	Gis_10SubSamp
0.131	Gis_10SubSamp
0.176	Gis_10SubSamp
0.115	Gis_10SubSamp
0.142	Gis_10SubSamp
0.114	Gis_10SubSamp
0.122	Gis_10SubSamp
0.151	Gis_10SubSamp
0.109	Gis_10SubSamp
0.074	Gis_10SubSamp
0.076	Gis_10SubSamp
0.069	Gis_10SubSamp
0.123	Gis_10SubSamp
0.121	Gis_10SubSamp
0.063	Gis_10SubSamp
0.119	Gis_10SubSamp
0.163	Gis_10SubSamp
0.095	Gis_10SubSamp
0.135	Gis_10SubSamp
0.133	Gis_10SubSamp
0.115	Gis_10SubSamp
0.104	Gis_10SubSamp
0.111	Gis_10SubSamp
0.09	Gis_10SubSamp
0.11	Gis_10SubSamp
0.091	Gis_10SubSamp
0.098	Gis_10SubSamp
0.069	Gis_10SubSamp
0.119	Gis_10SubSamp
0.073	Gis_10SubSamp
0.083	Gis_10SubSamp
0.148	Gis_10SubSamp
0.132	Gis_10SubSamp
0.098	Gis_10SubSamp
0.124	Gis_10SubSamp
0.107	Gis_10SubSamp
0.133	Gis_10SubSamp
0.171	Gis_10SubSamp
0.108	Gis_10SubSamp
0.093	Gis_10SubSamp
0.133	Gis_10SubSamp
0.099	Gis_10SubSamp
0.14	Gis_10SubSamp
0.172	Gis_10SubSamp
0.136	Gis_10SubSamp
0.07	Gis_10SubSamp
0.084	Gis_10SubSamp
0.08	Gis_10SubSamp
0.096	Gis_10SubSamp
0.106	Gis_10SubSamp
0.119	Gis_10SubSamp
0.1	Gis_10SubSamp
0.083	Gis_10SubSamp
0.109	Gis_10SubSamp
0.129	Gis_10SubSamp
0.082	Gis_10SubSamp
0.087	Gis_10SubSamp
0.128	Gis_10SubSamp
0.078	Gis_10SubSamp
0.095	Gis_10SubSamp
0.081	Gis_10SubSamp
0.102	Gis_10SubSamp
0.109	Gis_10SubSamp
0.138	Gis_10SubSamp
0.115	Gis_10SubSamp
0.111	Gis_10SubSamp
0.132	Gis_10SubSamp
0.119	Gis_10SubSamp
0.119	Gis_10SubSamp
0.13	Gis_10SubSamp
0.091	Gis_10SubSamp
0.125	Gis_10SubSamp
0.093	Gis_10SubSamp
0.061	Gis_10SubSamp
0.174	Gis_10SubSamp
0.105	Gis_10SubSamp
0.071	Gis_10SubSamp
0.124	Gis_10SubSamp
0.08	Gis_10SubSamp
0.109	Gis_10SubSamp
0.115	Gis_10SubSamp
0.088	Gis_10SubSamp
0.108	Gis_10SubSamp
0.11	Gis_10SubSamp
0.067	Gis_10SubSamp
0.081	Gis_10SubSamp
0.14	Gis_10SubSamp
0.119	Gis_10SubSamp
0.107	Gis_10SubSamp
0.115	Gis_10SubSamp
0.141	Gis_10SubSamp
0.117	Gis_10SubSamp
0.113	Gis_10SubSamp
0.104	Gis_10SubSamp
0.114	Gis_10SubSamp
0.123	Gis_12SubSamp
0.11	Gis_12SubSamp
0.088	Gis_12SubSamp
0.093	Gis_12SubSamp
0.089	Gis_12SubSamp
0.147	Gis_12SubSamp
0.152	Gis_12SubSamp
0.106	Gis_12SubSamp
0.11	Gis_12SubSamp
0.154	Gis_12SubSamp
0.091	Gis_12SubSamp
0.116	Gis_12SubSamp
0.1	Gis_12SubSamp
0.117	Gis_12SubSamp
0.112	Gis_12SubSamp
0.106	Gis_12SubSamp
0.089	Gis_12SubSamp
0.08	Gis_12SubSamp
0.073	Gis_12SubSamp
0.11	Gis_12SubSamp
0.151	Gis_12SubSamp
0.11	Gis_12SubSamp
0.122	Gis_12SubSamp
0.132	Gis_12SubSamp
0.146	Gis_12SubSamp
0.156	Gis_12SubSamp
0.135	Gis_12SubSamp
0.098	Gis_12SubSamp
0.157	Gis_12SubSamp
0.141	Gis_12SubSamp
0.117	Gis_12SubSamp
0.105	Gis_12SubSamp
0.104	Gis_12SubSamp
0.103	Gis_12SubSamp
0.096	Gis_12SubSamp
0.142	Gis_12SubSamp
0.1	Gis_12SubSamp
0.081	Gis_12SubSamp
0.132	Gis_12SubSamp
0.112	Gis_12SubSamp
0.116	Gis_12SubSamp
0.157	Gis_12SubSamp
0.176	Gis_12SubSamp
0.118	Gis_12SubSamp
0.11	Gis_12SubSamp
0.151	Gis_12SubSamp
0.089	Gis_12SubSamp
0.087	Gis_12SubSamp
0.131	Gis_12SubSamp
0.062	Gis_12SubSamp
0.096	Gis_12SubSamp
0.103	Gis_12SubSamp
0.094	Gis_12SubSamp
0.078	Gis_12SubSamp
0.125	Gis_12SubSamp
0.11	Gis_12SubSamp
0.151	Gis_12SubSamp
0.118	Gis_12SubSamp
0.125	Gis_12SubSamp
0.099	Gis_12SubSamp
0.116	Gis_12SubSamp
0.073	Gis_12SubSamp
0.131	Gis_12SubSamp
0.136	Gis_12SubSamp
0.107	Gis_12SubSamp
0.074	Gis_12SubSamp
0.171	Gis_12SubSamp
0.101	Gis_12SubSamp
0.048	Gis_12SubSamp
0.103	Gis_12SubSamp
0.047	Gis_12SubSamp
0.139	Gis_12SubSamp
0.164	Gis_12SubSamp
0.128	Gis_12SubSamp
0.152	Gis_12SubSamp
0.132	Gis_12SubSamp
0.09	Gis_12SubSamp
0.085	Gis_12SubSamp
0.166	Gis_12SubSamp
0.179	Gis_12SubSamp
0.106	Gis_12SubSamp
0.086	Gis_12SubSamp
0.118	Gis_12SubSamp
0.128	Gis_12SubSamp
0.125	Gis_12SubSamp
0.101	Gis_12SubSamp
0.112	Gis_12SubSamp
0.131	Gis_12SubSamp
0.127	Gis_12SubSamp
0.119	Gis_12SubSamp
0.072	Gis_12SubSamp
0.141	Gis_12SubSamp
0.085	Gis_12SubSamp
0.133	Gis_12SubSamp
0.11	Gis_12SubSamp
0.15	Gis_12SubSamp
0.094	Gis_12SubSamp
0.128	Gis_12SubSamp
0.144	Gis_12SubSamp
0.102	Gis_12SubSamp
0.099	Gis_14SubSamp
0.114	Gis_14SubSamp
0.095	Gis_14SubSamp
0.111	Gis_14SubSamp
0.106	Gis_14SubSamp
0.094	Gis_14SubSamp
0.071	Gis_14SubSamp
0.089	Gis_14SubSamp
0.123	Gis_14SubSamp
0.117	Gis_14SubSamp
0.092	Gis_14SubSamp
0.098	Gis_14SubSamp
0.119	Gis_14SubSamp
0.112	Gis_14SubSamp
0.127	Gis_14SubSamp
0.109	Gis_14SubSamp
0.141	Gis_14SubSamp
0.119	Gis_14SubSamp
0.135	Gis_14SubSamp
0.107	Gis_14SubSamp
0.116	Gis_14SubSamp
0.128	Gis_14SubSamp
0.081	Gis_14SubSamp
0.139	Gis_14SubSamp
0.093	Gis_14SubSamp
0.096	Gis_14SubSamp
0.091	Gis_14SubSamp
0.133	Gis_14SubSamp
0.129	Gis_14SubSamp
0.092	Gis_14SubSamp
0.074	Gis_14SubSamp
0.116	Gis_14SubSamp
0.108	Gis_14SubSamp
0.119	Gis_14SubSamp
0.071	Gis_14SubSamp
0.089	Gis_14SubSamp
0.085	Gis_14SubSamp
0.099	Gis_14SubSamp
0.134	Gis_14SubSamp
0.093	Gis_14SubSamp
0.092	Gis_14SubSamp
0.105	Gis_14SubSamp
0.111	Gis_14SubSamp
0.096	Gis_14SubSamp
0.078	Gis_14SubSamp
0.123	Gis_14SubSamp
0.123	Gis_14SubSamp
0.113	Gis_14SubSamp
0.091	Gis_14SubSamp
0.098	Gis_14SubSamp
0.136	Gis_14SubSamp
0.115	Gis_14SubSamp
0.143	Gis_14SubSamp
0.124	Gis_14SubSamp
0.124	Gis_14SubSamp
0.118	Gis_14SubSamp
0.101	Gis_14SubSamp
0.091	Gis_14SubSamp
0.121	Gis_14SubSamp
0.103	Gis_14SubSamp
0.104	Gis_14SubSamp
0.106	Gis_14SubSamp
0.112	Gis_14SubSamp
0.113	Gis_14SubSamp
0.08	Gis_14SubSamp
0.103	Gis_14SubSamp
0.114	Gis_14SubSamp
0.097	Gis_14SubSamp
0.115	Gis_14SubSamp
0.136	Gis_14SubSamp
0.103	Gis_14SubSamp
0.104	Gis_14SubSamp
0.09	Gis_14SubSamp
0.105	Gis_14SubSamp
0.103	Gis_14SubSamp
0.121	Gis_14SubSamp
0.091	Gis_14SubSamp
0.098	Gis_14SubSamp
0.114	Gis_14SubSamp
0.116	Gis_14SubSamp
0.148	Gis_14SubSamp
0.096	Gis_14SubSamp
0.149	Gis_14SubSamp
0.086	Gis_14SubSamp
0.095	Gis_14SubSamp
0.121	Gis_14SubSamp
0.099	Gis_14SubSamp
0.106	Gis_14SubSamp
0.106	Gis_14SubSamp
0.102	Gis_14SubSamp
0.108	Gis_14SubSamp
0.096	Gis_14SubSamp
0.133	Gis_14SubSamp
0.135	Gis_14SubSamp
0.122	Gis_14SubSamp
0.087	Gis_14SubSamp
0.1	Gis_14SubSamp
0.109	Gis_14SubSamp
0.107	Gis_14SubSamp
0.087	Gis_14SubSamp
0.116	Gis_16SubSamp
0.15	Gis_16SubSamp
0.104	Gis_16SubSamp
0.126	Gis_16SubSamp
0.117	Gis_16SubSamp
0.091	Gis_16SubSamp
0.108	Gis_16SubSamp
0.093	Gis_16SubSamp
0.098	Gis_16SubSamp
0.102	Gis_16SubSamp
0.081	Gis_16SubSamp
0.109	Gis_16SubSamp
0.115	Gis_16SubSamp
0.119	Gis_16SubSamp
0.119	Gis_16SubSamp
0.129	Gis_16SubSamp
0.107	Gis_16SubSamp
0.099	Gis_16SubSamp
0.127	Gis_16SubSamp
0.092	Gis_16SubSamp
0.131	Gis_16SubSamp
0.09	Gis_16SubSamp
0.111	Gis_16SubSamp
0.101	Gis_16SubSamp
0.078	Gis_16SubSamp
0.108	Gis_16SubSamp
0.099	Gis_16SubSamp
0.101	Gis_16SubSamp
0.112	Gis_16SubSamp
0.099	Gis_16SubSamp
0.12	Gis_16SubSamp
0.077	Gis_16SubSamp
0.118	Gis_16SubSamp
0.112	Gis_16SubSamp
0.114	Gis_16SubSamp
0.13	Gis_16SubSamp
0.14	Gis_16SubSamp
0.083	Gis_16SubSamp
0.109	Gis_16SubSamp
0.118	Gis_16SubSamp
0.094	Gis_16SubSamp
0.102	Gis_16SubSamp
0.084	Gis_16SubSamp
0.14	Gis_16SubSamp
0.126	Gis_16SubSamp
0.114	Gis_16SubSamp
0.108	Gis_16SubSamp
0.113	Gis_16SubSamp
0.145	Gis_16SubSamp
0.099	Gis_16SubSamp
0.127	Gis_16SubSamp
0.114	Gis_16SubSamp
0.08	Gis_16SubSamp
0.141	Gis_16SubSamp
0.148	Gis_16SubSamp
0.128	Gis_16SubSamp
0.119	Gis_16SubSamp
0.107	Gis_16SubSamp
0.103	Gis_16SubSamp
0.077	Gis_16SubSamp
0.105	Gis_16SubSamp
0.1	Gis_16SubSamp
0.063	Gis_16SubSamp
0.101	Gis_16SubSamp
0.119	Gis_16SubSamp
0.109	Gis_16SubSamp
0.133	Gis_16SubSamp
0.112	Gis_16SubSamp
0.117	Gis_16SubSamp
0.125	Gis_16SubSamp
0.074	Gis_16SubSamp
0.1	Gis_16SubSamp
0.119	Gis_16SubSamp
0.106	Gis_16SubSamp
0.094	Gis_16SubSamp
0.092	Gis_16SubSamp
0.116	Gis_16SubSamp
0.113	Gis_16SubSamp
0.089	Gis_16SubSamp
0.108	Gis_16SubSamp
0.111	Gis_16SubSamp
0.106	Gis_16SubSamp
0.121	Gis_16SubSamp
0.123	Gis_16SubSamp
0.102	Gis_16SubSamp
0.089	Gis_16SubSamp
0.074	Gis_16SubSamp
0.131	Gis_16SubSamp
0.082	Gis_16SubSamp
0.114	Gis_16SubSamp
0.106	Gis_16SubSamp
0.082	Gis_16SubSamp
0.123	Gis_16SubSamp
0.077	Gis_16SubSamp
0.114	Gis_16SubSamp
0.083	Gis_16SubSamp
0.107	Gis_16SubSamp
0.1	Gis_16SubSamp
0.071	Gis_16SubSamp
0.15	Gis_16SubSamp
0.131	Gis_18SubSamp
0.099	Gis_18SubSamp
0.122	Gis_18SubSamp
0.088	Gis_18SubSamp
0.102	Gis_18SubSamp
0.116	Gis_18SubSamp
0.129	Gis_18SubSamp
0.103	Gis_18SubSamp
0.078	Gis_18SubSamp
0.113	Gis_18SubSamp
0.13	Gis_18SubSamp
0.095	Gis_18SubSamp
0.081	Gis_18SubSamp
0.094	Gis_18SubSamp
0.102	Gis_18SubSamp
0.098	Gis_18SubSamp
0.122	Gis_18SubSamp
0.102	Gis_18SubSamp
0.099	Gis_18SubSamp
0.14	Gis_18SubSamp
0.135	Gis_18SubSamp
0.08	Gis_18SubSamp
0.105	Gis_18SubSamp
0.102	Gis_18SubSamp
0.105	Gis_18SubSamp
0.098	Gis_18SubSamp
0.127	Gis_18SubSamp
0.122	Gis_18SubSamp
0.101	Gis_18SubSamp
0.131	Gis_18SubSamp
0.118	Gis_18SubSamp
0.094	Gis_18SubSamp
0.099	Gis_18SubSamp
0.104	Gis_18SubSamp
0.099	Gis_18SubSamp
0.111	Gis_18SubSamp
0.113	Gis_18SubSamp
0.07	Gis_18SubSamp
0.137	Gis_18SubSamp
0.105	Gis_18SubSamp
0.104	Gis_18SubSamp
0.145	Gis_18SubSamp
0.1	Gis_18SubSamp
0.125	Gis_18SubSamp
0.139	Gis_18SubSamp
0.1	Gis_18SubSamp
0.142	Gis_18SubSamp
0.113	Gis_18SubSamp
0.109	Gis_18SubSamp
0.101	Gis_18SubSamp
0.108	Gis_18SubSamp
0.123	Gis_18SubSamp
0.103	Gis_18SubSamp
0.115	Gis_18SubSamp
0.093	Gis_18SubSamp
0.131	Gis_18SubSamp
0.119	Gis_18SubSamp
0.118	Gis_18SubSamp
0.112	Gis_18SubSamp
0.111	Gis_18SubSamp
0.132	Gis_18SubSamp
0.101	Gis_18SubSamp
0.09	Gis_18SubSamp
0.107	Gis_18SubSamp
0.122	Gis_18SubSamp
0.1	Gis_18SubSamp
0.121	Gis_18SubSamp
0.102	Gis_18SubSamp
0.115	Gis_18SubSamp
0.12	Gis_18SubSamp
0.108	Gis_18SubSamp
0.095	Gis_18SubSamp
0.09	Gis_18SubSamp
0.095	Gis_18SubSamp
0.101	Gis_18SubSamp
0.098	Gis_18SubSamp
0.119	Gis_18SubSamp
0.103	Gis_18SubSamp
0.11	Gis_18SubSamp
0.116	Gis_18SubSamp
0.109	Gis_18SubSamp
0.101	Gis_18SubSamp
0.115	Gis_18SubSamp
0.11	Gis_18SubSamp
0.088	Gis_18SubSamp
0.129	Gis_18SubSamp
0.113	Gis_18SubSamp
0.084	Gis_18SubSamp
0.103	Gis_18SubSamp
0.12	Gis_18SubSamp
0.112	Gis_18SubSamp
0.139	Gis_18SubSamp
0.119	Gis_18SubSamp
0.131	Gis_18SubSamp
0.117	Gis_18SubSamp
0.091	Gis_18SubSamp
0.107	Gis_18SubSamp
0.109	Gis_18SubSamp
0.131	Gis_18SubSamp
0.122	Gis_18SubSamp
0.121	Gis_20SubSamp
0.111	Gis_20SubSamp
0.107	Gis_20SubSamp
0.121	Gis_20SubSamp
0.11	Gis_20SubSamp
0.113	Gis_20SubSamp
0.104	Gis_20SubSamp
0.115	Gis_20SubSamp
0.094	Gis_20SubSamp
0.113	Gis_20SubSamp
0.119	Gis_20SubSamp
0.116	Gis_20SubSamp
0.105	Gis_20SubSamp
0.108	Gis_20SubSamp
0.092	Gis_20SubSamp
0.1	Gis_20SubSamp
0.127	Gis_20SubSamp
0.1	Gis_20SubSamp
0.108	Gis_20SubSamp
0.09	Gis_20SubSamp
0.105	Gis_20SubSamp
0.108	Gis_20SubSamp
0.103	Gis_20SubSamp
0.094	Gis_20SubSamp
0.101	Gis_20SubSamp
0.102	Gis_20SubSamp
0.105	Gis_20SubSamp
0.11	Gis_20SubSamp
0.108	Gis_20SubSamp
0.106	Gis_20SubSamp
0.099	Gis_20SubSamp
0.118	Gis_20SubSamp
0.113	Gis_20SubSamp
0.105	Gis_20SubSamp
0.123	Gis_20SubSamp
0.072	Gis_20SubSamp
0.09	Gis_20SubSamp
0.114	Gis_20SubSamp
0.11	Gis_20SubSamp
0.116	Gis_20SubSamp
0.093	Gis_20SubSamp
0.123	Gis_20SubSamp
0.102	Gis_20SubSamp
0.115	Gis_20SubSamp
0.117	Gis_20SubSamp
0.105	Gis_20SubSamp
0.11	Gis_20SubSamp
0.102	Gis_20SubSamp
0.1	Gis_20SubSamp
