MPO_Gis_estimates	Subsampling_group
0.166	Gis_04SubSamp
0.26	Gis_04SubSamp
0.166	Gis_04SubSamp
0.061	Gis_04SubSamp
0.076	Gis_04SubSamp
0.125	Gis_04SubSamp
0.129	Gis_04SubSamp
0.231	Gis_04SubSamp
0.177	Gis_04SubSamp
0.093	Gis_04SubSamp
0.095	Gis_04SubSamp
0.106	Gis_04SubSamp
0.168	Gis_04SubSamp
0.133	Gis_04SubSamp
0.107	Gis_04SubSamp
0.094	Gis_04SubSamp
0.186	Gis_04SubSamp
0.086	Gis_04SubSamp
0.099	Gis_04SubSamp
0.07	Gis_04SubSamp
0.127	Gis_04SubSamp
0.19	Gis_04SubSamp
0.157	Gis_04SubSamp
0.153	Gis_04SubSamp
0.06	Gis_04SubSamp
0.047	Gis_04SubSamp
0.126	Gis_04SubSamp
0.059	Gis_04SubSamp
0.093	Gis_04SubSamp
0.108	Gis_04SubSamp
0.05	Gis_04SubSamp
0.169	Gis_04SubSamp
0.12	Gis_04SubSamp
0.077	Gis_04SubSamp
0.095	Gis_04SubSamp
0.163	Gis_04SubSamp
0.048	Gis_04SubSamp
0.096	Gis_06SubSamp
0.095	Gis_06SubSamp
0.13	Gis_06SubSamp
0.079	Gis_06SubSamp
0.147	Gis_06SubSamp
0.133	Gis_06SubSamp
0.109	Gis_06SubSamp
0.064	Gis_06SubSamp
0.148	Gis_06SubSamp
0.072	Gis_06SubSamp
0.101	Gis_06SubSamp
0.123	Gis_06SubSamp
0.108	Gis_06SubSamp
0.109	Gis_06SubSamp
0.118	Gis_06SubSamp
0.107	Gis_06SubSamp
0.106	Gis_06SubSamp
0.175	Gis_06SubSamp
0.11	Gis_06SubSamp
0.153	Gis_06SubSamp
0.072	Gis_06SubSamp
0.08	Gis_06SubSamp
0.14	Gis_06SubSamp
0.148	Gis_06SubSamp
0.092	Gis_06SubSamp
0.084	Gis_06SubSamp
0.162	Gis_06SubSamp
0.126	Gis_06SubSamp
0.116	Gis_06SubSamp
0.106	Gis_06SubSamp
0.092	Gis_06SubSamp
0.106	Gis_06SubSamp
0.109	Gis_06SubSamp
0.112	Gis_06SubSamp
0.075	Gis_06SubSamp
0.085	Gis_06SubSamp
0.157	Gis_06SubSamp
0.104	Gis_06SubSamp
0.127	Gis_06SubSamp
0.173	Gis_06SubSamp
0.146	Gis_06SubSamp
0.135	Gis_06SubSamp
0.167	Gis_06SubSamp
0.143	Gis_06SubSamp
0.107	Gis_06SubSamp
0.162	Gis_06SubSamp
0.167	Gis_06SubSamp
0.106	Gis_06SubSamp
0.104	Gis_06SubSamp
0.087	Gis_06SubSamp
0.065	Gis_06SubSamp
0.119	Gis_06SubSamp
0.081	Gis_06SubSamp
0.106	Gis_06SubSamp
0.071	Gis_06SubSamp
0.155	Gis_06SubSamp
0.183	Gis_06SubSamp
0.086	Gis_06SubSamp
0.152	Gis_06SubSamp
0.151	Gis_06SubSamp
0.087	Gis_06SubSamp
0.125	Gis_06SubSamp
0.101	Gis_06SubSamp
0.102	Gis_06SubSamp
0.18	Gis_06SubSamp
0.139	Gis_06SubSamp
0.151	Gis_06SubSamp
0.109	Gis_06SubSamp
0.093	Gis_06SubSamp
0.197	Gis_06SubSamp
0.147	Gis_06SubSamp
0.069	Gis_06SubSamp
0.153	Gis_06SubSamp
0.101	Gis_06SubSamp
0.108	Gis_06SubSamp
0.129	Gis_06SubSamp
0.108	Gis_06SubSamp
0.095	Gis_06SubSamp
0.101	Gis_06SubSamp
0.097	Gis_06SubSamp
0.098	Gis_06SubSamp
0.207	Gis_06SubSamp
0.164	Gis_06SubSamp
0.086	Gis_06SubSamp
0.112	Gis_06SubSamp
0.208	Gis_06SubSamp
0.182	Gis_06SubSamp
0.129	Gis_06SubSamp
0.112	Gis_06SubSamp
0.032	Gis_06SubSamp
0.106	Gis_06SubSamp
0.119	Gis_06SubSamp
0.085	Gis_06SubSamp
0.101	Gis_06SubSamp
0.072	Gis_06SubSamp
0.07	Gis_06SubSamp
0.142	Gis_06SubSamp
0.04	Gis_06SubSamp
0.164	Gis_06SubSamp
0.178	Gis_06SubSamp
0.131	Gis_08SubSamp
0.165	Gis_08SubSamp
0.107	Gis_08SubSamp
0.126	Gis_08SubSamp
0.105	Gis_08SubSamp
0.096	Gis_08SubSamp
0.13	Gis_08SubSamp
0.085	Gis_08SubSamp
0.105	Gis_08SubSamp
0.178	Gis_08SubSamp
0.093	Gis_08SubSamp
0.105	Gis_08SubSamp
0.059	Gis_08SubSamp
0.13	Gis_08SubSamp
0.158	Gis_08SubSamp
0.072	Gis_08SubSamp
0.057	Gis_08SubSamp
0.107	Gis_08SubSamp
0.182	Gis_08SubSamp
0.089	Gis_08SubSamp
0.143	Gis_08SubSamp
0.183	Gis_08SubSamp
0.091	Gis_08SubSamp
0.092	Gis_08SubSamp
0.102	Gis_08SubSamp
0.067	Gis_08SubSamp
0.103	Gis_08SubSamp
0.129	Gis_08SubSamp
0.166	Gis_08SubSamp
0.117	Gis_08SubSamp
0.082	Gis_08SubSamp
0.14	Gis_08SubSamp
0.131	Gis_08SubSamp
0.152	Gis_08SubSamp
0.037	Gis_08SubSamp
0.136	Gis_08SubSamp
0.14	Gis_08SubSamp
0.129	Gis_08SubSamp
0.126	Gis_08SubSamp
0.087	Gis_08SubSamp
0.129	Gis_08SubSamp
0.14	Gis_08SubSamp
0.166	Gis_08SubSamp
0.141	Gis_08SubSamp
0.126	Gis_08SubSamp
0.082	Gis_08SubSamp
0.087	Gis_08SubSamp
0.119	Gis_08SubSamp
0.09	Gis_08SubSamp
0.153	Gis_08SubSamp
0.096	Gis_08SubSamp
0.12	Gis_08SubSamp
0.166	Gis_08SubSamp
0.171	Gis_08SubSamp
0.085	Gis_08SubSamp
0.155	Gis_08SubSamp
0.119	Gis_08SubSamp
0.211	Gis_08SubSamp
0.076	Gis_08SubSamp
0.162	Gis_08SubSamp
0.153	Gis_08SubSamp
0.101	Gis_08SubSamp
0.097	Gis_08SubSamp
0.113	Gis_08SubSamp
0.127	Gis_08SubSamp
0.097	Gis_08SubSamp
0.111	Gis_08SubSamp
0.106	Gis_08SubSamp
0.123	Gis_08SubSamp
0.106	Gis_08SubSamp
0.119	Gis_08SubSamp
0.163	Gis_08SubSamp
0.173	Gis_08SubSamp
0.074	Gis_08SubSamp
0.103	Gis_08SubSamp
0.115	Gis_08SubSamp
0.117	Gis_08SubSamp
0.154	Gis_08SubSamp
0.109	Gis_08SubSamp
0.145	Gis_08SubSamp
0.122	Gis_08SubSamp
0.118	Gis_08SubSamp
0.102	Gis_08SubSamp
0.072	Gis_08SubSamp
0.094	Gis_08SubSamp
0.11	Gis_08SubSamp
0.124	Gis_08SubSamp
0.094	Gis_08SubSamp
0.096	Gis_08SubSamp
0.215	Gis_08SubSamp
0.085	Gis_08SubSamp
0.097	Gis_08SubSamp
0.1	Gis_08SubSamp
0.136	Gis_08SubSamp
0.145	Gis_08SubSamp
0.155	Gis_08SubSamp
0.148	Gis_08SubSamp
0.131	Gis_08SubSamp
0.124	Gis_08SubSamp
0.139	Gis_08SubSamp
0.152	Gis_10SubSamp
0.14	Gis_10SubSamp
0.128	Gis_10SubSamp
0.189	Gis_10SubSamp
0.118	Gis_10SubSamp
0.126	Gis_10SubSamp
0.08	Gis_10SubSamp
0.099	Gis_10SubSamp
0.087	Gis_10SubSamp
0.128	Gis_10SubSamp
0.148	Gis_10SubSamp
0.119	Gis_10SubSamp
0.108	Gis_10SubSamp
0.129	Gis_10SubSamp
0.133	Gis_10SubSamp
0.174	Gis_10SubSamp
0.171	Gis_10SubSamp
0.115	Gis_10SubSamp
0.072	Gis_10SubSamp
0.162	Gis_10SubSamp
0.121	Gis_10SubSamp
0.176	Gis_10SubSamp
0.145	Gis_10SubSamp
0.095	Gis_10SubSamp
0.102	Gis_10SubSamp
0.109	Gis_10SubSamp
0.129	Gis_10SubSamp
0.089	Gis_10SubSamp
0.15	Gis_10SubSamp
0.147	Gis_10SubSamp
0.108	Gis_10SubSamp
0.123	Gis_10SubSamp
0.165	Gis_10SubSamp
0.168	Gis_10SubSamp
0.105	Gis_10SubSamp
0.121	Gis_10SubSamp
0.15	Gis_10SubSamp
0.11	Gis_10SubSamp
0.082	Gis_10SubSamp
0.107	Gis_10SubSamp
0.141	Gis_10SubSamp
0.114	Gis_10SubSamp
0.11	Gis_10SubSamp
0.113	Gis_10SubSamp
0.078	Gis_10SubSamp
0.118	Gis_10SubSamp
0.115	Gis_10SubSamp
0.144	Gis_10SubSamp
0.151	Gis_10SubSamp
0.15	Gis_10SubSamp
0.106	Gis_10SubSamp
0.146	Gis_10SubSamp
0.068	Gis_10SubSamp
0.161	Gis_10SubSamp
0.111	Gis_10SubSamp
0.181	Gis_10SubSamp
0.157	Gis_10SubSamp
0.134	Gis_10SubSamp
0.136	Gis_10SubSamp
0.078	Gis_10SubSamp
0.134	Gis_10SubSamp
0.124	Gis_10SubSamp
0.121	Gis_10SubSamp
0.093	Gis_10SubSamp
0.118	Gis_10SubSamp
0.134	Gis_10SubSamp
0.151	Gis_10SubSamp
0.161	Gis_10SubSamp
0.116	Gis_10SubSamp
0.172	Gis_10SubSamp
0.115	Gis_10SubSamp
0.167	Gis_10SubSamp
0.12	Gis_10SubSamp
0.093	Gis_10SubSamp
0.128	Gis_10SubSamp
0.096	Gis_10SubSamp
0.137	Gis_10SubSamp
0.11	Gis_10SubSamp
0.143	Gis_10SubSamp
0.135	Gis_10SubSamp
0.094	Gis_10SubSamp
0.07	Gis_10SubSamp
0.113	Gis_10SubSamp
0.12	Gis_10SubSamp
0.095	Gis_10SubSamp
0.141	Gis_10SubSamp
0.13	Gis_10SubSamp
0.148	Gis_10SubSamp
0.146	Gis_10SubSamp
0.105	Gis_10SubSamp
0.102	Gis_10SubSamp
0.129	Gis_10SubSamp
0.132	Gis_10SubSamp
0.123	Gis_10SubSamp
0.15	Gis_10SubSamp
0.083	Gis_10SubSamp
0.108	Gis_10SubSamp
0.105	Gis_10SubSamp
0.146	Gis_10SubSamp
0.146	Gis_10SubSamp
0.163	Gis_12SubSamp
0.106	Gis_12SubSamp
0.142	Gis_12SubSamp
0.158	Gis_12SubSamp
0.106	Gis_12SubSamp
0.188	Gis_12SubSamp
0.113	Gis_12SubSamp
0.111	Gis_12SubSamp
0.105	Gis_12SubSamp
0.114	Gis_12SubSamp
0.093	Gis_12SubSamp
0.15	Gis_12SubSamp
0.124	Gis_12SubSamp
0.173	Gis_12SubSamp
0.09	Gis_12SubSamp
0.157	Gis_12SubSamp
0.098	Gis_12SubSamp
0.067	Gis_12SubSamp
0.104	Gis_12SubSamp
0.121	Gis_12SubSamp
0.101	Gis_12SubSamp
0.099	Gis_12SubSamp
0.102	Gis_12SubSamp
0.103	Gis_12SubSamp
0.125	Gis_12SubSamp
0.085	Gis_12SubSamp
0.115	Gis_12SubSamp
0.115	Gis_12SubSamp
0.138	Gis_12SubSamp
0.111	Gis_12SubSamp
0.11	Gis_12SubSamp
0.103	Gis_12SubSamp
0.122	Gis_12SubSamp
0.126	Gis_12SubSamp
0.132	Gis_12SubSamp
0.13	Gis_12SubSamp
0.13	Gis_12SubSamp
0.127	Gis_12SubSamp
0.105	Gis_12SubSamp
0.133	Gis_12SubSamp
0.122	Gis_12SubSamp
0.142	Gis_12SubSamp
0.104	Gis_12SubSamp
0.156	Gis_12SubSamp
0.102	Gis_12SubSamp
0.118	Gis_12SubSamp
0.155	Gis_12SubSamp
0.158	Gis_12SubSamp
0.12	Gis_12SubSamp
0.096	Gis_12SubSamp
0.099	Gis_12SubSamp
0.131	Gis_12SubSamp
0.116	Gis_12SubSamp
0.113	Gis_12SubSamp
0.101	Gis_12SubSamp
0.141	Gis_12SubSamp
0.089	Gis_12SubSamp
0.117	Gis_12SubSamp
0.1	Gis_12SubSamp
0.126	Gis_12SubSamp
0.114	Gis_12SubSamp
0.132	Gis_12SubSamp
0.125	Gis_12SubSamp
0.137	Gis_12SubSamp
0.118	Gis_12SubSamp
0.089	Gis_12SubSamp
0.136	Gis_12SubSamp
0.11	Gis_12SubSamp
0.133	Gis_12SubSamp
0.134	Gis_12SubSamp
0.138	Gis_12SubSamp
0.113	Gis_12SubSamp
0.173	Gis_12SubSamp
0.103	Gis_12SubSamp
0.155	Gis_12SubSamp
0.108	Gis_12SubSamp
0.141	Gis_12SubSamp
0.117	Gis_12SubSamp
0.17	Gis_12SubSamp
0.109	Gis_12SubSamp
0.084	Gis_12SubSamp
0.129	Gis_12SubSamp
0.134	Gis_12SubSamp
0.13	Gis_12SubSamp
0.096	Gis_12SubSamp
0.088	Gis_12SubSamp
0.145	Gis_12SubSamp
0.134	Gis_12SubSamp
0.109	Gis_12SubSamp
0.111	Gis_12SubSamp
0.111	Gis_12SubSamp
0.097	Gis_12SubSamp
0.112	Gis_12SubSamp
0.125	Gis_12SubSamp
0.086	Gis_12SubSamp
0.131	Gis_12SubSamp
0.108	Gis_12SubSamp
0.136	Gis_12SubSamp
0.112	Gis_12SubSamp
0.137	Gis_12SubSamp
0.118	Gis_14SubSamp
0.121	Gis_14SubSamp
0.121	Gis_14SubSamp
0.114	Gis_14SubSamp
0.149	Gis_14SubSamp
0.109	Gis_14SubSamp
0.129	Gis_14SubSamp
0.092	Gis_14SubSamp
0.145	Gis_14SubSamp
0.13	Gis_14SubSamp
0.124	Gis_14SubSamp
0.147	Gis_14SubSamp
0.127	Gis_14SubSamp
0.121	Gis_14SubSamp
0.097	Gis_14SubSamp
0.132	Gis_14SubSamp
0.109	Gis_14SubSamp
0.108	Gis_14SubSamp
0.103	Gis_14SubSamp
0.13	Gis_14SubSamp
0.131	Gis_14SubSamp
0.103	Gis_14SubSamp
0.097	Gis_14SubSamp
0.112	Gis_14SubSamp
0.135	Gis_14SubSamp
0.129	Gis_14SubSamp
0.128	Gis_14SubSamp
0.13	Gis_14SubSamp
0.123	Gis_14SubSamp
0.127	Gis_14SubSamp
0.1	Gis_14SubSamp
0.142	Gis_14SubSamp
0.12	Gis_14SubSamp
0.146	Gis_14SubSamp
0.098	Gis_14SubSamp
0.114	Gis_14SubSamp
0.1	Gis_14SubSamp
0.098	Gis_14SubSamp
0.118	Gis_14SubSamp
0.161	Gis_14SubSamp
0.115	Gis_14SubSamp
0.121	Gis_14SubSamp
0.148	Gis_14SubSamp
0.131	Gis_14SubSamp
0.098	Gis_14SubSamp
0.142	Gis_14SubSamp
0.097	Gis_14SubSamp
0.129	Gis_14SubSamp
0.074	Gis_14SubSamp
0.117	Gis_14SubSamp
0.116	Gis_14SubSamp
0.116	Gis_14SubSamp
0.129	Gis_14SubSamp
0.085	Gis_14SubSamp
0.158	Gis_14SubSamp
0.094	Gis_14SubSamp
0.085	Gis_14SubSamp
0.11	Gis_14SubSamp
0.12	Gis_14SubSamp
0.159	Gis_14SubSamp
0.106	Gis_14SubSamp
0.112	Gis_14SubSamp
0.136	Gis_14SubSamp
0.083	Gis_14SubSamp
0.108	Gis_14SubSamp
0.112	Gis_14SubSamp
0.155	Gis_14SubSamp
0.136	Gis_14SubSamp
0.135	Gis_14SubSamp
0.117	Gis_14SubSamp
0.095	Gis_14SubSamp
0.124	Gis_14SubSamp
0.107	Gis_14SubSamp
0.146	Gis_14SubSamp
0.109	Gis_14SubSamp
0.138	Gis_14SubSamp
0.11	Gis_14SubSamp
0.14	Gis_14SubSamp
0.124	Gis_14SubSamp
0.126	Gis_14SubSamp
0.092	Gis_14SubSamp
0.121	Gis_14SubSamp
0.082	Gis_14SubSamp
0.135	Gis_14SubSamp
0.134	Gis_14SubSamp
0.123	Gis_14SubSamp
0.097	Gis_14SubSamp
0.108	Gis_14SubSamp
0.13	Gis_14SubSamp
0.126	Gis_14SubSamp
0.13	Gis_14SubSamp
0.132	Gis_14SubSamp
0.142	Gis_14SubSamp
0.124	Gis_14SubSamp
0.132	Gis_14SubSamp
0.127	Gis_14SubSamp
0.105	Gis_14SubSamp
0.152	Gis_14SubSamp
0.115	Gis_14SubSamp
0.14	Gis_14SubSamp
0.146	Gis_16SubSamp
0.092	Gis_16SubSamp
0.126	Gis_16SubSamp
0.103	Gis_16SubSamp
0.116	Gis_16SubSamp
0.131	Gis_16SubSamp
0.147	Gis_16SubSamp
0.119	Gis_16SubSamp
0.113	Gis_16SubSamp
0.104	Gis_16SubSamp
0.113	Gis_16SubSamp
0.147	Gis_16SubSamp
0.12	Gis_16SubSamp
0.129	Gis_16SubSamp
0.124	Gis_16SubSamp
0.16	Gis_16SubSamp
0.108	Gis_16SubSamp
0.138	Gis_16SubSamp
0.138	Gis_16SubSamp
0.094	Gis_16SubSamp
0.139	Gis_16SubSamp
0.103	Gis_16SubSamp
0.139	Gis_16SubSamp
0.134	Gis_16SubSamp
0.117	Gis_16SubSamp
0.133	Gis_16SubSamp
0.14	Gis_16SubSamp
0.12	Gis_16SubSamp
0.129	Gis_16SubSamp
0.121	Gis_16SubSamp
0.128	Gis_16SubSamp
0.128	Gis_16SubSamp
0.147	Gis_16SubSamp
0.143	Gis_16SubSamp
0.148	Gis_16SubSamp
0.151	Gis_16SubSamp
0.12	Gis_16SubSamp
0.156	Gis_16SubSamp
0.12	Gis_16SubSamp
0.097	Gis_16SubSamp
0.123	Gis_16SubSamp
0.092	Gis_16SubSamp
0.136	Gis_16SubSamp
0.106	Gis_16SubSamp
0.148	Gis_16SubSamp
0.119	Gis_16SubSamp
0.113	Gis_16SubSamp
0.139	Gis_16SubSamp
0.103	Gis_16SubSamp
0.116	Gis_16SubSamp
0.124	Gis_16SubSamp
0.118	Gis_16SubSamp
0.133	Gis_16SubSamp
0.139	Gis_16SubSamp
0.138	Gis_16SubSamp
0.135	Gis_16SubSamp
0.127	Gis_16SubSamp
0.1	Gis_16SubSamp
0.115	Gis_16SubSamp
0.134	Gis_16SubSamp
0.148	Gis_16SubSamp
0.117	Gis_16SubSamp
0.124	Gis_16SubSamp
0.14	Gis_16SubSamp
0.101	Gis_16SubSamp
0.105	Gis_16SubSamp
0.114	Gis_16SubSamp
0.109	Gis_16SubSamp
0.127	Gis_16SubSamp
0.098	Gis_16SubSamp
0.118	Gis_16SubSamp
0.129	Gis_16SubSamp
0.101	Gis_16SubSamp
0.134	Gis_16SubSamp
0.157	Gis_16SubSamp
0.114	Gis_16SubSamp
0.103	Gis_16SubSamp
0.122	Gis_16SubSamp
0.131	Gis_16SubSamp
0.158	Gis_16SubSamp
0.139	Gis_16SubSamp
0.114	Gis_16SubSamp
0.104	Gis_16SubSamp
0.154	Gis_16SubSamp
0.109	Gis_16SubSamp
0.097	Gis_16SubSamp
0.107	Gis_16SubSamp
0.136	Gis_16SubSamp
0.08	Gis_16SubSamp
0.122	Gis_16SubSamp
0.122	Gis_16SubSamp
0.14	Gis_16SubSamp
0.117	Gis_16SubSamp
0.133	Gis_16SubSamp
0.129	Gis_16SubSamp
0.122	Gis_16SubSamp
0.117	Gis_16SubSamp
0.119	Gis_16SubSamp
0.108	Gis_16SubSamp
0.106	Gis_16SubSamp
0.115	Gis_18SubSamp
0.112	Gis_18SubSamp
0.137	Gis_18SubSamp
0.113	Gis_18SubSamp
0.093	Gis_18SubSamp
0.105	Gis_18SubSamp
0.122	Gis_18SubSamp
0.139	Gis_18SubSamp
0.122	Gis_18SubSamp
0.1	Gis_18SubSamp
0.106	Gis_18SubSamp
0.114	Gis_18SubSamp
0.128	Gis_18SubSamp
0.116	Gis_18SubSamp
0.103	Gis_18SubSamp
0.126	Gis_18SubSamp
0.102	Gis_18SubSamp
0.14	Gis_18SubSamp
0.146	Gis_18SubSamp
0.114	Gis_18SubSamp
0.132	Gis_18SubSamp
0.145	Gis_18SubSamp
0.107	Gis_18SubSamp
0.136	Gis_18SubSamp
0.111	Gis_18SubSamp
0.118	Gis_18SubSamp
0.139	Gis_18SubSamp
0.106	Gis_18SubSamp
0.137	Gis_18SubSamp
0.102	Gis_18SubSamp
0.104	Gis_18SubSamp
0.098	Gis_18SubSamp
0.112	Gis_18SubSamp
0.116	Gis_18SubSamp
0.126	Gis_18SubSamp
0.138	Gis_18SubSamp
0.108	Gis_18SubSamp
0.11	Gis_18SubSamp
0.106	Gis_18SubSamp
0.116	Gis_18SubSamp
0.116	Gis_18SubSamp
0.107	Gis_18SubSamp
0.125	Gis_18SubSamp
0.128	Gis_18SubSamp
0.119	Gis_18SubSamp
0.111	Gis_18SubSamp
0.119	Gis_18SubSamp
0.118	Gis_18SubSamp
0.116	Gis_18SubSamp
0.085	Gis_18SubSamp
0.128	Gis_18SubSamp
0.118	Gis_18SubSamp
0.122	Gis_18SubSamp
0.132	Gis_18SubSamp
0.141	Gis_18SubSamp
0.115	Gis_18SubSamp
0.126	Gis_18SubSamp
0.129	Gis_18SubSamp
0.097	Gis_18SubSamp
0.127	Gis_18SubSamp
0.123	Gis_18SubSamp
0.138	Gis_18SubSamp
0.148	Gis_18SubSamp
0.107	Gis_18SubSamp
0.104	Gis_18SubSamp
0.109	Gis_18SubSamp
0.136	Gis_18SubSamp
0.13	Gis_18SubSamp
0.113	Gis_18SubSamp
0.125	Gis_18SubSamp
0.125	Gis_18SubSamp
0.124	Gis_18SubSamp
0.131	Gis_18SubSamp
0.13	Gis_18SubSamp
0.123	Gis_18SubSamp
0.117	Gis_18SubSamp
0.123	Gis_18SubSamp
0.16	Gis_18SubSamp
0.119	Gis_18SubSamp
0.112	Gis_18SubSamp
0.125	Gis_18SubSamp
0.116	Gis_18SubSamp
0.097	Gis_18SubSamp
0.123	Gis_18SubSamp
0.131	Gis_18SubSamp
0.131	Gis_18SubSamp
0.137	Gis_18SubSamp
0.136	Gis_18SubSamp
0.11	Gis_18SubSamp
0.118	Gis_18SubSamp
0.115	Gis_18SubSamp
0.123	Gis_18SubSamp
0.105	Gis_18SubSamp
0.149	Gis_18SubSamp
0.13	Gis_18SubSamp
0.132	Gis_18SubSamp
0.124	Gis_18SubSamp
0.124	Gis_18SubSamp
0.12	Gis_18SubSamp
0.108	Gis_18SubSamp
0.136	Gis_20SubSamp
0.126	Gis_20SubSamp
0.136	Gis_20SubSamp
0.118	Gis_20SubSamp
0.122	Gis_20SubSamp
0.127	Gis_20SubSamp
0.108	Gis_20SubSamp
0.113	Gis_20SubSamp
0.133	Gis_20SubSamp
0.115	Gis_20SubSamp
0.116	Gis_20SubSamp
0.145	Gis_20SubSamp
0.122	Gis_20SubSamp
0.138	Gis_20SubSamp
0.116	Gis_20SubSamp
0.12	Gis_20SubSamp
0.122	Gis_20SubSamp
0.126	Gis_20SubSamp
0.121	Gis_20SubSamp
0.124	Gis_20SubSamp
0.117	Gis_20SubSamp
0.127	Gis_20SubSamp
0.136	Gis_20SubSamp
0.129	Gis_20SubSamp
0.129	Gis_20SubSamp
0.114	Gis_20SubSamp
0.134	Gis_20SubSamp
0.126	Gis_20SubSamp
0.141	Gis_20SubSamp
0.118	Gis_20SubSamp
0.131	Gis_20SubSamp
0.109	Gis_20SubSamp
0.151	Gis_20SubSamp
0.126	Gis_20SubSamp
0.12	Gis_20SubSamp
0.126	Gis_20SubSamp
0.117	Gis_20SubSamp
0.123	Gis_20SubSamp
0.112	Gis_20SubSamp
0.099	Gis_20SubSamp
0.127	Gis_20SubSamp
