MPO_Hs_estimates	Subsampling_group
0.117	Hs_06SubSamp
0.118	Hs_06SubSamp
0.128	Hs_06SubSamp
0.118	Hs_06SubSamp
0.129	Hs_06SubSamp
0.123	Hs_06SubSamp
0.123	Hs_06SubSamp
0.128	Hs_06SubSamp
0.123	Hs_06SubSamp
0.117	Hs_06SubSamp
0.115	Hs_06SubSamp
0.123	Hs_06SubSamp
0.117	Hs_06SubSamp
0.118	Hs_06SubSamp
0.128	Hs_06SubSamp
0.117	Hs_06SubSamp
0.129	Hs_06SubSamp
0.122	Hs_06SubSamp
0.117	Hs_06SubSamp
0.118	Hs_06SubSamp
0.112	Hs_06SubSamp
0.125	Hs_06SubSamp
0.125	Hs_06SubSamp
0.115	Hs_06SubSamp
0.12	Hs_06SubSamp
0.127	Hs_06SubSamp
0.119	Hs_06SubSamp
0.118	Hs_06SubSamp
0.123	Hs_06SubSamp
0.125	Hs_06SubSamp
0.127	Hs_06SubSamp
0.124	Hs_06SubSamp
0.123	Hs_06SubSamp
0.121	Hs_06SubSamp
0.122	Hs_06SubSamp
0.114	Hs_06SubSamp
0.119	Hs_06SubSamp
0.128	Hs_06SubSamp
0.119	Hs_06SubSamp
0.107	Hs_06SubSamp
0.113	Hs_06SubSamp
0.117	Hs_06SubSamp
0.122	Hs_06SubSamp
0.127	Hs_06SubSamp
0.122	Hs_06SubSamp
0.118	Hs_06SubSamp
0.122	Hs_06SubSamp
0.123	Hs_06SubSamp
0.123	Hs_06SubSamp
0.13	Hs_06SubSamp
0.118	Hs_06SubSamp
0.13	Hs_06SubSamp
0.116	Hs_06SubSamp
0.116	Hs_06SubSamp
0.117	Hs_08SubSamp
0.113	Hs_08SubSamp
0.12	Hs_08SubSamp
0.12	Hs_08SubSamp
0.123	Hs_08SubSamp
0.12	Hs_08SubSamp
0.123	Hs_08SubSamp
0.121	Hs_08SubSamp
0.123	Hs_08SubSamp
0.111	Hs_08SubSamp
0.131	Hs_08SubSamp
0.121	Hs_08SubSamp
0.125	Hs_08SubSamp
0.12	Hs_08SubSamp
0.116	Hs_08SubSamp
0.123	Hs_08SubSamp
0.127	Hs_08SubSamp
0.121	Hs_08SubSamp
0.116	Hs_08SubSamp
0.131	Hs_08SubSamp
0.118	Hs_08SubSamp
0.112	Hs_08SubSamp
0.123	Hs_08SubSamp
0.12	Hs_08SubSamp
0.115	Hs_08SubSamp
0.126	Hs_08SubSamp
0.12	Hs_08SubSamp
0.123	Hs_08SubSamp
0.116	Hs_08SubSamp
0.119	Hs_08SubSamp
0.124	Hs_08SubSamp
0.119	Hs_08SubSamp
0.115	Hs_08SubSamp
0.115	Hs_08SubSamp
0.126	Hs_08SubSamp
0.116	Hs_08SubSamp
0.119	Hs_08SubSamp
0.12	Hs_08SubSamp
0.123	Hs_08SubSamp
0.123	Hs_08SubSamp
0.12	Hs_08SubSamp
0.117	Hs_08SubSamp
0.116	Hs_08SubSamp
0.123	Hs_08SubSamp
0.128	Hs_08SubSamp
0.127	Hs_08SubSamp
0.121	Hs_08SubSamp
0.122	Hs_08SubSamp
0.129	Hs_08SubSamp
0.116	Hs_08SubSamp
0.129	Hs_08SubSamp
0.12	Hs_08SubSamp
0.114	Hs_08SubSamp
0.112	Hs_08SubSamp
0.12	Hs_08SubSamp
0.12	Hs_08SubSamp
0.123	Hs_08SubSamp
0.114	Hs_08SubSamp
0.127	Hs_08SubSamp
0.118	Hs_08SubSamp
0.123	Hs_08SubSamp
0.12	Hs_08SubSamp
0.122	Hs_08SubSamp
0.117	Hs_08SubSamp
0.118	Hs_08SubSamp
0.125	Hs_08SubSamp
0.119	Hs_08SubSamp
0.124	Hs_08SubSamp
0.121	Hs_08SubSamp
0.126	Hs_08SubSamp
0.118	Hs_08SubSamp
0.115	Hs_08SubSamp
0.12	Hs_08SubSamp
0.134	Hs_08SubSamp
0.125	Hs_08SubSamp
0.125	Hs_08SubSamp
0.118	Hs_08SubSamp
0.121	Hs_08SubSamp
0.123	Hs_08SubSamp
0.114	Hs_08SubSamp
0.125	Hs_08SubSamp
0.122	Hs_08SubSamp
0.117	Hs_08SubSamp
0.128	Hs_08SubSamp
0.123	Hs_08SubSamp
0.119	Hs_08SubSamp
0.117	Hs_08SubSamp
0.119	Hs_08SubSamp
0.119	Hs_08SubSamp
0.108	Hs_08SubSamp
0.127	Hs_08SubSamp
0.124	Hs_08SubSamp
0.128	Hs_08SubSamp
0.118	Hs_08SubSamp
0.116	Hs_08SubSamp
0.115	Hs_08SubSamp
0.12	Hs_08SubSamp
0.119	Hs_08SubSamp
0.116	Hs_08SubSamp
0.116	Hs_08SubSamp
0.12	Hs_10SubSamp
0.118	Hs_10SubSamp
0.121	Hs_10SubSamp
0.11	Hs_10SubSamp
0.121	Hs_10SubSamp
0.123	Hs_10SubSamp
0.127	Hs_10SubSamp
0.119	Hs_10SubSamp
0.127	Hs_10SubSamp
0.116	Hs_10SubSamp
0.118	Hs_10SubSamp
0.118	Hs_10SubSamp
0.124	Hs_10SubSamp
0.119	Hs_10SubSamp
0.118	Hs_10SubSamp
0.114	Hs_10SubSamp
0.109	Hs_10SubSamp
0.118	Hs_10SubSamp
0.127	Hs_10SubSamp
0.118	Hs_10SubSamp
0.118	Hs_10SubSamp
0.115	Hs_10SubSamp
0.117	Hs_10SubSamp
0.122	Hs_10SubSamp
0.125	Hs_10SubSamp
0.122	Hs_10SubSamp
0.122	Hs_10SubSamp
0.124	Hs_10SubSamp
0.118	Hs_10SubSamp
0.116	Hs_10SubSamp
0.12	Hs_10SubSamp
0.121	Hs_10SubSamp
0.113	Hs_10SubSamp
0.115	Hs_10SubSamp
0.122	Hs_10SubSamp
0.121	Hs_10SubSamp
0.118	Hs_10SubSamp
0.125	Hs_10SubSamp
0.124	Hs_10SubSamp
0.12	Hs_10SubSamp
0.117	Hs_10SubSamp
0.12	Hs_10SubSamp
0.125	Hs_10SubSamp
0.12	Hs_10SubSamp
0.124	Hs_10SubSamp
0.119	Hs_10SubSamp
0.117	Hs_10SubSamp
0.118	Hs_10SubSamp
0.121	Hs_10SubSamp
0.116	Hs_10SubSamp
0.124	Hs_10SubSamp
0.121	Hs_10SubSamp
0.125	Hs_10SubSamp
0.121	Hs_10SubSamp
0.126	Hs_10SubSamp
0.114	Hs_10SubSamp
0.119	Hs_10SubSamp
0.119	Hs_10SubSamp
0.118	Hs_10SubSamp
0.126	Hs_10SubSamp
0.119	Hs_10SubSamp
0.115	Hs_10SubSamp
0.121	Hs_10SubSamp
0.122	Hs_10SubSamp
0.119	Hs_10SubSamp
0.116	Hs_10SubSamp
0.118	Hs_10SubSamp
0.116	Hs_10SubSamp
0.118	Hs_10SubSamp
0.117	Hs_10SubSamp
0.118	Hs_10SubSamp
0.111	Hs_10SubSamp
0.12	Hs_10SubSamp
0.127	Hs_10SubSamp
0.118	Hs_10SubSamp
0.126	Hs_10SubSamp
0.119	Hs_10SubSamp
0.125	Hs_10SubSamp
0.118	Hs_10SubSamp
0.125	Hs_10SubSamp
0.125	Hs_10SubSamp
0.129	Hs_10SubSamp
0.121	Hs_10SubSamp
0.115	Hs_10SubSamp
0.123	Hs_10SubSamp
0.117	Hs_10SubSamp
0.116	Hs_10SubSamp
0.118	Hs_10SubSamp
0.114	Hs_10SubSamp
0.125	Hs_10SubSamp
0.124	Hs_10SubSamp
0.119	Hs_10SubSamp
0.118	Hs_10SubSamp
0.121	Hs_10SubSamp
0.114	Hs_10SubSamp
0.12	Hs_10SubSamp
0.124	Hs_10SubSamp
0.123	Hs_10SubSamp
0.115	Hs_10SubSamp
0.119	Hs_10SubSamp
0.116	Hs_12SubSamp
0.12	Hs_12SubSamp
0.12	Hs_12SubSamp
0.116	Hs_12SubSamp
0.122	Hs_12SubSamp
0.109	Hs_12SubSamp
0.123	Hs_12SubSamp
0.122	Hs_12SubSamp
0.124	Hs_12SubSamp
0.121	Hs_12SubSamp
0.126	Hs_12SubSamp
0.119	Hs_12SubSamp
0.117	Hs_12SubSamp
0.114	Hs_12SubSamp
0.123	Hs_12SubSamp
0.117	Hs_12SubSamp
0.12	Hs_12SubSamp
0.129	Hs_12SubSamp
0.119	Hs_12SubSamp
0.121	Hs_12SubSamp
0.121	Hs_12SubSamp
0.123	Hs_12SubSamp
0.123	Hs_12SubSamp
0.122	Hs_12SubSamp
0.119	Hs_12SubSamp
0.126	Hs_12SubSamp
0.118	Hs_12SubSamp
0.122	Hs_12SubSamp
0.119	Hs_12SubSamp
0.121	Hs_12SubSamp
0.122	Hs_12SubSamp
0.125	Hs_12SubSamp
0.122	Hs_12SubSamp
0.12	Hs_12SubSamp
0.12	Hs_12SubSamp
0.12	Hs_12SubSamp
0.119	Hs_12SubSamp
0.117	Hs_12SubSamp
0.126	Hs_12SubSamp
0.118	Hs_12SubSamp
0.119	Hs_12SubSamp
0.117	Hs_12SubSamp
0.124	Hs_12SubSamp
0.114	Hs_12SubSamp
0.122	Hs_12SubSamp
0.121	Hs_12SubSamp
0.116	Hs_12SubSamp
0.113	Hs_12SubSamp
0.122	Hs_12SubSamp
0.124	Hs_12SubSamp
0.122	Hs_12SubSamp
0.118	Hs_12SubSamp
0.121	Hs_12SubSamp
0.12	Hs_12SubSamp
0.126	Hs_12SubSamp
0.119	Hs_12SubSamp
0.126	Hs_12SubSamp
0.121	Hs_12SubSamp
0.123	Hs_12SubSamp
0.122	Hs_12SubSamp
0.121	Hs_12SubSamp
0.116	Hs_12SubSamp
0.119	Hs_12SubSamp
0.12	Hs_12SubSamp
0.121	Hs_12SubSamp
0.126	Hs_12SubSamp
0.119	Hs_12SubSamp
0.12	Hs_12SubSamp
0.117	Hs_12SubSamp
0.115	Hs_12SubSamp
0.118	Hs_12SubSamp
0.12	Hs_12SubSamp
0.116	Hs_12SubSamp
0.121	Hs_12SubSamp
0.113	Hs_12SubSamp
0.123	Hs_12SubSamp
0.118	Hs_12SubSamp
0.119	Hs_12SubSamp
0.117	Hs_12SubSamp
0.117	Hs_12SubSamp
0.126	Hs_12SubSamp
0.12	Hs_12SubSamp
0.12	Hs_12SubSamp
0.117	Hs_12SubSamp
0.124	Hs_12SubSamp
0.125	Hs_12SubSamp
0.12	Hs_12SubSamp
0.116	Hs_12SubSamp
0.121	Hs_12SubSamp
0.123	Hs_12SubSamp
0.122	Hs_12SubSamp
0.121	Hs_12SubSamp
0.118	Hs_12SubSamp
0.119	Hs_12SubSamp
0.124	Hs_12SubSamp
0.121	Hs_12SubSamp
0.123	Hs_12SubSamp
0.118	Hs_12SubSamp
0.123	Hs_12SubSamp
0.117	Hs_12SubSamp
0.119	Hs_14SubSamp
0.119	Hs_14SubSamp
0.119	Hs_14SubSamp
0.12	Hs_14SubSamp
0.115	Hs_14SubSamp
0.12	Hs_14SubSamp
0.116	Hs_14SubSamp
0.122	Hs_14SubSamp
0.116	Hs_14SubSamp
0.122	Hs_14SubSamp
0.121	Hs_14SubSamp
0.12	Hs_14SubSamp
0.118	Hs_14SubSamp
0.12	Hs_14SubSamp
0.123	Hs_14SubSamp
0.121	Hs_14SubSamp
0.12	Hs_14SubSamp
0.118	Hs_14SubSamp
0.124	Hs_14SubSamp
0.117	Hs_14SubSamp
0.118	Hs_14SubSamp
0.124	Hs_14SubSamp
0.125	Hs_14SubSamp
0.119	Hs_14SubSamp
0.12	Hs_14SubSamp
0.119	Hs_14SubSamp
0.123	Hs_14SubSamp
0.122	Hs_14SubSamp
0.119	Hs_14SubSamp
0.118	Hs_14SubSamp
0.121	Hs_14SubSamp
0.119	Hs_14SubSamp
0.118	Hs_14SubSamp
0.12	Hs_14SubSamp
0.125	Hs_14SubSamp
0.122	Hs_14SubSamp
0.123	Hs_14SubSamp
0.119	Hs_14SubSamp
0.118	Hs_14SubSamp
0.112	Hs_14SubSamp
0.116	Hs_14SubSamp
0.118	Hs_14SubSamp
0.117	Hs_14SubSamp
0.115	Hs_14SubSamp
0.12	Hs_14SubSamp
0.12	Hs_14SubSamp
0.122	Hs_14SubSamp
0.122	Hs_14SubSamp
0.126	Hs_14SubSamp
0.12	Hs_14SubSamp
0.122	Hs_14SubSamp
0.122	Hs_14SubSamp
0.119	Hs_14SubSamp
0.122	Hs_14SubSamp
0.116	Hs_14SubSamp
0.122	Hs_14SubSamp
0.122	Hs_14SubSamp
0.121	Hs_14SubSamp
0.121	Hs_14SubSamp
0.118	Hs_14SubSamp
0.121	Hs_14SubSamp
0.119	Hs_14SubSamp
0.119	Hs_14SubSamp
0.125	Hs_14SubSamp
0.125	Hs_14SubSamp
0.122	Hs_14SubSamp
0.116	Hs_14SubSamp
0.117	Hs_14SubSamp
0.118	Hs_14SubSamp
0.123	Hs_14SubSamp
0.12	Hs_14SubSamp
0.122	Hs_14SubSamp
0.123	Hs_14SubSamp
0.115	Hs_14SubSamp
0.123	Hs_14SubSamp
0.12	Hs_14SubSamp
0.122	Hs_14SubSamp
0.118	Hs_14SubSamp
0.124	Hs_14SubSamp
0.12	Hs_14SubSamp
0.125	Hs_14SubSamp
0.119	Hs_14SubSamp
0.126	Hs_14SubSamp
0.117	Hs_14SubSamp
0.119	Hs_14SubSamp
0.117	Hs_14SubSamp
0.123	Hs_14SubSamp
0.124	Hs_14SubSamp
0.119	Hs_14SubSamp
0.122	Hs_14SubSamp
0.117	Hs_14SubSamp
0.119	Hs_14SubSamp
0.117	Hs_14SubSamp
0.117	Hs_14SubSamp
0.116	Hs_14SubSamp
0.123	Hs_14SubSamp
0.121	Hs_14SubSamp
0.113	Hs_14SubSamp
0.123	Hs_14SubSamp
0.118	Hs_14SubSamp
0.118	Hs_16SubSamp
0.124	Hs_16SubSamp
0.117	Hs_16SubSamp
0.122	Hs_16SubSamp
0.12	Hs_16SubSamp
0.117	Hs_16SubSamp
0.118	Hs_16SubSamp
0.119	Hs_16SubSamp
0.118	Hs_16SubSamp
0.122	Hs_16SubSamp
0.121	Hs_16SubSamp
0.118	Hs_16SubSamp
0.122	Hs_16SubSamp
0.116	Hs_16SubSamp
0.118	Hs_16SubSamp
0.116	Hs_16SubSamp
0.12	Hs_16SubSamp
0.119	Hs_16SubSamp
0.116	Hs_16SubSamp
0.121	Hs_16SubSamp
0.119	Hs_16SubSamp
0.121	Hs_16SubSamp
0.117	Hs_16SubSamp
0.121	Hs_16SubSamp
0.121	Hs_16SubSamp
0.118	Hs_16SubSamp
0.117	Hs_16SubSamp
0.122	Hs_16SubSamp
0.12	Hs_16SubSamp
0.118	Hs_16SubSamp
0.119	Hs_16SubSamp
0.12	Hs_16SubSamp
0.116	Hs_16SubSamp
0.119	Hs_16SubSamp
0.119	Hs_16SubSamp
0.117	Hs_16SubSamp
0.122	Hs_16SubSamp
0.117	Hs_16SubSamp
0.119	Hs_16SubSamp
0.122	Hs_16SubSamp
0.119	Hs_16SubSamp
0.122	Hs_16SubSamp
0.12	Hs_16SubSamp
0.121	Hs_16SubSamp
0.117	Hs_16SubSamp
0.12	Hs_16SubSamp
0.119	Hs_16SubSamp
0.12	Hs_16SubSamp
0.125	Hs_16SubSamp
0.119	Hs_16SubSamp
0.121	Hs_16SubSamp
0.119	Hs_16SubSamp
0.119	Hs_16SubSamp
0.117	Hs_16SubSamp
0.118	Hs_16SubSamp
0.118	Hs_16SubSamp
0.12	Hs_16SubSamp
0.125	Hs_16SubSamp
0.123	Hs_16SubSamp
0.121	Hs_16SubSamp
0.118	Hs_16SubSamp
0.12	Hs_16SubSamp
0.121	Hs_16SubSamp
0.117	Hs_16SubSamp
0.124	Hs_16SubSamp
0.123	Hs_16SubSamp
0.12	Hs_16SubSamp
0.122	Hs_16SubSamp
0.119	Hs_16SubSamp
0.121	Hs_16SubSamp
0.122	Hs_16SubSamp
0.121	Hs_16SubSamp
0.123	Hs_16SubSamp
0.118	Hs_16SubSamp
0.117	Hs_16SubSamp
0.122	Hs_16SubSamp
0.123	Hs_16SubSamp
0.121	Hs_16SubSamp
0.118	Hs_16SubSamp
0.115	Hs_16SubSamp
0.117	Hs_16SubSamp
0.123	Hs_16SubSamp
0.12	Hs_16SubSamp
0.116	Hs_16SubSamp
0.123	Hs_16SubSamp
0.122	Hs_16SubSamp
0.122	Hs_16SubSamp
0.121	Hs_16SubSamp
0.125	Hs_16SubSamp
0.12	Hs_16SubSamp
0.119	Hs_16SubSamp
0.116	Hs_16SubSamp
0.12	Hs_16SubSamp
0.118	Hs_16SubSamp
0.117	Hs_16SubSamp
0.118	Hs_16SubSamp
0.119	Hs_16SubSamp
0.122	Hs_16SubSamp
0.122	Hs_16SubSamp
0.121	Hs_16SubSamp
0.121	Hs_18SubSamp
0.122	Hs_18SubSamp
0.118	Hs_18SubSamp
0.121	Hs_18SubSamp
0.123	Hs_18SubSamp
0.121	Hs_18SubSamp
0.118	Hs_18SubSamp
0.119	Hs_18SubSamp
0.119	Hs_18SubSamp
0.123	Hs_18SubSamp
0.122	Hs_18SubSamp
0.12	Hs_18SubSamp
0.12	Hs_18SubSamp
0.121	Hs_18SubSamp
0.121	Hs_18SubSamp
0.121	Hs_18SubSamp
0.124	Hs_18SubSamp
0.119	Hs_18SubSamp
0.118	Hs_18SubSamp
0.122	Hs_18SubSamp
0.118	Hs_18SubSamp
0.118	Hs_18SubSamp
0.122	Hs_18SubSamp
0.118	Hs_18SubSamp
0.121	Hs_18SubSamp
0.12	Hs_18SubSamp
0.118	Hs_18SubSamp
0.121	Hs_18SubSamp
0.118	Hs_18SubSamp
0.122	Hs_18SubSamp
0.123	Hs_18SubSamp
0.123	Hs_18SubSamp
0.121	Hs_18SubSamp
0.12	Hs_18SubSamp
0.121	Hs_18SubSamp
0.119	Hs_18SubSamp
0.122	Hs_18SubSamp
0.122	Hs_18SubSamp
0.119	Hs_18SubSamp
0.122	Hs_18SubSamp
0.122	Hs_18SubSamp
0.121	Hs_18SubSamp
0.12	Hs_18SubSamp
0.121	Hs_18SubSamp
0.12	Hs_18SubSamp
0.122	Hs_18SubSamp
0.12	Hs_18SubSamp
0.122	Hs_18SubSamp
0.121	Hs_18SubSamp
0.122	Hs_18SubSamp
0.121	Hs_18SubSamp
0.121	Hs_18SubSamp
0.12	Hs_18SubSamp
0.116	Hs_18SubSamp
0.118	Hs_18SubSamp
0.122	Hs_18SubSamp
0.12	Hs_18SubSamp
0.117	Hs_18SubSamp
0.122	Hs_18SubSamp
0.12	Hs_18SubSamp
0.122	Hs_18SubSamp
0.118	Hs_18SubSamp
0.116	Hs_18SubSamp
0.123	Hs_18SubSamp
0.121	Hs_18SubSamp
0.121	Hs_18SubSamp
0.117	Hs_18SubSamp
0.118	Hs_18SubSamp
0.12	Hs_18SubSamp
0.119	Hs_18SubSamp
0.118	Hs_18SubSamp
0.119	Hs_18SubSamp
0.118	Hs_18SubSamp
0.118	Hs_18SubSamp
0.122	Hs_18SubSamp
0.12	Hs_18SubSamp
0.119	Hs_18SubSamp
0.115	Hs_18SubSamp
0.12	Hs_18SubSamp
0.12	Hs_18SubSamp
0.121	Hs_18SubSamp
0.119	Hs_18SubSamp
0.121	Hs_18SubSamp
0.119	Hs_18SubSamp
0.117	Hs_18SubSamp
0.12	Hs_18SubSamp
0.119	Hs_18SubSamp
0.119	Hs_18SubSamp
0.119	Hs_18SubSamp
0.121	Hs_18SubSamp
0.121	Hs_18SubSamp
0.121	Hs_18SubSamp
0.123	Hs_18SubSamp
0.117	Hs_18SubSamp
0.117	Hs_18SubSamp
0.119	Hs_18SubSamp
0.121	Hs_18SubSamp
0.12	Hs_18SubSamp
0.122	Hs_18SubSamp
0.121	Hs_18SubSamp
0.12	Hs_20SubSamp
0.118	Hs_20SubSamp
0.12	Hs_20SubSamp
0.118	Hs_20SubSamp
0.121	Hs_20SubSamp
0.12	Hs_20SubSamp
0.122	Hs_20SubSamp
0.121	Hs_20SubSamp
0.12	Hs_20SubSamp
0.12	Hs_20SubSamp
0.121	Hs_20SubSamp
0.117	Hs_20SubSamp
0.12	Hs_20SubSamp
0.118	Hs_20SubSamp
0.122	Hs_20SubSamp
0.118	Hs_20SubSamp
0.12	Hs_20SubSamp
0.118	Hs_20SubSamp
0.121	Hs_20SubSamp
0.12	Hs_20SubSamp
0.119	Hs_20SubSamp
0.12	Hs_20SubSamp
0.118	Hs_20SubSamp
0.12	Hs_20SubSamp
0.118	Hs_20SubSamp
0.121	Hs_20SubSamp
0.118	Hs_20SubSamp
0.12	Hs_20SubSamp
0.117	Hs_20SubSamp
0.12	Hs_20SubSamp
0.12	Hs_20SubSamp
0.121	Hs_20SubSamp
0.116	Hs_20SubSamp
0.121	Hs_20SubSamp
0.12	Hs_20SubSamp
0.121	Hs_20SubSamp
0.12	Hs_20SubSamp
0.12	Hs_20SubSamp
0.121	Hs_20SubSamp
0.123	Hs_20SubSamp
0.119	Hs_20SubSamp
0.121	Hs_20SubSamp
0.121	Hs_20SubSamp
0.12	Hs_20SubSamp
0.123	Hs_20SubSamp
0.119	Hs_20SubSamp
0.12	Hs_20SubSamp
