PTP_Hs_estimates	Subsampling_group
0.056	Hs_10SubSamp
0.061	Hs_10SubSamp
0.058	Hs_10SubSamp
0.057	Hs_10SubSamp
0.054	Hs_10SubSamp
0.056	Hs_10SubSamp
0.058	Hs_10SubSamp
0.057	Hs_10SubSamp
0.057	Hs_10SubSamp
0.054	Hs_10SubSamp
0.055	Hs_10SubSamp
0.055	Hs_10SubSamp
0.056	Hs_10SubSamp
0.057	Hs_10SubSamp
0.056	Hs_10SubSamp
0.052	Hs_10SubSamp
0.057	Hs_10SubSamp
0.058	Hs_10SubSamp
0.054	Hs_10SubSamp
0.056	Hs_10SubSamp
0.053	Hs_10SubSamp
0.055	Hs_10SubSamp
0.058	Hs_10SubSamp
0.06	Hs_10SubSamp
0.057	Hs_10SubSamp
0.061	Hs_10SubSamp
0.056	Hs_10SubSamp
0.058	Hs_10SubSamp
0.056	Hs_10SubSamp
0.056	Hs_10SubSamp
0.055	Hs_10SubSamp
0.061	Hs_10SubSamp
0.057	Hs_10SubSamp
0.054	Hs_10SubSamp
0.059	Hs_10SubSamp
0.055	Hs_10SubSamp
0.056	Hs_12SubSamp
0.056	Hs_12SubSamp
0.054	Hs_12SubSamp
0.057	Hs_12SubSamp
0.056	Hs_12SubSamp
0.055	Hs_12SubSamp
0.056	Hs_12SubSamp
0.061	Hs_12SubSamp
0.057	Hs_12SubSamp
0.055	Hs_12SubSamp
0.058	Hs_12SubSamp
0.061	Hs_12SubSamp
0.056	Hs_12SubSamp
0.06	Hs_12SubSamp
0.055	Hs_12SubSamp
0.057	Hs_12SubSamp
0.059	Hs_12SubSamp
0.06	Hs_12SubSamp
0.056	Hs_12SubSamp
0.059	Hs_12SubSamp
0.052	Hs_12SubSamp
0.057	Hs_12SubSamp
0.057	Hs_12SubSamp
0.054	Hs_12SubSamp
0.056	Hs_12SubSamp
0.055	Hs_12SubSamp
0.056	Hs_12SubSamp
0.058	Hs_12SubSamp
0.055	Hs_12SubSamp
0.055	Hs_12SubSamp
0.054	Hs_12SubSamp
0.057	Hs_12SubSamp
0.06	Hs_12SubSamp
0.058	Hs_12SubSamp
0.056	Hs_12SubSamp
0.055	Hs_12SubSamp
0.059	Hs_12SubSamp
0.059	Hs_12SubSamp
0.058	Hs_12SubSamp
0.054	Hs_12SubSamp
0.058	Hs_12SubSamp
0.053	Hs_12SubSamp
0.054	Hs_12SubSamp
0.054	Hs_12SubSamp
0.056	Hs_12SubSamp
0.059	Hs_12SubSamp
0.057	Hs_12SubSamp
0.056	Hs_12SubSamp
0.054	Hs_12SubSamp
0.06	Hs_12SubSamp
0.055	Hs_12SubSamp
0.057	Hs_12SubSamp
0.057	Hs_12SubSamp
0.058	Hs_12SubSamp
0.056	Hs_12SubSamp
0.056	Hs_12SubSamp
0.054	Hs_12SubSamp
0.053	Hs_12SubSamp
0.056	Hs_12SubSamp
0.057	Hs_12SubSamp
0.058	Hs_12SubSamp
0.055	Hs_12SubSamp
0.058	Hs_12SubSamp
0.055	Hs_12SubSamp
0.054	Hs_12SubSamp
0.059	Hs_12SubSamp
0.057	Hs_12SubSamp
0.054	Hs_12SubSamp
0.057	Hs_12SubSamp
0.056	Hs_12SubSamp
0.058	Hs_12SubSamp
0.057	Hs_12SubSamp
0.054	Hs_12SubSamp
0.058	Hs_12SubSamp
0.055	Hs_12SubSamp
0.057	Hs_12SubSamp
0.057	Hs_12SubSamp
0.06	Hs_12SubSamp
0.056	Hs_12SubSamp
0.052	Hs_12SubSamp
0.057	Hs_12SubSamp
0.056	Hs_12SubSamp
0.055	Hs_12SubSamp
0.058	Hs_12SubSamp
0.056	Hs_12SubSamp
0.058	Hs_12SubSamp
0.055	Hs_12SubSamp
0.054	Hs_12SubSamp
0.054	Hs_12SubSamp
0.054	Hs_12SubSamp
0.06	Hs_12SubSamp
0.054	Hs_12SubSamp
0.056	Hs_12SubSamp
0.054	Hs_12SubSamp
0.056	Hs_12SubSamp
0.054	Hs_12SubSamp
0.056	Hs_12SubSamp
0.057	Hs_12SubSamp
0.054	Hs_12SubSamp
0.054	Hs_12SubSamp
0.057	Hs_14SubSamp
0.058	Hs_14SubSamp
0.058	Hs_14SubSamp
0.058	Hs_14SubSamp
0.058	Hs_14SubSamp
0.056	Hs_14SubSamp
0.059	Hs_14SubSamp
0.057	Hs_14SubSamp
0.054	Hs_14SubSamp
0.055	Hs_14SubSamp
0.059	Hs_14SubSamp
0.058	Hs_14SubSamp
0.056	Hs_14SubSamp
0.056	Hs_14SubSamp
0.053	Hs_14SubSamp
0.058	Hs_14SubSamp
0.057	Hs_14SubSamp
0.055	Hs_14SubSamp
0.053	Hs_14SubSamp
0.061	Hs_14SubSamp
0.056	Hs_14SubSamp
0.055	Hs_14SubSamp
0.054	Hs_14SubSamp
0.055	Hs_14SubSamp
0.057	Hs_14SubSamp
0.059	Hs_14SubSamp
0.057	Hs_14SubSamp
0.055	Hs_14SubSamp
0.054	Hs_14SubSamp
0.06	Hs_14SubSamp
0.058	Hs_14SubSamp
0.054	Hs_14SubSamp
0.054	Hs_14SubSamp
0.055	Hs_14SubSamp
0.059	Hs_14SubSamp
0.059	Hs_14SubSamp
0.053	Hs_14SubSamp
0.057	Hs_14SubSamp
0.056	Hs_14SubSamp
0.057	Hs_14SubSamp
0.055	Hs_14SubSamp
0.06	Hs_14SubSamp
0.056	Hs_14SubSamp
0.056	Hs_14SubSamp
0.057	Hs_14SubSamp
0.057	Hs_14SubSamp
0.057	Hs_14SubSamp
0.055	Hs_14SubSamp
0.059	Hs_14SubSamp
0.058	Hs_14SubSamp
0.058	Hs_14SubSamp
0.055	Hs_14SubSamp
0.056	Hs_14SubSamp
0.055	Hs_14SubSamp
0.056	Hs_14SubSamp
0.054	Hs_14SubSamp
0.055	Hs_14SubSamp
0.057	Hs_14SubSamp
0.058	Hs_14SubSamp
0.058	Hs_14SubSamp
0.055	Hs_14SubSamp
0.057	Hs_14SubSamp
0.057	Hs_14SubSamp
0.056	Hs_14SubSamp
0.056	Hs_14SubSamp
0.054	Hs_14SubSamp
0.055	Hs_14SubSamp
0.055	Hs_14SubSamp
0.055	Hs_14SubSamp
0.055	Hs_14SubSamp
0.057	Hs_14SubSamp
0.056	Hs_14SubSamp
0.059	Hs_14SubSamp
0.057	Hs_14SubSamp
0.058	Hs_14SubSamp
0.057	Hs_14SubSamp
0.054	Hs_14SubSamp
0.056	Hs_14SubSamp
0.055	Hs_14SubSamp
0.057	Hs_14SubSamp
0.054	Hs_14SubSamp
0.056	Hs_14SubSamp
0.052	Hs_14SubSamp
0.057	Hs_14SubSamp
0.057	Hs_14SubSamp
0.055	Hs_14SubSamp
0.056	Hs_14SubSamp
0.055	Hs_14SubSamp
0.056	Hs_14SubSamp
0.057	Hs_14SubSamp
0.055	Hs_14SubSamp
0.058	Hs_14SubSamp
0.056	Hs_14SubSamp
0.054	Hs_14SubSamp
0.055	Hs_14SubSamp
0.057	Hs_14SubSamp
0.058	Hs_14SubSamp
0.056	Hs_14SubSamp
0.061	Hs_14SubSamp
0.059	Hs_14SubSamp
0.058	Hs_16SubSamp
0.057	Hs_16SubSamp
0.058	Hs_16SubSamp
0.056	Hs_16SubSamp
0.054	Hs_16SubSamp
0.059	Hs_16SubSamp
0.055	Hs_16SubSamp
0.059	Hs_16SubSamp
0.055	Hs_16SubSamp
0.055	Hs_16SubSamp
0.055	Hs_16SubSamp
0.058	Hs_16SubSamp
0.056	Hs_16SubSamp
0.057	Hs_16SubSamp
0.058	Hs_16SubSamp
0.056	Hs_16SubSamp
0.056	Hs_16SubSamp
0.057	Hs_16SubSamp
0.054	Hs_16SubSamp
0.058	Hs_16SubSamp
0.057	Hs_16SubSamp
0.057	Hs_16SubSamp
0.058	Hs_16SubSamp
0.055	Hs_16SubSamp
0.059	Hs_16SubSamp
0.056	Hs_16SubSamp
0.055	Hs_16SubSamp
0.057	Hs_16SubSamp
0.056	Hs_16SubSamp
0.055	Hs_16SubSamp
0.055	Hs_16SubSamp
0.058	Hs_16SubSamp
0.057	Hs_16SubSamp
0.057	Hs_16SubSamp
0.054	Hs_16SubSamp
0.056	Hs_16SubSamp
0.057	Hs_16SubSamp
0.057	Hs_16SubSamp
0.055	Hs_16SubSamp
0.056	Hs_16SubSamp
0.057	Hs_16SubSamp
0.059	Hs_16SubSamp
0.057	Hs_16SubSamp
0.057	Hs_16SubSamp
0.055	Hs_16SubSamp
0.056	Hs_16SubSamp
0.056	Hs_16SubSamp
0.055	Hs_16SubSamp
0.055	Hs_16SubSamp
0.058	Hs_16SubSamp
0.055	Hs_16SubSamp
0.058	Hs_16SubSamp
0.058	Hs_16SubSamp
0.055	Hs_16SubSamp
0.054	Hs_16SubSamp
0.056	Hs_16SubSamp
0.056	Hs_16SubSamp
0.057	Hs_16SubSamp
0.056	Hs_16SubSamp
0.057	Hs_16SubSamp
0.056	Hs_16SubSamp
0.057	Hs_16SubSamp
0.057	Hs_16SubSamp
0.055	Hs_16SubSamp
0.056	Hs_16SubSamp
0.058	Hs_16SubSamp
0.057	Hs_16SubSamp
0.055	Hs_16SubSamp
0.058	Hs_16SubSamp
0.055	Hs_16SubSamp
0.058	Hs_16SubSamp
0.059	Hs_16SubSamp
0.055	Hs_16SubSamp
0.057	Hs_16SubSamp
0.055	Hs_16SubSamp
0.057	Hs_16SubSamp
0.056	Hs_16SubSamp
0.055	Hs_16SubSamp
0.058	Hs_16SubSamp
0.055	Hs_16SubSamp
0.055	Hs_16SubSamp
0.057	Hs_16SubSamp
0.056	Hs_16SubSamp
0.058	Hs_16SubSamp
0.056	Hs_16SubSamp
0.056	Hs_16SubSamp
0.055	Hs_16SubSamp
0.057	Hs_16SubSamp
0.057	Hs_16SubSamp
0.056	Hs_16SubSamp
0.056	Hs_16SubSamp
0.057	Hs_16SubSamp
0.056	Hs_16SubSamp
0.059	Hs_16SubSamp
0.055	Hs_16SubSamp
0.057	Hs_16SubSamp
0.058	Hs_16SubSamp
0.057	Hs_16SubSamp
0.057	Hs_16SubSamp
0.056	Hs_16SubSamp
0.055	Hs_18SubSamp
0.057	Hs_18SubSamp
0.057	Hs_18SubSamp
0.055	Hs_18SubSamp
0.057	Hs_18SubSamp
0.058	Hs_18SubSamp
0.055	Hs_18SubSamp
0.057	Hs_18SubSamp
0.056	Hs_18SubSamp
0.055	Hs_18SubSamp
0.055	Hs_18SubSamp
0.057	Hs_18SubSamp
0.055	Hs_18SubSamp
0.056	Hs_18SubSamp
0.057	Hs_18SubSamp
0.056	Hs_18SubSamp
0.054	Hs_18SubSamp
0.057	Hs_18SubSamp
0.057	Hs_18SubSamp
0.056	Hs_18SubSamp
0.055	Hs_18SubSamp
0.057	Hs_18SubSamp
0.056	Hs_18SubSamp
0.057	Hs_18SubSamp
0.055	Hs_18SubSamp
0.058	Hs_18SubSamp
0.055	Hs_18SubSamp
0.055	Hs_18SubSamp
0.058	Hs_18SubSamp
0.057	Hs_18SubSamp
0.055	Hs_18SubSamp
0.056	Hs_18SubSamp
0.057	Hs_18SubSamp
0.056	Hs_18SubSamp
0.057	Hs_18SubSamp
0.057	Hs_18SubSamp
0.056	Hs_18SubSamp
0.056	Hs_18SubSamp
0.053	Hs_18SubSamp
0.057	Hs_18SubSamp
0.057	Hs_18SubSamp
0.055	Hs_18SubSamp
0.057	Hs_18SubSamp
0.055	Hs_18SubSamp
0.054	Hs_18SubSamp
0.058	Hs_18SubSamp
0.055	Hs_18SubSamp
0.055	Hs_18SubSamp
0.056	Hs_18SubSamp
0.056	Hs_18SubSamp
0.056	Hs_18SubSamp
0.056	Hs_18SubSamp
0.055	Hs_18SubSamp
0.056	Hs_18SubSamp
0.058	Hs_18SubSamp
0.054	Hs_18SubSamp
0.055	Hs_18SubSamp
0.054	Hs_18SubSamp
0.056	Hs_18SubSamp
0.056	Hs_18SubSamp
0.055	Hs_18SubSamp
0.055	Hs_18SubSamp
0.057	Hs_18SubSamp
0.058	Hs_18SubSamp
0.057	Hs_18SubSamp
0.056	Hs_18SubSamp
0.055	Hs_18SubSamp
0.057	Hs_18SubSamp
0.057	Hs_18SubSamp
0.057	Hs_18SubSamp
0.057	Hs_18SubSamp
0.055	Hs_18SubSamp
0.057	Hs_18SubSamp
0.058	Hs_18SubSamp
0.057	Hs_18SubSamp
0.058	Hs_18SubSamp
0.057	Hs_18SubSamp
0.057	Hs_18SubSamp
0.057	Hs_18SubSamp
0.058	Hs_18SubSamp
0.057	Hs_18SubSamp
0.056	Hs_18SubSamp
0.056	Hs_18SubSamp
0.056	Hs_18SubSamp
0.057	Hs_18SubSamp
0.055	Hs_18SubSamp
0.056	Hs_18SubSamp
0.057	Hs_18SubSamp
0.056	Hs_18SubSamp
0.056	Hs_18SubSamp
0.057	Hs_18SubSamp
0.056	Hs_18SubSamp
0.054	Hs_18SubSamp
0.054	Hs_18SubSamp
0.056	Hs_18SubSamp
0.056	Hs_18SubSamp
0.059	Hs_18SubSamp
0.054	Hs_18SubSamp
0.054	Hs_18SubSamp
0.056	Hs_18SubSamp
0.057	Hs_20SubSamp
0.057	Hs_20SubSamp
0.057	Hs_20SubSamp
0.056	Hs_20SubSamp
0.057	Hs_20SubSamp
0.057	Hs_20SubSamp
0.057	Hs_20SubSamp
0.057	Hs_20SubSamp
0.057	Hs_20SubSamp
0.058	Hs_20SubSamp
0.055	Hs_20SubSamp
0.056	Hs_20SubSamp
0.057	Hs_20SubSamp
0.056	Hs_20SubSamp
0.056	Hs_20SubSamp
0.056	Hs_20SubSamp
0.055	Hs_20SubSamp
0.056	Hs_20SubSamp
0.057	Hs_20SubSamp
0.057	Hs_20SubSamp
0.057	Hs_20SubSamp
0.056	Hs_20SubSamp
0.057	Hs_20SubSamp
0.058	Hs_20SubSamp
0.056	Hs_20SubSamp
0.056	Hs_20SubSamp
0.057	Hs_20SubSamp
0.057	Hs_20SubSamp
0.055	Hs_20SubSamp
0.057	Hs_20SubSamp
0.057	Hs_20SubSamp
0.057	Hs_20SubSamp
0.056	Hs_20SubSamp
0.055	Hs_20SubSamp
0.056	Hs_20SubSamp
0.057	Hs_20SubSamp
0.056	Hs_20SubSamp
0.057	Hs_20SubSamp
0.057	Hs_20SubSamp
0.057	Hs_20SubSamp
0.057	Hs_20SubSamp
0.055	Hs_20SubSamp
0.055	Hs_20SubSamp
0.056	Hs_20SubSamp
0.056	Hs_20SubSamp
0.057	Hs_20SubSamp
0.058	Hs_20SubSamp
0.056	Hs_20SubSamp
0.058	Hs_20SubSamp
0.056	Hs_20SubSamp
0.055	Hs_20SubSamp
0.056	Hs_20SubSamp
0.057	Hs_20SubSamp
0.055	Hs_20SubSamp
0.056	Hs_20SubSamp
0.056	Hs_20SubSamp
0.055	Hs_20SubSamp
0.056	Hs_20SubSamp
0.054	Hs_20SubSamp
0.055	Hs_20SubSamp
0.056	Hs_20SubSamp
