TGCP_Hs_estimates	Subsampling_group
0.151	Hs_08SubSamp
0.158	Hs_08SubSamp
0.155	Hs_08SubSamp
0.155	Hs_08SubSamp
0.154	Hs_08SubSamp
0.154	Hs_08SubSamp
0.153	Hs_08SubSamp
0.157	Hs_08SubSamp
0.154	Hs_08SubSamp
0.158	Hs_08SubSamp
0.155	Hs_08SubSamp
0.16	Hs_08SubSamp
0.152	Hs_08SubSamp
0.154	Hs_08SubSamp
0.16	Hs_08SubSamp
0.153	Hs_08SubSamp
0.155	Hs_08SubSamp
0.154	Hs_08SubSamp
0.157	Hs_08SubSamp
0.159	Hs_08SubSamp
0.157	Hs_08SubSamp
0.155	Hs_08SubSamp
0.151	Hs_08SubSamp
0.158	Hs_08SubSamp
0.162	Hs_08SubSamp
0.16	Hs_08SubSamp
0.154	Hs_08SubSamp
0.154	Hs_08SubSamp
0.163	Hs_08SubSamp
0.154	Hs_08SubSamp
0.152	Hs_08SubSamp
0.154	Hs_08SubSamp
0.158	Hs_08SubSamp
0.162	Hs_08SubSamp
0.157	Hs_08SubSamp
0.16	Hs_10SubSamp
0.16	Hs_10SubSamp
0.152	Hs_10SubSamp
0.151	Hs_10SubSamp
0.156	Hs_10SubSamp
0.154	Hs_10SubSamp
0.156	Hs_10SubSamp
0.156	Hs_10SubSamp
0.156	Hs_10SubSamp
0.157	Hs_10SubSamp
0.154	Hs_10SubSamp
0.15	Hs_10SubSamp
0.158	Hs_10SubSamp
0.153	Hs_10SubSamp
0.154	Hs_10SubSamp
0.153	Hs_10SubSamp
0.158	Hs_10SubSamp
0.151	Hs_10SubSamp
0.153	Hs_10SubSamp
0.156	Hs_10SubSamp
0.155	Hs_10SubSamp
0.16	Hs_10SubSamp
0.158	Hs_10SubSamp
0.155	Hs_10SubSamp
0.155	Hs_10SubSamp
0.154	Hs_10SubSamp
0.154	Hs_10SubSamp
0.159	Hs_10SubSamp
0.156	Hs_10SubSamp
0.152	Hs_10SubSamp
0.161	Hs_10SubSamp
0.154	Hs_10SubSamp
0.158	Hs_10SubSamp
0.156	Hs_10SubSamp
0.159	Hs_10SubSamp
0.157	Hs_10SubSamp
0.153	Hs_10SubSamp
0.155	Hs_10SubSamp
0.16	Hs_10SubSamp
0.155	Hs_10SubSamp
0.152	Hs_10SubSamp
0.156	Hs_10SubSamp
0.153	Hs_10SubSamp
0.152	Hs_10SubSamp
0.157	Hs_10SubSamp
0.162	Hs_10SubSamp
0.158	Hs_10SubSamp
0.152	Hs_10SubSamp
0.149	Hs_10SubSamp
0.155	Hs_10SubSamp
0.156	Hs_10SubSamp
0.155	Hs_10SubSamp
0.158	Hs_10SubSamp
0.152	Hs_10SubSamp
0.155	Hs_10SubSamp
0.152	Hs_10SubSamp
0.164	Hs_10SubSamp
0.154	Hs_10SubSamp
0.162	Hs_10SubSamp
0.15	Hs_10SubSamp
0.155	Hs_10SubSamp
0.157	Hs_10SubSamp
0.154	Hs_10SubSamp
0.159	Hs_10SubSamp
0.157	Hs_10SubSamp
0.158	Hs_10SubSamp
0.153	Hs_10SubSamp
0.159	Hs_10SubSamp
0.149	Hs_10SubSamp
0.152	Hs_10SubSamp
0.156	Hs_10SubSamp
0.156	Hs_10SubSamp
0.153	Hs_10SubSamp
0.154	Hs_10SubSamp
0.157	Hs_10SubSamp
0.156	Hs_10SubSamp
0.154	Hs_10SubSamp
0.156	Hs_10SubSamp
0.154	Hs_10SubSamp
0.154	Hs_10SubSamp
0.156	Hs_10SubSamp
0.157	Hs_10SubSamp
0.152	Hs_10SubSamp
0.155	Hs_10SubSamp
0.152	Hs_10SubSamp
0.152	Hs_10SubSamp
0.157	Hs_10SubSamp
0.154	Hs_10SubSamp
0.152	Hs_10SubSamp
0.153	Hs_10SubSamp
0.15	Hs_10SubSamp
0.157	Hs_10SubSamp
0.156	Hs_10SubSamp
0.156	Hs_10SubSamp
0.155	Hs_10SubSamp
0.153	Hs_10SubSamp
0.155	Hs_10SubSamp
0.153	Hs_10SubSamp
0.153	Hs_10SubSamp
0.154	Hs_10SubSamp
0.152	Hs_12SubSamp
0.153	Hs_12SubSamp
0.152	Hs_12SubSamp
0.154	Hs_12SubSamp
0.155	Hs_12SubSamp
0.152	Hs_12SubSamp
0.158	Hs_12SubSamp
0.157	Hs_12SubSamp
0.153	Hs_12SubSamp
0.16	Hs_12SubSamp
0.153	Hs_12SubSamp
0.157	Hs_12SubSamp
0.156	Hs_12SubSamp
0.155	Hs_12SubSamp
0.154	Hs_12SubSamp
0.16	Hs_12SubSamp
0.155	Hs_12SubSamp
0.154	Hs_12SubSamp
0.157	Hs_12SubSamp
0.156	Hs_12SubSamp
0.153	Hs_12SubSamp
0.154	Hs_12SubSamp
0.156	Hs_12SubSamp
0.158	Hs_12SubSamp
0.156	Hs_12SubSamp
0.158	Hs_12SubSamp
0.152	Hs_12SubSamp
0.152	Hs_12SubSamp
0.159	Hs_12SubSamp
0.157	Hs_12SubSamp
0.158	Hs_12SubSamp
0.157	Hs_12SubSamp
0.158	Hs_12SubSamp
0.154	Hs_12SubSamp
0.156	Hs_12SubSamp
0.158	Hs_12SubSamp
0.154	Hs_12SubSamp
0.154	Hs_12SubSamp
0.157	Hs_12SubSamp
0.156	Hs_12SubSamp
0.155	Hs_12SubSamp
0.159	Hs_12SubSamp
0.153	Hs_12SubSamp
0.155	Hs_12SubSamp
0.155	Hs_12SubSamp
0.156	Hs_12SubSamp
0.154	Hs_12SubSamp
0.154	Hs_12SubSamp
0.159	Hs_12SubSamp
0.155	Hs_12SubSamp
0.154	Hs_12SubSamp
0.153	Hs_12SubSamp
0.16	Hs_12SubSamp
0.159	Hs_12SubSamp
0.157	Hs_12SubSamp
0.158	Hs_12SubSamp
0.155	Hs_12SubSamp
0.155	Hs_12SubSamp
0.155	Hs_12SubSamp
0.16	Hs_12SubSamp
0.16	Hs_12SubSamp
0.157	Hs_12SubSamp
0.157	Hs_12SubSamp
0.154	Hs_12SubSamp
0.155	Hs_12SubSamp
0.16	Hs_12SubSamp
0.156	Hs_12SubSamp
0.151	Hs_12SubSamp
0.155	Hs_12SubSamp
0.159	Hs_12SubSamp
0.156	Hs_12SubSamp
0.158	Hs_12SubSamp
0.157	Hs_12SubSamp
0.153	Hs_12SubSamp
0.158	Hs_12SubSamp
0.15	Hs_12SubSamp
0.154	Hs_12SubSamp
0.158	Hs_12SubSamp
0.155	Hs_12SubSamp
0.153	Hs_12SubSamp
0.156	Hs_12SubSamp
0.156	Hs_12SubSamp
0.158	Hs_12SubSamp
0.154	Hs_12SubSamp
0.157	Hs_12SubSamp
0.156	Hs_12SubSamp
0.157	Hs_12SubSamp
0.156	Hs_12SubSamp
0.154	Hs_12SubSamp
0.153	Hs_12SubSamp
0.155	Hs_12SubSamp
0.155	Hs_12SubSamp
0.159	Hs_12SubSamp
0.157	Hs_12SubSamp
0.158	Hs_12SubSamp
0.161	Hs_12SubSamp
0.158	Hs_12SubSamp
0.156	Hs_12SubSamp
0.156	Hs_12SubSamp
0.157	Hs_12SubSamp
0.155	Hs_14SubSamp
0.155	Hs_14SubSamp
0.154	Hs_14SubSamp
0.152	Hs_14SubSamp
0.157	Hs_14SubSamp
0.16	Hs_14SubSamp
0.157	Hs_14SubSamp
0.155	Hs_14SubSamp
0.154	Hs_14SubSamp
0.159	Hs_14SubSamp
0.155	Hs_14SubSamp
0.156	Hs_14SubSamp
0.154	Hs_14SubSamp
0.154	Hs_14SubSamp
0.154	Hs_14SubSamp
0.158	Hs_14SubSamp
0.155	Hs_14SubSamp
0.159	Hs_14SubSamp
0.155	Hs_14SubSamp
0.157	Hs_14SubSamp
0.159	Hs_14SubSamp
0.155	Hs_14SubSamp
0.156	Hs_14SubSamp
0.16	Hs_14SubSamp
0.158	Hs_14SubSamp
0.151	Hs_14SubSamp
0.154	Hs_14SubSamp
0.156	Hs_14SubSamp
0.155	Hs_14SubSamp
0.154	Hs_14SubSamp
0.156	Hs_14SubSamp
0.158	Hs_14SubSamp
0.155	Hs_14SubSamp
0.154	Hs_14SubSamp
0.156	Hs_14SubSamp
0.153	Hs_14SubSamp
0.157	Hs_14SubSamp
0.158	Hs_14SubSamp
0.157	Hs_14SubSamp
0.158	Hs_14SubSamp
0.153	Hs_14SubSamp
0.153	Hs_14SubSamp
0.155	Hs_14SubSamp
0.159	Hs_14SubSamp
0.155	Hs_14SubSamp
0.156	Hs_14SubSamp
0.16	Hs_14SubSamp
0.156	Hs_14SubSamp
0.153	Hs_14SubSamp
0.159	Hs_14SubSamp
0.156	Hs_14SubSamp
0.155	Hs_14SubSamp
0.153	Hs_14SubSamp
0.153	Hs_14SubSamp
0.157	Hs_14SubSamp
0.158	Hs_14SubSamp
0.155	Hs_14SubSamp
0.152	Hs_14SubSamp
0.154	Hs_14SubSamp
0.158	Hs_14SubSamp
0.16	Hs_14SubSamp
0.158	Hs_14SubSamp
0.156	Hs_14SubSamp
0.155	Hs_14SubSamp
0.154	Hs_14SubSamp
0.155	Hs_14SubSamp
0.157	Hs_14SubSamp
0.157	Hs_14SubSamp
0.155	Hs_14SubSamp
0.157	Hs_14SubSamp
0.155	Hs_14SubSamp
0.153	Hs_14SubSamp
0.154	Hs_14SubSamp
0.152	Hs_14SubSamp
0.156	Hs_14SubSamp
0.154	Hs_14SubSamp
0.155	Hs_14SubSamp
0.156	Hs_14SubSamp
0.156	Hs_14SubSamp
0.156	Hs_14SubSamp
0.155	Hs_14SubSamp
0.156	Hs_14SubSamp
0.157	Hs_14SubSamp
0.156	Hs_14SubSamp
0.152	Hs_14SubSamp
0.156	Hs_14SubSamp
0.16	Hs_14SubSamp
0.154	Hs_14SubSamp
0.156	Hs_14SubSamp
0.154	Hs_14SubSamp
0.158	Hs_14SubSamp
0.154	Hs_14SubSamp
0.159	Hs_14SubSamp
0.157	Hs_14SubSamp
0.159	Hs_14SubSamp
0.157	Hs_14SubSamp
0.156	Hs_14SubSamp
0.155	Hs_14SubSamp
0.157	Hs_14SubSamp
0.156	Hs_14SubSamp
0.153	Hs_16SubSamp
0.154	Hs_16SubSamp
0.155	Hs_16SubSamp
0.155	Hs_16SubSamp
0.154	Hs_16SubSamp
0.156	Hs_16SubSamp
0.159	Hs_16SubSamp
0.154	Hs_16SubSamp
0.156	Hs_16SubSamp
0.154	Hs_16SubSamp
0.157	Hs_16SubSamp
0.157	Hs_16SubSamp
0.154	Hs_16SubSamp
0.157	Hs_16SubSamp
0.156	Hs_16SubSamp
0.156	Hs_16SubSamp
0.155	Hs_16SubSamp
0.154	Hs_16SubSamp
0.157	Hs_16SubSamp
0.155	Hs_16SubSamp
0.154	Hs_16SubSamp
0.156	Hs_16SubSamp
0.156	Hs_16SubSamp
0.156	Hs_16SubSamp
0.156	Hs_16SubSamp
0.156	Hs_16SubSamp
0.157	Hs_16SubSamp
0.156	Hs_16SubSamp
0.155	Hs_16SubSamp
0.155	Hs_16SubSamp
0.155	Hs_16SubSamp
0.154	Hs_16SubSamp
0.157	Hs_16SubSamp
0.157	Hs_16SubSamp
0.152	Hs_16SubSamp
0.157	Hs_16SubSamp
0.157	Hs_16SubSamp
0.158	Hs_16SubSamp
0.154	Hs_16SubSamp
0.157	Hs_16SubSamp
0.156	Hs_16SubSamp
0.153	Hs_16SubSamp
0.154	Hs_16SubSamp
0.156	Hs_16SubSamp
0.154	Hs_16SubSamp
0.153	Hs_16SubSamp
0.155	Hs_16SubSamp
0.157	Hs_16SubSamp
0.158	Hs_16SubSamp
0.156	Hs_16SubSamp
0.153	Hs_16SubSamp
0.155	Hs_16SubSamp
0.153	Hs_16SubSamp
0.158	Hs_16SubSamp
0.155	Hs_16SubSamp
0.156	Hs_16SubSamp
0.155	Hs_16SubSamp
0.155	Hs_16SubSamp
0.158	Hs_16SubSamp
0.155	Hs_16SubSamp
0.156	Hs_16SubSamp
0.157	Hs_16SubSamp
0.154	Hs_16SubSamp
0.156	Hs_16SubSamp
0.156	Hs_16SubSamp
0.153	Hs_16SubSamp
0.155	Hs_16SubSamp
0.154	Hs_16SubSamp
0.158	Hs_16SubSamp
0.155	Hs_16SubSamp
0.155	Hs_16SubSamp
0.155	Hs_16SubSamp
0.154	Hs_16SubSamp
0.154	Hs_16SubSamp
0.156	Hs_16SubSamp
0.153	Hs_16SubSamp
0.156	Hs_16SubSamp
0.158	Hs_16SubSamp
0.158	Hs_16SubSamp
0.153	Hs_16SubSamp
0.157	Hs_16SubSamp
0.154	Hs_16SubSamp
0.156	Hs_16SubSamp
0.156	Hs_16SubSamp
0.155	Hs_16SubSamp
0.153	Hs_16SubSamp
0.159	Hs_16SubSamp
0.154	Hs_16SubSamp
0.152	Hs_16SubSamp
0.158	Hs_16SubSamp
0.155	Hs_16SubSamp
0.157	Hs_16SubSamp
0.157	Hs_16SubSamp
0.155	Hs_16SubSamp
0.154	Hs_16SubSamp
0.153	Hs_16SubSamp
0.156	Hs_16SubSamp
0.152	Hs_16SubSamp
0.155	Hs_16SubSamp
0.154	Hs_16SubSamp
0.156	Hs_18SubSamp
0.154	Hs_18SubSamp
0.156	Hs_18SubSamp
0.155	Hs_18SubSamp
0.155	Hs_18SubSamp
0.155	Hs_18SubSamp
0.155	Hs_18SubSamp
0.156	Hs_18SubSamp
0.158	Hs_18SubSamp
0.155	Hs_18SubSamp
0.157	Hs_18SubSamp
0.157	Hs_18SubSamp
0.156	Hs_18SubSamp
0.154	Hs_18SubSamp
0.156	Hs_18SubSamp
0.157	Hs_18SubSamp
0.155	Hs_18SubSamp
0.156	Hs_18SubSamp
0.154	Hs_18SubSamp
0.155	Hs_18SubSamp
0.154	Hs_18SubSamp
0.154	Hs_18SubSamp
0.156	Hs_18SubSamp
0.155	Hs_18SubSamp
0.156	Hs_18SubSamp
0.154	Hs_18SubSamp
0.157	Hs_18SubSamp
0.157	Hs_18SubSamp
0.156	Hs_18SubSamp
0.155	Hs_18SubSamp
0.156	Hs_18SubSamp
0.155	Hs_18SubSamp
0.155	Hs_18SubSamp
0.154	Hs_18SubSamp
0.158	Hs_18SubSamp
0.154	Hs_18SubSamp
0.156	Hs_18SubSamp
0.152	Hs_18SubSamp
0.155	Hs_18SubSamp
0.158	Hs_18SubSamp
0.157	Hs_18SubSamp
0.154	Hs_18SubSamp
0.154	Hs_18SubSamp
0.156	Hs_18SubSamp
0.157	Hs_18SubSamp
0.156	Hs_18SubSamp
0.155	Hs_18SubSamp
0.157	Hs_18SubSamp
0.154	Hs_18SubSamp
0.157	Hs_18SubSamp
0.157	Hs_18SubSamp
0.156	Hs_18SubSamp
0.158	Hs_18SubSamp
0.155	Hs_18SubSamp
0.156	Hs_18SubSamp
0.154	Hs_18SubSamp
0.155	Hs_18SubSamp
0.155	Hs_18SubSamp
0.152	Hs_18SubSamp
0.157	Hs_18SubSamp
0.156	Hs_18SubSamp
0.157	Hs_18SubSamp
0.156	Hs_18SubSamp
0.154	Hs_18SubSamp
0.157	Hs_18SubSamp
0.156	Hs_18SubSamp
0.157	Hs_18SubSamp
0.154	Hs_18SubSamp
0.157	Hs_18SubSamp
0.157	Hs_18SubSamp
0.155	Hs_18SubSamp
0.158	Hs_18SubSamp
0.156	Hs_18SubSamp
0.156	Hs_18SubSamp
0.158	Hs_18SubSamp
0.154	Hs_18SubSamp
0.157	Hs_18SubSamp
0.156	Hs_18SubSamp
0.155	Hs_18SubSamp
0.156	Hs_18SubSamp
0.155	Hs_18SubSamp
0.158	Hs_18SubSamp
0.154	Hs_18SubSamp
0.154	Hs_18SubSamp
0.156	Hs_18SubSamp
0.157	Hs_18SubSamp
0.155	Hs_18SubSamp
0.156	Hs_18SubSamp
0.155	Hs_18SubSamp
0.154	Hs_18SubSamp
0.156	Hs_18SubSamp
0.152	Hs_18SubSamp
0.157	Hs_18SubSamp
0.155	Hs_18SubSamp
0.158	Hs_18SubSamp
0.156	Hs_18SubSamp
0.156	Hs_18SubSamp
0.156	Hs_18SubSamp
0.157	Hs_18SubSamp
0.156	Hs_18SubSamp
0.154	Hs_20SubSamp
0.157	Hs_20SubSamp
0.156	Hs_20SubSamp
0.156	Hs_20SubSamp
0.157	Hs_20SubSamp
0.157	Hs_20SubSamp
0.156	Hs_20SubSamp
0.156	Hs_20SubSamp
0.155	Hs_20SubSamp
0.156	Hs_20SubSamp
0.155	Hs_20SubSamp
0.157	Hs_20SubSamp
0.156	Hs_20SubSamp
0.155	Hs_20SubSamp
0.155	Hs_20SubSamp
0.155	Hs_20SubSamp
0.156	Hs_20SubSamp
0.154	Hs_20SubSamp
0.157	Hs_20SubSamp
0.154	Hs_20SubSamp
0.157	Hs_20SubSamp
0.155	Hs_20SubSamp
0.155	Hs_20SubSamp
0.156	Hs_20SubSamp
0.157	Hs_20SubSamp
0.155	Hs_20SubSamp
0.156	Hs_20SubSamp
0.154	Hs_20SubSamp
0.156	Hs_20SubSamp
0.157	Hs_20SubSamp
0.155	Hs_20SubSamp
0.157	Hs_20SubSamp
0.157	Hs_20SubSamp
0.155	Hs_20SubSamp
0.157	Hs_20SubSamp
0.157	Hs_20SubSamp
0.155	Hs_20SubSamp
0.156	Hs_20SubSamp
0.157	Hs_20SubSamp
0.157	Hs_20SubSamp
0.156	Hs_20SubSamp
0.156	Hs_20SubSamp
0.155	Hs_20SubSamp
0.157	Hs_20SubSamp
0.155	Hs_20SubSamp
0.153	Hs_20SubSamp
0.156	Hs_20SubSamp
0.154	Hs_20SubSamp
0.155	Hs_20SubSamp
0.156	Hs_20SubSamp
0.157	Hs_20SubSamp
0.157	Hs_20SubSamp
0.156	Hs_20SubSamp
0.156	Hs_20SubSamp
