TGCP_Gis_estimates	Subsampling_group
-0.004	Gis_04SubSamp
0.036	Gis_04SubSamp
0.025	Gis_04SubSamp
-0.012	Gis_04SubSamp
0.011	Gis_04SubSamp
-0.017	Gis_04SubSamp
-0.024	Gis_04SubSamp
0.006	Gis_04SubSamp
0.007	Gis_04SubSamp
0.038	Gis_04SubSamp
0.023	Gis_04SubSamp
0.013	Gis_04SubSamp
0.016	Gis_04SubSamp
-0.008	Gis_06SubSamp
-0.005	Gis_06SubSamp
0.027	Gis_06SubSamp
-0.004	Gis_06SubSamp
-0.007	Gis_06SubSamp
-0.006	Gis_06SubSamp
-0.009	Gis_06SubSamp
0.018	Gis_06SubSamp
0.038	Gis_06SubSamp
0.017	Gis_06SubSamp
0	Gis_06SubSamp
0.016	Gis_06SubSamp
-0.014	Gis_06SubSamp
0.017	Gis_06SubSamp
0.003	Gis_06SubSamp
-0.035	Gis_06SubSamp
0.014	Gis_06SubSamp
-0.002	Gis_06SubSamp
0.007	Gis_06SubSamp
-0.005	Gis_06SubSamp
0.032	Gis_06SubSamp
-0.004	Gis_06SubSamp
0.021	Gis_06SubSamp
0.006	Gis_06SubSamp
-0.001	Gis_06SubSamp
0.023	Gis_06SubSamp
-0.03	Gis_06SubSamp
-0.009	Gis_06SubSamp
-0.008	Gis_06SubSamp
0.036	Gis_06SubSamp
0.032	Gis_06SubSamp
0.007	Gis_06SubSamp
0.004	Gis_06SubSamp
0.024	Gis_06SubSamp
0.007	Gis_06SubSamp
-0.028	Gis_06SubSamp
-0.01	Gis_06SubSamp
-0.013	Gis_06SubSamp
0.033	Gis_06SubSamp
-0.023	Gis_06SubSamp
-0.016	Gis_06SubSamp
0.019	Gis_06SubSamp
0.004	Gis_06SubSamp
0	Gis_06SubSamp
0.032	Gis_06SubSamp
0.04	Gis_06SubSamp
-0.011	Gis_06SubSamp
-0.029	Gis_06SubSamp
-0.006	Gis_06SubSamp
0.038	Gis_06SubSamp
0.002	Gis_06SubSamp
0.046	Gis_06SubSamp
0.043	Gis_06SubSamp
0.041	Gis_06SubSamp
-0.044	Gis_06SubSamp
0.04	Gis_06SubSamp
0.004	Gis_06SubSamp
0.038	Gis_06SubSamp
0.012	Gis_06SubSamp
0.054	Gis_06SubSamp
-0.002	Gis_06SubSamp
0.007	Gis_06SubSamp
0.008	Gis_06SubSamp
0.036	Gis_06SubSamp
-0.013	Gis_06SubSamp
-0.006	Gis_06SubSamp
-0.035	Gis_06SubSamp
0.011	Gis_06SubSamp
0.014	Gis_06SubSamp
0.026	Gis_06SubSamp
0.009	Gis_06SubSamp
0.004	Gis_06SubSamp
0.026	Gis_06SubSamp
0.009	Gis_06SubSamp
-0.026	Gis_06SubSamp
0.038	Gis_06SubSamp
0.035	Gis_06SubSamp
0.027	Gis_06SubSamp
0.001	Gis_06SubSamp
-0.023	Gis_06SubSamp
0.003	Gis_06SubSamp
0.005	Gis_06SubSamp
0.042	Gis_06SubSamp
0.021	Gis_06SubSamp
0.012	Gis_06SubSamp
0.04	Gis_06SubSamp
0.014	Gis_06SubSamp
0.017	Gis_06SubSamp
0.021	Gis_06SubSamp
0.021	Gis_06SubSamp
0.01	Gis_06SubSamp
0.013	Gis_06SubSamp
0.005	Gis_06SubSamp
0.024	Gis_06SubSamp
0.026	Gis_06SubSamp
0.017	Gis_06SubSamp
0.047	Gis_06SubSamp
0.016	Gis_06SubSamp
-0.007	Gis_06SubSamp
-0.02	Gis_06SubSamp
0.003	Gis_08SubSamp
0.01	Gis_08SubSamp
0.004	Gis_08SubSamp
-0.013	Gis_08SubSamp
0.003	Gis_08SubSamp
0.016	Gis_08SubSamp
0.023	Gis_08SubSamp
0.027	Gis_08SubSamp
-0.01	Gis_08SubSamp
0.031	Gis_08SubSamp
0.016	Gis_08SubSamp
0.045	Gis_08SubSamp
0.008	Gis_08SubSamp
-0.009	Gis_08SubSamp
0.02	Gis_08SubSamp
0.018	Gis_08SubSamp
0.019	Gis_08SubSamp
0.009	Gis_08SubSamp
0.01	Gis_08SubSamp
0.004	Gis_08SubSamp
0.016	Gis_08SubSamp
0.03	Gis_08SubSamp
0.028	Gis_08SubSamp
0.006	Gis_08SubSamp
0.018	Gis_08SubSamp
-0.013	Gis_08SubSamp
0.02	Gis_08SubSamp
0.007	Gis_08SubSamp
-0.006	Gis_08SubSamp
-0.012	Gis_08SubSamp
0.009	Gis_08SubSamp
0.017	Gis_08SubSamp
0.015	Gis_08SubSamp
-0.01	Gis_08SubSamp
0.017	Gis_08SubSamp
0.016	Gis_08SubSamp
0.022	Gis_08SubSamp
0.006	Gis_08SubSamp
0.009	Gis_08SubSamp
-0.002	Gis_08SubSamp
-0.006	Gis_08SubSamp
0.006	Gis_08SubSamp
0.009	Gis_08SubSamp
0.019	Gis_08SubSamp
0.015	Gis_08SubSamp
0.003	Gis_08SubSamp
-0.014	Gis_08SubSamp
0.032	Gis_08SubSamp
0.016	Gis_08SubSamp
-0.012	Gis_08SubSamp
-0.001	Gis_08SubSamp
0.018	Gis_08SubSamp
0.012	Gis_08SubSamp
-0.014	Gis_08SubSamp
-0.015	Gis_08SubSamp
0.021	Gis_08SubSamp
0.015	Gis_08SubSamp
-0.014	Gis_08SubSamp
0.003	Gis_08SubSamp
0.021	Gis_08SubSamp
0.014	Gis_08SubSamp
0.001	Gis_08SubSamp
0.017	Gis_08SubSamp
-0.01	Gis_08SubSamp
0.015	Gis_08SubSamp
0.007	Gis_08SubSamp
-0.005	Gis_08SubSamp
-0.017	Gis_08SubSamp
0.023	Gis_08SubSamp
-0.005	Gis_08SubSamp
-0.03	Gis_08SubSamp
0.008	Gis_08SubSamp
0.016	Gis_08SubSamp
0.03	Gis_08SubSamp
0.009	Gis_08SubSamp
0.009	Gis_08SubSamp
0	Gis_08SubSamp
0.038	Gis_08SubSamp
0.031	Gis_08SubSamp
0.009	Gis_08SubSamp
0.02	Gis_08SubSamp
0.016	Gis_08SubSamp
-0.003	Gis_08SubSamp
0.004	Gis_08SubSamp
-0.011	Gis_08SubSamp
-0.007	Gis_08SubSamp
0.011	Gis_08SubSamp
0.013	Gis_08SubSamp
0.035	Gis_08SubSamp
0.011	Gis_08SubSamp
0	Gis_08SubSamp
-0.013	Gis_08SubSamp
0.017	Gis_08SubSamp
-0.004	Gis_08SubSamp
0.006	Gis_08SubSamp
0.002	Gis_08SubSamp
-0.026	Gis_08SubSamp
0.005	Gis_08SubSamp
0.005	Gis_08SubSamp
0.013	Gis_08SubSamp
0.005	Gis_10SubSamp
0.002	Gis_10SubSamp
0.017	Gis_10SubSamp
0.003	Gis_10SubSamp
-0.003	Gis_10SubSamp
0.024	Gis_10SubSamp
-0.014	Gis_10SubSamp
0.006	Gis_10SubSamp
0.009	Gis_10SubSamp
0.025	Gis_10SubSamp
-0.014	Gis_10SubSamp
0.016	Gis_10SubSamp
0.042	Gis_10SubSamp
0.002	Gis_10SubSamp
0.018	Gis_10SubSamp
0.021	Gis_10SubSamp
0.001	Gis_10SubSamp
0.025	Gis_10SubSamp
0.003	Gis_10SubSamp
0.026	Gis_10SubSamp
0.026	Gis_10SubSamp
0.001	Gis_10SubSamp
0.028	Gis_10SubSamp
0.031	Gis_10SubSamp
0.005	Gis_10SubSamp
-0.003	Gis_10SubSamp
0.02	Gis_10SubSamp
-0.007	Gis_10SubSamp
0.007	Gis_10SubSamp
0.031	Gis_10SubSamp
0.017	Gis_10SubSamp
-0.004	Gis_10SubSamp
0.029	Gis_10SubSamp
0.006	Gis_10SubSamp
0.001	Gis_10SubSamp
-0.032	Gis_10SubSamp
0.005	Gis_10SubSamp
0.019	Gis_10SubSamp
-0.008	Gis_10SubSamp
0.028	Gis_10SubSamp
0.012	Gis_10SubSamp
-0.002	Gis_10SubSamp
0.019	Gis_10SubSamp
0.009	Gis_10SubSamp
0.019	Gis_10SubSamp
-0.013	Gis_10SubSamp
0.01	Gis_10SubSamp
0.019	Gis_10SubSamp
0.029	Gis_10SubSamp
-0.004	Gis_10SubSamp
-0.003	Gis_10SubSamp
0.008	Gis_10SubSamp
0.015	Gis_10SubSamp
0.026	Gis_10SubSamp
0.012	Gis_10SubSamp
0.009	Gis_10SubSamp
0.012	Gis_10SubSamp
0.005	Gis_10SubSamp
0.009	Gis_10SubSamp
0.016	Gis_10SubSamp
0.01	Gis_10SubSamp
0.02	Gis_10SubSamp
-0.013	Gis_10SubSamp
0.016	Gis_10SubSamp
-0.002	Gis_10SubSamp
0.029	Gis_10SubSamp
-0.002	Gis_10SubSamp
0.011	Gis_10SubSamp
0.006	Gis_10SubSamp
0.003	Gis_10SubSamp
-0.006	Gis_10SubSamp
0.011	Gis_10SubSamp
-0.013	Gis_10SubSamp
0.001	Gis_10SubSamp
0.02	Gis_10SubSamp
0.008	Gis_10SubSamp
0.013	Gis_10SubSamp
0.01	Gis_10SubSamp
-0.013	Gis_10SubSamp
0.017	Gis_10SubSamp
0.02	Gis_10SubSamp
0.017	Gis_10SubSamp
-0.007	Gis_10SubSamp
-0.004	Gis_10SubSamp
-0.006	Gis_10SubSamp
0.016	Gis_10SubSamp
-0.01	Gis_10SubSamp
0.013	Gis_10SubSamp
0.035	Gis_10SubSamp
0.03	Gis_10SubSamp
0.014	Gis_10SubSamp
0.011	Gis_10SubSamp
0	Gis_10SubSamp
-0.017	Gis_10SubSamp
0.025	Gis_10SubSamp
0.002	Gis_10SubSamp
0.022	Gis_10SubSamp
-0.005	Gis_10SubSamp
-0.007	Gis_10SubSamp
-0.011	Gis_10SubSamp
0.005	Gis_12SubSamp
0.024	Gis_12SubSamp
0.013	Gis_12SubSamp
0.006	Gis_12SubSamp
0.002	Gis_12SubSamp
0.017	Gis_12SubSamp
0.024	Gis_12SubSamp
0.003	Gis_12SubSamp
0.01	Gis_12SubSamp
0.004	Gis_12SubSamp
0.029	Gis_12SubSamp
-0.008	Gis_12SubSamp
-0.021	Gis_12SubSamp
0.017	Gis_12SubSamp
0.025	Gis_12SubSamp
-0.004	Gis_12SubSamp
-0.005	Gis_12SubSamp
-0.002	Gis_12SubSamp
0.01	Gis_12SubSamp
-0.001	Gis_12SubSamp
-0.007	Gis_12SubSamp
0.012	Gis_12SubSamp
0.003	Gis_12SubSamp
0.018	Gis_12SubSamp
0.012	Gis_12SubSamp
0.003	Gis_12SubSamp
-0.004	Gis_12SubSamp
-0.011	Gis_12SubSamp
0.021	Gis_12SubSamp
0.005	Gis_12SubSamp
0.029	Gis_12SubSamp
-0.004	Gis_12SubSamp
0.022	Gis_12SubSamp
0.016	Gis_12SubSamp
0.028	Gis_12SubSamp
0.008	Gis_12SubSamp
0.009	Gis_12SubSamp
0.007	Gis_12SubSamp
0.016	Gis_12SubSamp
0.013	Gis_12SubSamp
0	Gis_12SubSamp
0.008	Gis_12SubSamp
0.02	Gis_12SubSamp
0.011	Gis_12SubSamp
0.023	Gis_12SubSamp
-0.005	Gis_12SubSamp
0.015	Gis_12SubSamp
0.012	Gis_12SubSamp
0.008	Gis_12SubSamp
0	Gis_12SubSamp
0.006	Gis_12SubSamp
0.001	Gis_12SubSamp
0.03	Gis_12SubSamp
0.016	Gis_12SubSamp
0.004	Gis_12SubSamp
0.01	Gis_12SubSamp
0.011	Gis_12SubSamp
0.027	Gis_12SubSamp
0.02	Gis_12SubSamp
0.015	Gis_12SubSamp
0.028	Gis_12SubSamp
0.017	Gis_12SubSamp
0.015	Gis_12SubSamp
0.012	Gis_12SubSamp
0.007	Gis_12SubSamp
0.025	Gis_12SubSamp
0.01	Gis_12SubSamp
0.022	Gis_12SubSamp
0.015	Gis_12SubSamp
0.015	Gis_12SubSamp
0.029	Gis_12SubSamp
0.009	Gis_12SubSamp
0.01	Gis_12SubSamp
0.016	Gis_12SubSamp
0.027	Gis_12SubSamp
0.005	Gis_12SubSamp
0.022	Gis_12SubSamp
0.016	Gis_12SubSamp
0.015	Gis_12SubSamp
0.008	Gis_12SubSamp
0.012	Gis_12SubSamp
0.016	Gis_12SubSamp
0.017	Gis_12SubSamp
0.004	Gis_12SubSamp
0.008	Gis_12SubSamp
0.021	Gis_12SubSamp
-0.01	Gis_12SubSamp
-0.006	Gis_12SubSamp
0.008	Gis_12SubSamp
0.026	Gis_12SubSamp
0.006	Gis_12SubSamp
0.025	Gis_12SubSamp
0.004	Gis_12SubSamp
0	Gis_12SubSamp
0.02	Gis_12SubSamp
0.008	Gis_12SubSamp
0.014	Gis_12SubSamp
0.015	Gis_12SubSamp
0.01	Gis_12SubSamp
0.026	Gis_12SubSamp
0.031	Gis_14SubSamp
0.019	Gis_14SubSamp
0.005	Gis_14SubSamp
0.004	Gis_14SubSamp
0.003	Gis_14SubSamp
0.023	Gis_14SubSamp
0.01	Gis_14SubSamp
-0.004	Gis_14SubSamp
0.012	Gis_14SubSamp
0.009	Gis_14SubSamp
0.027	Gis_14SubSamp
0.008	Gis_14SubSamp
0.022	Gis_14SubSamp
0.009	Gis_14SubSamp
0.003	Gis_14SubSamp
0.007	Gis_14SubSamp
-0.009	Gis_14SubSamp
0.025	Gis_14SubSamp
0.009	Gis_14SubSamp
0.018	Gis_14SubSamp
0.012	Gis_14SubSamp
0.003	Gis_14SubSamp
0.018	Gis_14SubSamp
0.006	Gis_14SubSamp
0.015	Gis_14SubSamp
0.007	Gis_14SubSamp
0.015	Gis_14SubSamp
0.015	Gis_14SubSamp
0.013	Gis_14SubSamp
0.002	Gis_14SubSamp
0.003	Gis_14SubSamp
0.015	Gis_14SubSamp
0.017	Gis_14SubSamp
0.017	Gis_14SubSamp
0.023	Gis_14SubSamp
0.016	Gis_14SubSamp
0.016	Gis_14SubSamp
0.011	Gis_14SubSamp
0.013	Gis_14SubSamp
-0.013	Gis_14SubSamp
0.001	Gis_14SubSamp
0.017	Gis_14SubSamp
-0.011	Gis_14SubSamp
0.017	Gis_14SubSamp
0.024	Gis_14SubSamp
0.01	Gis_14SubSamp
0.006	Gis_14SubSamp
0.023	Gis_14SubSamp
0.021	Gis_14SubSamp
0.026	Gis_14SubSamp
0.02	Gis_14SubSamp
0.015	Gis_14SubSamp
0.012	Gis_14SubSamp
0.021	Gis_14SubSamp
0.003	Gis_14SubSamp
0.006	Gis_14SubSamp
0.004	Gis_14SubSamp
0.015	Gis_14SubSamp
0.003	Gis_14SubSamp
-0.005	Gis_14SubSamp
0.009	Gis_14SubSamp
-0.001	Gis_14SubSamp
0.03	Gis_14SubSamp
0.023	Gis_14SubSamp
-0.004	Gis_14SubSamp
0.007	Gis_14SubSamp
0.011	Gis_14SubSamp
0.006	Gis_14SubSamp
0.024	Gis_14SubSamp
0.009	Gis_14SubSamp
-0.007	Gis_14SubSamp
0.026	Gis_14SubSamp
0.015	Gis_14SubSamp
0.023	Gis_14SubSamp
-0.009	Gis_14SubSamp
0.009	Gis_14SubSamp
0.018	Gis_14SubSamp
0.011	Gis_14SubSamp
0.015	Gis_14SubSamp
0.005	Gis_14SubSamp
0.022	Gis_14SubSamp
0.019	Gis_14SubSamp
0	Gis_14SubSamp
0.004	Gis_14SubSamp
0.025	Gis_14SubSamp
0.008	Gis_14SubSamp
0.014	Gis_14SubSamp
0.022	Gis_14SubSamp
0.012	Gis_14SubSamp
0.015	Gis_14SubSamp
0.006	Gis_14SubSamp
0.024	Gis_14SubSamp
0.016	Gis_14SubSamp
0.016	Gis_14SubSamp
0.002	Gis_14SubSamp
0.005	Gis_14SubSamp
0.019	Gis_14SubSamp
0.007	Gis_14SubSamp
0.013	Gis_14SubSamp
0.012	Gis_14SubSamp
0.014	Gis_16SubSamp
0.014	Gis_16SubSamp
0.022	Gis_16SubSamp
0.005	Gis_16SubSamp
0.013	Gis_16SubSamp
0.014	Gis_16SubSamp
0.006	Gis_16SubSamp
0.018	Gis_16SubSamp
-0.001	Gis_16SubSamp
-0.005	Gis_16SubSamp
0.011	Gis_16SubSamp
0.004	Gis_16SubSamp
0.007	Gis_16SubSamp
0.002	Gis_16SubSamp
0.006	Gis_16SubSamp
0.017	Gis_16SubSamp
0.008	Gis_16SubSamp
0.013	Gis_16SubSamp
0.014	Gis_16SubSamp
0.017	Gis_16SubSamp
-0.002	Gis_16SubSamp
0.021	Gis_16SubSamp
0.008	Gis_16SubSamp
0.027	Gis_16SubSamp
0.015	Gis_16SubSamp
0.01	Gis_16SubSamp
0.007	Gis_16SubSamp
0.019	Gis_16SubSamp
0.023	Gis_16SubSamp
0.013	Gis_16SubSamp
-0.001	Gis_16SubSamp
0.002	Gis_16SubSamp
0.01	Gis_16SubSamp
0.009	Gis_16SubSamp
0.016	Gis_16SubSamp
0.014	Gis_16SubSamp
0.018	Gis_16SubSamp
0.011	Gis_16SubSamp
-0.001	Gis_16SubSamp
0.013	Gis_16SubSamp
-0.002	Gis_16SubSamp
0.013	Gis_16SubSamp
0.016	Gis_16SubSamp
0.006	Gis_16SubSamp
0.019	Gis_16SubSamp
0.02	Gis_16SubSamp
0.012	Gis_16SubSamp
0.022	Gis_16SubSamp
0.002	Gis_16SubSamp
0.024	Gis_16SubSamp
0.011	Gis_16SubSamp
0.017	Gis_16SubSamp
0.004	Gis_16SubSamp
0.016	Gis_16SubSamp
0.021	Gis_16SubSamp
0.004	Gis_16SubSamp
0.032	Gis_16SubSamp
0.02	Gis_16SubSamp
0.011	Gis_16SubSamp
0.016	Gis_16SubSamp
0.019	Gis_16SubSamp
0.02	Gis_16SubSamp
0.021	Gis_16SubSamp
0.019	Gis_16SubSamp
0.007	Gis_16SubSamp
0.018	Gis_16SubSamp
0.01	Gis_16SubSamp
0.018	Gis_16SubSamp
0.003	Gis_16SubSamp
0.018	Gis_16SubSamp
0.006	Gis_16SubSamp
0.016	Gis_16SubSamp
-0.001	Gis_16SubSamp
0.008	Gis_16SubSamp
0	Gis_16SubSamp
0.009	Gis_16SubSamp
0.018	Gis_16SubSamp
0.003	Gis_16SubSamp
0.009	Gis_16SubSamp
0.025	Gis_16SubSamp
0.018	Gis_16SubSamp
0.014	Gis_16SubSamp
0.009	Gis_16SubSamp
0.014	Gis_16SubSamp
0.01	Gis_16SubSamp
0.007	Gis_16SubSamp
0.008	Gis_16SubSamp
0.014	Gis_16SubSamp
0.014	Gis_16SubSamp
0.003	Gis_16SubSamp
0.014	Gis_16SubSamp
0.006	Gis_16SubSamp
0.004	Gis_16SubSamp
0.008	Gis_16SubSamp
-0.01	Gis_16SubSamp
0.028	Gis_16SubSamp
0.022	Gis_16SubSamp
0.009	Gis_16SubSamp
0.025	Gis_16SubSamp
0.009	Gis_16SubSamp
0.018	Gis_18SubSamp
0.006	Gis_18SubSamp
0.016	Gis_18SubSamp
0.015	Gis_18SubSamp
0.009	Gis_18SubSamp
-0.003	Gis_18SubSamp
0.006	Gis_18SubSamp
0.014	Gis_18SubSamp
0.007	Gis_18SubSamp
0.013	Gis_18SubSamp
0.013	Gis_18SubSamp
0.006	Gis_18SubSamp
0.014	Gis_18SubSamp
0.008	Gis_18SubSamp
-0.002	Gis_18SubSamp
0.009	Gis_18SubSamp
0.008	Gis_18SubSamp
0.011	Gis_18SubSamp
0.023	Gis_18SubSamp
0.013	Gis_18SubSamp
0.016	Gis_18SubSamp
0.023	Gis_18SubSamp
0.016	Gis_18SubSamp
0.011	Gis_18SubSamp
0.005	Gis_18SubSamp
0.006	Gis_18SubSamp
0.002	Gis_18SubSamp
0.005	Gis_18SubSamp
0.003	Gis_18SubSamp
0.015	Gis_18SubSamp
0.019	Gis_18SubSamp
0.008	Gis_18SubSamp
0.022	Gis_18SubSamp
0.013	Gis_18SubSamp
0.01	Gis_18SubSamp
0.021	Gis_18SubSamp
0.015	Gis_18SubSamp
0.016	Gis_18SubSamp
0.009	Gis_18SubSamp
0.011	Gis_18SubSamp
0.011	Gis_18SubSamp
0.017	Gis_18SubSamp
0.004	Gis_18SubSamp
0.018	Gis_18SubSamp
0.013	Gis_18SubSamp
0.011	Gis_18SubSamp
0.005	Gis_18SubSamp
0.013	Gis_18SubSamp
0.012	Gis_18SubSamp
0.016	Gis_18SubSamp
0.011	Gis_18SubSamp
0.002	Gis_18SubSamp
0.011	Gis_18SubSamp
0.016	Gis_18SubSamp
0.015	Gis_18SubSamp
0.013	Gis_18SubSamp
0.013	Gis_18SubSamp
0.019	Gis_18SubSamp
0.003	Gis_18SubSamp
0.014	Gis_18SubSamp
0.006	Gis_18SubSamp
0.005	Gis_18SubSamp
0.009	Gis_18SubSamp
0.007	Gis_18SubSamp
0.017	Gis_18SubSamp
0.009	Gis_18SubSamp
0.012	Gis_18SubSamp
0.013	Gis_18SubSamp
0.024	Gis_18SubSamp
0.006	Gis_18SubSamp
0.011	Gis_18SubSamp
0	Gis_18SubSamp
0.005	Gis_18SubSamp
0.011	Gis_18SubSamp
0.008	Gis_18SubSamp
0.004	Gis_18SubSamp
0.012	Gis_18SubSamp
0.01	Gis_18SubSamp
0.007	Gis_18SubSamp
0.008	Gis_18SubSamp
0.003	Gis_18SubSamp
0.007	Gis_18SubSamp
0.008	Gis_18SubSamp
0.018	Gis_18SubSamp
0.014	Gis_18SubSamp
0.007	Gis_18SubSamp
0.001	Gis_18SubSamp
0.014	Gis_18SubSamp
0.004	Gis_18SubSamp
0.009	Gis_18SubSamp
0.012	Gis_18SubSamp
0.011	Gis_18SubSamp
0.023	Gis_18SubSamp
0.013	Gis_18SubSamp
0	Gis_18SubSamp
0.013	Gis_18SubSamp
0.013	Gis_18SubSamp
0.019	Gis_18SubSamp
0.025	Gis_18SubSamp
0.009	Gis_18SubSamp
0.009	Gis_20SubSamp
0.008	Gis_20SubSamp
0.012	Gis_20SubSamp
0.009	Gis_20SubSamp
0.011	Gis_20SubSamp
0.014	Gis_20SubSamp
0.007	Gis_20SubSamp
0.01	Gis_20SubSamp
0.011	Gis_20SubSamp
0.013	Gis_20SubSamp
0.012	Gis_20SubSamp
0.006	Gis_20SubSamp
0.006	Gis_20SubSamp
0.013	Gis_20SubSamp
0.005	Gis_20SubSamp
0.006	Gis_20SubSamp
0.005	Gis_20SubSamp
0.011	Gis_20SubSamp
0.013	Gis_20SubSamp
0.01	Gis_20SubSamp
0.013	Gis_20SubSamp
0.015	Gis_20SubSamp
0.003	Gis_20SubSamp
0.015	Gis_20SubSamp
0.016	Gis_20SubSamp
0.018	Gis_20SubSamp
0.011	Gis_20SubSamp
0.012	Gis_20SubSamp
0.011	Gis_20SubSamp
0.009	Gis_20SubSamp
0.015	Gis_20SubSamp
0.005	Gis_20SubSamp
