STT_Hs_estimates	Subsampling_group
0.135	Hs_04SubSamp
0.126	Hs_04SubSamp
0.111	Hs_04SubSamp
0.14	Hs_04SubSamp
0.109	Hs_04SubSamp
0.114	Hs_04SubSamp
0.115	Hs_04SubSamp
0.123	Hs_04SubSamp
0.107	Hs_04SubSamp
0.121	Hs_04SubSamp
0.126	Hs_04SubSamp
0.132	Hs_04SubSamp
0.128	Hs_04SubSamp
0.139	Hs_04SubSamp
0.115	Hs_04SubSamp
0.134	Hs_04SubSamp
0.137	Hs_04SubSamp
0.117	Hs_04SubSamp
0.115	Hs_04SubSamp
0.119	Hs_04SubSamp
0.112	Hs_04SubSamp
0.128	Hs_04SubSamp
0.124	Hs_04SubSamp
0.13	Hs_04SubSamp
0.144	Hs_04SubSamp
0.132	Hs_04SubSamp
0.128	Hs_04SubSamp
0.123	Hs_04SubSamp
0.123	Hs_04SubSamp
0.115	Hs_04SubSamp
0.133	Hs_04SubSamp
0.131	Hs_04SubSamp
0.134	Hs_04SubSamp
0.127	Hs_04SubSamp
0.124	Hs_04SubSamp
0.128	Hs_04SubSamp
0.124	Hs_04SubSamp
0.125	Hs_04SubSamp
0.144	Hs_04SubSamp
0.136	Hs_04SubSamp
0.119	Hs_04SubSamp
0.127	Hs_04SubSamp
0.119	Hs_04SubSamp
0.135	Hs_04SubSamp
0.136	Hs_04SubSamp
0.123	Hs_04SubSamp
0.116	Hs_04SubSamp
0.117	Hs_04SubSamp
0.115	Hs_04SubSamp
0.121	Hs_04SubSamp
0.125	Hs_04SubSamp
0.13	Hs_04SubSamp
0.118	Hs_04SubSamp
0.127	Hs_04SubSamp
0.118	Hs_04SubSamp
0.13	Hs_04SubSamp
0.131	Hs_04SubSamp
0.107	Hs_04SubSamp
0.133	Hs_04SubSamp
0.118	Hs_04SubSamp
0.125	Hs_06SubSamp
0.132	Hs_06SubSamp
0.13	Hs_06SubSamp
0.118	Hs_06SubSamp
0.124	Hs_06SubSamp
0.123	Hs_06SubSamp
0.134	Hs_06SubSamp
0.131	Hs_06SubSamp
0.127	Hs_06SubSamp
0.133	Hs_06SubSamp
0.115	Hs_06SubSamp
0.119	Hs_06SubSamp
0.127	Hs_06SubSamp
0.122	Hs_06SubSamp
0.12	Hs_06SubSamp
0.133	Hs_06SubSamp
0.125	Hs_06SubSamp
0.116	Hs_06SubSamp
0.12	Hs_06SubSamp
0.119	Hs_06SubSamp
0.123	Hs_06SubSamp
0.134	Hs_06SubSamp
0.126	Hs_06SubSamp
0.119	Hs_06SubSamp
0.126	Hs_06SubSamp
0.127	Hs_06SubSamp
0.13	Hs_06SubSamp
0.119	Hs_06SubSamp
0.124	Hs_06SubSamp
0.126	Hs_06SubSamp
0.132	Hs_06SubSamp
0.127	Hs_06SubSamp
0.123	Hs_06SubSamp
0.132	Hs_06SubSamp
0.12	Hs_06SubSamp
0.119	Hs_06SubSamp
0.124	Hs_06SubSamp
0.124	Hs_06SubSamp
0.128	Hs_06SubSamp
0.124	Hs_06SubSamp
0.123	Hs_06SubSamp
0.131	Hs_06SubSamp
0.126	Hs_06SubSamp
0.13	Hs_06SubSamp
0.121	Hs_06SubSamp
0.123	Hs_06SubSamp
0.119	Hs_06SubSamp
0.13	Hs_06SubSamp
0.123	Hs_06SubSamp
0.129	Hs_06SubSamp
0.124	Hs_06SubSamp
0.133	Hs_06SubSamp
0.138	Hs_06SubSamp
0.122	Hs_06SubSamp
0.115	Hs_06SubSamp
0.138	Hs_06SubSamp
0.127	Hs_06SubSamp
0.131	Hs_06SubSamp
0.119	Hs_06SubSamp
0.124	Hs_06SubSamp
0.123	Hs_06SubSamp
0.132	Hs_06SubSamp
0.132	Hs_06SubSamp
0.133	Hs_06SubSamp
0.132	Hs_06SubSamp
0.129	Hs_06SubSamp
0.125	Hs_06SubSamp
0.128	Hs_06SubSamp
0.126	Hs_06SubSamp
0.127	Hs_06SubSamp
0.123	Hs_06SubSamp
0.129	Hs_06SubSamp
0.118	Hs_06SubSamp
0.129	Hs_06SubSamp
0.112	Hs_06SubSamp
0.117	Hs_06SubSamp
0.119	Hs_06SubSamp
0.136	Hs_06SubSamp
0.123	Hs_06SubSamp
0.122	Hs_06SubSamp
0.133	Hs_06SubSamp
0.131	Hs_06SubSamp
0.138	Hs_06SubSamp
0.128	Hs_06SubSamp
0.129	Hs_06SubSamp
0.119	Hs_06SubSamp
0.127	Hs_06SubSamp
0.117	Hs_06SubSamp
0.13	Hs_06SubSamp
0.125	Hs_06SubSamp
0.126	Hs_06SubSamp
0.113	Hs_06SubSamp
0.119	Hs_06SubSamp
0.119	Hs_06SubSamp
0.126	Hs_06SubSamp
0.14	Hs_06SubSamp
0.125	Hs_06SubSamp
0.122	Hs_06SubSamp
0.124	Hs_06SubSamp
0.132	Hs_06SubSamp
0.129	Hs_08SubSamp
0.135	Hs_08SubSamp
0.128	Hs_08SubSamp
0.12	Hs_08SubSamp
0.131	Hs_08SubSamp
0.128	Hs_08SubSamp
0.123	Hs_08SubSamp
0.121	Hs_08SubSamp
0.125	Hs_08SubSamp
0.129	Hs_08SubSamp
0.127	Hs_08SubSamp
0.123	Hs_08SubSamp
0.122	Hs_08SubSamp
0.121	Hs_08SubSamp
0.127	Hs_08SubSamp
0.126	Hs_08SubSamp
0.133	Hs_08SubSamp
0.119	Hs_08SubSamp
0.135	Hs_08SubSamp
0.135	Hs_08SubSamp
0.132	Hs_08SubSamp
0.127	Hs_08SubSamp
0.126	Hs_08SubSamp
0.123	Hs_08SubSamp
0.132	Hs_08SubSamp
0.128	Hs_08SubSamp
0.118	Hs_08SubSamp
0.124	Hs_08SubSamp
0.12	Hs_08SubSamp
0.136	Hs_08SubSamp
0.126	Hs_08SubSamp
0.125	Hs_08SubSamp
0.116	Hs_08SubSamp
0.132	Hs_08SubSamp
0.13	Hs_08SubSamp
0.117	Hs_08SubSamp
0.123	Hs_08SubSamp
0.121	Hs_08SubSamp
0.129	Hs_08SubSamp
0.128	Hs_08SubSamp
0.123	Hs_08SubSamp
0.134	Hs_08SubSamp
0.135	Hs_08SubSamp
0.134	Hs_08SubSamp
0.128	Hs_08SubSamp
0.128	Hs_08SubSamp
0.127	Hs_08SubSamp
0.129	Hs_08SubSamp
0.131	Hs_08SubSamp
0.129	Hs_08SubSamp
0.134	Hs_08SubSamp
0.131	Hs_08SubSamp
0.125	Hs_08SubSamp
0.128	Hs_08SubSamp
0.129	Hs_08SubSamp
0.121	Hs_08SubSamp
0.123	Hs_08SubSamp
0.125	Hs_08SubSamp
0.129	Hs_08SubSamp
0.132	Hs_08SubSamp
0.122	Hs_08SubSamp
0.124	Hs_08SubSamp
0.124	Hs_08SubSamp
0.128	Hs_08SubSamp
0.136	Hs_08SubSamp
0.133	Hs_08SubSamp
0.115	Hs_08SubSamp
0.121	Hs_08SubSamp
0.128	Hs_08SubSamp
0.128	Hs_08SubSamp
0.125	Hs_08SubSamp
0.127	Hs_08SubSamp
0.121	Hs_08SubSamp
0.131	Hs_08SubSamp
0.13	Hs_08SubSamp
0.125	Hs_08SubSamp
0.136	Hs_08SubSamp
0.125	Hs_08SubSamp
0.123	Hs_08SubSamp
0.125	Hs_08SubSamp
0.123	Hs_08SubSamp
0.128	Hs_08SubSamp
0.128	Hs_08SubSamp
0.136	Hs_08SubSamp
0.131	Hs_08SubSamp
0.123	Hs_08SubSamp
0.129	Hs_08SubSamp
0.126	Hs_08SubSamp
0.127	Hs_08SubSamp
0.128	Hs_08SubSamp
0.123	Hs_08SubSamp
0.126	Hs_08SubSamp
0.13	Hs_08SubSamp
0.13	Hs_08SubSamp
0.128	Hs_08SubSamp
0.125	Hs_08SubSamp
0.126	Hs_08SubSamp
0.127	Hs_08SubSamp
0.118	Hs_08SubSamp
0.119	Hs_08SubSamp
0.122	Hs_10SubSamp
0.133	Hs_10SubSamp
0.118	Hs_10SubSamp
0.129	Hs_10SubSamp
0.122	Hs_10SubSamp
0.124	Hs_10SubSamp
0.125	Hs_10SubSamp
0.116	Hs_10SubSamp
0.12	Hs_10SubSamp
0.122	Hs_10SubSamp
0.122	Hs_10SubSamp
0.118	Hs_10SubSamp
0.128	Hs_10SubSamp
0.127	Hs_10SubSamp
0.127	Hs_10SubSamp
0.131	Hs_10SubSamp
0.124	Hs_10SubSamp
0.128	Hs_10SubSamp
0.121	Hs_10SubSamp
0.12	Hs_10SubSamp
0.132	Hs_10SubSamp
0.124	Hs_10SubSamp
0.128	Hs_10SubSamp
0.123	Hs_10SubSamp
0.124	Hs_10SubSamp
0.124	Hs_10SubSamp
0.131	Hs_10SubSamp
0.124	Hs_10SubSamp
0.126	Hs_10SubSamp
0.128	Hs_10SubSamp
0.131	Hs_10SubSamp
0.131	Hs_10SubSamp
0.126	Hs_10SubSamp
0.125	Hs_10SubSamp
0.124	Hs_10SubSamp
0.126	Hs_10SubSamp
0.126	Hs_10SubSamp
0.127	Hs_10SubSamp
0.128	Hs_10SubSamp
0.12	Hs_10SubSamp
0.123	Hs_10SubSamp
0.132	Hs_10SubSamp
0.128	Hs_10SubSamp
0.127	Hs_10SubSamp
0.128	Hs_10SubSamp
0.124	Hs_10SubSamp
0.125	Hs_10SubSamp
0.125	Hs_10SubSamp
0.123	Hs_10SubSamp
0.119	Hs_10SubSamp
0.125	Hs_10SubSamp
0.118	Hs_10SubSamp
0.123	Hs_10SubSamp
0.132	Hs_10SubSamp
0.124	Hs_10SubSamp
0.13	Hs_10SubSamp
0.125	Hs_10SubSamp
0.122	Hs_10SubSamp
0.132	Hs_10SubSamp
0.132	Hs_10SubSamp
0.123	Hs_10SubSamp
0.119	Hs_10SubSamp
0.127	Hs_10SubSamp
0.131	Hs_10SubSamp
0.13	Hs_10SubSamp
0.121	Hs_10SubSamp
0.132	Hs_10SubSamp
0.123	Hs_10SubSamp
0.117	Hs_10SubSamp
0.126	Hs_10SubSamp
0.135	Hs_10SubSamp
0.121	Hs_10SubSamp
0.132	Hs_10SubSamp
0.121	Hs_10SubSamp
0.121	Hs_10SubSamp
0.12	Hs_10SubSamp
0.123	Hs_10SubSamp
0.123	Hs_10SubSamp
0.118	Hs_10SubSamp
0.124	Hs_10SubSamp
0.132	Hs_10SubSamp
0.124	Hs_10SubSamp
0.125	Hs_10SubSamp
0.134	Hs_10SubSamp
0.128	Hs_10SubSamp
0.126	Hs_10SubSamp
0.116	Hs_10SubSamp
0.117	Hs_10SubSamp
0.13	Hs_10SubSamp
0.126	Hs_10SubSamp
0.123	Hs_10SubSamp
0.124	Hs_10SubSamp
0.123	Hs_10SubSamp
0.119	Hs_10SubSamp
0.125	Hs_10SubSamp
0.128	Hs_10SubSamp
0.136	Hs_10SubSamp
0.124	Hs_10SubSamp
0.129	Hs_10SubSamp
0.133	Hs_10SubSamp
0.133	Hs_12SubSamp
0.125	Hs_12SubSamp
0.125	Hs_12SubSamp
0.129	Hs_12SubSamp
0.119	Hs_12SubSamp
0.127	Hs_12SubSamp
0.125	Hs_12SubSamp
0.123	Hs_12SubSamp
0.125	Hs_12SubSamp
0.126	Hs_12SubSamp
0.128	Hs_12SubSamp
0.131	Hs_12SubSamp
0.13	Hs_12SubSamp
0.125	Hs_12SubSamp
0.131	Hs_12SubSamp
0.128	Hs_12SubSamp
0.129	Hs_12SubSamp
0.125	Hs_12SubSamp
0.126	Hs_12SubSamp
0.127	Hs_12SubSamp
0.128	Hs_12SubSamp
0.124	Hs_12SubSamp
0.126	Hs_12SubSamp
0.121	Hs_12SubSamp
0.133	Hs_12SubSamp
0.127	Hs_12SubSamp
0.132	Hs_12SubSamp
0.126	Hs_12SubSamp
0.117	Hs_12SubSamp
0.131	Hs_12SubSamp
0.129	Hs_12SubSamp
0.127	Hs_12SubSamp
0.12	Hs_12SubSamp
0.129	Hs_12SubSamp
0.131	Hs_12SubSamp
0.128	Hs_12SubSamp
0.125	Hs_12SubSamp
0.126	Hs_12SubSamp
0.125	Hs_12SubSamp
0.122	Hs_12SubSamp
0.124	Hs_12SubSamp
0.125	Hs_12SubSamp
0.127	Hs_12SubSamp
0.126	Hs_12SubSamp
0.126	Hs_12SubSamp
0.125	Hs_12SubSamp
0.128	Hs_12SubSamp
0.127	Hs_12SubSamp
0.126	Hs_12SubSamp
0.121	Hs_12SubSamp
0.124	Hs_12SubSamp
0.126	Hs_12SubSamp
0.124	Hs_12SubSamp
0.127	Hs_12SubSamp
0.126	Hs_12SubSamp
0.132	Hs_12SubSamp
0.131	Hs_12SubSamp
0.125	Hs_12SubSamp
0.122	Hs_12SubSamp
0.128	Hs_12SubSamp
0.127	Hs_12SubSamp
0.121	Hs_12SubSamp
0.128	Hs_12SubSamp
0.127	Hs_12SubSamp
0.124	Hs_12SubSamp
0.124	Hs_12SubSamp
0.121	Hs_12SubSamp
0.12	Hs_12SubSamp
0.127	Hs_12SubSamp
0.129	Hs_12SubSamp
0.125	Hs_12SubSamp
0.123	Hs_12SubSamp
0.128	Hs_12SubSamp
0.122	Hs_12SubSamp
0.127	Hs_12SubSamp
0.127	Hs_12SubSamp
0.124	Hs_12SubSamp
0.129	Hs_12SubSamp
0.119	Hs_12SubSamp
0.128	Hs_12SubSamp
0.124	Hs_12SubSamp
0.128	Hs_12SubSamp
0.127	Hs_12SubSamp
0.128	Hs_12SubSamp
0.125	Hs_12SubSamp
0.126	Hs_12SubSamp
0.126	Hs_12SubSamp
0.123	Hs_12SubSamp
0.123	Hs_12SubSamp
0.127	Hs_12SubSamp
0.128	Hs_12SubSamp
0.121	Hs_12SubSamp
0.126	Hs_12SubSamp
0.123	Hs_12SubSamp
0.132	Hs_12SubSamp
0.121	Hs_12SubSamp
0.123	Hs_12SubSamp
0.127	Hs_12SubSamp
0.129	Hs_12SubSamp
0.121	Hs_12SubSamp
0.125	Hs_14SubSamp
0.126	Hs_14SubSamp
0.127	Hs_14SubSamp
0.127	Hs_14SubSamp
0.127	Hs_14SubSamp
0.122	Hs_14SubSamp
0.124	Hs_14SubSamp
0.125	Hs_14SubSamp
0.125	Hs_14SubSamp
0.13	Hs_14SubSamp
0.122	Hs_14SubSamp
0.133	Hs_14SubSamp
0.132	Hs_14SubSamp
0.122	Hs_14SubSamp
0.126	Hs_14SubSamp
0.128	Hs_14SubSamp
0.126	Hs_14SubSamp
0.129	Hs_14SubSamp
0.12	Hs_14SubSamp
0.121	Hs_14SubSamp
0.129	Hs_14SubSamp
0.123	Hs_14SubSamp
0.127	Hs_14SubSamp
0.125	Hs_14SubSamp
0.127	Hs_14SubSamp
0.128	Hs_14SubSamp
0.126	Hs_14SubSamp
0.127	Hs_14SubSamp
0.126	Hs_14SubSamp
0.121	Hs_14SubSamp
0.129	Hs_14SubSamp
0.127	Hs_14SubSamp
0.13	Hs_14SubSamp
0.128	Hs_14SubSamp
0.123	Hs_14SubSamp
0.125	Hs_14SubSamp
0.126	Hs_14SubSamp
0.134	Hs_14SubSamp
0.124	Hs_14SubSamp
0.124	Hs_14SubSamp
0.125	Hs_14SubSamp
0.125	Hs_14SubSamp
0.127	Hs_14SubSamp
0.129	Hs_14SubSamp
0.122	Hs_14SubSamp
0.122	Hs_14SubSamp
0.123	Hs_14SubSamp
0.124	Hs_14SubSamp
0.126	Hs_14SubSamp
0.124	Hs_14SubSamp
0.131	Hs_14SubSamp
0.131	Hs_14SubSamp
0.128	Hs_14SubSamp
0.127	Hs_14SubSamp
0.126	Hs_14SubSamp
0.129	Hs_14SubSamp
0.127	Hs_14SubSamp
0.124	Hs_14SubSamp
0.125	Hs_14SubSamp
0.123	Hs_14SubSamp
0.128	Hs_14SubSamp
0.127	Hs_14SubSamp
0.126	Hs_14SubSamp
0.127	Hs_14SubSamp
0.132	Hs_14SubSamp
0.126	Hs_14SubSamp
0.126	Hs_14SubSamp
0.119	Hs_14SubSamp
0.128	Hs_14SubSamp
0.125	Hs_14SubSamp
0.121	Hs_14SubSamp
0.121	Hs_14SubSamp
0.128	Hs_14SubSamp
0.129	Hs_14SubSamp
0.128	Hs_14SubSamp
0.119	Hs_14SubSamp
0.129	Hs_14SubSamp
0.128	Hs_14SubSamp
0.129	Hs_14SubSamp
0.125	Hs_14SubSamp
0.123	Hs_14SubSamp
0.13	Hs_14SubSamp
0.127	Hs_14SubSamp
0.121	Hs_14SubSamp
0.127	Hs_14SubSamp
0.124	Hs_14SubSamp
0.128	Hs_14SubSamp
0.124	Hs_14SubSamp
0.13	Hs_14SubSamp
0.127	Hs_14SubSamp
0.127	Hs_14SubSamp
0.127	Hs_14SubSamp
0.126	Hs_14SubSamp
0.13	Hs_14SubSamp
0.128	Hs_14SubSamp
0.121	Hs_14SubSamp
0.125	Hs_14SubSamp
0.131	Hs_14SubSamp
0.123	Hs_14SubSamp
0.129	Hs_14SubSamp
0.125	Hs_16SubSamp
0.122	Hs_16SubSamp
0.125	Hs_16SubSamp
0.123	Hs_16SubSamp
0.125	Hs_16SubSamp
0.123	Hs_16SubSamp
0.126	Hs_16SubSamp
0.13	Hs_16SubSamp
0.128	Hs_16SubSamp
0.126	Hs_16SubSamp
0.123	Hs_16SubSamp
0.121	Hs_16SubSamp
0.126	Hs_16SubSamp
0.119	Hs_16SubSamp
0.127	Hs_16SubSamp
0.128	Hs_16SubSamp
0.125	Hs_16SubSamp
0.121	Hs_16SubSamp
0.127	Hs_16SubSamp
0.126	Hs_16SubSamp
0.127	Hs_16SubSamp
0.124	Hs_16SubSamp
0.13	Hs_16SubSamp
0.131	Hs_16SubSamp
0.129	Hs_16SubSamp
0.126	Hs_16SubSamp
0.129	Hs_16SubSamp
0.128	Hs_16SubSamp
0.128	Hs_16SubSamp
0.129	Hs_16SubSamp
0.123	Hs_16SubSamp
0.128	Hs_16SubSamp
0.125	Hs_16SubSamp
0.121	Hs_16SubSamp
0.126	Hs_16SubSamp
0.131	Hs_16SubSamp
0.127	Hs_16SubSamp
0.12	Hs_16SubSamp
0.128	Hs_16SubSamp
0.127	Hs_16SubSamp
0.127	Hs_16SubSamp
0.125	Hs_16SubSamp
0.131	Hs_16SubSamp
0.125	Hs_16SubSamp
0.125	Hs_16SubSamp
0.123	Hs_16SubSamp
0.126	Hs_16SubSamp
0.122	Hs_16SubSamp
0.125	Hs_16SubSamp
0.125	Hs_16SubSamp
0.126	Hs_16SubSamp
0.124	Hs_16SubSamp
0.13	Hs_16SubSamp
0.125	Hs_16SubSamp
0.127	Hs_16SubSamp
0.125	Hs_16SubSamp
0.126	Hs_16SubSamp
0.124	Hs_16SubSamp
0.13	Hs_16SubSamp
0.128	Hs_16SubSamp
0.123	Hs_16SubSamp
0.128	Hs_16SubSamp
0.127	Hs_16SubSamp
0.124	Hs_16SubSamp
0.123	Hs_16SubSamp
0.125	Hs_16SubSamp
0.128	Hs_16SubSamp
0.127	Hs_16SubSamp
0.123	Hs_16SubSamp
0.127	Hs_16SubSamp
0.124	Hs_16SubSamp
0.124	Hs_16SubSamp
0.122	Hs_16SubSamp
0.127	Hs_16SubSamp
0.128	Hs_16SubSamp
0.124	Hs_16SubSamp
0.13	Hs_16SubSamp
0.124	Hs_16SubSamp
0.126	Hs_16SubSamp
0.123	Hs_16SubSamp
0.125	Hs_16SubSamp
0.125	Hs_16SubSamp
0.128	Hs_16SubSamp
0.128	Hs_16SubSamp
0.124	Hs_16SubSamp
0.125	Hs_16SubSamp
0.131	Hs_16SubSamp
0.126	Hs_16SubSamp
0.129	Hs_16SubSamp
0.123	Hs_16SubSamp
0.129	Hs_16SubSamp
0.126	Hs_16SubSamp
0.126	Hs_16SubSamp
0.127	Hs_16SubSamp
0.126	Hs_16SubSamp
0.125	Hs_16SubSamp
0.125	Hs_16SubSamp
0.124	Hs_16SubSamp
0.128	Hs_16SubSamp
0.127	Hs_16SubSamp
0.124	Hs_18SubSamp
0.125	Hs_18SubSamp
0.127	Hs_18SubSamp
0.124	Hs_18SubSamp
0.126	Hs_18SubSamp
0.124	Hs_18SubSamp
0.125	Hs_18SubSamp
0.124	Hs_18SubSamp
0.125	Hs_18SubSamp
0.127	Hs_18SubSamp
0.127	Hs_18SubSamp
0.127	Hs_18SubSamp
0.124	Hs_18SubSamp
0.127	Hs_18SubSamp
0.124	Hs_18SubSamp
0.126	Hs_18SubSamp
0.126	Hs_18SubSamp
0.126	Hs_18SubSamp
0.129	Hs_18SubSamp
0.123	Hs_18SubSamp
0.126	Hs_18SubSamp
0.123	Hs_18SubSamp
0.122	Hs_18SubSamp
0.125	Hs_18SubSamp
0.129	Hs_18SubSamp
0.123	Hs_18SubSamp
0.125	Hs_18SubSamp
0.125	Hs_18SubSamp
0.127	Hs_18SubSamp
0.127	Hs_18SubSamp
0.123	Hs_18SubSamp
0.128	Hs_18SubSamp
0.123	Hs_18SubSamp
0.127	Hs_18SubSamp
0.127	Hs_18SubSamp
0.126	Hs_18SubSamp
0.127	Hs_18SubSamp
0.128	Hs_18SubSamp
0.128	Hs_18SubSamp
0.125	Hs_18SubSamp
0.129	Hs_18SubSamp
0.123	Hs_18SubSamp
0.122	Hs_18SubSamp
0.124	Hs_18SubSamp
0.127	Hs_18SubSamp
0.121	Hs_18SubSamp
0.129	Hs_18SubSamp
0.126	Hs_18SubSamp
0.129	Hs_18SubSamp
0.129	Hs_18SubSamp
0.125	Hs_18SubSamp
0.125	Hs_18SubSamp
0.125	Hs_18SubSamp
0.126	Hs_18SubSamp
0.129	Hs_18SubSamp
0.12	Hs_18SubSamp
0.124	Hs_18SubSamp
0.127	Hs_18SubSamp
0.126	Hs_18SubSamp
0.125	Hs_18SubSamp
0.126	Hs_18SubSamp
0.125	Hs_18SubSamp
0.123	Hs_18SubSamp
0.127	Hs_18SubSamp
0.128	Hs_18SubSamp
0.124	Hs_18SubSamp
0.123	Hs_18SubSamp
0.127	Hs_18SubSamp
0.128	Hs_18SubSamp
0.126	Hs_18SubSamp
0.127	Hs_18SubSamp
0.123	Hs_18SubSamp
0.128	Hs_18SubSamp
0.125	Hs_18SubSamp
0.128	Hs_18SubSamp
0.127	Hs_18SubSamp
0.129	Hs_18SubSamp
0.124	Hs_18SubSamp
0.128	Hs_18SubSamp
0.126	Hs_18SubSamp
0.129	Hs_18SubSamp
0.125	Hs_18SubSamp
0.129	Hs_18SubSamp
0.129	Hs_18SubSamp
0.124	Hs_18SubSamp
0.125	Hs_18SubSamp
0.126	Hs_18SubSamp
0.129	Hs_18SubSamp
0.128	Hs_18SubSamp
0.124	Hs_18SubSamp
0.129	Hs_18SubSamp
0.125	Hs_18SubSamp
0.128	Hs_18SubSamp
0.127	Hs_18SubSamp
0.126	Hs_18SubSamp
0.125	Hs_18SubSamp
0.126	Hs_18SubSamp
0.124	Hs_18SubSamp
0.127	Hs_18SubSamp
0.128	Hs_18SubSamp
0.127	Hs_20SubSamp
0.125	Hs_20SubSamp
0.123	Hs_20SubSamp
0.125	Hs_20SubSamp
0.124	Hs_20SubSamp
0.127	Hs_20SubSamp
0.128	Hs_20SubSamp
0.125	Hs_20SubSamp
0.126	Hs_20SubSamp
0.127	Hs_20SubSamp
0.124	Hs_20SubSamp
0.124	Hs_20SubSamp
0.128	Hs_20SubSamp
0.123	Hs_20SubSamp
0.126	Hs_20SubSamp
0.127	Hs_20SubSamp
0.125	Hs_20SubSamp
0.128	Hs_20SubSamp
0.128	Hs_20SubSamp
0.125	Hs_20SubSamp
0.127	Hs_20SubSamp
0.124	Hs_20SubSamp
0.127	Hs_20SubSamp
0.125	Hs_20SubSamp
0.128	Hs_20SubSamp
0.126	Hs_20SubSamp
0.125	Hs_20SubSamp
0.128	Hs_20SubSamp
0.123	Hs_20SubSamp
0.129	Hs_20SubSamp
0.124	Hs_20SubSamp
0.128	Hs_20SubSamp
0.124	Hs_20SubSamp
0.126	Hs_20SubSamp
0.124	Hs_20SubSamp
0.125	Hs_20SubSamp
0.127	Hs_20SubSamp
0.124	Hs_20SubSamp
0.125	Hs_20SubSamp
0.127	Hs_20SubSamp
