MPO_Ho_estimates	Subsampling_group
0.097	Ho_06SubSamp
0.105	Ho_06SubSamp
0.114	Ho_06SubSamp
0.108	Ho_06SubSamp
0.121	Ho_06SubSamp
0.109	Ho_06SubSamp
0.113	Ho_06SubSamp
0.115	Ho_06SubSamp
0.115	Ho_06SubSamp
0.099	Ho_06SubSamp
0.094	Ho_06SubSamp
0.112	Ho_06SubSamp
0.099	Ho_06SubSamp
0.101	Ho_06SubSamp
0.117	Ho_06SubSamp
0.102	Ho_06SubSamp
0.116	Ho_06SubSamp
0.109	Ho_06SubSamp
0.096	Ho_06SubSamp
0.102	Ho_06SubSamp
0.095	Ho_06SubSamp
0.112	Ho_06SubSamp
0.114	Ho_06SubSamp
0.093	Ho_06SubSamp
0.102	Ho_06SubSamp
0.118	Ho_06SubSamp
0.101	Ho_06SubSamp
0.106	Ho_06SubSamp
0.109	Ho_06SubSamp
0.108	Ho_06SubSamp
0.113	Ho_06SubSamp
0.112	Ho_06SubSamp
0.11	Ho_06SubSamp
0.109	Ho_06SubSamp
0.11	Ho_06SubSamp
0.091	Ho_06SubSamp
0.099	Ho_06SubSamp
0.117	Ho_06SubSamp
0.106	Ho_06SubSamp
0.084	Ho_06SubSamp
0.092	Ho_06SubSamp
0.102	Ho_06SubSamp
0.108	Ho_06SubSamp
0.123	Ho_06SubSamp
0.109	Ho_06SubSamp
0.104	Ho_06SubSamp
0.111	Ho_06SubSamp
0.111	Ho_06SubSamp
0.114	Ho_06SubSamp
0.121	Ho_06SubSamp
0.101	Ho_06SubSamp
0.124	Ho_06SubSamp
0.097	Ho_06SubSamp
0.096	Ho_06SubSamp
0.101	Ho_08SubSamp
0.095	Ho_08SubSamp
0.107	Ho_08SubSamp
0.105	Ho_08SubSamp
0.11	Ho_08SubSamp
0.108	Ho_08SubSamp
0.107	Ho_08SubSamp
0.111	Ho_08SubSamp
0.11	Ho_08SubSamp
0.091	Ho_08SubSamp
0.118	Ho_08SubSamp
0.108	Ho_08SubSamp
0.117	Ho_08SubSamp
0.104	Ho_08SubSamp
0.098	Ho_08SubSamp
0.114	Ho_08SubSamp
0.12	Ho_08SubSamp
0.108	Ho_08SubSamp
0.095	Ho_08SubSamp
0.119	Ho_08SubSamp
0.101	Ho_08SubSamp
0.091	Ho_08SubSamp
0.112	Ho_08SubSamp
0.109	Ho_08SubSamp
0.104	Ho_08SubSamp
0.118	Ho_08SubSamp
0.108	Ho_08SubSamp
0.107	Ho_08SubSamp
0.097	Ho_08SubSamp
0.105	Ho_08SubSamp
0.114	Ho_08SubSamp
0.103	Ho_08SubSamp
0.1	Ho_08SubSamp
0.097	Ho_08SubSamp
0.121	Ho_08SubSamp
0.1	Ho_08SubSamp
0.103	Ho_08SubSamp
0.105	Ho_08SubSamp
0.107	Ho_08SubSamp
0.113	Ho_08SubSamp
0.104	Ho_08SubSamp
0.101	Ho_08SubSamp
0.097	Ho_08SubSamp
0.105	Ho_08SubSamp
0.112	Ho_08SubSamp
0.117	Ho_08SubSamp
0.11	Ho_08SubSamp
0.107	Ho_08SubSamp
0.117	Ho_08SubSamp
0.098	Ho_08SubSamp
0.116	Ho_08SubSamp
0.106	Ho_08SubSamp
0.095	Ho_08SubSamp
0.093	Ho_08SubSamp
0.109	Ho_08SubSamp
0.102	Ho_08SubSamp
0.108	Ho_08SubSamp
0.09	Ho_08SubSamp
0.117	Ho_08SubSamp
0.099	Ho_08SubSamp
0.104	Ho_08SubSamp
0.108	Ho_08SubSamp
0.11	Ho_08SubSamp
0.103	Ho_08SubSamp
0.103	Ho_08SubSamp
0.113	Ho_08SubSamp
0.106	Ho_08SubSamp
0.111	Ho_08SubSamp
0.106	Ho_08SubSamp
0.112	Ho_08SubSamp
0.104	Ho_08SubSamp
0.096	Ho_08SubSamp
0.099	Ho_08SubSamp
0.124	Ho_08SubSamp
0.112	Ho_08SubSamp
0.11	Ho_08SubSamp
0.104	Ho_08SubSamp
0.102	Ho_08SubSamp
0.11	Ho_08SubSamp
0.097	Ho_08SubSamp
0.109	Ho_08SubSamp
0.107	Ho_08SubSamp
0.105	Ho_08SubSamp
0.118	Ho_08SubSamp
0.112	Ho_08SubSamp
0.106	Ho_08SubSamp
0.103	Ho_08SubSamp
0.107	Ho_08SubSamp
0.107	Ho_08SubSamp
0.084	Ho_08SubSamp
0.116	Ho_08SubSamp
0.112	Ho_08SubSamp
0.115	Ho_08SubSamp
0.102	Ho_08SubSamp
0.099	Ho_08SubSamp
0.098	Ho_08SubSamp
0.102	Ho_08SubSamp
0.103	Ho_08SubSamp
0.102	Ho_08SubSamp
0.1	Ho_08SubSamp
0.102	Ho_10SubSamp
0.101	Ho_10SubSamp
0.106	Ho_10SubSamp
0.09	Ho_10SubSamp
0.106	Ho_10SubSamp
0.108	Ho_10SubSamp
0.117	Ho_10SubSamp
0.107	Ho_10SubSamp
0.116	Ho_10SubSamp
0.102	Ho_10SubSamp
0.101	Ho_10SubSamp
0.104	Ho_10SubSamp
0.11	Ho_10SubSamp
0.104	Ho_10SubSamp
0.102	Ho_10SubSamp
0.094	Ho_10SubSamp
0.091	Ho_10SubSamp
0.104	Ho_10SubSamp
0.118	Ho_10SubSamp
0.099	Ho_10SubSamp
0.104	Ho_10SubSamp
0.094	Ho_10SubSamp
0.1	Ho_10SubSamp
0.11	Ho_10SubSamp
0.112	Ho_10SubSamp
0.109	Ho_10SubSamp
0.107	Ho_10SubSamp
0.113	Ho_10SubSamp
0.1	Ho_10SubSamp
0.099	Ho_10SubSamp
0.107	Ho_10SubSamp
0.106	Ho_10SubSamp
0.094	Ho_10SubSamp
0.095	Ho_10SubSamp
0.11	Ho_10SubSamp
0.107	Ho_10SubSamp
0.1	Ho_10SubSamp
0.112	Ho_10SubSamp
0.114	Ho_10SubSamp
0.107	Ho_10SubSamp
0.101	Ho_10SubSamp
0.107	Ho_10SubSamp
0.112	Ho_10SubSamp
0.107	Ho_10SubSamp
0.114	Ho_10SubSamp
0.105	Ho_10SubSamp
0.104	Ho_10SubSamp
0.101	Ho_10SubSamp
0.102	Ho_10SubSamp
0.099	Ho_10SubSamp
0.111	Ho_10SubSamp
0.104	Ho_10SubSamp
0.116	Ho_10SubSamp
0.102	Ho_10SubSamp
0.112	Ho_10SubSamp
0.093	Ho_10SubSamp
0.1	Ho_10SubSamp
0.103	Ho_10SubSamp
0.102	Ho_10SubSamp
0.117	Ho_10SubSamp
0.103	Ho_10SubSamp
0.101	Ho_10SubSamp
0.106	Ho_10SubSamp
0.111	Ho_10SubSamp
0.105	Ho_10SubSamp
0.1	Ho_10SubSamp
0.101	Ho_10SubSamp
0.097	Ho_10SubSamp
0.104	Ho_10SubSamp
0.097	Ho_10SubSamp
0.105	Ho_10SubSamp
0.093	Ho_10SubSamp
0.106	Ho_10SubSamp
0.116	Ho_10SubSamp
0.103	Ho_10SubSamp
0.114	Ho_10SubSamp
0.103	Ho_10SubSamp
0.112	Ho_10SubSamp
0.101	Ho_10SubSamp
0.108	Ho_10SubSamp
0.113	Ho_10SubSamp
0.12	Ho_10SubSamp
0.107	Ho_10SubSamp
0.101	Ho_10SubSamp
0.111	Ho_10SubSamp
0.1	Ho_10SubSamp
0.101	Ho_10SubSamp
0.101	Ho_10SubSamp
0.098	Ho_10SubSamp
0.112	Ho_10SubSamp
0.112	Ho_10SubSamp
0.104	Ho_10SubSamp
0.103	Ho_10SubSamp
0.106	Ho_10SubSamp
0.097	Ho_10SubSamp
0.11	Ho_10SubSamp
0.11	Ho_10SubSamp
0.11	Ho_10SubSamp
0.098	Ho_10SubSamp
0.101	Ho_10SubSamp
0.097	Ho_12SubSamp
0.108	Ho_12SubSamp
0.103	Ho_12SubSamp
0.097	Ho_12SubSamp
0.109	Ho_12SubSamp
0.089	Ho_12SubSamp
0.109	Ho_12SubSamp
0.109	Ho_12SubSamp
0.111	Ho_12SubSamp
0.107	Ho_12SubSamp
0.115	Ho_12SubSamp
0.101	Ho_12SubSamp
0.102	Ho_12SubSamp
0.094	Ho_12SubSamp
0.112	Ho_12SubSamp
0.099	Ho_12SubSamp
0.108	Ho_12SubSamp
0.12	Ho_12SubSamp
0.107	Ho_12SubSamp
0.106	Ho_12SubSamp
0.109	Ho_12SubSamp
0.111	Ho_12SubSamp
0.11	Ho_12SubSamp
0.11	Ho_12SubSamp
0.104	Ho_12SubSamp
0.115	Ho_12SubSamp
0.105	Ho_12SubSamp
0.108	Ho_12SubSamp
0.103	Ho_12SubSamp
0.108	Ho_12SubSamp
0.109	Ho_12SubSamp
0.112	Ho_12SubSamp
0.107	Ho_12SubSamp
0.105	Ho_12SubSamp
0.104	Ho_12SubSamp
0.104	Ho_12SubSamp
0.103	Ho_12SubSamp
0.102	Ho_12SubSamp
0.112	Ho_12SubSamp
0.102	Ho_12SubSamp
0.105	Ho_12SubSamp
0.101	Ho_12SubSamp
0.111	Ho_12SubSamp
0.096	Ho_12SubSamp
0.109	Ho_12SubSamp
0.107	Ho_12SubSamp
0.098	Ho_12SubSamp
0.095	Ho_12SubSamp
0.108	Ho_12SubSamp
0.112	Ho_12SubSamp
0.11	Ho_12SubSamp
0.102	Ho_12SubSamp
0.107	Ho_12SubSamp
0.107	Ho_12SubSamp
0.114	Ho_12SubSamp
0.102	Ho_12SubSamp
0.114	Ho_12SubSamp
0.107	Ho_12SubSamp
0.11	Ho_12SubSamp
0.106	Ho_12SubSamp
0.108	Ho_12SubSamp
0.101	Ho_12SubSamp
0.104	Ho_12SubSamp
0.103	Ho_12SubSamp
0.107	Ho_12SubSamp
0.114	Ho_12SubSamp
0.103	Ho_12SubSamp
0.107	Ho_12SubSamp
0.101	Ho_12SubSamp
0.1	Ho_12SubSamp
0.102	Ho_12SubSamp
0.106	Ho_12SubSamp
0.096	Ho_12SubSamp
0.108	Ho_12SubSamp
0.095	Ho_12SubSamp
0.109	Ho_12SubSamp
0.101	Ho_12SubSamp
0.105	Ho_12SubSamp
0.097	Ho_12SubSamp
0.104	Ho_12SubSamp
0.116	Ho_12SubSamp
0.105	Ho_12SubSamp
0.104	Ho_12SubSamp
0.101	Ho_12SubSamp
0.112	Ho_12SubSamp
0.114	Ho_12SubSamp
0.102	Ho_12SubSamp
0.101	Ho_12SubSamp
0.108	Ho_12SubSamp
0.109	Ho_12SubSamp
0.108	Ho_12SubSamp
0.109	Ho_12SubSamp
0.104	Ho_12SubSamp
0.104	Ho_12SubSamp
0.114	Ho_12SubSamp
0.105	Ho_12SubSamp
0.109	Ho_12SubSamp
0.102	Ho_12SubSamp
0.11	Ho_12SubSamp
0.101	Ho_12SubSamp
0.105	Ho_14SubSamp
0.105	Ho_14SubSamp
0.105	Ho_14SubSamp
0.106	Ho_14SubSamp
0.098	Ho_14SubSamp
0.107	Ho_14SubSamp
0.101	Ho_14SubSamp
0.111	Ho_14SubSamp
0.099	Ho_14SubSamp
0.106	Ho_14SubSamp
0.106	Ho_14SubSamp
0.102	Ho_14SubSamp
0.103	Ho_14SubSamp
0.105	Ho_14SubSamp
0.111	Ho_14SubSamp
0.105	Ho_14SubSamp
0.107	Ho_14SubSamp
0.105	Ho_14SubSamp
0.111	Ho_14SubSamp
0.102	Ho_14SubSamp
0.103	Ho_14SubSamp
0.112	Ho_14SubSamp
0.113	Ho_14SubSamp
0.106	Ho_14SubSamp
0.104	Ho_14SubSamp
0.103	Ho_14SubSamp
0.107	Ho_14SubSamp
0.106	Ho_14SubSamp
0.104	Ho_14SubSamp
0.103	Ho_14SubSamp
0.109	Ho_14SubSamp
0.103	Ho_14SubSamp
0.104	Ho_14SubSamp
0.102	Ho_14SubSamp
0.113	Ho_14SubSamp
0.108	Ho_14SubSamp
0.111	Ho_14SubSamp
0.107	Ho_14SubSamp
0.104	Ho_14SubSamp
0.094	Ho_14SubSamp
0.103	Ho_14SubSamp
0.104	Ho_14SubSamp
0.1	Ho_14SubSamp
0.1	Ho_14SubSamp
0.108	Ho_14SubSamp
0.103	Ho_14SubSamp
0.11	Ho_14SubSamp
0.106	Ho_14SubSamp
0.116	Ho_14SubSamp
0.106	Ho_14SubSamp
0.108	Ho_14SubSamp
0.108	Ho_14SubSamp
0.104	Ho_14SubSamp
0.111	Ho_14SubSamp
0.098	Ho_14SubSamp
0.11	Ho_14SubSamp
0.112	Ho_14SubSamp
0.108	Ho_14SubSamp
0.106	Ho_14SubSamp
0.1	Ho_14SubSamp
0.109	Ho_14SubSamp
0.106	Ho_14SubSamp
0.103	Ho_14SubSamp
0.115	Ho_14SubSamp
0.112	Ho_14SubSamp
0.109	Ho_14SubSamp
0.098	Ho_14SubSamp
0.101	Ho_14SubSamp
0.102	Ho_14SubSamp
0.109	Ho_14SubSamp
0.109	Ho_14SubSamp
0.107	Ho_14SubSamp
0.11	Ho_14SubSamp
0.098	Ho_14SubSamp
0.109	Ho_14SubSamp
0.103	Ho_14SubSamp
0.108	Ho_14SubSamp
0.101	Ho_14SubSamp
0.109	Ho_14SubSamp
0.105	Ho_14SubSamp
0.113	Ho_14SubSamp
0.104	Ho_14SubSamp
0.115	Ho_14SubSamp
0.101	Ho_14SubSamp
0.103	Ho_14SubSamp
0.103	Ho_14SubSamp
0.111	Ho_14SubSamp
0.11	Ho_14SubSamp
0.104	Ho_14SubSamp
0.107	Ho_14SubSamp
0.102	Ho_14SubSamp
0.103	Ho_14SubSamp
0.1	Ho_14SubSamp
0.102	Ho_14SubSamp
0.101	Ho_14SubSamp
0.107	Ho_14SubSamp
0.108	Ho_14SubSamp
0.095	Ho_14SubSamp
0.109	Ho_14SubSamp
0.101	Ho_14SubSamp
0.101	Ho_16SubSamp
0.112	Ho_16SubSamp
0.102	Ho_16SubSamp
0.109	Ho_16SubSamp
0.106	Ho_16SubSamp
0.102	Ho_16SubSamp
0.1	Ho_16SubSamp
0.105	Ho_16SubSamp
0.105	Ho_16SubSamp
0.11	Ho_16SubSamp
0.107	Ho_16SubSamp
0.101	Ho_16SubSamp
0.107	Ho_16SubSamp
0.101	Ho_16SubSamp
0.103	Ho_16SubSamp
0.098	Ho_16SubSamp
0.107	Ho_16SubSamp
0.103	Ho_16SubSamp
0.1	Ho_16SubSamp
0.11	Ho_16SubSamp
0.102	Ho_16SubSamp
0.109	Ho_16SubSamp
0.101	Ho_16SubSamp
0.105	Ho_16SubSamp
0.106	Ho_16SubSamp
0.103	Ho_16SubSamp
0.101	Ho_16SubSamp
0.107	Ho_16SubSamp
0.105	Ho_16SubSamp
0.104	Ho_16SubSamp
0.104	Ho_16SubSamp
0.104	Ho_16SubSamp
0.099	Ho_16SubSamp
0.102	Ho_16SubSamp
0.101	Ho_16SubSamp
0.1	Ho_16SubSamp
0.107	Ho_16SubSamp
0.099	Ho_16SubSamp
0.105	Ho_16SubSamp
0.11	Ho_16SubSamp
0.104	Ho_16SubSamp
0.111	Ho_16SubSamp
0.104	Ho_16SubSamp
0.108	Ho_16SubSamp
0.1	Ho_16SubSamp
0.106	Ho_16SubSamp
0.105	Ho_16SubSamp
0.103	Ho_16SubSamp
0.112	Ho_16SubSamp
0.106	Ho_16SubSamp
0.106	Ho_16SubSamp
0.105	Ho_16SubSamp
0.103	Ho_16SubSamp
0.101	Ho_16SubSamp
0.102	Ho_16SubSamp
0.102	Ho_16SubSamp
0.104	Ho_16SubSamp
0.112	Ho_16SubSamp
0.109	Ho_16SubSamp
0.105	Ho_16SubSamp
0.1	Ho_16SubSamp
0.106	Ho_16SubSamp
0.106	Ho_16SubSamp
0.101	Ho_16SubSamp
0.112	Ho_16SubSamp
0.11	Ho_16SubSamp
0.107	Ho_16SubSamp
0.108	Ho_16SubSamp
0.104	Ho_16SubSamp
0.109	Ho_16SubSamp
0.108	Ho_16SubSamp
0.106	Ho_16SubSamp
0.11	Ho_16SubSamp
0.103	Ho_16SubSamp
0.098	Ho_16SubSamp
0.108	Ho_16SubSamp
0.11	Ho_16SubSamp
0.106	Ho_16SubSamp
0.103	Ho_16SubSamp
0.096	Ho_16SubSamp
0.101	Ho_16SubSamp
0.109	Ho_16SubSamp
0.107	Ho_16SubSamp
0.098	Ho_16SubSamp
0.11	Ho_16SubSamp
0.11	Ho_16SubSamp
0.109	Ho_16SubSamp
0.104	Ho_16SubSamp
0.115	Ho_16SubSamp
0.106	Ho_16SubSamp
0.105	Ho_16SubSamp
0.1	Ho_16SubSamp
0.106	Ho_16SubSamp
0.102	Ho_16SubSamp
0.102	Ho_16SubSamp
0.104	Ho_16SubSamp
0.105	Ho_16SubSamp
0.108	Ho_16SubSamp
0.109	Ho_16SubSamp
0.108	Ho_16SubSamp
0.107	Ho_18SubSamp
0.108	Ho_18SubSamp
0.102	Ho_18SubSamp
0.108	Ho_18SubSamp
0.112	Ho_18SubSamp
0.108	Ho_18SubSamp
0.104	Ho_18SubSamp
0.103	Ho_18SubSamp
0.104	Ho_18SubSamp
0.111	Ho_18SubSamp
0.109	Ho_18SubSamp
0.106	Ho_18SubSamp
0.104	Ho_18SubSamp
0.107	Ho_18SubSamp
0.108	Ho_18SubSamp
0.106	Ho_18SubSamp
0.111	Ho_18SubSamp
0.102	Ho_18SubSamp
0.1	Ho_18SubSamp
0.108	Ho_18SubSamp
0.103	Ho_18SubSamp
0.101	Ho_18SubSamp
0.109	Ho_18SubSamp
0.102	Ho_18SubSamp
0.108	Ho_18SubSamp
0.106	Ho_18SubSamp
0.101	Ho_18SubSamp
0.108	Ho_18SubSamp
0.102	Ho_18SubSamp
0.11	Ho_18SubSamp
0.11	Ho_18SubSamp
0.111	Ho_18SubSamp
0.108	Ho_18SubSamp
0.106	Ho_18SubSamp
0.105	Ho_18SubSamp
0.103	Ho_18SubSamp
0.109	Ho_18SubSamp
0.108	Ho_18SubSamp
0.106	Ho_18SubSamp
0.108	Ho_18SubSamp
0.108	Ho_18SubSamp
0.108	Ho_18SubSamp
0.105	Ho_18SubSamp
0.105	Ho_18SubSamp
0.105	Ho_18SubSamp
0.108	Ho_18SubSamp
0.106	Ho_18SubSamp
0.107	Ho_18SubSamp
0.107	Ho_18SubSamp
0.112	Ho_18SubSamp
0.106	Ho_18SubSamp
0.106	Ho_18SubSamp
0.106	Ho_18SubSamp
0.1	Ho_18SubSamp
0.101	Ho_18SubSamp
0.108	Ho_18SubSamp
0.105	Ho_18SubSamp
0.102	Ho_18SubSamp
0.11	Ho_18SubSamp
0.105	Ho_18SubSamp
0.107	Ho_18SubSamp
0.102	Ho_18SubSamp
0.099	Ho_18SubSamp
0.11	Ho_18SubSamp
0.108	Ho_18SubSamp
0.108	Ho_18SubSamp
0.101	Ho_18SubSamp
0.103	Ho_18SubSamp
0.107	Ho_18SubSamp
0.104	Ho_18SubSamp
0.103	Ho_18SubSamp
0.105	Ho_18SubSamp
0.102	Ho_18SubSamp
0.103	Ho_18SubSamp
0.107	Ho_18SubSamp
0.106	Ho_18SubSamp
0.104	Ho_18SubSamp
0.097	Ho_18SubSamp
0.106	Ho_18SubSamp
0.107	Ho_18SubSamp
0.106	Ho_18SubSamp
0.105	Ho_18SubSamp
0.109	Ho_18SubSamp
0.104	Ho_18SubSamp
0.102	Ho_18SubSamp
0.104	Ho_18SubSamp
0.103	Ho_18SubSamp
0.103	Ho_18SubSamp
0.106	Ho_18SubSamp
0.107	Ho_18SubSamp
0.107	Ho_18SubSamp
0.106	Ho_18SubSamp
0.11	Ho_18SubSamp
0.1	Ho_18SubSamp
0.102	Ho_18SubSamp
0.103	Ho_18SubSamp
0.106	Ho_18SubSamp
0.105	Ho_18SubSamp
0.107	Ho_18SubSamp
0.108	Ho_18SubSamp
0.103	Ho_20SubSamp
0.103	Ho_20SubSamp
0.103	Ho_20SubSamp
0.104	Ho_20SubSamp
0.106	Ho_20SubSamp
0.105	Ho_20SubSamp
0.109	Ho_20SubSamp
0.107	Ho_20SubSamp
0.104	Ho_20SubSamp
0.107	Ho_20SubSamp
0.107	Ho_20SubSamp
0.1	Ho_20SubSamp
0.106	Ho_20SubSamp
0.102	Ho_20SubSamp
0.108	Ho_20SubSamp
0.104	Ho_20SubSamp
0.105	Ho_20SubSamp
0.103	Ho_20SubSamp
0.106	Ho_20SubSamp
0.105	Ho_20SubSamp
0.105	Ho_20SubSamp
0.105	Ho_20SubSamp
0.102	Ho_20SubSamp
0.105	Ho_20SubSamp
0.103	Ho_20SubSamp
0.107	Ho_20SubSamp
0.102	Ho_20SubSamp
0.105	Ho_20SubSamp
0.101	Ho_20SubSamp
0.106	Ho_20SubSamp
0.105	Ho_20SubSamp
0.108	Ho_20SubSamp
0.098	Ho_20SubSamp
0.106	Ho_20SubSamp
0.106	Ho_20SubSamp
0.106	Ho_20SubSamp
0.106	Ho_20SubSamp
0.105	Ho_20SubSamp
0.107	Ho_20SubSamp
0.111	Ho_20SubSamp
0.104	Ho_20SubSamp
0.106	Ho_20SubSamp
0.108	Ho_20SubSamp
0.105	Ho_20SubSamp
0.109	Ho_20SubSamp
0.103	Ho_20SubSamp
0.106	Ho_20SubSamp
