STT_Gis_estimates	Subsampling_group
0.043	Gis_04SubSamp
0.035	Gis_04SubSamp
0.221	Gis_04SubSamp
0.118	Gis_04SubSamp
0.08	Gis_04SubSamp
0.025	Gis_04SubSamp
0.051	Gis_04SubSamp
0.091	Gis_04SubSamp
0.047	Gis_04SubSamp
0.112	Gis_04SubSamp
0.152	Gis_04SubSamp
0.065	Gis_04SubSamp
0.16	Gis_04SubSamp
0.109	Gis_04SubSamp
0.123	Gis_04SubSamp
0.175	Gis_04SubSamp
0.091	Gis_04SubSamp
0.144	Gis_04SubSamp
0.077	Gis_04SubSamp
0.09	Gis_04SubSamp
0.102	Gis_04SubSamp
0.094	Gis_04SubSamp
0.12	Gis_04SubSamp
0.031	Gis_04SubSamp
0.076	Gis_04SubSamp
0.067	Gis_04SubSamp
0.108	Gis_04SubSamp
0.031	Gis_04SubSamp
0.183	Gis_04SubSamp
0.09	Gis_04SubSamp
0.132	Gis_04SubSamp
0.075	Gis_04SubSamp
0.166	Gis_04SubSamp
0.087	Gis_04SubSamp
0.147	Gis_04SubSamp
0.063	Gis_04SubSamp
0.086	Gis_04SubSamp
0.012	Gis_04SubSamp
0.177	Gis_04SubSamp
0.065	Gis_04SubSamp
0.062	Gis_04SubSamp
0.131	Gis_04SubSamp
0.159	Gis_04SubSamp
0.064	Gis_04SubSamp
0.059	Gis_04SubSamp
0.058	Gis_04SubSamp
0.027	Gis_04SubSamp
0.037	Gis_04SubSamp
0.032	Gis_04SubSamp
0.036	Gis_04SubSamp
0.086	Gis_04SubSamp
0.1	Gis_04SubSamp
0.056	Gis_04SubSamp
0.158	Gis_04SubSamp
0.065	Gis_04SubSamp
0.042	Gis_04SubSamp
0.034	Gis_04SubSamp
0.028	Gis_04SubSamp
0.091	Gis_04SubSamp
0.122	Gis_04SubSamp
0.071	Gis_04SubSamp
0.086	Gis_04SubSamp
0.037	Gis_04SubSamp
0.048	Gis_04SubSamp
0.098	Gis_04SubSamp
0.039	Gis_04SubSamp
0.149	Gis_04SubSamp
0.073	Gis_04SubSamp
0.095	Gis_04SubSamp
0.055	Gis_04SubSamp
0.102	Gis_04SubSamp
0.074	Gis_04SubSamp
0.143	Gis_04SubSamp
0.093	Gis_04SubSamp
0.07	Gis_04SubSamp
0.028	Gis_04SubSamp
0.088	Gis_04SubSamp
0.085	Gis_04SubSamp
0.096	Gis_04SubSamp
0.096	Gis_04SubSamp
0.052	Gis_04SubSamp
0.198	Gis_04SubSamp
0.054	Gis_04SubSamp
0.126	Gis_04SubSamp
0.047	Gis_06SubSamp
0.064	Gis_06SubSamp
0.073	Gis_06SubSamp
0.163	Gis_06SubSamp
0.104	Gis_06SubSamp
0.107	Gis_06SubSamp
0.042	Gis_06SubSamp
0.075	Gis_06SubSamp
0.058	Gis_06SubSamp
0.027	Gis_06SubSamp
0.145	Gis_06SubSamp
0.099	Gis_06SubSamp
0.045	Gis_06SubSamp
0.088	Gis_06SubSamp
0.118	Gis_06SubSamp
0.05	Gis_06SubSamp
0.099	Gis_06SubSamp
0.101	Gis_06SubSamp
0.078	Gis_06SubSamp
0.105	Gis_06SubSamp
0.099	Gis_06SubSamp
0.064	Gis_06SubSamp
0.082	Gis_06SubSamp
0.096	Gis_06SubSamp
0.05	Gis_06SubSamp
0.084	Gis_06SubSamp
0.033	Gis_06SubSamp
0.122	Gis_06SubSamp
0.084	Gis_06SubSamp
0.044	Gis_06SubSamp
0.08	Gis_06SubSamp
0.098	Gis_06SubSamp
0.088	Gis_06SubSamp
0.085	Gis_06SubSamp
0.09	Gis_06SubSamp
0.123	Gis_06SubSamp
0.123	Gis_06SubSamp
0.055	Gis_06SubSamp
0.086	Gis_06SubSamp
0.098	Gis_06SubSamp
0.08	Gis_06SubSamp
0.056	Gis_06SubSamp
0.076	Gis_06SubSamp
0.071	Gis_06SubSamp
0.099	Gis_06SubSamp
0.082	Gis_06SubSamp
0.125	Gis_06SubSamp
0.086	Gis_06SubSamp
0.031	Gis_06SubSamp
0.084	Gis_06SubSamp
0.058	Gis_06SubSamp
0.098	Gis_06SubSamp
0.021	Gis_06SubSamp
0.071	Gis_06SubSamp
0.113	Gis_06SubSamp
0.056	Gis_06SubSamp
0.083	Gis_06SubSamp
0.041	Gis_06SubSamp
0.116	Gis_06SubSamp
0.069	Gis_06SubSamp
0.112	Gis_06SubSamp
0.052	Gis_06SubSamp
0.064	Gis_06SubSamp
0.064	Gis_06SubSamp
0.071	Gis_06SubSamp
0.046	Gis_06SubSamp
0.082	Gis_06SubSamp
0.091	Gis_06SubSamp
0.086	Gis_06SubSamp
0.064	Gis_06SubSamp
0.084	Gis_06SubSamp
0.092	Gis_06SubSamp
0.109	Gis_06SubSamp
0.094	Gis_06SubSamp
0.157	Gis_06SubSamp
0.09	Gis_06SubSamp
0.124	Gis_06SubSamp
0.067	Gis_06SubSamp
0.105	Gis_06SubSamp
0.094	Gis_06SubSamp
0.043	Gis_06SubSamp
0.077	Gis_06SubSamp
0.048	Gis_06SubSamp
0.047	Gis_06SubSamp
0.057	Gis_06SubSamp
0.134	Gis_06SubSamp
0.062	Gis_06SubSamp
0.117	Gis_06SubSamp
0.033	Gis_06SubSamp
0.077	Gis_06SubSamp
0.044	Gis_06SubSamp
0.139	Gis_06SubSamp
0.076	Gis_06SubSamp
0.14	Gis_06SubSamp
0.086	Gis_06SubSamp
0.033	Gis_06SubSamp
0.098	Gis_06SubSamp
0.086	Gis_06SubSamp
0.077	Gis_06SubSamp
0.012	Gis_06SubSamp
0.061	Gis_08SubSamp
0.041	Gis_08SubSamp
0.066	Gis_08SubSamp
0.124	Gis_08SubSamp
0.081	Gis_08SubSamp
0.09	Gis_08SubSamp
0.097	Gis_08SubSamp
0.099	Gis_08SubSamp
0.095	Gis_08SubSamp
0.087	Gis_08SubSamp
0.066	Gis_08SubSamp
0.109	Gis_08SubSamp
0.105	Gis_08SubSamp
0.063	Gis_08SubSamp
0.105	Gis_08SubSamp
0.064	Gis_08SubSamp
0.032	Gis_08SubSamp
0.1	Gis_08SubSamp
0.023	Gis_08SubSamp
0.047	Gis_08SubSamp
0.051	Gis_08SubSamp
0.07	Gis_08SubSamp
0.07	Gis_08SubSamp
0.085	Gis_08SubSamp
0.052	Gis_08SubSamp
0.068	Gis_08SubSamp
0.092	Gis_08SubSamp
0.106	Gis_08SubSamp
0.117	Gis_08SubSamp
0.018	Gis_08SubSamp
0.057	Gis_08SubSamp
0.082	Gis_08SubSamp
0.144	Gis_08SubSamp
0.049	Gis_08SubSamp
0.101	Gis_08SubSamp
0.129	Gis_08SubSamp
0.108	Gis_08SubSamp
0.101	Gis_08SubSamp
0.093	Gis_08SubSamp
0.097	Gis_08SubSamp
0.086	Gis_08SubSamp
0.04	Gis_08SubSamp
0.065	Gis_08SubSamp
0.051	Gis_08SubSamp
0.1	Gis_08SubSamp
0.072	Gis_08SubSamp
0.067	Gis_08SubSamp
0.106	Gis_08SubSamp
0.057	Gis_08SubSamp
0.057	Gis_08SubSamp
0.038	Gis_08SubSamp
0.096	Gis_08SubSamp
0.071	Gis_08SubSamp
0.092	Gis_08SubSamp
0.059	Gis_08SubSamp
0.084	Gis_08SubSamp
0.103	Gis_08SubSamp
0.1	Gis_08SubSamp
0.05	Gis_08SubSamp
0.046	Gis_08SubSamp
0.094	Gis_08SubSamp
0.055	Gis_08SubSamp
0.093	Gis_08SubSamp
0.087	Gis_08SubSamp
0.032	Gis_08SubSamp
0.038	Gis_08SubSamp
0.165	Gis_08SubSamp
0.11	Gis_08SubSamp
0.091	Gis_08SubSamp
0.076	Gis_08SubSamp
0.088	Gis_08SubSamp
0.073	Gis_08SubSamp
0.124	Gis_08SubSamp
0.05	Gis_08SubSamp
0.059	Gis_08SubSamp
0.076	Gis_08SubSamp
0.051	Gis_08SubSamp
0.081	Gis_08SubSamp
0.083	Gis_08SubSamp
0.09	Gis_08SubSamp
0.089	Gis_08SubSamp
0.078	Gis_08SubSamp
0.073	Gis_08SubSamp
0.058	Gis_08SubSamp
0.054	Gis_08SubSamp
0.084	Gis_08SubSamp
0.075	Gis_08SubSamp
0.057	Gis_08SubSamp
0.068	Gis_08SubSamp
0.063	Gis_08SubSamp
0.104	Gis_08SubSamp
0.072	Gis_08SubSamp
0.087	Gis_08SubSamp
0.1	Gis_08SubSamp
0.081	Gis_08SubSamp
0.086	Gis_08SubSamp
0.081	Gis_08SubSamp
0.068	Gis_08SubSamp
0.086	Gis_08SubSamp
0.098	Gis_08SubSamp
0.085	Gis_10SubSamp
0.056	Gis_10SubSamp
0.114	Gis_10SubSamp
0.06	Gis_10SubSamp
0.088	Gis_10SubSamp
0.059	Gis_10SubSamp
0.08	Gis_10SubSamp
0.11	Gis_10SubSamp
0.095	Gis_10SubSamp
0.082	Gis_10SubSamp
0.083	Gis_10SubSamp
0.139	Gis_10SubSamp
0.077	Gis_10SubSamp
0.067	Gis_10SubSamp
0.044	Gis_10SubSamp
0.068	Gis_10SubSamp
0.072	Gis_10SubSamp
0.061	Gis_10SubSamp
0.107	Gis_10SubSamp
0.099	Gis_10SubSamp
0.051	Gis_10SubSamp
0.08	Gis_10SubSamp
0.062	Gis_10SubSamp
0.108	Gis_10SubSamp
0.105	Gis_10SubSamp
0.074	Gis_10SubSamp
0.076	Gis_10SubSamp
0.11	Gis_10SubSamp
0.078	Gis_10SubSamp
0.094	Gis_10SubSamp
0.064	Gis_10SubSamp
0.074	Gis_10SubSamp
0.071	Gis_10SubSamp
0.07	Gis_10SubSamp
0.075	Gis_10SubSamp
0.093	Gis_10SubSamp
0.112	Gis_10SubSamp
0.079	Gis_10SubSamp
0.056	Gis_10SubSamp
0.108	Gis_10SubSamp
0.106	Gis_10SubSamp
0.049	Gis_10SubSamp
0.095	Gis_10SubSamp
0.059	Gis_10SubSamp
0.057	Gis_10SubSamp
0.103	Gis_10SubSamp
0.092	Gis_10SubSamp
0.102	Gis_10SubSamp
0.094	Gis_10SubSamp
0.142	Gis_10SubSamp
0.088	Gis_10SubSamp
0.104	Gis_10SubSamp
0.099	Gis_10SubSamp
0.048	Gis_10SubSamp
0.099	Gis_10SubSamp
0.062	Gis_10SubSamp
0.106	Gis_10SubSamp
0.109	Gis_10SubSamp
0.063	Gis_10SubSamp
0.059	Gis_10SubSamp
0.076	Gis_10SubSamp
0.077	Gis_10SubSamp
0.07	Gis_10SubSamp
0.021	Gis_10SubSamp
0.072	Gis_10SubSamp
0.099	Gis_10SubSamp
0.058	Gis_10SubSamp
0.054	Gis_10SubSamp
0.113	Gis_10SubSamp
0.069	Gis_10SubSamp
0.055	Gis_10SubSamp
0.108	Gis_10SubSamp
0.064	Gis_10SubSamp
0.102	Gis_10SubSamp
0.106	Gis_10SubSamp
0.115	Gis_10SubSamp
0.088	Gis_10SubSamp
0.107	Gis_10SubSamp
0.117	Gis_10SubSamp
0.115	Gis_10SubSamp
0.066	Gis_10SubSamp
0.08	Gis_10SubSamp
0.097	Gis_10SubSamp
0.05	Gis_10SubSamp
0.067	Gis_10SubSamp
0.094	Gis_10SubSamp
0.111	Gis_10SubSamp
0.136	Gis_10SubSamp
0.061	Gis_10SubSamp
0.073	Gis_10SubSamp
0.113	Gis_10SubSamp
0.053	Gis_10SubSamp
0.092	Gis_10SubSamp
0.115	Gis_10SubSamp
0.07	Gis_10SubSamp
0.085	Gis_10SubSamp
0.027	Gis_10SubSamp
0.073	Gis_10SubSamp
0.062	Gis_10SubSamp
0.056	Gis_10SubSamp
0.064	Gis_12SubSamp
0.07	Gis_12SubSamp
0.08	Gis_12SubSamp
0.054	Gis_12SubSamp
0.094	Gis_12SubSamp
0.09	Gis_12SubSamp
0.077	Gis_12SubSamp
0.087	Gis_12SubSamp
0.088	Gis_12SubSamp
0.07	Gis_12SubSamp
0.075	Gis_12SubSamp
0.077	Gis_12SubSamp
0.062	Gis_12SubSamp
0.087	Gis_12SubSamp
0.049	Gis_12SubSamp
0.082	Gis_12SubSamp
0.069	Gis_12SubSamp
0.102	Gis_12SubSamp
0.114	Gis_12SubSamp
0.074	Gis_12SubSamp
0.078	Gis_12SubSamp
0.097	Gis_12SubSamp
0.062	Gis_12SubSamp
0.086	Gis_12SubSamp
0.049	Gis_12SubSamp
0.087	Gis_12SubSamp
0.052	Gis_12SubSamp
0.089	Gis_12SubSamp
0.128	Gis_12SubSamp
0.058	Gis_12SubSamp
0.066	Gis_12SubSamp
0.089	Gis_12SubSamp
0.106	Gis_12SubSamp
0.054	Gis_12SubSamp
0.062	Gis_12SubSamp
0.075	Gis_12SubSamp
0.1	Gis_12SubSamp
0.09	Gis_12SubSamp
0.094	Gis_12SubSamp
0.086	Gis_12SubSamp
0.077	Gis_12SubSamp
0.103	Gis_12SubSamp
0.071	Gis_12SubSamp
0.094	Gis_12SubSamp
0.071	Gis_12SubSamp
0.08	Gis_12SubSamp
0.11	Gis_12SubSamp
0.087	Gis_12SubSamp
0.076	Gis_12SubSamp
0.115	Gis_12SubSamp
0.087	Gis_12SubSamp
0.065	Gis_12SubSamp
0.073	Gis_12SubSamp
0.076	Gis_12SubSamp
0.063	Gis_12SubSamp
0.057	Gis_12SubSamp
0.049	Gis_12SubSamp
0.093	Gis_12SubSamp
0.076	Gis_12SubSamp
0.096	Gis_12SubSamp
0.089	Gis_12SubSamp
0.111	Gis_12SubSamp
0.053	Gis_12SubSamp
0.091	Gis_12SubSamp
0.096	Gis_12SubSamp
0.08	Gis_12SubSamp
0.095	Gis_12SubSamp
0.12	Gis_12SubSamp
0.082	Gis_12SubSamp
0.072	Gis_12SubSamp
0.09	Gis_12SubSamp
0.068	Gis_12SubSamp
0.091	Gis_12SubSamp
0.09	Gis_12SubSamp
0.087	Gis_12SubSamp
0.056	Gis_12SubSamp
0.08	Gis_12SubSamp
0.064	Gis_12SubSamp
0.128	Gis_12SubSamp
0.068	Gis_12SubSamp
0.118	Gis_12SubSamp
0.082	Gis_12SubSamp
0.063	Gis_12SubSamp
0.081	Gis_12SubSamp
0.088	Gis_12SubSamp
0.062	Gis_12SubSamp
0.073	Gis_12SubSamp
0.113	Gis_12SubSamp
0.082	Gis_12SubSamp
0.072	Gis_12SubSamp
0.083	Gis_12SubSamp
0.1	Gis_12SubSamp
0.054	Gis_12SubSamp
0.088	Gis_12SubSamp
0.062	Gis_12SubSamp
0.111	Gis_12SubSamp
0.083	Gis_12SubSamp
0.064	Gis_12SubSamp
0.066	Gis_12SubSamp
0.103	Gis_12SubSamp
0.081	Gis_14SubSamp
0.083	Gis_14SubSamp
0.085	Gis_14SubSamp
0.065	Gis_14SubSamp
0.073	Gis_14SubSamp
0.095	Gis_14SubSamp
0.09	Gis_14SubSamp
0.072	Gis_14SubSamp
0.089	Gis_14SubSamp
0.069	Gis_14SubSamp
0.081	Gis_14SubSamp
0.055	Gis_14SubSamp
0.063	Gis_14SubSamp
0.104	Gis_14SubSamp
0.081	Gis_14SubSamp
0.066	Gis_14SubSamp
0.074	Gis_14SubSamp
0.066	Gis_14SubSamp
0.116	Gis_14SubSamp
0.116	Gis_14SubSamp
0.082	Gis_14SubSamp
0.092	Gis_14SubSamp
0.087	Gis_14SubSamp
0.096	Gis_14SubSamp
0.078	Gis_14SubSamp
0.079	Gis_14SubSamp
0.069	Gis_14SubSamp
0.058	Gis_14SubSamp
0.065	Gis_14SubSamp
0.1	Gis_14SubSamp
0.071	Gis_14SubSamp
0.075	Gis_14SubSamp
0.055	Gis_14SubSamp
0.074	Gis_14SubSamp
0.087	Gis_14SubSamp
0.062	Gis_14SubSamp
0.078	Gis_14SubSamp
0.05	Gis_14SubSamp
0.081	Gis_14SubSamp
0.096	Gis_14SubSamp
0.101	Gis_14SubSamp
0.081	Gis_14SubSamp
0.104	Gis_14SubSamp
0.057	Gis_14SubSamp
0.099	Gis_14SubSamp
0.097	Gis_14SubSamp
0.105	Gis_14SubSamp
0.079	Gis_14SubSamp
0.1	Gis_14SubSamp
0.096	Gis_14SubSamp
0.049	Gis_14SubSamp
0.055	Gis_14SubSamp
0.087	Gis_14SubSamp
0.076	Gis_14SubSamp
0.074	Gis_14SubSamp
0.076	Gis_14SubSamp
0.082	Gis_14SubSamp
0.089	Gis_14SubSamp
0.093	Gis_14SubSamp
0.091	Gis_14SubSamp
0.09	Gis_14SubSamp
0.086	Gis_14SubSamp
0.072	Gis_14SubSamp
0.076	Gis_14SubSamp
0.068	Gis_14SubSamp
0.088	Gis_14SubSamp
0.082	Gis_14SubSamp
0.101	Gis_14SubSamp
0.071	Gis_14SubSamp
0.08	Gis_14SubSamp
0.114	Gis_14SubSamp
0.099	Gis_14SubSamp
0.069	Gis_14SubSamp
0.093	Gis_14SubSamp
0.071	Gis_14SubSamp
0.111	Gis_14SubSamp
0.084	Gis_14SubSamp
0.075	Gis_14SubSamp
0.059	Gis_14SubSamp
0.1	Gis_14SubSamp
0.076	Gis_14SubSamp
0.056	Gis_14SubSamp
0.085	Gis_14SubSamp
0.105	Gis_14SubSamp
0.098	Gis_14SubSamp
0.119	Gis_14SubSamp
0.071	Gis_14SubSamp
0.096	Gis_14SubSamp
0.053	Gis_14SubSamp
0.071	Gis_14SubSamp
0.066	Gis_14SubSamp
0.07	Gis_14SubSamp
0.072	Gis_14SubSamp
0.058	Gis_14SubSamp
0.093	Gis_14SubSamp
0.098	Gis_14SubSamp
0.091	Gis_14SubSamp
0.061	Gis_14SubSamp
0.088	Gis_14SubSamp
0.046	Gis_14SubSamp
0.069	Gis_16SubSamp
0.093	Gis_16SubSamp
0.089	Gis_16SubSamp
0.08	Gis_16SubSamp
0.087	Gis_16SubSamp
0.091	Gis_16SubSamp
0.083	Gis_16SubSamp
0.073	Gis_16SubSamp
0.07	Gis_16SubSamp
0.085	Gis_16SubSamp
0.092	Gis_16SubSamp
0.096	Gis_16SubSamp
0.072	Gis_16SubSamp
0.107	Gis_16SubSamp
0.069	Gis_16SubSamp
0.079	Gis_16SubSamp
0.072	Gis_16SubSamp
0.102	Gis_16SubSamp
0.069	Gis_16SubSamp
0.083	Gis_16SubSamp
0.076	Gis_16SubSamp
0.082	Gis_16SubSamp
0.049	Gis_16SubSamp
0.058	Gis_16SubSamp
0.08	Gis_16SubSamp
0.072	Gis_16SubSamp
0.068	Gis_16SubSamp
0.07	Gis_16SubSamp
0.081	Gis_16SubSamp
0.065	Gis_16SubSamp
0.086	Gis_16SubSamp
0.073	Gis_16SubSamp
0.087	Gis_16SubSamp
0.099	Gis_16SubSamp
0.082	Gis_16SubSamp
0.068	Gis_16SubSamp
0.061	Gis_16SubSamp
0.118	Gis_16SubSamp
0.074	Gis_16SubSamp
0.085	Gis_16SubSamp
0.08	Gis_16SubSamp
0.095	Gis_16SubSamp
0.067	Gis_16SubSamp
0.097	Gis_16SubSamp
0.078	Gis_16SubSamp
0.098	Gis_16SubSamp
0.087	Gis_16SubSamp
0.106	Gis_16SubSamp
0.082	Gis_16SubSamp
0.088	Gis_16SubSamp
0.088	Gis_16SubSamp
0.093	Gis_16SubSamp
0.072	Gis_16SubSamp
0.088	Gis_16SubSamp
0.072	Gis_16SubSamp
0.085	Gis_16SubSamp
0.079	Gis_16SubSamp
0.097	Gis_16SubSamp
0.05	Gis_16SubSamp
0.085	Gis_16SubSamp
0.099	Gis_16SubSamp
0.071	Gis_16SubSamp
0.07	Gis_16SubSamp
0.082	Gis_16SubSamp
0.101	Gis_16SubSamp
0.088	Gis_16SubSamp
0.062	Gis_16SubSamp
0.084	Gis_16SubSamp
0.099	Gis_16SubSamp
0.082	Gis_16SubSamp
0.081	Gis_16SubSamp
0.081	Gis_16SubSamp
0.101	Gis_16SubSamp
0.083	Gis_16SubSamp
0.06	Gis_16SubSamp
0.084	Gis_16SubSamp
0.069	Gis_16SubSamp
0.091	Gis_16SubSamp
0.072	Gis_16SubSamp
0.096	Gis_16SubSamp
0.081	Gis_16SubSamp
0.088	Gis_16SubSamp
0.077	Gis_16SubSamp
0.08	Gis_16SubSamp
0.087	Gis_16SubSamp
0.082	Gis_16SubSamp
0.054	Gis_16SubSamp
0.085	Gis_16SubSamp
0.073	Gis_16SubSamp
0.102	Gis_16SubSamp
0.061	Gis_16SubSamp
0.084	Gis_16SubSamp
0.098	Gis_16SubSamp
0.073	Gis_16SubSamp
0.087	Gis_16SubSamp
0.1	Gis_16SubSamp
0.088	Gis_16SubSamp
0.081	Gis_16SubSamp
0.07	Gis_16SubSamp
0.069	Gis_16SubSamp
0.104	Gis_18SubSamp
0.074	Gis_18SubSamp
0.073	Gis_18SubSamp
0.094	Gis_18SubSamp
0.092	Gis_18SubSamp
0.089	Gis_18SubSamp
0.091	Gis_18SubSamp
0.075	Gis_18SubSamp
0.096	Gis_18SubSamp
0.073	Gis_18SubSamp
0.082	Gis_18SubSamp
0.064	Gis_18SubSamp
0.085	Gis_18SubSamp
0.068	Gis_18SubSamp
0.08	Gis_18SubSamp
0.087	Gis_18SubSamp
0.081	Gis_18SubSamp
0.077	Gis_18SubSamp
0.076	Gis_18SubSamp
0.093	Gis_18SubSamp
0.071	Gis_18SubSamp
0.099	Gis_18SubSamp
0.094	Gis_18SubSamp
0.075	Gis_18SubSamp
0.061	Gis_18SubSamp
0.081	Gis_18SubSamp
0.084	Gis_18SubSamp
0.083	Gis_18SubSamp
0.095	Gis_18SubSamp
0.073	Gis_18SubSamp
0.091	Gis_18SubSamp
0.074	Gis_18SubSamp
0.093	Gis_18SubSamp
0.083	Gis_18SubSamp
0.085	Gis_18SubSamp
0.08	Gis_18SubSamp
0.08	Gis_18SubSamp
0.078	Gis_18SubSamp
0.073	Gis_18SubSamp
0.074	Gis_18SubSamp
0.072	Gis_18SubSamp
0.094	Gis_18SubSamp
0.095	Gis_18SubSamp
0.088	Gis_18SubSamp
0.082	Gis_18SubSamp
0.098	Gis_18SubSamp
0.064	Gis_18SubSamp
0.09	Gis_18SubSamp
0.073	Gis_18SubSamp
0.076	Gis_18SubSamp
0.078	Gis_18SubSamp
0.1	Gis_18SubSamp
0.089	Gis_18SubSamp
0.072	Gis_18SubSamp
0.07	Gis_18SubSamp
0.102	Gis_18SubSamp
0.088	Gis_18SubSamp
0.066	Gis_18SubSamp
0.078	Gis_18SubSamp
0.086	Gis_18SubSamp
0.086	Gis_18SubSamp
0.095	Gis_18SubSamp
0.082	Gis_18SubSamp
0.071	Gis_18SubSamp
0.064	Gis_18SubSamp
0.084	Gis_18SubSamp
0.077	Gis_18SubSamp
0.073	Gis_18SubSamp
0.077	Gis_18SubSamp
0.081	Gis_18SubSamp
0.073	Gis_18SubSamp
0.099	Gis_18SubSamp
0.072	Gis_18SubSamp
0.086	Gis_18SubSamp
0.062	Gis_18SubSamp
0.074	Gis_18SubSamp
0.069	Gis_18SubSamp
0.082	Gis_18SubSamp
0.076	Gis_18SubSamp
0.094	Gis_18SubSamp
0.08	Gis_18SubSamp
0.078	Gis_18SubSamp
0.068	Gis_18SubSamp
0.066	Gis_18SubSamp
0.094	Gis_18SubSamp
0.089	Gis_18SubSamp
0.085	Gis_18SubSamp
0.068	Gis_18SubSamp
0.066	Gis_18SubSamp
0.084	Gis_18SubSamp
0.058	Gis_18SubSamp
0.086	Gis_18SubSamp
0.075	Gis_18SubSamp
0.069	Gis_18SubSamp
0.081	Gis_18SubSamp
0.086	Gis_18SubSamp
0.085	Gis_18SubSamp
0.08	Gis_18SubSamp
0.083	Gis_18SubSamp
0.083	Gis_18SubSamp
0.075	Gis_20SubSamp
0.089	Gis_20SubSamp
0.087	Gis_20SubSamp
0.08	Gis_20SubSamp
0.084	Gis_20SubSamp
0.078	Gis_20SubSamp
0.071	Gis_20SubSamp
0.078	Gis_20SubSamp
0.074	Gis_20SubSamp
0.075	Gis_20SubSamp
0.093	Gis_20SubSamp
0.085	Gis_20SubSamp
0.071	Gis_20SubSamp
0.102	Gis_20SubSamp
0.08	Gis_20SubSamp
0.073	Gis_20SubSamp
0.08	Gis_20SubSamp
0.067	Gis_20SubSamp
0.076	Gis_20SubSamp
0.095	Gis_20SubSamp
0.084	Gis_20SubSamp
0.098	Gis_20SubSamp
0.069	Gis_20SubSamp
0.081	Gis_20SubSamp
0.074	Gis_20SubSamp
0.082	Gis_20SubSamp
0.08	Gis_20SubSamp
0.07	Gis_20SubSamp
0.089	Gis_20SubSamp
0.063	Gis_20SubSamp
0.082	Gis_20SubSamp
0.069	Gis_20SubSamp
0.088	Gis_20SubSamp
0.079	Gis_20SubSamp
0.087	Gis_20SubSamp
0.081	Gis_20SubSamp
0.083	Gis_20SubSamp
