STT_Ho_estimates	Subsampling_group
0.118	Ho_04SubSamp
0.125	Ho_04SubSamp
0.086	Ho_04SubSamp
0.125	Ho_04SubSamp
0.103	Ho_04SubSamp
0.119	Ho_06SubSamp
0.123	Ho_06SubSamp
0.121	Ho_06SubSamp
0.099	Ho_06SubSamp
0.111	Ho_06SubSamp
0.109	Ho_06SubSamp
0.128	Ho_06SubSamp
0.121	Ho_06SubSamp
0.12	Ho_06SubSamp
0.13	Ho_06SubSamp
0.098	Ho_06SubSamp
0.107	Ho_06SubSamp
0.121	Ho_06SubSamp
0.112	Ho_06SubSamp
0.106	Ho_06SubSamp
0.126	Ho_06SubSamp
0.113	Ho_06SubSamp
0.104	Ho_06SubSamp
0.111	Ho_06SubSamp
0.107	Ho_06SubSamp
0.111	Ho_06SubSamp
0.125	Ho_06SubSamp
0.116	Ho_06SubSamp
0.108	Ho_06SubSamp
0.12	Ho_06SubSamp
0.116	Ho_06SubSamp
0.126	Ho_06SubSamp
0.104	Ho_06SubSamp
0.113	Ho_06SubSamp
0.12	Ho_06SubSamp
0.121	Ho_06SubSamp
0.114	Ho_06SubSamp
0.112	Ho_06SubSamp
0.12	Ho_06SubSamp
0.109	Ho_06SubSamp
0.104	Ho_06SubSamp
0.109	Ho_06SubSamp
0.117	Ho_06SubSamp
0.117	Ho_06SubSamp
0.112	Ho_06SubSamp
0.113	Ho_06SubSamp
0.124	Ho_06SubSamp
0.116	Ho_06SubSamp
0.121	Ho_06SubSamp
0.109	Ho_06SubSamp
0.113	Ho_06SubSamp
0.104	Ho_06SubSamp
0.119	Ho_06SubSamp
0.119	Ho_06SubSamp
0.118	Ho_06SubSamp
0.117	Ho_06SubSamp
0.12	Ho_06SubSamp
0.135	Ho_06SubSamp
0.114	Ho_06SubSamp
0.102	Ho_06SubSamp
0.13	Ho_06SubSamp
0.116	Ho_06SubSamp
0.126	Ho_06SubSamp
0.105	Ho_06SubSamp
0.116	Ho_06SubSamp
0.11	Ho_06SubSamp
0.125	Ho_06SubSamp
0.123	Ho_06SubSamp
0.125	Ho_06SubSamp
0.123	Ho_06SubSamp
0.123	Ho_06SubSamp
0.115	Ho_06SubSamp
0.117	Ho_06SubSamp
0.115	Ho_06SubSamp
0.119	Ho_06SubSamp
0.113	Ho_06SubSamp
0.117	Ho_06SubSamp
0.105	Ho_06SubSamp
0.117	Ho_06SubSamp
0.094	Ho_06SubSamp
0.106	Ho_06SubSamp
0.104	Ho_06SubSamp
0.127	Ho_06SubSamp
0.11	Ho_06SubSamp
0.111	Ho_06SubSamp
0.128	Ho_06SubSamp
0.121	Ho_06SubSamp
0.132	Ho_06SubSamp
0.122	Ho_06SubSamp
0.122	Ho_06SubSamp
0.103	Ho_06SubSamp
0.119	Ho_06SubSamp
0.103	Ho_06SubSamp
0.126	Ho_06SubSamp
0.116	Ho_06SubSamp
0.12	Ho_06SubSamp
0.097	Ho_06SubSamp
0.11	Ho_06SubSamp
0.102	Ho_06SubSamp
0.115	Ho_06SubSamp
0.135	Ho_06SubSamp
0.112	Ho_06SubSamp
0.112	Ho_06SubSamp
0.114	Ho_06SubSamp
0.13	Ho_06SubSamp
0.121	Ho_08SubSamp
0.129	Ho_08SubSamp
0.12	Ho_08SubSamp
0.105	Ho_08SubSamp
0.12	Ho_08SubSamp
0.117	Ho_08SubSamp
0.111	Ho_08SubSamp
0.109	Ho_08SubSamp
0.113	Ho_08SubSamp
0.118	Ho_08SubSamp
0.118	Ho_08SubSamp
0.109	Ho_08SubSamp
0.109	Ho_08SubSamp
0.113	Ho_08SubSamp
0.114	Ho_08SubSamp
0.118	Ho_08SubSamp
0.129	Ho_08SubSamp
0.108	Ho_08SubSamp
0.132	Ho_08SubSamp
0.128	Ho_08SubSamp
0.125	Ho_08SubSamp
0.118	Ho_08SubSamp
0.117	Ho_08SubSamp
0.113	Ho_08SubSamp
0.125	Ho_08SubSamp
0.119	Ho_08SubSamp
0.107	Ho_08SubSamp
0.111	Ho_08SubSamp
0.106	Ho_08SubSamp
0.133	Ho_08SubSamp
0.119	Ho_08SubSamp
0.115	Ho_08SubSamp
0.1	Ho_08SubSamp
0.125	Ho_08SubSamp
0.117	Ho_08SubSamp
0.102	Ho_08SubSamp
0.109	Ho_08SubSamp
0.109	Ho_08SubSamp
0.117	Ho_08SubSamp
0.116	Ho_08SubSamp
0.113	Ho_08SubSamp
0.128	Ho_08SubSamp
0.127	Ho_08SubSamp
0.127	Ho_08SubSamp
0.115	Ho_08SubSamp
0.119	Ho_08SubSamp
0.118	Ho_08SubSamp
0.115	Ho_08SubSamp
0.124	Ho_08SubSamp
0.122	Ho_08SubSamp
0.129	Ho_08SubSamp
0.118	Ho_08SubSamp
0.116	Ho_08SubSamp
0.116	Ho_08SubSamp
0.121	Ho_08SubSamp
0.111	Ho_08SubSamp
0.111	Ho_08SubSamp
0.113	Ho_08SubSamp
0.123	Ho_08SubSamp
0.126	Ho_08SubSamp
0.111	Ho_08SubSamp
0.118	Ho_08SubSamp
0.113	Ho_08SubSamp
0.117	Ho_08SubSamp
0.131	Ho_08SubSamp
0.128	Ho_08SubSamp
0.096	Ho_08SubSamp
0.108	Ho_08SubSamp
0.117	Ho_08SubSamp
0.118	Ho_08SubSamp
0.114	Ho_08SubSamp
0.118	Ho_08SubSamp
0.106	Ho_08SubSamp
0.125	Ho_08SubSamp
0.122	Ho_08SubSamp
0.116	Ho_08SubSamp
0.129	Ho_08SubSamp
0.114	Ho_08SubSamp
0.113	Ho_08SubSamp
0.114	Ho_08SubSamp
0.112	Ho_08SubSamp
0.118	Ho_08SubSamp
0.119	Ho_08SubSamp
0.128	Ho_08SubSamp
0.124	Ho_08SubSamp
0.113	Ho_08SubSamp
0.119	Ho_08SubSamp
0.119	Ho_08SubSamp
0.118	Ho_08SubSamp
0.12	Ho_08SubSamp
0.11	Ho_08SubSamp
0.117	Ho_08SubSamp
0.118	Ho_08SubSamp
0.117	Ho_08SubSamp
0.118	Ho_08SubSamp
0.115	Ho_08SubSamp
0.116	Ho_08SubSamp
0.118	Ho_08SubSamp
0.108	Ho_08SubSamp
0.107	Ho_08SubSamp
0.112	Ho_10SubSamp
0.125	Ho_10SubSamp
0.104	Ho_10SubSamp
0.121	Ho_10SubSamp
0.111	Ho_10SubSamp
0.117	Ho_10SubSamp
0.115	Ho_10SubSamp
0.103	Ho_10SubSamp
0.109	Ho_10SubSamp
0.112	Ho_10SubSamp
0.112	Ho_10SubSamp
0.102	Ho_10SubSamp
0.118	Ho_10SubSamp
0.118	Ho_10SubSamp
0.122	Ho_10SubSamp
0.123	Ho_10SubSamp
0.115	Ho_10SubSamp
0.12	Ho_10SubSamp
0.108	Ho_10SubSamp
0.108	Ho_10SubSamp
0.125	Ho_10SubSamp
0.114	Ho_10SubSamp
0.12	Ho_10SubSamp
0.109	Ho_10SubSamp
0.111	Ho_10SubSamp
0.114	Ho_10SubSamp
0.121	Ho_10SubSamp
0.11	Ho_10SubSamp
0.116	Ho_10SubSamp
0.116	Ho_10SubSamp
0.122	Ho_10SubSamp
0.121	Ho_10SubSamp
0.117	Ho_10SubSamp
0.116	Ho_10SubSamp
0.114	Ho_10SubSamp
0.114	Ho_10SubSamp
0.112	Ho_10SubSamp
0.117	Ho_10SubSamp
0.121	Ho_10SubSamp
0.107	Ho_10SubSamp
0.109	Ho_10SubSamp
0.125	Ho_10SubSamp
0.116	Ho_10SubSamp
0.12	Ho_10SubSamp
0.121	Ho_10SubSamp
0.112	Ho_10SubSamp
0.113	Ho_10SubSamp
0.112	Ho_10SubSamp
0.111	Ho_10SubSamp
0.102	Ho_10SubSamp
0.114	Ho_10SubSamp
0.106	Ho_10SubSamp
0.111	Ho_10SubSamp
0.126	Ho_10SubSamp
0.112	Ho_10SubSamp
0.122	Ho_10SubSamp
0.112	Ho_10SubSamp
0.108	Ho_10SubSamp
0.123	Ho_10SubSamp
0.124	Ho_10SubSamp
0.114	Ho_10SubSamp
0.11	Ho_10SubSamp
0.119	Ho_10SubSamp
0.128	Ho_10SubSamp
0.12	Ho_10SubSamp
0.109	Ho_10SubSamp
0.124	Ho_10SubSamp
0.116	Ho_10SubSamp
0.104	Ho_10SubSamp
0.118	Ho_10SubSamp
0.127	Ho_10SubSamp
0.108	Ho_10SubSamp
0.124	Ho_10SubSamp
0.109	Ho_10SubSamp
0.108	Ho_10SubSamp
0.106	Ho_10SubSamp
0.112	Ho_10SubSamp
0.11	Ho_10SubSamp
0.104	Ho_10SubSamp
0.11	Ho_10SubSamp
0.123	Ho_10SubSamp
0.114	Ho_10SubSamp
0.113	Ho_10SubSamp
0.127	Ho_10SubSamp
0.119	Ho_10SubSamp
0.114	Ho_10SubSamp
0.103	Ho_10SubSamp
0.101	Ho_10SubSamp
0.122	Ho_10SubSamp
0.117	Ho_10SubSamp
0.109	Ho_10SubSamp
0.118	Ho_10SubSamp
0.111	Ho_10SubSamp
0.106	Ho_10SubSamp
0.116	Ho_10SubSamp
0.117	Ho_10SubSamp
0.132	Ho_10SubSamp
0.115	Ho_10SubSamp
0.121	Ho_10SubSamp
0.125	Ho_10SubSamp
0.124	Ho_12SubSamp
0.116	Ho_12SubSamp
0.115	Ho_12SubSamp
0.122	Ho_12SubSamp
0.108	Ho_12SubSamp
0.116	Ho_12SubSamp
0.115	Ho_12SubSamp
0.112	Ho_12SubSamp
0.114	Ho_12SubSamp
0.117	Ho_12SubSamp
0.118	Ho_12SubSamp
0.121	Ho_12SubSamp
0.122	Ho_12SubSamp
0.114	Ho_12SubSamp
0.124	Ho_12SubSamp
0.118	Ho_12SubSamp
0.12	Ho_12SubSamp
0.112	Ho_12SubSamp
0.111	Ho_12SubSamp
0.118	Ho_12SubSamp
0.118	Ho_12SubSamp
0.112	Ho_12SubSamp
0.119	Ho_12SubSamp
0.111	Ho_12SubSamp
0.126	Ho_12SubSamp
0.116	Ho_12SubSamp
0.125	Ho_12SubSamp
0.115	Ho_12SubSamp
0.102	Ho_12SubSamp
0.124	Ho_12SubSamp
0.12	Ho_12SubSamp
0.115	Ho_12SubSamp
0.107	Ho_12SubSamp
0.122	Ho_12SubSamp
0.123	Ho_12SubSamp
0.119	Ho_12SubSamp
0.113	Ho_12SubSamp
0.114	Ho_12SubSamp
0.113	Ho_12SubSamp
0.112	Ho_12SubSamp
0.114	Ho_12SubSamp
0.112	Ho_12SubSamp
0.118	Ho_12SubSamp
0.114	Ho_12SubSamp
0.117	Ho_12SubSamp
0.115	Ho_12SubSamp
0.114	Ho_12SubSamp
0.116	Ho_12SubSamp
0.116	Ho_12SubSamp
0.107	Ho_12SubSamp
0.113	Ho_12SubSamp
0.118	Ho_12SubSamp
0.115	Ho_12SubSamp
0.117	Ho_12SubSamp
0.118	Ho_12SubSamp
0.124	Ho_12SubSamp
0.125	Ho_12SubSamp
0.113	Ho_12SubSamp
0.112	Ho_12SubSamp
0.116	Ho_12SubSamp
0.116	Ho_12SubSamp
0.108	Ho_12SubSamp
0.121	Ho_12SubSamp
0.115	Ho_12SubSamp
0.112	Ho_12SubSamp
0.114	Ho_12SubSamp
0.109	Ho_12SubSamp
0.105	Ho_12SubSamp
0.117	Ho_12SubSamp
0.12	Ho_12SubSamp
0.114	Ho_12SubSamp
0.114	Ho_12SubSamp
0.116	Ho_12SubSamp
0.111	Ho_12SubSamp
0.116	Ho_12SubSamp
0.12	Ho_12SubSamp
0.114	Ho_12SubSamp
0.121	Ho_12SubSamp
0.104	Ho_12SubSamp
0.119	Ho_12SubSamp
0.109	Ho_12SubSamp
0.117	Ho_12SubSamp
0.118	Ho_12SubSamp
0.117	Ho_12SubSamp
0.114	Ho_12SubSamp
0.118	Ho_12SubSamp
0.117	Ho_12SubSamp
0.109	Ho_12SubSamp
0.113	Ho_12SubSamp
0.118	Ho_12SubSamp
0.117	Ho_12SubSamp
0.109	Ho_12SubSamp
0.119	Ho_12SubSamp
0.112	Ho_12SubSamp
0.123	Ho_12SubSamp
0.108	Ho_12SubSamp
0.113	Ho_12SubSamp
0.119	Ho_12SubSamp
0.121	Ho_12SubSamp
0.108	Ho_12SubSamp
0.115	Ho_14SubSamp
0.116	Ho_14SubSamp
0.116	Ho_14SubSamp
0.119	Ho_14SubSamp
0.118	Ho_14SubSamp
0.11	Ho_14SubSamp
0.112	Ho_14SubSamp
0.116	Ho_14SubSamp
0.114	Ho_14SubSamp
0.121	Ho_14SubSamp
0.112	Ho_14SubSamp
0.125	Ho_14SubSamp
0.124	Ho_14SubSamp
0.109	Ho_14SubSamp
0.116	Ho_14SubSamp
0.119	Ho_14SubSamp
0.117	Ho_14SubSamp
0.12	Ho_14SubSamp
0.106	Ho_14SubSamp
0.107	Ho_14SubSamp
0.118	Ho_14SubSamp
0.112	Ho_14SubSamp
0.116	Ho_14SubSamp
0.113	Ho_14SubSamp
0.117	Ho_14SubSamp
0.118	Ho_14SubSamp
0.117	Ho_14SubSamp
0.119	Ho_14SubSamp
0.118	Ho_14SubSamp
0.109	Ho_14SubSamp
0.12	Ho_14SubSamp
0.117	Ho_14SubSamp
0.122	Ho_14SubSamp
0.118	Ho_14SubSamp
0.112	Ho_14SubSamp
0.118	Ho_14SubSamp
0.117	Ho_14SubSamp
0.128	Ho_14SubSamp
0.114	Ho_14SubSamp
0.112	Ho_14SubSamp
0.112	Ho_14SubSamp
0.115	Ho_14SubSamp
0.114	Ho_14SubSamp
0.122	Ho_14SubSamp
0.11	Ho_14SubSamp
0.11	Ho_14SubSamp
0.11	Ho_14SubSamp
0.114	Ho_14SubSamp
0.114	Ho_14SubSamp
0.112	Ho_14SubSamp
0.125	Ho_14SubSamp
0.124	Ho_14SubSamp
0.117	Ho_14SubSamp
0.117	Ho_14SubSamp
0.117	Ho_14SubSamp
0.119	Ho_14SubSamp
0.116	Ho_14SubSamp
0.113	Ho_14SubSamp
0.113	Ho_14SubSamp
0.112	Ho_14SubSamp
0.116	Ho_14SubSamp
0.116	Ho_14SubSamp
0.117	Ho_14SubSamp
0.117	Ho_14SubSamp
0.123	Ho_14SubSamp
0.115	Ho_14SubSamp
0.116	Ho_14SubSamp
0.107	Ho_14SubSamp
0.119	Ho_14SubSamp
0.115	Ho_14SubSamp
0.107	Ho_14SubSamp
0.109	Ho_14SubSamp
0.119	Ho_14SubSamp
0.117	Ho_14SubSamp
0.119	Ho_14SubSamp
0.105	Ho_14SubSamp
0.118	Ho_14SubSamp
0.118	Ho_14SubSamp
0.121	Ho_14SubSamp
0.112	Ho_14SubSamp
0.114	Ho_14SubSamp
0.122	Ho_14SubSamp
0.116	Ho_14SubSamp
0.108	Ho_14SubSamp
0.115	Ho_14SubSamp
0.109	Ho_14SubSamp
0.119	Ho_14SubSamp
0.113	Ho_14SubSamp
0.123	Ho_14SubSamp
0.118	Ho_14SubSamp
0.119	Ho_14SubSamp
0.118	Ho_14SubSamp
0.117	Ho_14SubSamp
0.122	Ho_14SubSamp
0.116	Ho_14SubSamp
0.11	Ho_14SubSamp
0.114	Ho_14SubSamp
0.123	Ho_14SubSamp
0.112	Ho_14SubSamp
0.123	Ho_14SubSamp
0.116	Ho_16SubSamp
0.111	Ho_16SubSamp
0.114	Ho_16SubSamp
0.113	Ho_16SubSamp
0.115	Ho_16SubSamp
0.112	Ho_16SubSamp
0.115	Ho_16SubSamp
0.12	Ho_16SubSamp
0.119	Ho_16SubSamp
0.115	Ho_16SubSamp
0.112	Ho_16SubSamp
0.109	Ho_16SubSamp
0.117	Ho_16SubSamp
0.107	Ho_16SubSamp
0.118	Ho_16SubSamp
0.118	Ho_16SubSamp
0.116	Ho_16SubSamp
0.108	Ho_16SubSamp
0.118	Ho_16SubSamp
0.116	Ho_16SubSamp
0.118	Ho_16SubSamp
0.114	Ho_16SubSamp
0.124	Ho_16SubSamp
0.124	Ho_16SubSamp
0.118	Ho_16SubSamp
0.117	Ho_16SubSamp
0.12	Ho_16SubSamp
0.119	Ho_16SubSamp
0.118	Ho_16SubSamp
0.121	Ho_16SubSamp
0.112	Ho_16SubSamp
0.119	Ho_16SubSamp
0.114	Ho_16SubSamp
0.109	Ho_16SubSamp
0.116	Ho_16SubSamp
0.122	Ho_16SubSamp
0.119	Ho_16SubSamp
0.105	Ho_16SubSamp
0.118	Ho_16SubSamp
0.116	Ho_16SubSamp
0.117	Ho_16SubSamp
0.113	Ho_16SubSamp
0.122	Ho_16SubSamp
0.113	Ho_16SubSamp
0.115	Ho_16SubSamp
0.111	Ho_16SubSamp
0.115	Ho_16SubSamp
0.109	Ho_16SubSamp
0.115	Ho_16SubSamp
0.114	Ho_16SubSamp
0.115	Ho_16SubSamp
0.112	Ho_16SubSamp
0.121	Ho_16SubSamp
0.114	Ho_16SubSamp
0.118	Ho_16SubSamp
0.114	Ho_16SubSamp
0.116	Ho_16SubSamp
0.112	Ho_16SubSamp
0.124	Ho_16SubSamp
0.117	Ho_16SubSamp
0.111	Ho_16SubSamp
0.119	Ho_16SubSamp
0.118	Ho_16SubSamp
0.114	Ho_16SubSamp
0.111	Ho_16SubSamp
0.114	Ho_16SubSamp
0.12	Ho_16SubSamp
0.117	Ho_16SubSamp
0.111	Ho_16SubSamp
0.116	Ho_16SubSamp
0.113	Ho_16SubSamp
0.114	Ho_16SubSamp
0.109	Ho_16SubSamp
0.117	Ho_16SubSamp
0.12	Ho_16SubSamp
0.114	Ho_16SubSamp
0.121	Ho_16SubSamp
0.113	Ho_16SubSamp
0.117	Ho_16SubSamp
0.111	Ho_16SubSamp
0.115	Ho_16SubSamp
0.114	Ho_16SubSamp
0.118	Ho_16SubSamp
0.118	Ho_16SubSamp
0.113	Ho_16SubSamp
0.115	Ho_16SubSamp
0.124	Ho_16SubSamp
0.115	Ho_16SubSamp
0.119	Ho_16SubSamp
0.111	Ho_16SubSamp
0.121	Ho_16SubSamp
0.115	Ho_16SubSamp
0.114	Ho_16SubSamp
0.118	Ho_16SubSamp
0.115	Ho_16SubSamp
0.113	Ho_16SubSamp
0.114	Ho_16SubSamp
0.114	Ho_16SubSamp
0.119	Ho_16SubSamp
0.118	Ho_16SubSamp
0.111	Ho_18SubSamp
0.116	Ho_18SubSamp
0.118	Ho_18SubSamp
0.112	Ho_18SubSamp
0.115	Ho_18SubSamp
0.113	Ho_18SubSamp
0.114	Ho_18SubSamp
0.115	Ho_18SubSamp
0.113	Ho_18SubSamp
0.117	Ho_18SubSamp
0.116	Ho_18SubSamp
0.119	Ho_18SubSamp
0.113	Ho_18SubSamp
0.119	Ho_18SubSamp
0.114	Ho_18SubSamp
0.115	Ho_18SubSamp
0.116	Ho_18SubSamp
0.117	Ho_18SubSamp
0.119	Ho_18SubSamp
0.112	Ho_18SubSamp
0.117	Ho_18SubSamp
0.111	Ho_18SubSamp
0.11	Ho_18SubSamp
0.116	Ho_18SubSamp
0.121	Ho_18SubSamp
0.113	Ho_18SubSamp
0.114	Ho_18SubSamp
0.114	Ho_18SubSamp
0.115	Ho_18SubSamp
0.118	Ho_18SubSamp
0.112	Ho_18SubSamp
0.118	Ho_18SubSamp
0.112	Ho_18SubSamp
0.117	Ho_18SubSamp
0.117	Ho_18SubSamp
0.116	Ho_18SubSamp
0.117	Ho_18SubSamp
0.118	Ho_18SubSamp
0.119	Ho_18SubSamp
0.116	Ho_18SubSamp
0.12	Ho_18SubSamp
0.112	Ho_18SubSamp
0.111	Ho_18SubSamp
0.113	Ho_18SubSamp
0.117	Ho_18SubSamp
0.109	Ho_18SubSamp
0.12	Ho_18SubSamp
0.114	Ho_18SubSamp
0.119	Ho_18SubSamp
0.119	Ho_18SubSamp
0.115	Ho_18SubSamp
0.112	Ho_18SubSamp
0.114	Ho_18SubSamp
0.117	Ho_18SubSamp
0.12	Ho_18SubSamp
0.108	Ho_18SubSamp
0.113	Ho_18SubSamp
0.118	Ho_18SubSamp
0.116	Ho_18SubSamp
0.114	Ho_18SubSamp
0.115	Ho_18SubSamp
0.113	Ho_18SubSamp
0.113	Ho_18SubSamp
0.118	Ho_18SubSamp
0.12	Ho_18SubSamp
0.113	Ho_18SubSamp
0.114	Ho_18SubSamp
0.118	Ho_18SubSamp
0.118	Ho_18SubSamp
0.116	Ho_18SubSamp
0.118	Ho_18SubSamp
0.11	Ho_18SubSamp
0.118	Ho_18SubSamp
0.114	Ho_18SubSamp
0.12	Ho_18SubSamp
0.118	Ho_18SubSamp
0.12	Ho_18SubSamp
0.113	Ho_18SubSamp
0.119	Ho_18SubSamp
0.114	Ho_18SubSamp
0.118	Ho_18SubSamp
0.115	Ho_18SubSamp
0.12	Ho_18SubSamp
0.121	Ho_18SubSamp
0.113	Ho_18SubSamp
0.114	Ho_18SubSamp
0.115	Ho_18SubSamp
0.12	Ho_18SubSamp
0.12	Ho_18SubSamp
0.114	Ho_18SubSamp
0.121	Ho_18SubSamp
0.114	Ho_18SubSamp
0.118	Ho_18SubSamp
0.118	Ho_18SubSamp
0.116	Ho_18SubSamp
0.114	Ho_18SubSamp
0.115	Ho_18SubSamp
0.114	Ho_18SubSamp
0.117	Ho_18SubSamp
0.117	Ho_18SubSamp
0.118	Ho_20SubSamp
0.114	Ho_20SubSamp
0.113	Ho_20SubSamp
0.115	Ho_20SubSamp
0.113	Ho_20SubSamp
0.117	Ho_20SubSamp
0.119	Ho_20SubSamp
0.116	Ho_20SubSamp
0.117	Ho_20SubSamp
0.118	Ho_20SubSamp
0.113	Ho_20SubSamp
0.113	Ho_20SubSamp
0.119	Ho_20SubSamp
0.11	Ho_20SubSamp
0.116	Ho_20SubSamp
0.118	Ho_20SubSamp
0.115	Ho_20SubSamp
0.12	Ho_20SubSamp
0.118	Ho_20SubSamp
0.113	Ho_20SubSamp
0.116	Ho_20SubSamp
0.112	Ho_20SubSamp
0.118	Ho_20SubSamp
0.115	Ho_20SubSamp
0.118	Ho_20SubSamp
0.116	Ho_20SubSamp
0.115	Ho_20SubSamp
0.119	Ho_20SubSamp
0.112	Ho_20SubSamp
0.121	Ho_20SubSamp
0.114	Ho_20SubSamp
0.119	Ho_20SubSamp
0.113	Ho_20SubSamp
0.116	Ho_20SubSamp
0.114	Ho_20SubSamp
0.115	Ho_20SubSamp
0.116	Ho_20SubSamp
0.112	Ho_20SubSamp
0.114	Ho_20SubSamp
0.117	Ho_20SubSamp
0.11	Ho_20SubSamp
0.114	Ho_20SubSamp
0.115	Ho_20SubSamp
