scenario      C1             C2             C3             C4             t2             CA2      
   2           9037           9996           1662           2677           1305           9996
   2           9225           9986           1570           4091           1598           9998
   2           9078           9992           1735           3433           1467           9996
   2           8921           9941            992           1957           1127           9995
   2           8046           9880           1166           1582            840           9997
   2           8992           9968           1871           3804           1333           9996
   2           8146           9931           1186           2031           1003           9995
   2           9611           9993           2020           3065           1552           9997
   2           8926           9942           1682           1125           1164           9997
   2           8372           9904           1195           1653           1049           9997
   2           9372           9987           2046           7948           1622           9998
   2           9156           9982           2107           4418           1477           9997
   2           8971           9983           1116           3257           1316           9995
   2           8125           9941           1374           2745           1052           9995
   2           8453           9933           1084           1068           1091           9994
   2           8891           9978           1508           3284           1312           9995
   2           9133           9987           2465           3248           1538           9996
   2           7312           9618            546           1280            615           9992
   2           8749           9955           1313           1899           1117           9997
   2           9409           9983           1878           2485           1599           9997
   2           9172           9980           1868           3060           1384           9997
   2           8907           9997           1254           2744           1320           9997
   2           8910           9968           1491           3476           1214           9983
   2           9881           9992           2376           3150           1612           9996
   2           8961           9975           1736           3309           1461           9997
   2           8898           9996           1793           3772           1302           9998
   2           7832           9671            677            947            650           9994
   2           9358           9983           1905           8963           1683           9997
   2           9637           9970           1484           2524           1278           9998
   2           8399           9942            948           2338           1039           9990
   2           9181           9973           1688           2636           1357           9997
   2           9087           9997           1537           3372           1428           9996
   2           8944           9966           1424           3807           1254           9998
   2           9120           9983           2092           9693           1623           9997
   2           8982           9988           1920           3062           1344           9987
   2           9214           9999           2333           7104           1461           9997
   2           9383           9997           2338           4747           1673           9997
   2           8935           9970           1692           2506           1271           9995
   2           9082           9964           1710           1777           1326           9996
   2           9146           9993           2080           3592           1829           9988
   2           8621           9937           1487           1731           1008           9997
   2           8711           9969           1588           2690           1219           9997
   2           8279           9893            883           2438           1009           9995
   2           9376           9993           1516           2337           1557           9998
   2           7069           9554            532            720            418           9994
   2           4322           9464            393            725            383           9975
   2           8662           9942           1356           2176           1136           9996
   2           9097           9984           1670           3090           1408           9997
   2           8827           9972           1213           3624           1121           9994
   2           8696           9958           1551           2022           1273           9989
   2           9296           9969           2103           3201           1384           9997
   2           8819           9975           1646           3114           1214           9997
   2           7436           9870            817           1079            773           9995
   2           8392           9933           1379           2444           1071           9994
   2           8607           9933           1030           1235           1027           9993
   2           8537           9924           1211           1522            937           9995
   2           9240          10000           2438           3849           1494           9997
   2           8125           9921            946           1551            942           9997
   2           8848           9975           1530           3260           1404           9997
   2           9026           9950           1509           1896           1337           9996
   2           7844           9831           1084           1100            833           9996
   2           9153           9984           1942           3659           1540           9997
   2           8991           9979           1678           5915           1478           9995
   2           8973           9975           1679           2078           1237           9997
   2           8961           9949           1539           3544           1187           9998
   2           9094           9986           1971           3489           1530           9997
   2           8952           9951           1442           2336           1141           9996
   2           9198           9979           2078           5163           1449           9997
   2           8329           9934           1524           2307           1065           9997
   2           9256           9971           1980           3701           1448           9997
   2           9147           9970           2001           2150           1333           9996
   2           9575           9991           1772           3240           1660           9998
   2           9387           9997           2025           3787           1541           9997
   2           9019           9962           1634           2239           1339           9997
   2           8961           9976           1755           2665           1357           9998
   2           8994           9950           1416           2592           1320           9998
   2           8773           9977           1564           2104           1080           9996
   2           9236           9969           1638           2566           1485           9997
   2           7494           9846            787            875            762           9997
   2           9006           9962           1558           9306           1334           9998
   2           8911           9978           1655           5195           1366           9998
   2           9004           9966           1716           2478           1362           9996
   2           8794           9915           1179           2176           1199           9996
   2           8684           9974           1689           2164           1332           9996
   2           9036           9975           1620           6266           1349           9996
   2           8826           9962           1388           2248           1231           9998
   2           9092           9993           1550           3428           1549           9997
   2           8854           9962           1930           2185           1264           9997
   2           8963           9983           1504           3102           1197           9995
   2           9345           9998           3141           5390           2898           9982
   2           8894           9958            912           3203           1121           9997
   2           8903           9951           1754           2424           1349           9993
   2           9846           9976           2245           5599           1510           9994
   2           8500           9963           1271           2250           1142           9997
   2           9209           9999           2045           6119           1707           9997
   2           9417           9999           1875           3941           1563           9998
   2           9074           9985           2112           3717           1363           9997
   2           5553           9720            456           1204            559           9993
   2           9152           9988           1833           3207           1328           9995
   2           9223           9998           1911           3010           1485           9997
   2           9213           9979           2417           3282           1461           9998
   2           9164           9982           1515           3517           1393           9997
   2           8662           9981           1792           3293           1280           9997
   2           7798           9898            675            812            775           9995
   2           9157           9991           1690           3447           1429           9996
   2           9395           9991           2262           9034           2031           9998
   2           9059           9987           1908           3728           1514           9993
   2           8682           9937           1172           1323           1088           9998
   2           9430           9986           2090           4254           1559           9996
   2           8541           9932           1695           2010           1085           9996
   2           9984           9987           2510           8701           1669           9998
   2           8885           9975           1591           2959           1268           9997
   2           7923           9782            884           1410            632           9978
   2           8920           9940           1547           1414           1068           9996
   2           8882           9956           1271           2118           1209           9995
   2           9034           9984           2091           3447           1500           9994
   2           9070           9963           1452           2503           1207           9997
   2           9488           9981           1634           2924           1406           9997
   2           8207           9820            724           2103            755           9993
   2           9029           9999           1630           3241           1290           9998
   2           8725           9968           1124           2088           1299           9994
   2           9184           9987           1775           2818           1565           9997
   2           9280           9996           2233           7901           1705           9998
   2           9185           9974           1837           9441           1448           9996
   2           9079           9997           3457           4106           1771           9998
   2           8252           9854           1101            933            793           9994
   2           8645           9974           1331           2060           1145           9997
   2           8923           9970           1379           2199           1160           9997
   2           9143           9995           1753           3475           1493           9990
   2           7797           9907            797           1721            863           9996
   2           9350           9968           1856           2743           1372           9995
   2           7448           9908           1271           1850            986           9996
   2           8595           9949           1153           1621           1034           9998
   2           9107           9989           1785           2973           1416           9997
   2           8524           9868           1227           1171            887           9995
   2           8961           9994           1523           2941           1399           9996
   2           8935           9971           1860           4481           1327           9997
   2           9420           9986           1510           3387           1374           9997
   2           9056           9972           1549           3359           1371           9997
   2           9478           9993           2194           3841           1590           9992
   2           9118           9992           1597           2759           1368           9997
   2           9075           9976           1564           2791           1463           9997
   2           8420           9910           1091           1414            951           9996
   2           9441           9980           1425           4158           1425           9996
   2           9106           9995           1750           2562           1255           9995
   2           8968           9919           1800           2463           1185           9997
   2           8973           9991           1507           2858           1228           9997
   2           8636           9941           1429           2357           1147           9997
   2           9489           9998           2217           4418           1698           9998
   2           9092           9991           1683           3465           1417           9997
   2           9201           9989           1600           3974           1800           9995
   2           8433           9923            842           2359           1080           9995
   2           9302           9976           1727           4306           1454           9997
   2           8847           9939           1465           1175           1094           9992
   2           9286           9981           1660           2363           1580           9997
   2           8728           9968           1729           2481           1277           9997
   2           9058           9970           1799           2732           1394           9995
   2           8774           9991           1841           3667           1400           9998
   2           8624           9766           1029           1942            629           9991
   2           8942           9956           1731           2940           1350           9997
   2           9189           9977           3394           2478           1285           9998
   2           8904           9981           1576           1989           1244           9998
   2           9993           9992           2790           5920           1900           9996
   2           9418           9977           1796           3526           1438           9998
   2           9062           9971           1576           3108           1381           9997
   2           8404           9974           1805           3204           1227           9997
   2           8806           9960           1571           5720           1365           9989
   2           9167           9976           1852           5067           1461           9997
   2           9624           9997           6832           6425           2027           9998
   2           9166           9985           2119           2705           1537           9997
   2           9283           9992           1381           4607           1433           9997
   2           9132           9996           1969           3413           1753           9994
   2           8596           9907            961           1415            979           9997
   2           9832           9996           3823           5043           2046           9992
   2           7956           9841           1274           1564            812           9997
   2           8669           9958           1391           2775           1239           9997
   2           8123           9841            908           1601            701           9995
   2           9205           9985           1415           3075           1506           9986
   2           8866           9980           1476           3627           1337           9975
   2           8504           9965           1388           1879           1115           9998
   2           9074           9998           1810           2855           1509           9995
   2           9121           9978           1545           3842           1416           9995
   2           9003           9991           1497           3038           1411           9997
   2           8547           9918           1054           1352            932           9997
   2           9296           9972           1603           4479           1539           9998
   2           9013           9945           1420           1839           1148           9997
   2           8965           9976           1442           3089           1347           9997
   2           8116           9895            976           1368            767           9997
   2           8405           9949           1192           2551           1193           9996
   2           9215          10000           1407           3356           1366           9997
   2           9151           9978           2288           8198           1362           9998
   2           9208           9981           1734           3070           1372           9993
   2           8609           9951           1261           1887           1096           9995
   2           9062           9964           1882           4645           1311           9996
   2           9013           9982           1539           3268           1342           9997
   2           8601           9946           1444           2482           1128           9998
   2           8484           9944           1576           2706           1103           9997
   2           8563           9974           1587           2691           1169           9995
   2           9322           9984           1907           6438           1600           9998
   2           8841           9951           1382           1904           1118           9997
   2           9252           9987           1850           7626           1584           9997
   2           7782           9815            686           1115            693           9993
   2           8798           9937           1168           2634           1172           9996
   2           9397           9992           2123           6669           1747           9998
   2           9317           9994           2731           8435           1955           9887
   2           8980           9978           1551           5054           1466           9997
   2           8720           9966           1373           3746           1392           9995
   2           9179           9997           2701           9691           1817           9998
   2           8515           9940           1229           1777           1081           9992
   2           9042           9964           1290           4081           1290           9997
   2           8999           9978           1469           2562           1377           9998
   2           8660           9946           1463           2129           1188           9995
   2           6431           9826            577            828            607           9994
   2           8862           9954           1316           3038           1280           9996
   2           7707           9914           1133           1591           1075           9994
   2           8569           9930           1135           1607           1055           9996
   2           9140           9989           1857           3794           1717           9997
   2           8723           9936           1154           2455           1147           9997
   2           9058           9985           2337           2994           1364           9997
   2           9300           9991           2149           2664           1565           9997
   2           8706           9928            997           1678            956           9998
   2           8779           9962           1972           3377           1372           9997
   2           8862           9939           1652           3032           1240           9996
   2           8573           9950           1348           2111           1039           9977
   2           8850           9915           1294           1523           1207           9994
   2           8808           9986           1561           3146           1345           9995
   2           9582           9992           3628           3576           2412           9986
   2           9091           9983           1947           5842           1528           9997
   2           8698           9948           1403           1126           1078           9997
   2           8552           9918           1096           1472            932           9995
   2           9206           9988           1606           2733           1301           9996
   2           8850           9966           1150           1771           1185           9996
   2           9759           9989           1811           4915           1659           9998
   2           8645           9953           1259           2711           1067           9996
   2           8745           9960           1506           2691           1237           9998
   2           8273           9941           1261           2381           1046           9998
   2           9278           9987           2047           3228           1550           9998
   2           7758           9952           1042           1875           1169           9995
   2           8929           9980           1827           3420           1341           9996
   2           9177           9935           1786           3385           1261           9997
   2           9308           9992           2019           4036           1538           9991
   2           9409           9992           2478           6282           1693           9977
   2           8504           9886            937           1550            913           9989
   2           8602           9934           1426           1857           1133           9997
   2           9650           9995           2231           4347           1738           9998
   2           8474           9840            920           2556            903           9997
   2           9412           9994           2465           9472           1705           9998
   2           9190           9980           1838           3067           1435           9997
   2           9182           9986           2017           4789           1545           9998
   2           8805           9939           1140           1573           1082           9996
   2           9187           9976           1610           3101           1409           9997
   2           8035           9913            839           1539            806           9996
   2           9082           9986           1401           2959           1563           9998
   2           9415           9996           3321           3579           1639           9997
   2           9043           9960           1420           2275           1258           9997
   2           9566           9999           1795           9383           2176           9996
   2           8700           9912           1183           2380           1130           9996
   2           8868           9960           1588           2172           1216           9996
   2           9117           9999           1851           3309           1477           9998
   2           9486           9969           1962           2034           1383           9997
   2           8897           9968           1445           2071           1211           9998
   2           9306           9984           1658           3092           1301           9997
   2           8829          10000           1543           2982           1313           9997
   2           9284           9991           1630           3275           1547           9995
   2           8901           9955           1633           2013           1167           9996
   2           9264           9970           1965           3273           1345           9996
   2           9219           9991           1963           3199           1570           9997
   2           8590           9917            895           1723            985           9997
   2           9087           9968           1848           3066           1292           9997
   2           9395           9985           1592           8594           1531           9997
   2           8807           9961           1193           2168           1095           9995
   2           8934           9983           1788           3348           1533           9980
   2           8923           9964           1676           2008           1288           9997
   2           9492           9995           1664           3536           1512           9997
   2           8763           9928           1883           3461           1227           9995
   2           8737           9955           1277           9685           1237           9996
   2           7731           9917            922           1148            962           9996
   2           7201           9934            955           1167            680           9996
   2           8520           9902           1471           1985            955           9998
   2           8932           9959           1564           2833           1418           9956
   2           8731           9948           1010           1922           1143           9997
   2           9894           9994           2589           6001           2069           9998
   2           9204           9991           2594           4962           1580           9996
   2           9809           9970           1220           2806           1271           9997
   2           9195           9994           2093           3653           1622           9997
   2           9202           9995           2326           3540           1596           9996
   2           8674           9917           1550           2257           1150           9996
   2           8891           9909           1214           1893           1017           9997
   2           9219           9988           2263           6100           1583           9997
   2           8497           9927           1301           1767            955           9997
   2           9614           9996           2367           4287           1659           9997
   2           8929           9954           1645           2643           1366           9993
   2           7717           9942           1120           1654           1097           9996
   2           9468           9989           2593           2256           1534           9998
   2           8736           9901           1471           2498           1006           9997
   2           8894           9984           2116           4174           1363           9996
   2           9072           9992           1402           3016           1364           9997
   2           9049           9984           1882           4081           1464           9998
   2           9333           9995           1682           4298           1504           9997
   2           8622           9968           1494           2078           1271           9997
   2           9028           9995           1473           2660           1435           9997
   2           8130           9855            912            670            773           9997
   2           8765           9936           1191           1750           1047           9996
   2           8992           9968           2032           2311           1449           9997
   2           9185           9973           1880           3816           1363           9998
   2           8973           9971           1900           2697           1196           9996
   2           8230           9819            781           1576            830           9967
   2           9394           9998           5233           3992           1643           9998
   2           9183           9976           2016           2645           1520           9995
   2           9771           9998           2445           4725           1927           9998
   2           8933           9964           1166           2141           1169           9998
   2           9161           9971           1857           2957           1380           9998
   2           9050           9972           1624           2183           1246           9995
   2           8528           9884           1079           1601            903           9997
   2           9856           9993           2041           3646           1642           9997
   2           8011           9893            840           1575            928           9997
   2           6676           9761            590            523            483           9992
   2           9088           9991           1655           2257           1335           9997
   2           8967           9949           1492           1748           1194           9997
   2           7839           9917           1201           1798            958           9996
   2           9294          10000           1788           3065           1302           9997
   2           9103           9975           1823           2417           1315           9996
   2           8971           9985           1501           3062           1363           9997
   2           9036           9999           2141           3472           1507           9997
   2           7905           9883            891            422            761           9996
   2           9199           9985           1525           4196           1550           9996
   2           9741           9982           2295           4809           1706           9997
   2           9202           9988           1940           2489           1460           9996
   2           9405           9972           1536           4146           1520           9997
   2           9089           9991           1912           4182           1469           9997
   2           8787           9954           1332           2599           1176           9997
   2           9052           9966           1915           2661           1344           9998
   2           9356           9998           2236           3715           1537           9996
   2           7959           9917           1472           2283           1125           9996
   2           9780           9989           1791           3936           1418           9996
   2           8836           9988           1441           2447           1355           9998
   2           8473           9868           1269           1288            989           9995
   2           9079           9966           1738           2574           1332           9996
   2           9015           9989           1797           3431           1365           9996
   2           9132           9993           1951           4146           1487           9997
   2           8892           9966           1414           2778           1305           9997
   2           8025           9700            688            944            578           9994
   2           8877           9973           1746           3896           1397           9995
   2           9282           9983           1526           2376           1282           9994
   2           9632           9993           2804           8240           1618           9991
