scenario      C1             C2             C3             C4             t1             CA1            t2             CA2      
   2            992           6920           1056           1154            129           9990           4863         35.745
   2            766           5545            658            502         92.269          10000           4394         85.561
   2            701           4274            886            537         70.582          10000           4281         16.468
   2            725           4566            679            305         89.081          10000           4293         86.153
   2            958           5283            915            363            105          10000           4353            120
   2            908           7470            852            629            104          10000           4500         95.542
   2            577           4803            406            332         86.202          10000           4522         87.431
   2           1095           6741            834            558         96.932          10000           4580            137
   2            566           5899            767            813         82.233          10000           4127         57.869
   2            597           4149            614            209         65.925          10000           4227         54.944
   2            927           3766            762            461         75.662          10000           4392         46.073
   2            904           7449            718            892         93.643          10000           4476         68.604
   2            786           4943            785            584            125           9997           4250            123
   2            535           5468            752            442         87.505          10000           4379         68.935
   2            873           4234           1176            684         91.185          10000           4409         65.902
   2           1092           8452           1209            813            114          10000           4612         43.401
   2            985           7348           1035            609         94.866          10000           4580         50.665
   2            342           2849            747            204         63.999          10000           3458         81.776
   2            651           5167            567            542         94.321          10000           4442         88.666
   2            657           3562            616            503         75.022          10000           4144         56.551
   2           1007           6158            726            585         93.447          10000           4431         98.524
   2           1142           4904            921            728         84.926          10000           4565         24.916
   2           1005           6057            968            592         88.870          10000           4783         19.119
   2            900           5853           1224            691         96.193          10000           4783         13.255
   2            985           4601            603            741         83.692          10000           4237         73.501
   2            924           7717           1142            443            111          10000           4376         24.854
   2            782           5264            796            703         97.958          10000           4338         44.786
   2           1110           9620           1275            839            116          10000           4640            113
   2            634           3426            384            384         58.754           9999           3327         38.565
   2            830           8535            788            488         98.895          10000           4539         55.117
   2            940           5122            677            361         96.475          10000           4529         54.680
   2           1134           4719            739            556            103          10000           4507         26.473
   2            270           2520            526            309         57.178           9999           3749         24.824
   2            840           2698            321            393         68.071           9999           4041         63.697
   2            364           3752            571            296         78.853          10000           4165         63.069
   2            696           6021            996            466         95.898          10000           4426         34.491
   2            736           5671            549            406         82.448          10000           4327            100
   2           1082           9364            815            643            106          10000           4623         83.170
   2           1075           4987            727            671         98.776          10000           4474         72.951
   2            711           4074            813            398         74.593          10000           4285         99.941
   2            946           7697            779            653            103          10000           4486         74.884
   2            699           5199           1069           1106            116          10000           4200         65.798
   2            219           1145            404            149         44.021          10000           3819         50.833
   2            844           3509            744            381         80.134          10000           4122         79.457
   2            400           2622            503            305         81.878           9999           3982         67.150
   2            405           3382            646            288         67.743          10000           3800         21.575
   2            713           5022           1250            348            105          10000           4474         57.102
   2            699           7212            671            522         80.904          10000           4358         27.046
   2            707           4596            620            345         65.649          10000           4242         14.989
   2            613           5164            581            635         81.017          10000           4360         60.340
   2            647           6524            576            319         96.695           9999           4293         14.003
   2            397           3657            525            194         74.523           9999           3740         68.205
   2            989           6749           1181            507            117          10000           4614         54.768
   2            479           5061            551            420         73.906          10000           4025         78.603
   2            592           3787            565            358         92.317          10000           4228            100
   2            865           7871            725            462            118          10000           4660         76.612
   2            865           4877            806            605         83.992          10000           4358            117
   2            759           5371            734            520            103          10000           4479         65.512
   2            590           3285            598            295         81.108          10000           4331         51.146
   2            520           7619            491            426         76.490          10000           4236         33.519
   2           1249           4947            946            577            121          10000           4477            123
   2            956           7421            976            917            102          10000           4582         76.180
   2            772           3978            678            557         81.592          10000           4316         76.432
   2            609           2686            580            414         53.454          10000           4111         27.274
   2            552           1915            426            279         62.328           9999           3826         26.329
   2            549           2974            318            395         74.867           9999           4070         76.262
   2           1121           5561            550            714         97.026          10000           4743         29.482
   2            963           7451            687            594            106           9999           4567         59.091
   2            754           8846            420            571         85.018          10000           4179            105
   2            686           3298            558            284         82.435           9999           3991         66.680
   2           1056           6511            874           2373         89.787          10000           4886            113
   2            945           4970            654            439            102           9998           4469         58.346
   2            968           8188            871            843            103          10000           4478         94.653
   2            790           4051            482            451         90.070          10000           4136         55.297
   2            821           6364            807            748            115          10000           4722         42.659
   2            762           4247            541            450         83.915          10000           4363         44.291
   2            738           7030            787            943            103          10000           4611         54.719
   2            890           5980            577            569            101           9999           4148            115
   2            856           7564            640            750            103          10000           4373         74.175
   2            922           7033            658            473         95.123          10000           4443         98.003
   2            873           8246           1116           1356            116          10000           4857         29.415
   2            637           3840            796            537         89.986          10000           4960         25.831
   2            583           3411            497            227         62.397          10000           3862         76.165
   2            277           2633            284            156         39.409          10000           2178         51.585
   2            554           4166            696            344         85.635          10000           4096         69.927
   2            528           5540            705            450         84.364          10000           4300            113
   2            971           6752            738           1081         94.502          10000           4536            113
   2            624           3970            454            406         76.619           9999           3972         78.308
   2            806           3574            378            577         87.683          10000           4088         83.871
   2           2114           5340            867            570         93.079          10000           4187         92.318
   2            777           4302            953            613         93.891          10000           4523         67.747
   2            740           3390            684            402         78.910          10000           4170         86.111
   2            961           8294            655            410         90.265           9999           4337         90.527
   2            716           4954            609            486         95.582           9998           4045         67.020
   2            954           8966           1030            921            107          10000           4474            117
   2           1023           6916            968           2493            100          10000           4554         70.908
   2           1000           6648            602            611         99.730          10000           4408         53.076
   2            573           4737            527            321         72.456          10000           4108         48.881
   2            411           2963            444            351         65.630           9998           3820         19.503
   2            688           4140            493            455         84.300          10000           4502         13.774
   2            817           1808            771            428         72.333          10000           4467         66.006
   2            891           8343            680            715         96.692          10000           4711         50.772
   2            876           6011            544            409         82.681          10000           4395         87.669
   2            989           5872            830            642         76.194          10000           4600         82.210
   2            803           6532            674            453            104          10000           4432         64.251
   2            986           6877           1028            720            108          10000           4686            114
   2            373           3305            484            344         71.883          10000           4070         63.576
   2            791           5431           1188            489            103          10000           4506         67.064
   2           1514           9369           1090           1594            105          10000           4630         32.275
   2            806           6666            428            392         89.118          10000           4286         96.756
   2           1034           6924            750            350         99.056          10000           4410            147
   2            763           7461            728            731            138           9999           4613         28.996
   2            449           3356            414            332         66.587          10000           4224         21.290
   2            915           4935            786            508         99.221          10000           4410         65.411
   2            423           2755            435            201         61.933           9999           3679         39.910
   2            743           4748            911            299            101           9999           4064         82.379
   2            808           9429            953           1087            131          10000           4611         68.421
   2            508           5594            687            735         79.362          10000           3995         17.021
   2            482           7749            637            336         81.872          10000           4108         66.716
   2            669           4140            634            387         85.704           9999           4004         19.942
   2            590           3488            529            233         75.243          10000           4201         29.893
   2            383           3071            540            259         76.609          10000           4080         38.701
   2            792           8049            543            654         83.519          10000           4382            125
   2            250           2703            512            237         57.647           9999           3594         69.889
   2           1103           8834            798            996            102          10000           4530         96.063
   2            236           2892            568            247         76.264           9999           3750         57.079
   2            990           7499            803            488            107          10000           4405         44.067
   2           1235           8702           1019            597            116           9998           4663            176
   2           1991           7219            601            641         87.338          10000           4672         57.838
   2           4066           6696            738            741            100          10000           4595         87.406
   2            488           1386            443            163         49.824          10000           3971         33.642
   2            728           6742            775            422         91.896          10000           4410         95.836
   2            852           4443            646            521         92.439          10000           4419         64.388
   2            403           2656            770            283         75.824          10000           4124            121
   2            684           3158            724            518         75.199          10000           3806         35.026
   2            655           5449            691            477         93.748          10000           4616         66.088
   2            552           5882            559            704         84.058          10000           4179         52.909
   2            851           8909            751            442         97.050          10000           4515         39.536
   2           1370           7894            935            953         98.897          10000           4647            109
   2            742           9005            818            639            102          10000           4406         90.354
   2           1113           9973           1100           1742         84.100          10000           4670         71.678
   2            439           4602            536            288         78.332          10000           3928         63.203
   2            581           2716            366            248         59.885          10000           3790         56.925
   2            777           5525            986            507            101          10000           4442            107
   2            910           6119            912            547         79.979          10000           4876         89.241
   2           1702           8562           1091            828            113          10000           4628            120
   2            508           4605            483            474         90.291           9999           4378            104
   2            566           5579            519            391         73.172          10000           4119         39.458
   2            634           7039            710            609         82.896          10000           4529         56.343
   2            594           3122            598            267         65.012          10000           4287         38.202
   2            442           4091            740            466         75.759          10000           3957         74.804
   2           1284           8512            868            877            107          10000           4746         91.071
   2            747           6853           1148            520         93.268          10000           4382            116
   2            933           8292           1046            818            102          10000           4694            104
   2           1243           7249            903            555            109          10000           4872            115
   2            680           3934            883            266         98.320          10000           4218         24.932
   2            437           3283            415            280         57.758          10000           3933         73.255
   2           1079           8743            784            703         97.167          10000           4724         93.431
   2            196           1720            299            211         48.575          10000           3056         14.018
   2            944           5501            677            502         93.483          10000           4065         59.112
   2            503           4268            496            336         69.880          10000           4100         53.153
   2           1507           9281            943            832            133          10000           4878         57.479
   2            402           3923            805            499         91.527          10000           4457         70.073
   2            726           5211            597            464         94.084          10000           4615         67.470
   2            707           6016            595            632         87.483          10000           4428         49.031
   2            833           4243            691            326         87.421          10000           4316         55.726
   2            682           9197            894            729         83.592          10000           4475            107
   2            850           4311            445            314         91.747          10000           4119         15.934
   2           1915           8123           1124            574            109          10000           4600         79.728
   2            975           5433           1112            300            114          10000           4466         94.630
   2            409           3776            531            288         71.701           9999           4036         86.287
   2            410           4964            478            379         85.806          10000           4294         91.417
   2           1031           7516            759           1212            119          10000           4628         95.728
   2           1089           7222            703            493         99.958           9999           4643         36.239
   2            899           6999            969           1036         87.126          10000           4498         75.789
   2            946           8344            831            469            173          10000           4625         64.990
   2            780           6654            619           1036            105          10000           4635         77.883
   2            565           5307            642            255         75.101          10000           3947         69.338
   2            987           6169            974            592         83.781          10000           4439            125
   2            664           4375            702            381         84.616          10000           4380         57.887
   2            476           3595            410            348         61.772          10000           3975         88.952
   2           1389           8051            824           1212            113          10000           4745         27.009
   2            773           9136            592            482         90.515          10000           4985         23.062
   2            832           5891            835            557         90.642          10000           4434            104
   2            882           8048            885            653            105          10000           4612            105
   2            440           4177            529            320         75.462          10000           4105         85.055
   2           1011           8652           1059            624            119          10000           4513            126
   2            384           4027            467            367         74.718          10000           4181         63.825
   2           1332           8732            960            795            106          10000           4600            109
   2            516           3729            498            367         96.171          10000           4099         72.537
   2            588           5344            366            350         74.286          10000           4281         46.073
   2            636           4302            623            297         98.543          10000           4502         60.003
   2            770           5386            724            563         97.109          10000           4416         35.770
   2            368           2062            616            538         66.677           9999           4315         64.103
   2           1198           7779           1459            634            103          10000           4596         24.154
   2           1321           7198            767            823         98.728          10000           4663         94.863
   2            573           6699            409            360         80.904          10000           4280         83.706
   2           1007           7703            932           1264            117          10000           4670            103
   2           1565           7140            943            800            116          10000           4741         32.842
   2            822           3767            444            388         81.555          10000           4228         52.744
   2           1004           8631            825            844         99.448          10000           4464         78.234
   2            501           7037            653            533         99.891          10000           4065         96.715
   2            471           1319            445            185         56.972           9999           3707         33.981
   2            798           3667            892            476         73.139          10000           4380         74.705
   2            385           1461            378            168         64.071           9999           4120         48.907
   2            892           9001            851            660            102          10000           4516         83.938
   2            305           2337            354            279         75.814           9999           3850         66.164
   2            819           3762            601            241         96.505          10000           4347         75.904
   2            472           2139            581            122         62.452           9999           3400         43.321
   2            652           7696            748            562         98.661          10000           4486         92.543
   2            811           7134            971           1212            115          10000           4620         75.174
   2            488           2856            414            251         79.419          10000           4257         66.297
   2            727           4814            621            422            100          10000           4469         53.053
   2           1014           6270            612            461         99.870          10000           4443            111
   2            790           3317            843            682         94.725           9999           4170         73.539
   2           1088           5137            856            734            100          10000           4592            113
   2           1142           8093            880            992            118          10000           4629         86.631
   2            630           6172            814            532            104          10000           4515         63.920
   2            594           2751            407            319         71.073           9999           4008         77.056
   2            753           3574            539            494         92.592          10000           4445         69.978
   2            933           6817            624            299         95.867          10000           4386         64.379
   2           1004           6596            730           1292         99.295          10000           4564         25.998
   2            827           1687            747            554         72.421          10000           4395         92.538
   2            802           6211            661            593         93.228          10000           4604         85.751
   2            514           4898            523            383         79.846          10000           3902            127
   2            155           1941            275            263         52.406           9999           2758         43.901
   2            407           3626            427            291         66.490          10000           4043            105
   2            853           3178            881            584         84.919          10000           4353         93.705
   2            615           3017            731            363         76.106           9999           3833         53.856
   2            879           4988            847            476            112          10000           4429         91.036
   2            484           1449            547            299         68.382           9999           4092         58.815
   2           1123           7067            735            763            112          10000           4550            119
   2           1516           9922           1412            874            113          10000           4850         99.501
   2            798           6935           1020            552            117          10000           4497            107
   2            760           6908            870            778            108          10000           4565         84.193
   2            940           8630           1348            773            105          10000           4769            116
   2            558           3018            498            243         56.716          10000           3746         96.257
   2            635           4508            591            370         78.847          10000           4247         72.604
   2           1095           5602            731            331         92.851          10000           4818         78.904
   2            562           3368            469            273         57.853          10000           3471         33.714
   2            490           4026            707            378         73.758          10000           4152         58.194
   2            873           8892            927            530            116          10000           4501            148
   2            650           6269            762            647         75.983          10000           4217            102
   2            508           1145            295            182         52.589          10000           3742         71.638
   2            804           6564            563            398            104          10000           4360            125
   2            656           2246            612            404         81.237           9997           4187         52.770
   2            767           4231            584            396         93.780           9999           4044         40.566
   2           1129           4521            546            455         99.285          10000           4496         69.863
   2           1046           6502            857           1869            110          10000           4556         79.980
   2            693           2325            251            379         72.139           9999           4005         13.756
   2            668           4068            579            575         78.120          10000           4387         20.754
   2            893           6659            792            542         84.859          10000           4419         77.051
   2            479           3148            305            335         65.453          10000           4096            104
   2            728           4712            540            419         68.878          10000           4178         63.540
   2            511           2028            584            251         64.131          10000           3700         28.681
   2            765           7360            710            435         90.194           9999           4356            106
   2           4158           7363           1057            768            105          10000           4562         35.619
   2            757           4839            596            378         74.225          10000           4175         68.761
   2            515           4476            546            433         83.248          10000           4303         76.929
   2            901           8514            792            894            101          10000           4409         81.538
   2            745           3726            660            494         71.718          10000           4205         67.458
   2           1308           7612            978           1046            121          10000           4593            103
   2            936           9389            765            597         98.621          10000           4390         86.232
   2            934           5382            636            565            100          10000           4370         49.717
   2           1028           8632           1058           6358            111          10000           4629         85.055
   2            944           6182            829            566            100          10000           4405         29.507
   2            609           5663            770            269         69.493          10000           4282         46.609
   2           1013           9847            847            639         92.757          10000           4378            119
   2            194           3683            932            528         77.720           9999           4097         78.988
   2            663           4181            558            293         73.559          10000           4086         61.701
   2            457           2242            444            311         75.745           9999           4089         91.878
   2            964           6385            956            445            106          10000           4518         69.276
   2            631           6336            631            553         92.658          10000           4451         38.853
   2            509           2952            601            184         72.671           9999           4084         64.120
   2            624           3859            773            360         71.256          10000           4213         62.155
   2            543           2557            439            335         71.902           9999           4193         62.772
   2            713           5028            722            578            106          10000           4551         81.124
   2            687           3831            568            591         64.169          10000           4123         53.158
   2            519           2237            939            427         71.181           9997           3911         87.435
   2            853           7743            736            707         90.378          10000           4546            103
   2            538           3843            451            403         75.395          10000           4024         86.614
   2            621           3982            567            287         62.457          10000           4208         54.545
   2            236           1203            146            105         40.118           9998           2580         44.114
   2            786           5351            770            466         95.267          10000           4234         91.750
   2            519           4042            642            252            108           9999           4254         80.955
   2            859           8823            909            700         91.580          10000           4519         60.976
   2            572           6905           1045            868            118          10000           4498         61.499
   2            828           8360            474            492            105          10000           4497         74.622
   2           1121           7643            815           1013            106          10000           4578         64.884
   2            898           9135            985            895         96.785          10000           4515         82.729
   2            504           3608            466            364         64.759          10000           4280         80.585
   2           1159           9827           1305            805            116          10000           4658         70.859
   2            945           6909            867           1041         96.357          10000           4540            164
   2            732           6041            721            332            124          10000           4352         80.263
   2            626           3817            646            359         94.963          10000           4434         55.523
   2            522           4642            793            489         97.555          10000           4236         96.806
   2            940           2230            461            740         89.914           9999           4424         62.136
   2            838           5111            610            511         75.445          10000           4320            135
   2            446           3576            526            250         54.528          10000           3718         65.076
   2           1722           5699            699            873         92.998          10000           4986         80.755
   2            449           1315            184            221         60.241           9999           3408         22.826
   2            810           6125            829            503         78.065          10000           4375         64.406
   2           1753           8855           1475            762            136          10000           4753         81.640
   2           3530           4619            662            432         82.373          10000           4242         31.965
   2            743           5529            545            249            105           9999           4269         80.734
   2            752           9580            756            372         85.214          10000           4365         56.223
   2            718           4516           1009            511            100           9999           4164         67.163
   2            682           5023            499            425         74.988          10000           4266         73.061
   2            769           4531            919            720         82.257          10000           4589         55.073
   2            743           5836            873            727         77.565          10000           4415         73.207
   2           1047           8580           1054            928            131          10000           4582            104
   2           1508           8885           1219           1485            101          10000           4662         74.486
   2            644           5620            668            534         97.519          10000           4422         55.861
   2           1008           8634            818            595         91.525          10000           4297            132
   2            509           8501            381            480         87.279          10000           4339         53.811
   2            726           9873            797            511            101          10000           4476         55.387
   2           1880           8176            822            840            106          10000           4745         26.237
   2            833           6569            573            582            103           9999           4390         39.946
