scenario      C1             C2             C3             C4             t2             CA2      
   1           5794           9924           2160            294            219           9996
   1           4131           9756           1709            102         86.469           9995
   1           5843           9855           2236            208            209           9996
   1           6191           9927           3036            394            601           9996
   1           5802           9975           3238            240            388           9994
   1           5408           9935           2619            243            197           9997
   1           6527           9955           3156            276            256           9996
   1           5409           9673           2250            157            143           9993
   1           4400           9824           1963            123         92.462           9994
   1           6026           9977           2594            207            253           9996
   1           4493           9844           2128            165            155           9996
   1           6892           9945           3461            578            301           9997
   1           4325           9817           2196            210            119           9995
   1           5830           9959           3094            297            271           9996
   1           5890           9813           2498            194            182           9997
   1           6674           9988           2597            630            402           9998
   1           6128           9909           2811            471            209           9996
   1           6592           9987           2847            288            287           9995
   1           4628           9796           2168         72.839            121           9906
   1           5282           9773           1894            176            149           9996
   1           6208           9936           2847            278            236           9997
   1           5692           9922           2440            151            230           9997
   1           5418           9920           2433            228            211           9998
   1           5593           9900           2668            234            203           9994
   1           8392           9976           3128           6740            471           9990
   1           5158           9866           1924            191            166           9994
   1           5984           9917           3262            239            245           9996
   1           3425           9492           1359            117         59.729           9969
   1           4423           9806           2133            173            145           9995
   1           5555           9891           2829            211            199           9947
   1           6479           9989           3478            354            309           9946
   1           3750           9779           1204         93.238         86.645           9994
   1           6849           9978           2710            410            326           9997
   1           6521           9957           2563            276            314           9997
   1           5770           9868           2124            364            171           9997
   1           5351           9749           2275            114            163           9995
   1           6267           9917           2876            295            249           9996
   1           6166           9873           2636            281            190           9997
   1           2541           9741           1664            153         59.508           9992
   1           6860           9988           4183            619           1192           9994
   1           6166           9994           3217            315            290           9997
   1           6345           9995           3035            408            318           9997
   1           5510           9917           1999            168            170           9992
   1           6201           9945           2930            193            244           9997
   1           7128           9998           2925            356            367           9995
   1           6137           9917           1949            312            257           9993
   1           5832           9885           2423            269            248           9996
   1           6424           9943           3011            255            277           9997
   1           5026           9774           2148            122            126           9995
   1           4794           9825           2090            279            175           9996
   1           5134           9887           2286            197            151           9995
   1           4878           9815           2385            217            114           9995
   1           6162           9947           2371            225            204           9997
   1           4842           9752           2089            117            105           9995
   1           6042           9967           2751            249            245           9998
   1           5836           9836           2948            308            201           9992
   1           4848           9843           2433            210            151           9994
   1           5210           9824           1908            137            108           9995
   1           6923           9984           2545            337            253           9994
   1           5699           9939           2984            837            234           9996
   1           4763           9796           2118            132            119           9996
   1           4228           9828           2652            129            194           9996
   1           6412           9919           3248            386            239           9998
   1           5896           9919           2244            205            160           9996
   1           4164           9418           1177            117         62.235           9995
   1           5180           9914           2456            155            209           9997
   1           6503           9973           3434            386            324           9996
   1           6042           9908           2682            249            164           9997
   1           5754           9847           2479            122            202           9996
   1           6230           9927           2516            337            282           9996
   1           6086           9884           2529            173            169           9996
   1           6864           9910           2344            538            224           9993
   1           5506           9944           2338            310            238           9993
   1           6076           9942           3199            272            242           9993
   1           5629           9896           3024            314            222           9994
   1           3807           9629           1472         72.864         77.894           9994
   1           6092           9954           2857            246            278           9997
   1           6365           9934           2895            368            210           9996
   1           6463           9960           3256            300            293           9992
   1           6260           9993           3010            326            248           9988
   1           6466           9990           3192            345            286           9996
   1           5632           9737           2322            209            176           9997
   1           4862           9849           1692            124            135           9996
   1           6392           9956           2906            382            200           9993
   1           6660           9951           4338            367            361           9998
   1           6902           9957           2870           1315            280           9997
   1           5858           9914           2629            309            246           9997
   1           6526           9984           2737            333            266           9996
   1           6381           9969           2723            796            343           9996
   1           4867           9903           2136            240            177           9996
   1           6552           9952           2798            824            652           9996
   1           6783           9953           3914            306            689           9995
   1           7107           9960           2963            488            395           9986
   1           6653           9986           3126            335            300           9992
   1           4037           9552           1312            142            118           9994
   1           7300           9976           3325            927            821           9998
   1           6697           9997           2482            323            310           9997
   1           5719           9892           2517            190            209           9996
   1           6541           9946           2673            341            222           9988
   1           6202           9992           2690            297            483           9995
   1           6334           9991           3318            278            297           9996
   1           5256           9928           2667            191            204           9997
   1           6190           9958           2690           3515            285           9995
   1           6185           9941           2853            204            206           9997
   1           6318           9919           2943            315            425           9993
   1           6852           9978           3222            498           1667           9997
   1           4223           9885           1892         74.772            119           9996
   1           4851           9851           1957            242            155           9988
   1           5668           9854           2379            228            195           9996
   1           4972           9903           2241            237            146           9996
   1           5806           9976           3013            270            237           9996
   1           5983           9922           2702            217            281           9996
   1           5877           9860           2615            161            189           9994
   1           6480           9969           3876            429            449           9997
   1           7085           9970           3375           1251            311           9997
   1           5453           9843           2379         96.142            162           9946
   1           7510           9959           3031            290            372           9998
   1           6146           9976           2151            241            592           9984
   1           5725           9958           2502            259            223           9995
   1           6216           9930           2424            377            334           9969
   1           6551           9963           3309            580            449           9997
   1           4677           9805           1801            142            101           9995
   1           5470           9869           2629            208            157           9997
   1           5240           9906           2527            200            177           9996
   1           5636           9912           2763            289            233           9996
   1           6436           9929           3364            462            290           9986
   1           6447           9962           2285            302            240           9994
   1           5740           9914           2481            288            172           9997
   1           9312           9986           2726            273            338           9996
   1           7235           9983           2970           1701            648           9997
   1           5707           9992           3243            267            231           9997
   1           5648           9954           1939            273            214           9996
   1           5355           9855           1967         98.279            137           9993
   1           6499           9962           2990            283            284           9997
   1           6669           9953           3112            332            274           9996
   1           5670           9913           2240            236            223           9997
   1           6816           9978           2982            380            428           9992
   1           5201           9772           2012         81.556            132           9996
   1           6493           9977           2376            383            228           9995
   1           6299           9971           2332            302            267           9995
   1           6868           9909           3061            249            266           9994
   1           6625           9971           2864            324            279           9995
   1           6404           9977           3040            422            255           9997
   1           5543           9904           2892            240            219           9991
   1           6153           9938           3019            350            292           9996
   1           4555           9840           1927            187            106           9996
   1           5308           9857           2259            107            159           9997
   1           3859           9587           1641         75.471         74.911           9996
   1           3928           9435           1302         98.661            101           9995
   1           5564           9885           2555            248            137           9996
   1           5686           9749           2400            206            171           9995
   1           7082           9997           2904            604            526           9995
   1           6179           9889           2744            253            209           9996
   1           5773           9832           2498            145            179           9996
   1           4910           9880           2551            200            153           9995
   1           6714           9946           2564            475            246           9997
   1           6913           9969           2735            855            288           9996
   1           5782           9918           2491            235            190           9996
   1           5318           9889           2321            237            185           9997
   1           6180           9906           2854            243            214           9997
   1           6393           9965           3197            743            247           9997
   1           5965           9920           2489            214            249           9996
   1           6364           9915           2866            626            197           9997
   1           4084           9759           1694         86.604            141           9994
   1           6613           9989           3868            364           1375           9997
   1           6627           9965           2990            334            310           9793
   1           6447           9970           2507            388            251           9996
   1           6091           9838           2632            258            160           9996
   1           5251           9897           2703            247            170           9991
   1           6645           9946           3285            307            231           9996
   1           4509           9673           1867            132         79.423           9991
   1           6159           9943           2850            323            321           9997
   1           8119           9979           3346           2833            576           9996
   1           5653           9930           2867            269            220           9995
   1           5704           9868           2969            307            208           9997
   1           5887           9908           2248            257            182           9994
   1           6156           9950           2799            250            309           9995
   1           6294           9942           2293            280            223           9997
   1           6048           9954           2968            283            257           9996
   1           6962           9977           2980           1884           1324           9997
   1           4855           9401           1428            148            157           9992
   1           5302           9859           2378            163            173           9998
   1           5171           9864           2091         47.716            153           9993
   1           6583           9882           2502            382            257           9993
   1           4147           9806           1702            168            129           9997
   1           6200           9932           3655            449            319           9996
   1           3574           9748           1709         51.198            125           9994
   1           5668           9903           2157            249            166           9995
   1           9240           9982           3213            381            375           9944
   1           5133           9861           2191            209            185           9997
   1           5618           9982           2793            264            233           9997
   1           5532           9913           2292            234            181           9996
   1           8010           9980           3889           2779           2922           9997
   1           6011           9936           2431            298            261           9996
   1           4798           9824           2262            250            226           9994
   1           6037           9933           2146            204            226           9997
   1           6287           9926           2815            347            271           9998
   1           5245           9910           2303            264            219           9997
   1           5529           9960           2621            265            406           9996
   1           6312           9991           3433            350            364           9996
   1           6556           9985           1684            457           1924           9883
   1           5880           9955           2394            275            281           9996
   1           4619           9869           2415            181            228           9994
   1           7963           9992           2646            314            339           9997
   1           6371           9987           2789            293            358           9996
   1           5382           9808           2063            180            138           9996
   1           5646           9897           2284            238            154           9996
   1           5212           9772           1443            168            130           9990
   1           5987           9922           4799            221            258           9997
   1           6258           9972           3325           1889            331           9996
   1           6205           9926           2172            189            216           9997
   1           8966           9982           2495            519            430           9998
   1           6241           9962           3122            342            326           9996
   1           5720           9911           2503            303            243           9985
   1           6633           9938           2890            364            243           9996
   1           5434           9898           1879            181            161           9997
   1           5867           9909           2090            217            218           9995
   1           5725           9909           2108            183            173           9992
   1           5938           9966           2903            247            266           9997
   1           5597           9897           2103            160            156           9994
   1           6426           9956           3570            527            334           9995
   1           5870           9895           2404            113            173           9997
   1           5996           9827           2808            242            204           9997
   1           6449           9925           2708           1347            297           9994
   1           5841           9887           2342            747            192           9997
   1           4539           9796           1969            212            142           9995
   1           5820           9866           2341            221            165           9995
   1           6507           9939           3574            284            236           9969
   1           4974           9749           1500            156            156           9996
   1           5457           9821           2151            273            230           9973
   1           5740           9972           2744            299            250           9979
   1           2913           9739           1466         84.990         75.198           9979
   1           5445           9889           2496            139            226           9996
   1           6282           9964           3178            355            420           9996
   1           6565           9979           3384            360            501           9997
   1           6630           9946           2828           1882            285           9997
   1           5740           9947           2800            228            221           9987
   1           4573           9499           1928            121            119           9930
   1           4929           9909           3006            233            228           9996
   1           5741           9907           2026            206            227           9996
   1           4924           9805           1213            108            113           9995
   1           5502           9897           2465            153            217           9996
   1           5722           9930           1997            216            219           9997
   1           5256           9898           2183            223            203           9990
   1           3486           9696           1339         71.466         91.558           9993
   1           7432           9960           2718            413            284           9997
   1           5958           9870           2628            286            223           9993
   1           5701           9825           2118            179            195           9994
   1           4389           9854           2156            168            128           9996
   1           6811           9962           3580           2571            302           9996
   1           6379           9990           2160            349            335           9997
   1           5735           9926           2352            207            181           9996
   1           7080           9980           4259            386            414           9998
   1           6498           9910           2788            420            234           9995
   1           6348           9980           2502            225            318           9997
   1           5572           9922           2308            214            197           9997
   1           4493           9746           1649            105            161           9994
   1           6901           9996           3009           2123            394           9994
   1           5897           9943           2737            270            218           9995
   1           5327           9878           2243            279            149           9977
   1           5614           9961           2755            241            213           9980
   1           5014           9892           2225            191            143           9996
   1           6301           9959           3336            328            338           9995
   1           7338           9993           3015            545            316           9997
   1           6322           9979           3075            224            368           9996
   1           6314           9959           2832            329            270           9997
   1           4973           9895           2338            227            127           9996
   1           5990           9940           2778            295            477           9983
   1           7379           9962           3171            627            587           9995
   1           4686           9841           1931            101            103           9997
   1           5898           9918           2400            289            188           9996
   1           6115           9971           2229            238            227           9996
   1           6359           9992           3613            714            303           9996
   1           4181           9668           1879         69.032            151           9993
   1           5228           9814           1727            201            127           9995
   1           7491           9976           4957           3096            873           9998
   1           8072           9971           3205            394            805           9996
   1           6535           9986           4627           1293            339           9996
   1           6645           9969           2780            313            271           9997
   1           6571           9915           2184            260            212           9995
   1           6568           9932           2675            488            230           9996
   1           8459           9972           3730            486            434           9997
   1           6184           9881           2629            367            255           9996
   1           5485           9916           2722            289            189           9994
   1           5885           9886           2359            248            223           9994
   1           7110           9994           3652            848            321           9998
   1           8892           9998           7722            780           1150           9997
   1           5758           9906           2197            248            253           9996
   1           6258           9943           2565            222            243           9997
   1           7068           9965           3429           1205            308           9995
   1           5282           9835           2249            232            182           9996
   1           5219           9846           1853            184            148           9995
   1           3992           9765           1904            215            144           9995
   1           5678           9938           2710            338            220           9994
   1           6109           9961           2538            224            262           9997
   1           6669           9986           2693            316            262           9998
   1           5213           9786           1950            208            183           9997
   1           6113           9989           3261            237            285           9994
   1           6358           9913           3002           1636            228           9997
   1           6138           9969           2913            277            302           9997
   1           5682           9864           2133            328            145           9994
   1           6207           9942           1938            202            224           9997
   1           7734           9968           3512            750            358           9996
   1           5596           9876           3032            149            197           9994
   1           4620           9742           1799            119            100           9995
   1           4914           9859           2249            125         94.070           9994
   1           5579           9914           2132            325            198           9996
   1           5826           9986           3021            497            303           9994
   1           5647           9806           2002            166            202           9994
   1           6863           9974           3265            268            320           9994
   1           7727           9933           2664            377            297           9997
   1           6624           9913           2620            373            284           9996
   1           6453           9991           2539            352            247           9996
   1           6119           9906           2136           1144            227           9995
   1           6484           9974           2467            276            301           9996
   1           4466           9793           2135            323            190           9994
   1           5789           9810           1990            302            132           9997
   1           4885           9798           1599            195            154           9983
   1           5394           9904           2698            257            262           9996
   1           6062           9926           3100            368            306           9998
   1           5250           9802           1759            239            151           9994
   1           6271           9917           2622            359            175           9995
   1           5585           9848           2839            240            240           9995
   1           6943           9980           2952            242            275           9995
   1           6844           9967           3387            671            438           9997
   1           5296           9924           2725            219            400           9994
   1           5885           9804           3271            202            159           9995
   1           7703           9981           3624            446            666           9996
   1           6439           9962           2865            222            249           9997
   1           6455           9955           2907            294            292           9997
   1           6485           9996           2141            262            266           9996
   1           5749           9945           2306            503            214           9996
   1           6774           9988           2916            892            337           9993
   1           6346           9921           1989            412            207           9997
   1           7194           9973           3443           1212            359           9998
   1           6190           9977           2525            291            211           9997
   1           5586           9853           2305            175            132           9997
   1           5081           9883           2190            207            194           9989
   1           9165           9994           3653            559            503           9995
   1           7095           9986           3351            480            310           9997
   1           6512           9955           2530            309            287           9997
   1           6469           9949           2790            382            334           9997
   1           6400           9981           2887            269            298           9997
   1           8107           9949           2452            848            262           9997
   1           8061           9985           3936            853            429           9996
   1           6825           9968           2571            834           2207           9995
   1           6054           9956           2453            236            208           9997
   1           4475           9898           2278            152            201           9997
   1           5207           9852           2589            210            205           9996
   1           5619           9898           2340            196            190           9996
   1           4623           9828           2061            101            173           9995
   1           5399           9923           2340            135            184           9971
   1           8368           9952           2503            302            323           9997
   1           6973           9960           3027            338            245           9997
   1           6033           9894           2590            247            200           9997
   1           6394           9966           3300            398            295           9997
   1           5331           9889           2525            158            107           9976
   1           5021           9854           2610            178            204           9995
   1           4660           9907           2367            200            176           9996
   1           5169           9939           2879            263            250           9994
   1           5251           9799           1827            190            135           9995
   1           6043           9932           2692            275            285           9994
   1           6294           9952           3353            226            309           9996
   1           4445           9544           1547            107         87.050           9993
   1           6843           9979           3142            480            308           9997
   1           6523           9961           2917            830            297           9997
   1           6360           9897           2944            329            343           9996
   1           6080           9913           2589            169            215           9996
   1           6507           9918           2977            311            726           9994
   1           6116           9936           2287           2234            239           9991
   1           6184           9974           2458            212            249           9994
   1           5917           9906           2700            237            275           9995
   1           3707           9837           2042            203            201           9995
   1           5817           9917           2307            252            263           9997
   1           5309           9878           2716            231            183           9996
   1           5749           9945           3353            410            254           9994
   1           4970           9789           1973            175            167           9970
   1           5165           9850           2152            110            124           9996
   1           5160           9703           2239            134            145           9993
   1           6991           9958           2558            713            307           9996
   1           4890           9755           1840         86.117            101           9992
   1           6784           9958           3090            399           1379           9995
   1           6491           9969           2616            257            240           9997
   1           6473           9984           5219            267            305           9996
   1           5811           9892           2312            174            144           9987
   1           6660           9979           3981           8386           1347           9996
   1           8862           9985           2832            734            318           9998
   1           4801           9898           2332            193            229           9993
   1           4348           9835           1956            167            180           9997
   1           5494           9975           2409            354            259           9991
   1           5802           9938           2981            233            229           9996
   1           5945           9952           2976            372            264           9997
   1           5579           9824           2296            185            124           9994
   1           5482           9928           2105            248           1198           9995
   1           6699           9979           2750            399            262           9998
   1           6290           9996           3133            292            304           9996
   1           6056           9971           3176            359            343           9996
   1           6855           9985           2976           1552            481           9996
   1           6329           9962           3708            404           1116           9995
   1           6285           9941           3295            303            293           9997
   1           6430           9970           3530            468            369           9998
   1           6097           9915           3036            222            242           9994
   1           5560           9787           2214            303            204           9997
   1           6694           9986           2570            645            274           9996
   1           4627           9857           2106            261            183           9996
   1           4556           9788           1888            129            175           9995
   1           5505           9914           2468            104            152           9386
   1           5870           9895           2641            299            174           9963
   1           4061           9883           3036            249            205           9996
   1           5758           9921           2836            436            262           9995
   1           6614           9934           2871           1355            274           9996
