Shell_Width_2	Population
16.56	PPNP
17.6	PPNP
18.23	PPNP
18.89	PPNP
17.72	PPNP
16.6	PPNP
15.99	PPNP
17.93	PPNP
19.32	FPPI
19.26	FPPI
19.88	FPPI
20.06	FPPI
19.5	FPPI
21.25	FPPI
20.31	FPPI
17.88	FPPI
18.88	FPPI
19.52	FPPI
18.6	FPPI
18.31	CRWA
17.38	CRWA
17.56	CRWA
18.01	CRWA
16.6	CRWA
17.7	CRWA
17.13	CRWA
16.38	CRWA
17.04	CRWA
17.43	CRWA
17.51	CRWA
17.96	CRWA
16.77	CRWA
16.96	CRWA
16.69	CRWA
17.27	CRWA
17.65	CRWA
18.54	CRWA
16.56	CRWA
16.8	CRWA
17.36	CRWA
16.54	CRWA
16.05	CRWA
15.64	CRWA
17.55	CRWA
20.49	PCRA
19.84	PCRA
18.85	PCRA
19.25	PCRA
19.66	PCRA
17.95	PCRA
18.09	PCRA
17.14	PCRA
17.68	PCRA
17.53	PCRA
17.95	PCRA
17.38	PCRA
20.05	PCRA
18.54	PCRA
19.09	PCRA
17.63	PCRA
16.68	PCRA
17.45	PCRA
17.65	DHFA
19.2	DHFA
18.75	DHFA
18.63	DHFA
18.66	DHFA
19.17	DHFA
20.46	DHFA
17.37	DHFA
18.2	DHFA
18.5	DHFA
18.74	DHFA
20.78	DHFA
20.45	DHFA
19.65	DHFA
19.9	DHFA
18.01	DHFA
18.6	DHFA
17.61	DHFA
18.36	DHFA
19.38	DHFA
19.38	DHFA
18.07	DHFA
17.77	DHFA
16.49	DHFA
18.16	DHFA
