Population	Gis_02SubSamp	Gis_04SubSamp	Gis_06SubSamp	Gis_08SubSamp	Gis_10SubSamp	Gis_12SubSamp	Gis_14SubSamp	Gis_16SubSamp	Gis_18SubSamp	Gis_20SubSamp	Gis_22SubSamp
MPO_Rep062	0.3	0.166	0.125	0.101	0.124	0.132	0.112	0.117	0.138	0.133	0.123
MPO_Rep063	0.118	0.048	0.101	0.097	0.121	0.125	0.136	0.124	0.148	0.111	0.11
MPO_Rep064	0.088	0.166	0.102	0.113	0.093	0.137	0.083	0.14	0.107	0.143	0.118
MPO_Rep065	0.134	0.26	0.18	0.127	0.118	0.118	0.108	0.101	0.104	0.126	0.123
MPO_Rep066	0.087	0.166	0.139	0.097	0.134	0.089	0.112	0.105	0.109	0.136	0.122
MPO_Rep067	0.014	0.061	0.151	0.111	0.151	0.136	0.155	0.114	0.136	0.12	0.12
MPO_Rep068	0.151	0.076	0.109	0.106	0.161	0.11	0.136	0.109	0.13	0.13	0.124
MPO_Rep069	0.224	0.125	0.093	0.123	0.116	0.133	0.135	0.127	0.113	0.097	0.116
MPO_Rep070	0.019	0.129	0.197	0.106	0.172	0.134	0.117	0.098	0.125	0.118	0.118
MPO_Rep071	0.162	0.231	0.147	0.119	0.115	0.138	0.095	0.118	0.125	0.128	0.123
MPO_Rep072	0.253	0.177	0.069	0.163	0.167	0.113	0.124	0.129	0.124	0.12	0.134
MPO_Rep073	0.117	0.093	0.153	0.173	0.12	0.173	0.107	0.101	0.131	0.103	0.127
MPO_Rep074	0.198	0.095	0.101	0.074	0.093	0.103	0.146	0.134	0.13	0.119	0.124
MPO_Rep075	0.154	0.106	0.108	0.103	0.128	0.155	0.109	0.157	0.123	0.122	0.119
MPO_Rep076	0.163	0.168	0.129	0.115	0.096	0.108	0.138	0.114	0.117	0.119	0.128
MPO_Rep077	0.134	0.133	0.108	0.117	0.137	0.141	0.11	0.103	0.123	0.121	0.107
MPO_Rep078	0.114	0.107	0.095	0.154	0.11	0.117	0.14	0.122	0.16	0.126	0.119
MPO_Rep079	0.109	0.094	0.101	0.109	0.143	0.17	0.124	0.131	0.119	0.119	0.124
MPO_Rep080	0.109	0.186	0.097	0.145	0.135	0.109	0.126	0.158	0.112	0.135	0.127
MPO_Rep081	0.058	0.086	0.098	0.122	0.094	0.084	0.092	0.139	0.125	0.126	0.112
MPO_Rep082	0.053	0.099	0.207	0.118	0.07	0.129	0.121	0.114	0.116	0.12	0.119
MPO_Rep083	0.058	0.07	0.164	0.102	0.113	0.134	0.082	0.104	0.097	0.133	0.109
MPO_Rep084	0.111	0.127	0.086	0.072	0.12	0.13	0.135	0.154	0.123	0.115	0.114
MPO_Rep085	0.029	0.19	0.112	0.094	0.095	0.096	0.134	0.109	0.131	0.141	0.131
MPO_Rep086	0.147	0.157	0.208	0.11	0.141	0.088	0.123	0.097	0.131	0.119	0.119
MPO_Rep087	0.207	0.153	0.182	0.124	0.13	0.145	0.097	0.107	0.137	0.119	0.116
MPO_Rep088	0.328	0.06	0.129	0.094	0.148	0.134	0.108	0.136	0.136	0.101	0.129
MPO_Rep089	-0.05	0.047	0.112	0.096	0.146	0.109	0.13	0.08	0.11	0.127	0.113
MPO_Rep090	0.082	0.126	0.032	0.215	0.105	0.111	0.126	0.122	0.118	0.114	0.112
MPO_Rep091	0.206	0.059	0.106	0.085	0.102	0.111	0.13	0.122	0.115	0.107	0.123
MPO_Rep092	0.137	0.093	0.119	0.097	0.129	0.097	0.132	0.14	0.123	0.1	0.119
MPO_Rep093	0.123	0.108	0.085	0.1	0.132	0.112	0.142	0.117	0.105	0.097	0.127
MPO_Rep094	0.091	0.05	0.101	0.136	0.123	0.125	0.124	0.133	0.149	0.108	0.124
MPO_Rep095	0.028	0.169	0.072	0.145	0.15	0.086	0.132	0.129	0.13	0.135	0.125
MPO_Rep096	0.233	0.12	0.07	0.155	0.083	0.131	0.127	0.122	0.132	0.137	0.123
MPO_Rep097	0.222	0.077	0.142	0.148	0.108	0.108	0.105	0.117	0.124	0.111	0.113
MPO_Rep098	0.181	0.095	0.04	0.131	0.105	0.136	0.152	0.119	0.124	0.124	0.114
MPO_Rep099	0.182	0.163	0.164	0.124	0.146	0.112	0.115	0.108	0.12	0.118	0.126
MPO_Rep100	0.147	0.048	0.178	0.139	0.146	0.137	0.14	0.106	0.108	0.126	0.129
