Population	Gis_02SubSamp	Gis_04SubSamp	Gis_06SubSamp	Gis_08SubSamp	Gis_10SubSamp	Gis_12SubSamp	Gis_14SubSamp	Gis_16SubSamp	Gis_18SubSamp	Gis_20SubSamp	Gis_22SubSamp
PTP_Rep089	0.111	0.151	0.091	0.112	0.11	0.127	0.106	0.082	0.103	0.085	0.119
PTP_Rep090	0.133	0.098	0.105	0.089	0.067	0.119	0.102	0.114	0.12	0.102	0.096
PTP_Rep091	0.219	0.089	0.114	0.118	0.081	0.072	0.108	0.106	0.112	0.095	0.104
PTP_Rep092	0.048	0.109	0.087	0.16	0.14	0.141	0.096	0.082	0.139	0.119	0.115
PTP_Rep093	0.022	0.152	0.093	0.097	0.119	0.085	0.133	0.123	0.119	0.127	0.119
PTP_Rep094	-0.004	0.202	0.136	0.074	0.107	0.133	0.135	0.077	0.131	0.121	0.109
PTP_Rep095	0.182	0.015	0.108	0.146	0.115	0.11	0.122	0.114	0.117	0.103	0.097
PTP_Rep096	0.18	0.198	0.189	0.145	0.141	0.15	0.087	0.083	0.091	0.102	0.096
PTP_Rep097	0.076	0.031	0.163	0.074	0.117	0.094	0.1	0.107	0.107	0.094	0.11
PTP_Rep098	0.148	0.195	0.122	0.135	0.113	0.128	0.109	0.1	0.109	0.114	0.105
PTP_Rep099	0.088	0.272	0.131	0.178	0.104	0.144	0.107	0.071	0.131	0.125	0.119
PTP_Rep100	0.313	0.133	0.053	0.097	0.114	0.102	0.087	0.15	0.122	0.113	0.115
