Population	Hs_02SubSamp	Hs_04SubSamp	Hs_06SubSamp	Hs_08SubSamp	Hs_10SubSamp	Hs_12SubSamp	Hs_14SubSamp	Hs_16SubSamp	Hs_18SubSamp	Hs_20SubSamp	Hs_22SubSamp
PTP_Rep047	0.064	0.06	0.059	0.055	0.058	0.057	0.057	0.056	0.055	0.058	0.057
PTP_Rep048	0.05	0.068	0.047	0.057	0.055	0.056	0.055	0.055	0.055	0.056	0.057
PTP_Rep049	0.059	0.064	0.056	0.053	0.052	0.054	0.059	0.055	0.056	0.058	0.056
PTP_Rep050	0.045	0.057	0.052	0.064	0.054	0.06	0.058	0.058	0.056	0.056	0.055
PTP_Rep051	0.05	0.063	0.059	0.055	0.061	0.055	0.058	0.055	0.056	0.055	0.055
PTP_Rep052	0.045	0.059	0.059	0.063	0.056	0.057	0.055	0.058	0.056	0.056	0.056
PTP_Rep053	0.053	0.054	0.064	0.056	0.056	0.057	0.056	0.058	0.055	0.057	0.056
PTP_Rep054	0.058	0.056	0.05	0.06	0.054	0.058	0.055	0.055	0.056	0.055	0.056
PTP_Rep055	0.055	0.056	0.053	0.056	0.056	0.056	0.056	0.054	0.058	0.056	0.055
PTP_Rep056	0.052	0.055	0.057	0.055	0.054	0.056	0.054	0.056	0.054	0.056	0.056
PTP_Rep057	0.057	0.051	0.054	0.059	0.057	0.054	0.055	0.056	0.055	0.055	0.057
PTP_Rep058	0.046	0.061	0.059	0.059	0.058	0.053	0.057	0.057	0.054	0.056	0.056
PTP_Rep059	0.057	0.058	0.052	0.056	0.057	0.056	0.058	0.056	0.056	0.054	0.056
PTP_Rep060	0.062	0.059	0.051	0.051	0.059	0.057	0.058	0.057	0.056	0.055	0.056
PTP_Rep061	0.047	0.062	0.054	0.052	0.057	0.058	0.055	0.056	0.055	0.056	0.057
PTP_Rep062	0.06	0.054	0.058	0.054	0.057	0.055	0.057	0.057	0.055	0.058	0.055
PTP_Rep063	0.069	0.063	0.057	0.054	0.054	0.058	0.057	0.057	0.057	0.056	0.056
PTP_Rep064	0.044	0.058	0.06	0.057	0.056	0.055	0.056	0.055	0.058	0.056	0.056
PTP_Rep065	0.05	0.044	0.06	0.06	0.056	0.054	0.056	0.056	0.057	0.056	0.056
PTP_Rep066	0.057	0.059	0.058	0.06	0.061	0.059	0.054	0.058	0.056	0.057	0.056
PTP_Rep067	0.057	0.056	0.056	0.058	0.058	0.057	0.055	0.057	0.055	0.056	0.057
PTP_Rep068	0.05	0.054	0.053	0.056	0.057	0.054	0.055	0.055	0.057	0.056	0.056
PTP_Rep069	0.055	0.045	0.057	0.054	0.054	0.057	0.055	0.058	0.057	0.056	0.057
PTP_Rep070	0.058	0.055	0.06	0.057	0.056	0.056	0.055	0.055	0.057	0.058	0.056
PTP_Rep071	0.05	0.059	0.058	0.054	0.058	0.058	0.057	0.058	0.057	0.057	0.055
PTP_Rep072	0.053	0.059	0.051	0.055	0.057	0.057	0.056	0.059	0.055	0.058	0.057
PTP_Rep073	0.06	0.056	0.06	0.05	0.057	0.054	0.059	0.055	0.057	0.056	0.056
PTP_Rep074	0.045	0.066	0.063	0.053	0.054	0.058	0.057	0.057	0.058	0.056	0.056
PTP_Rep075	0.05	0.05	0.053	0.051	0.055	0.055	0.058	0.055	0.057	0.055	0.056
PTP_Rep076	0.053	0.06	0.051	0.055	0.055	0.057	0.057	0.057	0.058	0.056	0.057
PTP_Rep077	0.062	0.055	0.059	0.056	0.056	0.057	0.054	0.056	0.057	0.055	0.057
PTP_Rep078	0.058	0.054	0.06	0.056	0.057	0.06	0.056	0.055	0.057	0.056	0.055
PTP_Rep079	0.067	0.054	0.052	0.058	0.056	0.056	0.055	0.058	0.057	0.056	0.056
PTP_Rep080	0.042	0.052	0.061	0.06	0.052	0.052	0.057	0.055	0.058	0.058	0.056
PTP_Rep081	0.055	0.051	0.052	0.056	0.057	0.057	0.054	0.055	0.057	0.057	0.057
PTP_Rep082	0.049	0.055	0.058	0.054	0.058	0.056	0.056	0.057	0.056	0.055	0.056
PTP_Rep083	0.068	0.056	0.063	0.058	0.054	0.055	0.052	0.056	0.056	0.056	0.057
PTP_Rep084	0.05	0.055	0.052	0.06	0.056	0.058	0.057	0.058	0.056	0.055	0.057
PTP_Rep085	0.056	0.06	0.062	0.062	0.053	0.056	0.057	0.056	0.057	0.056	0.057
PTP_Rep086	0.051	0.066	0.061	0.052	0.055	0.058	0.055	0.056	0.055	0.055	0.056
PTP_Rep087	0.049	0.056	0.052	0.063	0.058	0.055	0.056	0.055	0.056	0.056	0.055
PTP_Rep088	0.044	0.058	0.064	0.055	0.06	0.054	0.055	0.057	0.057	0.056	0.057
PTP_Rep089	0.055	0.05	0.063	0.06	0.057	0.054	0.056	0.057	0.056	0.056	0.057
PTP_Rep090	0.053	0.059	0.06	0.056	0.061	0.054	0.057	0.056	0.056	0.058	0.057
PTP_Rep091	0.051	0.053	0.059	0.059	0.056	0.06	0.055	0.056	0.057	0.056	0.057
PTP_Rep092	0.055	0.056	0.059	0.057	0.058	0.054	0.058	0.057	0.056	0.055	0.056
PTP_Rep093	0.069	0.053	0.056	0.052	0.056	0.056	0.056	0.056	0.054	0.056	0.056
PTP_Rep094	0.044	0.057	0.055	0.061	0.056	0.054	0.054	0.059	0.054	0.055	0.057
PTP_Rep095	0.057	0.065	0.052	0.057	0.055	0.056	0.055	0.055	0.056	0.056	0.056
PTP_Rep096	0.065	0.048	0.055	0.053	0.061	0.054	0.057	0.057	0.056	0.056	0.057
PTP_Rep097	0.05	0.063	0.052	0.06	0.057	0.056	0.058	0.058	0.059	0.057	0.056
PTP_Rep098	0.045	0.055	0.052	0.054	0.054	0.057	0.056	0.057	0.054	0.056	0.056
PTP_Rep099	0.047	0.054	0.056	0.055	0.059	0.054	0.061	0.057	0.054	0.057	0.056
PTP_Rep100	0.055	0.057	0.053	0.058	0.055	0.054	0.059	0.056	0.056	0.056	0.057
