Population	Gis_02SubSamp	Gis_04SubSamp	Gis_06SubSamp	Gis_08SubSamp	Gis_10SubSamp	Gis_12SubSamp	Gis_14SubSamp	Gis_16SubSamp	Gis_18SubSamp	Gis_20SubSamp	Gis_22SubSamp
STT_Rep021	0.146	0.08	0.099	0.051	0.051	0.078	0.082	0.076	0.071	0.084	0.091
STT_Rep022	0.068	0.025	0.064	0.07	0.08	0.097	0.092	0.082	0.099	0.098	0.076
STT_Rep023	0.114	0.051	0.082	0.07	0.062	0.062	0.087	0.049	0.094	0.069	0.082
STT_Rep024	0.092	0.091	0.096	0.085	0.108	0.086	0.096	0.058	0.075	0.081	0.09
STT_Rep025	0.201	0.047	0.05	0.052	0.105	0.049	0.078	0.08	0.061	0.074	0.077
STT_Rep026	0.025	0.112	0.084	0.068	0.074	0.087	0.079	0.072	0.081	0.082	0.08
STT_Rep027	0.177	0.152	0.033	0.092	0.076	0.052	0.069	0.068	0.084	0.08	0.084
STT_Rep028	0.132	0.065	0.122	0.106	0.11	0.089	0.058	0.07	0.083	0.07	0.079
STT_Rep029	0.041	0.16	0.084	0.117	0.078	0.128	0.065	0.081	0.095	0.089	0.079
STT_Rep030	0.03	0.109	0.044	0.018	0.094	0.058	0.1	0.065	0.073	0.063	0.083
STT_Rep031	0.1	0.123	0.08	0.057	0.064	0.066	0.071	0.086	0.091	0.082	0.08
STT_Rep032	0.091	0.175	0.098	0.082	0.074	0.089	0.075	0.073	0.074	0.069	0.078
STT_Rep033	0.064	0.091	0.088	0.144	0.071	0.106	0.055	0.087	0.093	0.088	0.078
STT_Rep034	-0.05	0.144	0.085	0.049	0.07	0.054	0.074	0.099	0.083	0.079	0.079
STT_Rep035	0.023	0.077	0.09	0.101	0.075	0.062	0.087	0.082	0.085	0.087	0.079
STT_Rep036	0.097	0.09	0.123	0.129	0.093	0.075	0.062	0.068	0.08	0.081	0.08
STT_Rep037	0.078	0.102	0.123	0.108	0.112	0.1	0.078	0.061	0.08	0.083	0.087
STT_Rep038	0.042	0.094	0.055	0.101	0.079	0.09	0.05	0.118	0.078	0.094	0.077
STT_Rep039	0.153	0.12	0.086	0.093	0.056	0.094	0.081	0.074	0.073	0.089	0.076
STT_Rep040	0.028	0.031	0.098	0.097	0.108	0.086	0.096	0.085	0.074	0.078	0.076
STT_Rep041	0.146	0.076	0.08	0.086	0.106	0.077	0.101	0.08	0.072	0.099	0.083
STT_Rep042	0.056	0.067	0.056	0.04	0.049	0.103	0.081	0.095	0.094	0.082	0.08
STT_Rep043	0.085	0.108	0.076	0.065	0.095	0.071	0.104	0.067	0.095	0.084	0.084
STT_Rep044	0.059	0.031	0.071	0.051	0.059	0.094	0.057	0.097	0.088	0.082	0.074
STT_Rep045	0.122	0.183	0.099	0.1	0.057	0.071	0.099	0.078	0.082	0.082	0.075
STT_Rep046	0.069	0.09	0.082	0.072	0.103	0.08	0.097	0.098	0.098	0.091	0.083
STT_Rep047	0.041	0.132	0.125	0.067	0.092	0.11	0.105	0.087	0.064	0.083	0.081
STT_Rep048	0.041	0.075	0.086	0.106	0.102	0.087	0.079	0.106	0.09	0.104	0.086
STT_Rep049	0.114	0.166	0.031	0.057	0.094	0.076	0.1	0.082	0.073	0.087	0.079
STT_Rep050	0.125	0.087	0.084	0.057	0.142	0.115	0.096	0.088	0.076	0.099	0.089
STT_Rep051	-0.005	0.147	0.058	0.038	0.088	0.087	0.049	0.088	0.078	0.079	0.089
STT_Rep052	0.147	0.063	0.098	0.096	0.104	0.065	0.055	0.093	0.1	0.082	0.074
STT_Rep053	-0.002	0.086	0.021	0.071	0.099	0.073	0.087	0.072	0.089	0.086	0.079
STT_Rep054	0.046	0.012	0.071	0.092	0.048	0.076	0.076	0.088	0.072	0.082	0.085
STT_Rep055	0.127	0.177	0.113	0.059	0.099	0.063	0.074	0.072	0.07	0.081	0.083
STT_Rep056	0.034	0.065	0.056	0.084	0.062	0.057	0.076	0.085	0.102	0.083	0.075
STT_Rep057	0.146	0.062	0.083	0.103	0.106	0.049	0.082	0.079	0.088	0.078	0.079
STT_Rep058	-0.002	0.131	0.041	0.1	0.109	0.093	0.089	0.097	0.066	0.092	0.088
STT_Rep059	0.059	0.159	0.116	0.05	0.063	0.076	0.093	0.05	0.078	0.077	0.079
STT_Rep060	0.193	0.064	0.069	0.046	0.059	0.096	0.091	0.085	0.086	0.082	0.079
STT_Rep061	0.193	0.059	0.112	0.094	0.076	0.089	0.09	0.099	0.086	0.078	0.091
STT_Rep062	0.153	0.058	0.052	0.055	0.077	0.111	0.086	0.071	0.095	0.072	0.083
STT_Rep063	0.025	0.027	0.064	0.093	0.07	0.053	0.072	0.07	0.082	0.079	0.087
STT_Rep064	0.079	0.037	0.064	0.087	0.021	0.091	0.076	0.082	0.071	0.086	0.082
STT_Rep065	0.072	0.032	0.071	0.032	0.072	0.096	0.068	0.101	0.064	0.083	0.083
STT_Rep066	0.213	0.036	0.046	0.038	0.099	0.08	0.088	0.088	0.084	0.082	0.08
STT_Rep067	0.072	0.086	0.082	0.165	0.058	0.095	0.082	0.062	0.077	0.081	0.087
STT_Rep068	0.18	0.1	0.091	0.11	0.054	0.12	0.101	0.084	0.073	0.085	0.085
STT_Rep069	0.055	0.056	0.086	0.091	0.113	0.082	0.071	0.099	0.077	0.092	0.082
STT_Rep070	0.081	0.158	0.064	0.076	0.069	0.072	0.08	0.082	0.081	0.077	0.083
STT_Rep071	0.051	0.065	0.084	0.088	0.055	0.09	0.114	0.081	0.073	0.087	0.075
STT_Rep072	0.132	0.042	0.092	0.073	0.108	0.068	0.099	0.081	0.099	0.086	0.075
STT_Rep073	0.176	0.034	0.109	0.124	0.064	0.091	0.069	0.101	0.072	0.089	0.079
STT_Rep074	-0.042	0.028	0.094	0.05	0.102	0.09	0.093	0.083	0.086	0.086	0.085
STT_Rep075	-0.007	0.091	0.157	0.059	0.106	0.087	0.071	0.06	0.062	0.087	0.079
STT_Rep076	0.114	0.122	0.09	0.076	0.115	0.056	0.111	0.084	0.074	0.076	0.088
STT_Rep077	0.079	0.071	0.124	0.051	0.088	0.08	0.084	0.069	0.069	0.091	0.076
STT_Rep078	0.212	0.086	0.067	0.081	0.107	0.064	0.075	0.091	0.082	0.074	0.089
STT_Rep079	0.198	0.037	0.105	0.083	0.117	0.128	0.059	0.072	0.076	0.087	0.079
STT_Rep080	0.102	0.048	0.094	0.09	0.115	0.068	0.1	0.096	0.094	0.084	0.085
STT_Rep081	-0.05	0.098	0.043	0.089	0.066	0.118	0.076	0.081	0.08	0.087	0.073
STT_Rep082	0.077	0.039	0.077	0.078	0.08	0.082	0.056	0.088	0.078	0.08	0.082
STT_Rep083	0.056	0.149	0.048	0.073	0.097	0.063	0.085	0.077	0.068	0.09	0.09
STT_Rep084	-0.03	0.073	0.047	0.058	0.05	0.081	0.105	0.08	0.066	0.078	0.085
STT_Rep085	0.198	0.095	0.057	0.054	0.067	0.088	0.098	0.087	0.094	0.082	0.082
STT_Rep086	0.197	0.055	0.134	0.084	0.094	0.062	0.119	0.082	0.089	0.096	0.074
STT_Rep087	0.047	0.102	0.062	0.075	0.111	0.073	0.071	0.054	0.085	0.078	0.084
STT_Rep088	0.079	0.074	0.117	0.057	0.136	0.113	0.096	0.085	0.068	0.069	0.079
STT_Rep089	0.094	0.143	0.033	0.068	0.061	0.082	0.053	0.073	0.066	0.083	0.087
STT_Rep090	0.024	0.093	0.077	0.063	0.073	0.072	0.071	0.102	0.084	0.102	0.085
STT_Rep091	0.097	0.07	0.044	0.104	0.113	0.083	0.066	0.061	0.058	0.075	0.077
STT_Rep092	0.134	0.028	0.139	0.072	0.053	0.1	0.07	0.084	0.086	0.1	0.074
STT_Rep093	0.084	0.088	0.076	0.087	0.092	0.054	0.072	0.098	0.075	0.083	0.074
STT_Rep094	0.074	0.085	0.14	0.1	0.115	0.088	0.058	0.073	0.069	0.086	0.077
STT_Rep095	0.158	0.096	0.086	0.081	0.07	0.062	0.093	0.087	0.081	0.08	0.08
STT_Rep096	0.05	0.096	0.033	0.086	0.085	0.111	0.098	0.1	0.086	0.088	0.078
STT_Rep097	0.118	0.052	0.098	0.081	0.027	0.083	0.091	0.088	0.085	0.075	0.077
STT_Rep098	0.137	0.198	0.086	0.068	0.073	0.064	0.061	0.081	0.08	0.072	0.083
STT_Rep099	0.101	0.054	0.077	0.086	0.062	0.066	0.088	0.07	0.083	0.071	0.08
STT_Rep100	0.003	0.126	0.012	0.098	0.056	0.103	0.046	0.069	0.083	0.091	0.072
