Population	Ho_02SubSamp	Ho_04SubSamp	Ho_06SubSamp	Ho_08SubSamp	Ho_10SubSamp	Ho_12SubSamp	Ho_14SubSamp	Ho_16SubSamp	Ho_18SubSamp	Ho_20SubSamp	Ho_22SubSamp
PTP_Rep027	0.036	0.045	0.045	0.055	0.05	0.049	0.052	0.049	0.048	0.051	0.051
PTP_Rep028	0.047	0.052	0.055	0.05	0.051	0.052	0.047	0.051	0.048	0.051	0.05
PTP_Rep029	0.057	0.058	0.045	0.049	0.053	0.046	0.047	0.05	0.052	0.05	0.05
PTP_Rep030	0.051	0.047	0.06	0.052	0.048	0.047	0.054	0.05	0.05	0.051	0.049
PTP_Rep031	0.047	0.062	0.048	0.056	0.053	0.048	0.053	0.049	0.048	0.051	0.049
PTP_Rep032	0.033	0.046	0.05	0.054	0.053	0.051	0.048	0.053	0.051	0.05	0.051
PTP_Rep033	0.053	0.056	0.052	0.055	0.055	0.053	0.048	0.05	0.051	0.05	0.048
PTP_Rep034	0.045	0.048	0.05	0.05	0.051	0.052	0.049	0.05	0.05	0.049	0.051
PTP_Rep035	0.067	0.053	0.046	0.046	0.052	0.051	0.055	0.048	0.052	0.049	0.051
PTP_Rep036	0.048	0.047	0.046	0.051	0.053	0.047	0.053	0.049	0.05	0.053	0.051
PTP_Rep037	0.052	0.039	0.051	0.055	0.044	0.053	0.049	0.049	0.049	0.051	0.049
PTP_Rep038	0.04	0.043	0.051	0.04	0.048	0.054	0.051	0.052	0.052	0.05	0.05
PTP_Rep039	0.033	0.058	0.048	0.05	0.049	0.051	0.048	0.049	0.046	0.051	0.05
PTP_Rep040	0.041	0.042	0.048	0.056	0.048	0.048	0.051	0.049	0.051	0.05	0.05
PTP_Rep041	0.05	0.039	0.047	0.053	0.053	0.051	0.05	0.052	0.051	0.052	0.049
PTP_Rep042	0.036	0.047	0.047	0.052	0.048	0.044	0.054	0.053	0.047	0.048	0.051
PTP_Rep043	0.043	0.036	0.038	0.052	0.046	0.044	0.05	0.052	0.051	0.05	0.051
PTP_Rep044	0.038	0.052	0.053	0.05	0.048	0.048	0.051	0.049	0.048	0.05	0.05
PTP_Rep045	0.041	0.055	0.05	0.053	0.054	0.05	0.053	0.048	0.047	0.049	0.05
PTP_Rep046	0.04	0.048	0.047	0.047	0.051	0.05	0.05	0.05	0.052	0.051	0.049
PTP_Rep047	0.063	0.053	0.051	0.05	0.052	0.052	0.05	0.05	0.047	0.051	0.051
PTP_Rep048	0.042	0.066	0.044	0.051	0.048	0.051	0.048	0.049	0.049	0.05	0.05
PTP_Rep049	0.048	0.059	0.052	0.043	0.043	0.047	0.054	0.047	0.05	0.052	0.05
PTP_Rep050	0.04	0.049	0.048	0.06	0.046	0.056	0.052	0.052	0.051	0.05	0.048
PTP_Rep051	0.048	0.057	0.051	0.047	0.057	0.05	0.05	0.048	0.05	0.048	0.049
PTP_Rep052	0.035	0.054	0.05	0.06	0.051	0.051	0.049	0.051	0.049	0.05	0.051
PTP_Rep053	0.049	0.044	0.056	0.049	0.052	0.052	0.048	0.053	0.05	0.05	0.049
PTP_Rep054	0.048	0.052	0.043	0.055	0.049	0.054	0.048	0.047	0.05	0.05	0.05
PTP_Rep055	0.054	0.043	0.045	0.052	0.05	0.049	0.049	0.046	0.052	0.05	0.049
PTP_Rep056	0.037	0.049	0.055	0.046	0.048	0.05	0.048	0.049	0.047	0.049	0.05
PTP_Rep057	0.05	0.043	0.048	0.055	0.051	0.046	0.05	0.049	0.048	0.049	0.051
PTP_Rep058	0.036	0.054	0.056	0.055	0.053	0.047	0.052	0.051	0.048	0.051	0.05
PTP_Rep059	0.051	0.055	0.042	0.054	0.051	0.049	0.051	0.05	0.05	0.048	0.05
PTP_Rep060	0.055	0.059	0.04	0.043	0.051	0.051	0.052	0.053	0.05	0.048	0.05
PTP_Rep061	0.035	0.055	0.045	0.045	0.052	0.052	0.049	0.05	0.048	0.05	0.051
PTP_Rep062	0.056	0.05	0.048	0.047	0.052	0.051	0.051	0.051	0.049	0.053	0.049
PTP_Rep063	0.067	0.06	0.05	0.047	0.047	0.051	0.051	0.053	0.052	0.048	0.05
PTP_Rep064	0.042	0.046	0.052	0.053	0.052	0.047	0.05	0.05	0.052	0.05	0.05
PTP_Rep065	0.047	0.041	0.056	0.056	0.051	0.048	0.051	0.05	0.05	0.05	0.051
PTP_Rep066	0.051	0.054	0.049	0.054	0.056	0.055	0.048	0.052	0.05	0.051	0.05
PTP_Rep067	0.051	0.056	0.051	0.054	0.052	0.047	0.049	0.05	0.049	0.049	0.051
PTP_Rep068	0.046	0.044	0.051	0.048	0.051	0.049	0.05	0.049	0.052	0.051	0.05
PTP_Rep069	0.057	0.041	0.05	0.05	0.047	0.054	0.048	0.051	0.05	0.05	0.051
PTP_Rep070	0.057	0.05	0.053	0.05	0.05	0.05	0.047	0.048	0.05	0.051	0.049
PTP_Rep071	0.044	0.06	0.054	0.047	0.052	0.055	0.051	0.054	0.051	0.051	0.048
PTP_Rep072	0.046	0.053	0.044	0.05	0.049	0.049	0.05	0.053	0.049	0.053	0.051
PTP_Rep073	0.05	0.047	0.055	0.041	0.05	0.045	0.054	0.049	0.052	0.05	0.049
PTP_Rep074	0.032	0.062	0.06	0.044	0.048	0.05	0.051	0.051	0.052	0.05	0.05
PTP_Rep075	0.047	0.043	0.044	0.048	0.048	0.047	0.052	0.049	0.051	0.048	0.05
PTP_Rep076	0.042	0.058	0.044	0.045	0.05	0.049	0.05	0.051	0.052	0.051	0.05
PTP_Rep077	0.057	0.051	0.049	0.05	0.049	0.052	0.049	0.049	0.051	0.048	0.052
PTP_Rep078	0.055	0.045	0.055	0.049	0.051	0.055	0.051	0.049	0.052	0.052	0.048
PTP_Rep079	0.063	0.043	0.043	0.053	0.053	0.046	0.049	0.053	0.051	0.05	0.049
PTP_Rep080	0.032	0.042	0.058	0.056	0.043	0.043	0.05	0.049	0.051	0.052	0.05
PTP_Rep081	0.05	0.046	0.039	0.048	0.051	0.051	0.046	0.049	0.05	0.052	0.051
PTP_Rep082	0.041	0.051	0.051	0.047	0.054	0.051	0.05	0.051	0.05	0.049	0.051
PTP_Rep083	0.065	0.049	0.061	0.053	0.047	0.049	0.044	0.049	0.05	0.049	0.051
PTP_Rep084	0.034	0.047	0.045	0.054	0.051	0.051	0.052	0.051	0.049	0.049	0.051
PTP_Rep085	0.05	0.053	0.055	0.056	0.047	0.049	0.051	0.051	0.052	0.049	0.051
PTP_Rep086	0.048	0.063	0.055	0.044	0.049	0.052	0.048	0.051	0.048	0.049	0.05
PTP_Rep087	0.044	0.05	0.047	0.06	0.053	0.049	0.051	0.051	0.049	0.051	0.05
PTP_Rep088	0.044	0.058	0.057	0.044	0.054	0.047	0.05	0.05	0.052	0.05	0.051
PTP_Rep089	0.049	0.042	0.057	0.053	0.051	0.047	0.05	0.052	0.05	0.051	0.05
PTP_Rep090	0.046	0.054	0.053	0.051	0.057	0.048	0.052	0.05	0.049	0.052	0.051
PTP_Rep091	0.04	0.048	0.052	0.052	0.052	0.056	0.049	0.05	0.051	0.051	0.051
PTP_Rep092	0.052	0.049	0.054	0.048	0.05	0.046	0.053	0.052	0.048	0.049	0.049
PTP_Rep093	0.067	0.045	0.051	0.047	0.049	0.052	0.048	0.049	0.048	0.049	0.05
PTP_Rep094	0.044	0.045	0.047	0.057	0.05	0.047	0.047	0.054	0.047	0.048	0.051
PTP_Rep095	0.047	0.064	0.046	0.048	0.049	0.05	0.049	0.049	0.05	0.05	0.051
PTP_Rep096	0.053	0.039	0.045	0.045	0.052	0.046	0.052	0.053	0.051	0.05	0.051
PTP_Rep097	0.046	0.061	0.044	0.056	0.051	0.051	0.052	0.052	0.053	0.052	0.05
PTP_Rep098	0.038	0.044	0.046	0.047	0.047	0.05	0.05	0.051	0.048	0.05	0.05
PTP_Rep099	0.043	0.039	0.049	0.045	0.053	0.046	0.054	0.053	0.047	0.05	0.05
PTP_Rep100	0.038	0.049	0.05	0.052	0.048	0.048	0.054	0.048	0.049	0.05	0.05
