Population	Hs_02SubSamp	Hs_04SubSamp	Hs_06SubSamp	Hs_08SubSamp	Hs_10SubSamp	Hs_12SubSamp	Hs_14SubSamp	Hs_16SubSamp	Hs_18SubSamp	Hs_20SubSamp	Hs_22SubSamp
MPO_Rep083	0.115	0.121	0.119	0.117	0.121	0.12	0.126	0.12	0.121	0.119	0.121
MPO_Rep084	0.125	0.117	0.128	0.128	0.115	0.117	0.117	0.116	0.119	0.12	0.121
MPO_Rep085	0.125	0.107	0.119	0.123	0.123	0.124	0.119	0.123	0.117	0.119	0.118
MPO_Rep086	0.116	0.114	0.107	0.119	0.117	0.125	0.117	0.122	0.12	0.121	0.121
MPO_Rep087	0.096	0.122	0.113	0.117	0.116	0.12	0.123	0.122	0.119	0.121	0.12
MPO_Rep088	0.091	0.122	0.117	0.119	0.118	0.116	0.124	0.121	0.119	0.122	0.12
MPO_Rep089	0.119	0.12	0.122	0.119	0.114	0.121	0.119	0.125	0.119	0.12	0.121
MPO_Rep090	0.105	0.118	0.127	0.108	0.125	0.123	0.122	0.12	0.121	0.119	0.121
MPO_Rep091	0.103	0.128	0.122	0.127	0.124	0.122	0.117	0.119	0.121	0.12	0.12
MPO_Rep092	0.104	0.123	0.118	0.124	0.119	0.121	0.119	0.116	0.121	0.123	0.12
MPO_Rep093	0.117	0.13	0.122	0.128	0.118	0.118	0.117	0.12	0.123	0.122	0.119
MPO_Rep094	0.125	0.122	0.123	0.118	0.121	0.119	0.117	0.118	0.117	0.122	0.121
MPO_Rep095	0.132	0.107	0.123	0.116	0.114	0.124	0.116	0.117	0.117	0.12	0.12
MPO_Rep096	0.101	0.116	0.13	0.115	0.12	0.121	0.123	0.118	0.119	0.119	0.12
MPO_Rep097	0.101	0.122	0.118	0.12	0.124	0.123	0.121	0.119	0.121	0.121	0.12
MPO_Rep098	0.119	0.121	0.13	0.119	0.123	0.118	0.113	0.122	0.12	0.12	0.121
MPO_Rep099	0.1	0.112	0.116	0.116	0.115	0.123	0.123	0.122	0.122	0.12	0.12
MPO_Rep100	0.116	0.127	0.116	0.116	0.119	0.117	0.118	0.121	0.121	0.12	0.12
