populations -P /work/LAS/kjroe-lab/jmahguib/UCSStacks_outputs/TrkNbr_1083n1282_L1n2_PrelimPops -O /work/LAS/kjroe-lab/jmahguib/Stacks_Populations_outputs/TrkNbr_1083n1282_L1n2_PrelimPops_for_Genodive_MinSampSizeRuns -M /work/LAS/kjroe-lab/jmahguib/PopMaps/Webbhelix/PopMaps_TrkNbr_1083n1282_L1n2_PrelimPops_MinSampSizeRuns/PopMap_TrkNbr_1083n1282_L1n2_PrelimPops_S24.txt -b 22540000 -t 20 -k -p 3 -r 0.80 --write_single_snp --fstats --plink --structure --genepop --vcf --phylip_var
populations version 1.46 executed 2019-12-02 16:15:30

# Distribution of population loci.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
26	45
27	30
28	14
29	12
30	9
31	1
32	3
33	1
Population TGCP contained 30 incompatible loci -- more than two alleles present.
Population STT contained 6532 incompatible loci -- more than two alleles present.
Population MPO contained 6545 incompatible loci -- more than two alleles present.
Population PTP contained 6500 incompatible loci -- more than two alleles present.
Population TGCP contained 0 incompatible loci -- more than two alleles present.
Population STT contained 0 incompatible loci -- more than two alleles present.
Population MPO contained 0 incompatible loci -- more than two alleles present.
Population PTP contained 0 incompatible loci -- more than two alleles present.
# Distribution of the number of SNPs per locus.
#n_snps	n_loci
0	21885
1	10714
between_population	incompatible_locus	60058	un	5405168	36	TGCP	STT
between_population	incompatible_locus	107992	un	9719243	51	TGCP	STT
between_population	incompatible_locus	120204	un	10818301	29	TGCP	STT
between_population	incompatible_locus	185783	un	16720416	34	TGCP	STT
between_population	incompatible_locus	60058	un	5405168	36	TGCP	MPO
between_population	incompatible_locus	107992	un	9719243	51	TGCP	MPO
between_population	incompatible_locus	117065	un	10535814	52	TGCP	MPO
between_population	incompatible_locus	216517	un	19486488	46	TGCP	MPO
between_population	incompatible_locus	79015	un	7111335	73	STT	MPO
between_population	incompatible_locus	60058	un	5405168	36	STT	PTP
between_population	incompatible_locus	120204	un	10818301	29	STT	PTP
between_population	incompatible_locus	185783	un	16720416	34	STT	PTP
between_population	incompatible_locus	422064	un	37985734	62	STT	PTP
between_population	incompatible_locus	597841	un	53805631	29	STT	PTP
between_population	incompatible_locus	636168	un	57255070	38	STT	PTP
between_population	incompatible_locus	60058	un	5405168	36	MPO	PTP
between_population	incompatible_locus	422064	un	37985734	62	MPO	PTP
between_population	incompatible_locus	575326	un	51779284	32	MPO	PTP
between_population	incompatible_locus	597841	un	53805631	29	MPO	PTP
between_population	incompatible_locus	604748	un	54427243	11	MPO	PTP
between_population	incompatible_locus	636168	un	57255070	38	MPO	PTP
