scenario      C1             C2             C3             C4             t1             CA1            t2             CA2      
   3           3643           9493           4645           3313           1055           4757           1546           1946
   3           2778           9577           5022           4366            780           6980           1488           1637
   3           3287           9561           5001           3710            728           6116           1478           2482
   3           1967           7875           3976           3382            684           1413           1106           1782
   3           1868           6850           2385           2376            343           9773            642            131
   3           3681           9670           4613           5689            847           6858           1570           1675
   3           2880           9356           4953           4099            828           4625           1303           1738
   3           3371           9582           5420           6964            938           4215           1608           1825
   3           3364           9320           4717           7826            845           7930           1387           1847
   3           1901           7032           2688           2020            540           4904           1145           1246
   3           3466           9938           4916           4877            786           8667           2020           2263
   3           2794           9868           4672           3535            916           4284           1256            496
   3           2346           6654           3024           2717            528           4889           1033           2055
   3           3062           8788           4451           5873            674           8581           1442           1606
   3           3070           9543           4391           4599            900           5127           1489           2321
   3           2130           8976           3767           4703            637           5629           1453           1598
   3           2182           8768           3881           2546            720           4129           1095           1827
   3           2493           8437           3996           2989            622           6474           1261           1095
   3           2521           8636           3993           3444            719           5253           1326           1554
   3           1115           6337           2749           1625            404           3920            686           1016
   3           2404           8569           4235           3646            702           5557           1245           1923
   3           3244           9168           4465           3992            695           5663           1431           2460
   3           3345           9929           5468           6358            977           1542           1563           1855
   3           3114           8442           4616           3759            697           9361           1335           1736
   3           2580           6179           4820           3679            693           5487           1264           1410
   3           2595           8806           4123           6410            704           6796           1392           1172
   3           2460           9537           4978           4327            773           4647           1433           3181
   3           3038           9497           5375           6101           1107            234           2150            651
   3           3047           5076           4169           3738            451           4870            842           1460
   3           1476           5581           2656           2041            454            947            676            400
   3           2789           8992           5047           4828            917           2754           1456           1785
   3           2818           8970           4513           2553            603           8463           1225           1145
   3           2963           9948           3853           4115            812           3768           1200            187
   3           2059           8128           3680           2023            564           3521            938           1770
   3           3345           8742           5232           6342            773           9437           1661           1359
   3           2366           8230           3553           4181            604           3096           1031           2342
   3           2017           7804           4011           3682            595           7537           1330            593
   3           3363           8512           4307           4248            599           7599           1331           1404
   3           7458           9444           5365           5741            893           9431           1750           2590
   3           2755           9090           3110           3245            718           4046           1128           1477
   3           1112           6331           2793           2517            325           9406            826            815
   3           2152           9138           4249           4443            754           7228           1477           1242
   3           2587           9314           4589           3601            776           3324           1003           1731
   3           3140           9563           3928           5089            780           3785           1339           1546
   3           3339           6272           4078           3436            550           3214           1186           1381
   3           1836           8053           4171           3796            543           7863           1146           2157
   3           2156           8965           4429           3318            701           4965           1164           1946
   3           2502           8465           3938           3709            615           4939           1189           1025
   3           2147           7943           4044           2238            577           2726            768           1710
   3           3257           9414           4534           4863            896            160           1396           2208
   3           2577           9285           4302           4622            659           7630           1308           2162
   3           1739           7832           2836           2381            593           1368            851           1421
   3           3383           9314           4578           3816            785           7082           1387           1605
   3           2280           8826           3388           3972            681           4514           1108           1226
   3           2978           8397           4118           3570            750           5148           1466           1702
   3           3326           8889           3736           3742            732           7038           1463           1606
   3           3240           9479           4649           4006           1021            279           1613            771
   3           1425           7527           3155           2340            613           3760            984           1215
   3           1427           7803           4010           3590            582           4709           1092            953
   3           2809           9201           5042           5692           1062           2556           1341           1324
   3           1804           9127           4469           3280            664           3380           1352           1269
   3           2149           7578           4196           2840            540           5614           1175           1868
   3           2974           9889           4439           4009            798           2977           1270           2465
   3           2173           7733           3646           3419            672            410           1207            617
   3           4067           9527           5720           4847            920           2694           1457           2802
   3           1973           7245           2970           3009            611           4043           1000           2026
   3           3044           9019           4346           4444            740           4691           1434           1351
   3           2308           8101           4577           4225            749           6147           1292           1733
   3           3349           9812           4862           4616           1127           9967           1695            957
   3           3240           9601           5277           6543            789           8735           1558           2315
   3           2708           8213           4133           3583            757           2937           1158           1483
   3           4256           9025           5361           4731            889           9134           1651           1605
   3           2908           9840           4170           5222            747           8785           1567           1719
   3           2578           7635           4105           2760            614           3744           1039           1735
   3           3810           9941           6347           6232            797           9682           1620           1956
   3           3070           8409           4465           4531            690           6416           1278            210
   3           2106           7503           3147           3115            537           6718           1249            580
   3           3076           9417           4422           4764            720           9158           1501            115
   3           2207           9088           3794           2646            649           4133           1195           1435
   3           3534           9773           5022           4094            911           2575           1472           1040
   3           3966           9686           5557           6338            672           9663           1780            600
   3           2779           7590           4585           3169            538           8199           1193           2565
   3           2723           9030           4539           3743            689           6601           1608           1717
   3           2320           8855           3641           4158            565           4776           1222           1912
   3           2835           8749           4686           2933            597           7584           1143           1564
   3           4383           9820           5306           5849           1029           7833           1762           1885
   3           3107           9262           4278           7942            865           4836           1535           2068
   3           3928           9925           5267           5070            809           4031           1593           1913
   3           1442           6366           2426           1912            363           5392            684           1728
   3           2332           7771           2311           3249            589           3563            896           1797
   3           2792           9359           4817           4238            703           5338           1636           1115
   3           4147           9129           5004           5077            773           7154           1672           1824
   3           2545           9249           5648           5152            793           1098           1209           2357
   3           3278           9469           5855           4946           1104           7628           1893            910
   3           2905           9493           3846           4458            799           2175           1420           1966
   3            901           7777           2656           3381            528           2408            853           1579
   3           2706           9675           4356           4649            618           9610           1336           1835
   3           1380           5416           2966           2208            460           1619            744           1635
   3           2392           7834           5117           4971            875           5725           1140           1567
   3           2829           9171           3673           4104            816           1827           1488           1651
   3           2549           9439           4708           4467            767           5952           1654           1821
   3           1870           7769           3503           2775            511           6939           1098           1682
   3           4402           9459           5750           6559            994           8312           1875           1555
   3           1993           9904           3863           3208            632           5451           1271           1359
   3           1900           7724           4017           3707            529           9576           1195           1059
   3           2455           9370           4911           4985            821           2702           1593           1258
   3           1568           8067           3813           3277            542           5988           1200           1313
   3           2823           9673           4942           4337            758           2633           1510           1745
   3           3389           8631           4579           4725            863           1695           1434           1759
   3           2163           8571           3936           3535            635           3480           1158           1501
   3           3562           9472           4711           5750            917           2693           1563           1944
   3           2080           6455           3770           3339            622           7822           1000           2156
   3           2739           9895           4277           4454            847           4325           1323           2199
   3           3834           9663           5944           7900            862           8349           1654           2449
   3           1783           6825           2791           2286            395           5884            833           1321
   3           2094           8184           4070           3654            607           9067           1172           2399
   3           2543           9882           3286           3529            686           3103           1076           1671
   3           3207           9981           5649           9560           1013           5525           1629           1999
   3           1457           2448           2133           2378            316           7345            573            510
   3           1965           6437           3362           2776            543           3013           1082           1454
   3           1355           6969           4521           2584            453           3826           1101           1130
   3           2068           8312           4574           4408            704           3766           1303           1818
   3           1604           8290           3732           3277            557           9761           1127           1725
   3           3639           9661           4580           3653            762           6363           1248           1297
   3           2644           9331           4866           4859            663           5360           1401           1956
   3           2689           9079           4352           3717            813           1333           1214           2520
   3           2448           9184           4675           4990            761           5446           1475           1942
   3           2634           8938           4888           3484            755           4241           1177           1631
   3           2987           8602           3056           3585            695           9148           1356           1301
   3           1691           6712           3833           3820            443           8310           1173           1415
   3           1271           5298           2051           1047            327           5175            708            504
   3           3861           9592           4793           5552            841           3452           1479           2380
   3           4948           9734           5827           8215            930           7058           1864           2159
   3           3978           9690           5453           3724           1056           4347           1545           1269
   3           2089           7898           3325           2936            608           3200           1157            882
   3           2180           8536           4202           4959            736           3715           1245           1811
   3           1235           6226           2322           2040            360           3859            734           1370
   3           2820           9799           4223           4485            844           5604           1361           2007
   3           1104           7602           3148           2899            589           2162            734           1518
   3           3153           7263           3676           1387            614           1760            902           1274
   3           1811           6678           2241           1646            418           3353            712            189
   3           3385           9933           5504           6454            932           6201           1696           1923
   3           1775           7271           4114           4102            569           5291            939           1384
   3           2366           8201           4161           4143            835           8334           1263           1704
   3           2885           8483           4647           5755            745           8344           1379            419
   3           2610           9435           4407           4873            654           4222           1301           1885
   3           2175           8437           4525           4290            597           6812           1297            326
   3           2409           8126           3727           3207            533           9680           1123           1408
   3           2280           8660           4109           3469            669            699           1232            286
   3           3338           9932           5682           4824            951           2012           1867           1234
   3           2682           9218           4426           3232            687           4629           1077           1842
   3           2561           8920           4652           4997            823           6230           1428           1260
   3           4016           9681           4818           5174            937           3297           1489           1896
   3           3191           9699           4401           4763           1066           3290           1536           2530
   3           2559           8190           3673           4011            601           5197           1234           1560
   3           2511           8975           4320           4368            653           6124           1243           1997
   3           3736           9339           4801           9629           1001           2499           1993            934
   3           1120           6197           2612           1026            297           6769            508           1133
   3           2588           8340           4024           4252            600           5539           1137           1295
   3           2058           6518           3252           1401            621           3673            813            793
   3           3567           9266           4855           4492            883            942           1512            953
   3           2047           9959           4590           4239            654           4873           1273           2273
   3           2563           7559           3357           2397            513           3899           1144            840
   3           3008           7554           4540           3517            757           1374           1367           1219
   3           2377           8931           3827           4011            620           3584           1204         81.134
   3           3598           9173           5073           3741            718           5119           1485           1914
   3           2594           8528           4180           4447            570           6486           1400           1977
   3           2230           9954           4391           5210            723           5365           1413           1715
   3           4500           9853           6186           5289           1040           1886           1864           2204
   3           1245           8603           4380           2836            714           4293           1121           1748
   3           3756           9909           5191           8913            908           7257           2059            892
   3           2295           8219           3883           2544            733           4844           1106            696
   3           3515           9484           4874           3716            764           6260           1747           2971
   3           1548           6639           3481           3019            549           2706            745            744
   3           1314           6121           2368           2034            309           9038            684            749
   3           2261           7931           3807           2806            590           7952            960            944
   3           4631           9862           5417           8723            988           1013           1711           1059
   3           2805           9529           4944           6943            869           3785           1546           1076
   3           2413           8187           3934           3613            715           6150           1199           1707
   3           2255           8277           4700           2854            580           7068           1233           1244
   3           1837           8179           3910           3970            605           4102           1157           1789
   3           4737           9656           4845           6121            978           4234           1891           2918
   3           2623           8171           4584           4457            688           1688           1506           1199
   3           2434           9055           4755           4706            561           8385           1449           1766
   3           5364           9406           4999           5088            809           6727           1720           2140
   3           2226           8060           4116           2505            614           5480           1023           1937
   3           1744           6042           2910           3152            510           3092            878            413
   3           3034           9721           5130           5575            881           8206           1504           1830
   3           2652           9364           4217           4485            790           7208           1514           2088
   3           2580           8726           4760           4047            678           3654           1225           2291
   3           3226           9282           4835           5229           1140           1669           1605           1505
   3           4540           9923           5212           9145            858           8702           1907           1593
   3           2902           9279           4590           4779            523           9252           1464            462
   3           1908           8430           4620           4278            620           4131           1314           1406
   3           1834           7405           3127           1671            558           3031            982           1864
   3           4168           9894           5668           6553           1116           2749           1731           2677
   3           2957           8488           4335           4229            820           4123           1317         86.652
   3           2266           8487           4196           4824            660           4871           1351           1167
   3           3468           9037           4051           4477            703           8653           1419           2291
   3           6883           9881           6191           4882            788           6050           1700           2134
   3           2058           8700           4023           3892            705           4652           1368           1146
   3           7017           9025           5060           5579            821           7469           1543           1875
   3           3073           8936           4591           4964            713           6145           1581            710
   3           8511           9713           4104           5064            976            843           1499           2012
   3           3794           9215           4693           7816            791           8153           1549           1790
   3           2741           9156           5155           5134            845           2739           1332           1027
   3           1019           6709           2821           2583            445           3176            735           1800
   3           2345           7449           3732           3379            637           3322           1094           1994
   3           1951           8070           4103           4420            742           9467           1394           1578
   3           2505           8112           4064           3448            739           4059           1042           2134
   3           3464           9494           3928           4547            685           8387           1478           2124
   3           3772           8988           5949           5220            758           7581           1636           1985
   3           1495           6224           2471           2377            522           3409            905           1144
   3           2210           8287           3736           2985            803           3013           1120            549
   3           2749           8880           3572           3673            685           4964           1331           2458
   3           2019           8207           3355           4728            650           9521           1396           1424
   3           2348           9787           3826           4440            576           9210           1253           1805
   3           5162           9535           5656           9014            762           5147           1868            693
   3           1671           8444           3030           3129            536           7439           1117            642
   3           2707           9180           4490           4445            727           4543           1401           2212
   3           2608           8636           3381           3634            574           3881            911           1500
   3           3166           9546           3383           6110            771           5472           1743         72.034
   3           2109           9291           3617           4137            642           6658           1224           1194
   3           1335           7696           3827           2564            606           6096            988           1046
   3           1924           8001           3333           2869            519           5191           1053           1664
   3           2405           7502           3557           2997            629           7249           1167           1721
   3           9199           9412           5010           7026            972           1395           1804           2058
   3           9813           9716           4895           4512            920           4758           1482           2206
   3           2107           9433           5652           5497            976            954           1320           1190
   3           3598           9581           4673           5160            864           4957           1569           1807
   3           2804           7455           4599           3824            618           8098           1211           2152
   3           2996           8245           3099           4006            649           3444           1102           1443
   3           3732           8472           5132           4784            689           9915           1366           2568
   3           1353           8609           4224           3243            567           8779           1244           1190
   3           2523           8496           4034           3566            620           5037           1166           1197
   3           2237           8409           3511           3398            581           7799           1231            953
   3           2520           8268           4659           3273            638           8514           1304           1461
   3           2466           8559           4517           7963            658           5594           1375           1776
   3           2955           9305           3887           3720            729           4663           1022           1587
   3           2617           9700           3962           3688            729           4802           1178           1661
   3           5969           9741           5657           6836            881           5892           1862           1780
   3           2787           8422           4508           2912            706           2498           1141           1762
   3           1361           7809           3335           3437            563           5398           1127           1683
   3           2421           9305           5173           4258            796           1649           1367           1483
   3           5950           9522           4905           5872            755           3666           1726            886
   3           3035           8531           4587           3702            658           9585           1284           1546
   3           1970           8206           4171           3625            502           4656           1180            148
   3           1444           8428           3327           2579            583           2836            951           1190
   3           3579           8993           3769           4011            828           4408           1148           2009
   3           2738           8547           3248           3320            502           8782            963           2071
   3           3315           9974           4390           8913            795           6897           1523            984
   3           1680           6847           3517           1088            499           2165            777           2292
   3           1596           7628           3774           3078            577           5566           1087           1615
   3           3515           9479           5547           6828            771           4369           1820           2344
   3           1735           9026           4976           3176            725           3428           1256           1002
   3           2998           7754           3753           3813            713           1700           1442           1199
   3           2112           6553           3822           3542            444           7869           1097           1163
   3           3331           8563           4499           4715            657           8740           1307           1887
   3           2966           9851           5288           5831            834           6429           1497           2571
   3           1649           8243           4014           2851            674           3588           1173           1155
   3           4090           9807           5345           7873            814           5977           1655           1517
   3           2095           7840           4103           2622            653           3611           1033            256
   3           2313           8617           3866           3294            637           3384           1054           1841
   3           2085           7508           3710           3552            637           2900            986           1532
   3           1741           6092           2786           1832            353           5719            697            496
   3           2235           8520           4848           3850            622           6347           1366            498
   3           1807           8763           3807           4000            629           8484           1182           1474
   3           4304           9613           5538           7274           1013           9604           1893           2150
   3           2706           8455           4471           4425            738           5168           1338           1651
   3           2566           9980           4020           3986            921           4546           1163           2129
   3           2584           8439           3658           2536            720           3660            953            838
