scenario      C1             C2             C3             C4             t1             CA1            t2             CA2      
   2           3394           9093            887           5342            201           9999           4691            272
   2           2288           5807            255           4731            152           9998           3701            215
   2           3837           5082            915           4822            148           9999           4597            233
   2           3151           9430            434           4128            185           9999           4821         66.903
   2           3993           8813           1002           5050            250           9999           4978            316
   2           3894           9191            826           3424            199           9999           4659            316
   2           2701           9681            557           5683            181           9999           3948            308
   2           3274           9076            779           6436            193           9998           4515            283
   2           3315           9136            655           3788            177           9999           4422         75.209
   2           3808           9985            757           5690            197          10000           5226            237
   2           3330           8906            788           4529            217          10000           4843            192
   2           3777           9801            800           5629            242           9998           5107            186
   2           3439           9675            720           5946            213           9999           4456            327
   2           3142           8175            675           4338            167           9999           4416            188
   2           3162           7938            321           4857            179           9998           4265         43.846
   2           4096           9566           1191           5426            236           9999           5297            255
   2           2586           7045            471           3789            141           9999           4065            133
   2           7580           9374            898           5830            202          10000           5260            176
   2           3576           9259            881           4704            208           9999           4639            327
   2           4247           8590            821           5310            202           9999           4712            117
   2           4060           9147           1076           6305            228           9999           5092            180
   2           2474           7718            414           3553            167           9999           4081            157
   2           3369           8519            467           4488            203           9999           4481            152
   2           4671           9474            868           6471            222           9998           5164            346
   2           3857           9126            775           5142            247           9989           5010            142
   2           3312           7615            707           4279            179           9998           4502         81.329
   2           4095           8848            593           5660            198           9999           4544            199
   2           5438           9036            885           5895            215          10000           5058            389
   2           2472           7150            630           3654            150           9999           4388            130
   2           3061           8651            692           3461            178          10000           4323            235
   2           7968           9849           1345           7667            237           9999           5599            372
   2           2651           8585            715           5245            189           9999           4440            245
   2           3840           9192            685           4612            175           9999           4637            155
   2           2752           8425            567           3786            164           9998           4507            134
   2           4018           9934            921           5405            215          10000           5271            272
   2           3649           8649            618           5102            173           9999           4521         33.088
   2           3040           5437            381           4551            146           9998           3465         69.038
   2           3855           8389            688           3717            206           9998           4815            182
   2           2566           7794            428           3510            178           9995           4084         18.316
   2           4599           8855           1124           4868            202          10000           4841         35.582
   2           3285           7505            548           2312            157           9998           4531         95.790
   2           1342           5994            736           3388            143           9997           3305         18.723
   2           2905           9542            851           5265            206           9999           5031         16.499
   2           3735           9619            634           4950            193           9999           4815            156
   2           3434           7897            581           4091            182           9998           4675         36.418
   2           2600           8122            352           4812            179           9999           4570            256
   2           3393           7665            584           5520            179           9998           4443            228
   2           5175           9285            619           5019            185           9999           4833         70.605
   2           3516           8026            601           3770            159          10000           4140         68.296
   2           3451           8334            627           3861            171          10000           4376         58.222
   2           4724           9446            800           6247            249          10000           4944            155
   2           1899           6983            271           3342            134           9999           4496         91.099
   2           2867           7341            281           3762            146           9998           3893            204
   2           2549           7028            494           3625            161           9998           4125            210
   2           4395           9881            545           5489            208           9998           4862         29.777
   2           3841           9457            671           5604            202          10000           5380            229
   2           3521           8220            477           4420            179           9999           3906            207
   2           3910           8990            656           5218            204           9999           5206            310
   2           3492           9841            786           5556            192          10000           4909         23.927
   2           1669           4229            424           3243            108           9999           3503            192
   2           5283           9270            792           4529            210           9998           5170            151
   2           2379           8497            585           3380            151           9999           4205            129
   2           2809           8548            405           3040            141           9999           4372            141
   2           3934           8946            481           5528            201           9999           4960            197
   2           3128           8884            527           4337            186           9998           4794            156
   2           4071           9807            764           5841            221           9999           4995         29.610
   2           4135           9940            637           4840            195           9998           4936         59.190
   2           3236           9288            448           4791            174           9999           4786            100
   2           3221           9149            816           5868            201           9999           5074         45.197
   2           7770           9929            914           6184            256           9999           5700            164
   2           4293           9115            960           7351            199          10000           5064            153
   2           3511           8494            693           6289            173          10000           4937            166
   2           4653           9577            794           9254            213           9999           5056            167
   2           4589           9857            767           6465            241          10000           5246            314
   2           3791           9409            831           4695            177           9999           4810            110
   2           2205           7035            397           2084            141           9996           4011            158
   2           4033           9910            656           4648            201          10000           5134            287
   2           3436           9218            714           4650            173           9999           4687            165
   2           3452           8289            509           3401            187           9999           4632            173
   2           4825           9811            885           8417            200          10000           5182            216
   2           3099           8913            477           4037            158           9999           3824            271
   2           4769           9071            592           5297            209          10000           5318            231
   2           3665           8842            640           5090            168           9999           4927         94.433
   2           2536           8156            409           4388            178           9999           4676            200
   2           3141           7303            638           3177            153           9998           3127         46.422
   2           2253           7542            740           2900            134           9998           3694            198
   2           2707           7785            436           4115            228          10000           4708            150
   2           2822           7809            304           2657            145          10000           4296            182
   2           3103           8971            557           4633            170          10000           4805            189
   2           2747           6002            443           2788            122           9998           3821            163
   2           2247           7975            628           2433            174           9998           3700         66.880
   2           6151           9858           1041           7351            275          10000           5648            300
   2           3878           9718            711           5597            224           9997           5032            140
   2           2896           8345            678           4207            166           9999           4323            195
   2           3251           7611            756           4448            200           9998           4436            213
   2           4310           9094            912           5735            199           9999           4709            174
   2           3395           8945           1033           4204            229           9999           5031            199
   2           3198           9343           1029           4463            199          10000           4890            223
   2           2977           8631            713           4439            187           9999           4929         79.316
   2           3742           7287            579           4730            166           9999           4217            146
   2           3415           9581           2090           5780            215           9999           4699            216
   2           3007           8824            521           4215            168           9997           4051            199
   2           3097           7913            495           4767            172           9999           4200            248
   2           2692           6177            330           1921            144           9999           3693         67.308
   2           4773           9863            895           6326            243          10000           5122         47.828
   2           1458           5825            171           2856            103           9999           3203            102
   2           3237           6032            505           1901            125           9999           3862         95.844
   2           3451           9739            782           5559            221           9998           4961            170
   2           3478           8945            593           5145            170          10000           4956            122
   2           5158           9577            875           5271            206          10000           5329            223
   2           2989           7373            678           4570            134          10000           4146            173
   2           4114           9958            963           6445            260           9997           5065            185
   2           1302           6599            267           1907         98.405           9999           3325            122
   2           1938           7533            421           2790            165           9999           3695         48.802
   2           3073           7883            534           4231            174           9999           4476            129
   2           4541           9435            584           3574            193           9999           4630            164
   2           4172           9420            693           4925            219           9999           5001            156
   2           2063           7394            319           2428            134           9997           4155         82.013
   2           2970           7897            327           5081            182           9999           4268            259
   2           2741           8062            483           3705            153          10000           4494            162
   2           2763           8403            446           3453            171          10000           4243            157
   2           5711           9724            796           5809            235          10000           5120         38.216
   2           3508           8590            558           4467            170          10000           4350            266
   2           4072           9205            692           5267            212          10000           5052            245
   2           1791           7216            288           2551            144           9996           3376            175
   2           2817           7022            395           3953            143           9998           4069         39.917
   2           2714           8207            512           4246            177           9999           4448            215
   2           4619           9840           2800           6472            233          10000           5542            300
   2           7920           9629           1182           5861            226           9999           5356         57.894
   2           3787           9470            911           6590            254           9995           7141         69.347
   2           9555           9959            817           6741            227          10000           5734         85.327
   2           4930           9526            967           6269            225           9999           5063            330
   2            732           4552         83.311           1366         75.780           9997           2268         97.440
   2           1763           7320            343           2297            120           9998           2958         28.512
   2           4094           9227            740           5063            177          10000           5096            131
   2           4146           9644            694           5909            256           9998           5030            196
   2           3033           8759            712           4949            170           9999           4413            153
   2           6232           9015            499           7125            208           9999           4738            278
   2           4046           9737            811           6091            215           9999           4853            280
   2           3846           8911            663           6678            199          10000           5183            243
   2           3632           9972            809           4977            200           9999           4742            260
   2           2664           8166            618           4997            169           9999           4547         47.218
   2           3300           8901            699           3570            160          10000           4200            113
   2           2278           6203            379           3500            143           9999           3844            187
   2           1713           7274            264           2670            127           9998           3619         63.232
   2           4506           9973           1097           4899            218           9999           4472            207
   2           3586           8898            525           4412            179           9999           4600            201
   2           4630           9312            998           8413            282           9999           7284            327
   2           4284           9698            852           5572            213           9999           5458            241
   2           2918           8203            565           4294            160           9999           4152         72.291
   2           4294           9274           1024           5132            241           9998           5070            162
   2           4745           8864            781           7493            190          10000           4373            245
   2           4450           9616            596           5152            203           9999           4960            229
   2           3300           8533           1018           4584            176          10000           4693            168
   2           1834           7784            297           4361            154           9998           3742            170
   2           3526           9372            585           4659            194           9999           4713            166
   2           3434           8705            705           4745            179          10000           5010            135
   2           3751           9387            586           4521            187          10000           4665            214
   2           3119           7489            512           5285            158          10000           4524            137
   2           2046           8421            372           4840            178           9998           4114            238
   2           7763           9308            698           5722            236           9999           5401            294
   2           5328           8981            689           6089            205           9999           5160            200
   2           3091           8183            626           4364            152          10000           4240         46.938
   2           3389           9473            512           4555            214           9999           5006            286
   2           2663           7889            540           4240            143           9999           4057            107
   2           3286           8569            456           4818            213          10000           4661            191
   2           2626           7818            569           3291            162          10000           4046         12.003
   2           4058           9567            732           5538            226           9999           5371            212
   2           2942           9275            547           5064            189           9999           4944            185
   2           4325           9333            721           6230            217           9999           5119            130
   2           1483           4778            371           2937            108           9991           3357         91.583
   2           3446           7703            328           3631            177           9999           4451            361
   2           4242           9524           1119           6764            229           9999           5261            200
   2           1754           6172            506           4004            145           9999           4394         17.519
   2           3235           9288            642           5992            201          10000           5241            262
   2           3263           5212            387           4209            126           9998           3094         57.590
   2           3932           9708            667           5692            214          10000           5062            221
   2           3987           9615            715           5000            191          10000           4805            299
   2           3531           8188            811           5159            222           9999           4385            376
   2           2943           8780           1824           6573            243           9998           4857         55.652
   2           6677           9751            897           5511            310           9997           5586         65.585
   2           1853           5960            380           3452            118           9999           3739            234
   2           5380           8985           2008           5891            240          10000           5482            115
   2           2810           9692            551           4970            192           9998           4740            166
   2           3586           8521            591           3377            191           9999           4554            138
   2           4390           9609            713           5050            222          10000           5191         94.596
   2           1583           7883            718           4216            141          10000           4587            168
   2           4917           9470            702           5110            255           9999           5488            190
   2           3797           9805           1002           7126            193          10000           5090            156
   2           3753           9202            692           5865            214          10000           5214         33.813
   2           3325           9795            601           5034            180           9999           4895            323
   2           5041           9333            638           6093            226           9999           5058            339
   2           3723           9915            678           4437            242           9998           5269            157
   2           2760           8882            683           4439            175           9999           4199            173
   2           6080           8560            568           4638            212           9999           4702            344
   2           3265           9179            799           5614            197           9999           4813            187
   2           3726           9532           1181           6116            225          10000           5499            135
   2           3705           8874            780           4899            178          10000           4702            255
   2           4199           9868            735           5765            197          10000           4882            291
   2           3940           9435            939           5974            196           9999           5085            314
   2           2474           8461            768           4947            173           9999           4388         64.898
   2           4570           8571            816           5526            217           9999           5001            225
   2           2786           7766            244           4945            169           9999           4240            128
   2           3976           9370            552           5957            223           9999           5191            188
   2           3972           9782            686           5372            158          10000           4575            173
   2           2143           6884            271           3354            116           9999           3257            190
   2           5170           9288            778           5646            196           9999           4914            162
   2           2345           6075            470           3560            149           9999           4072            120
   2           2707           8901            625           4334            180           9999           4336         47.120
   2           3381           8660            630           3984            206           9989           4603            205
   2           3850           8733            603           3559            175          10000           4851            126
   2           3689           9985            648           5193            189           9999           5293            214
   2           3734           8706            850           4417            198          10000           4602            347
   2           1844           7617            456           2498            131           9998           4097            103
   2           4344           8689            650           5474            173          10000           4945            258
   2           3589           7120            530           4104            180           9999           4197            197
   2           5581           9446            741           6090            238           9998           5398            178
   2           4074           8878            705           6932            196           9999           5109            184
   2           3842           9954            684           5613            245           9999           5332            110
   2           3692           8916            803           4748            214           9999           4985            124
   2           3991           9288            690           5758            216           9997           3760            546
   2           4369           9169            738           7369            219           9999           5537            199
   2           4179           8559            792           3581            193           9998           3878            406
   2           3766           9543            825           5090            189           9999           4812            220
   2           5102           9383            733           6025            217           9999           5397            357
   2           3042           8212            637           4831            181           9999           4579            126
   2           3644           9543            687           4961            204           9999           4827            335
   2           3287           8267            566           3475            156           9999           4155            169
   2           2375           8470            638           5246            208           9999           4714            189
   2           6136           8607            537           5131            160           9999           4778            150
   2           3466           9676            535           4911            165          10000           4845            130
   2           4169           9979            788           5033            186           9999           4980            212
   2           6093           9415            870           5569            226           9999           5278            104
   2           3848           9890            767           5080            210           9999           4895            259
   2           3912           9846            569           4986            187           9998           5006         44.939
   2           5045           9300           1619           6036            235          10000           5250            210
   2           2382           7884            560           4505            164           9999           4489            274
   2           4455           9356           1965           6064            205          10000           5174            176
   2           4099           7801            518           3875            202           9999           4853            184
   2           3947           9331            786           5881            203          10000           5117            147
   2           2924           8299            540           3926            149          10000           4403            210
   2           3063           6426            510           4078            131          10000           4304            125
   2           2663           8526            522           3456            168           9999           4188            135
   2           3629           9711            553           5288            169           9999           4817            155
   2           1423           6835            268           3358            128           9999           3912            182
   2           3181           8626            923           2975            198           9999           4791         42.064
   2           4318           9486            798           5557            201           9999           5054         18.554
   2           2060           6561            304           2261            119           9998           3515            107
   2           4276           9687           1053           6728            224          10000           5260            393
   2           3531           8774            395           3995            150          10000           4437            114
   2           3481           8629            598           8570            178           9999           4859            158
   2           3026           8458            453           4405            173           9999           4559         76.440
   2           4609           9823            680           5444            209           9999           5075            139
   2           3806           9995            646           4871            188           9999           5086            136
   2           6757           9566           3016           8321            266          10000           6135         14.126
   2           4196           9668            778           6095            246           9999           5005            298
   2           3340           8282            531           4832            181           9999           4908            215
   2           3118           8753           1209           4578            206          10000           5312         85.829
   2           3380           9025            803           6368            207           9999           5110            114
   2           3333           9597            719           5085            232           9997           4636            332
   2           4908           9956            680           5733            236           9999           5567            145
   2           8193           9378            797           6683            222           9999           5614            288
   2           4739           9851           1320           5508            226          10000           5483            317
   2           3410           9165            807           4759            187           9999           4491            354
   2           2105           6005            286           2802            130           9997           2935         43.685
   2           4249           9184            780           8662            228           9997           4950            193
   2           7227           9714            828           6303            311           9991           5772         16.238
   2           5106           9321            800           7964            246          10000           5265            193
   2           1444           5632            333           2757            123           9999           3710            209
   2           5134           9815            564           9122            221          10000           5328            187
   2           4430           9635           1054           9292            203          10000           4954            307
   2           1712           6063            513           2624            105           9998           3428         57.858
   2           3234           9292            741           5752            194           9999           4915            161
   2           4500           9224           1872           7318            221          10000           5551            210
   2           2756           8647            573           5353            190           9999           4738            236
   2           3162           7440            424           1955            123           9998           3576            101
   2           2999           8061            403           4400            175           9851           4336            222
   2           4917           8723            832           5056            188          10000           4896            234
   2           2631           8427            713           4437            172           9999           4136            132
   2           3791           9406            897           7266            223          10000           5521            169
   2           5387           9793            870           7452            224           9999           5458            294
   2           1219           3836            249           1863            102           9997           3204         71.544
   2           4833           9883            950           5617            215           9999           5445            254
   2           3208           7442            666           3453            154           9998           4331         87.281
   2           7523           9400            953           8277            244           9999           5182            367
   2           3690           9522            538           6098            240           9999           4998         94.579
   2           6307           8920            719           5543            205           9999           5086            150
   2           3540           8669            720           6452            192           9996           3963            423
   2           3119           7337            393           4194            177           9999           4301            208
   2           3176           9261           2164           4742            186           9999           4087         29.830
   2           3409           8263            857           3272            177           9999           4574            164
   2           4634           9981            828           5936            226           9999           5095            237
   2           1926           5792            414           3784            142           9994           4008            162
   2           7098           9974            788           5419            236          10000           5480            182
   2           3769           8326            592           4607            181           9999           5145            111
   2           1904           8116            351           4092            147           9998           4180            196
   2           4434           9447           1071           4882            258          10000           5331            185
   2           3258           8512            605           4960            199          10000           4696            135
   2           3945           8766            820           3684            196          10000           5185            173
   2           3430           8331            455           3720            179           9997           4465            185
   2           6240           9628           1599           6844            243           9999           5370         74.013
   2           3418           6861            612           5366            169          10000           4663            276
   2           2484           3983            291           3244            114           9999           3810            105
   2           5142           9262            815           9688            238          10000           5261         56.709
   2           6055           9781           1243           5938            251           9999           5310         38.827
   2           5241           9650           1080           6538            223          10000           5359            268
   2           3013           9497            743           5652            175           9999           4676            235
   2           3218           7267            636           3497            155          10000           4459            186
   2           5856           9260            683           7074            204           9999           5533            253
   2           5056           9119            919           7702            211          10000           4970            133
   2           3994           9828            687           5887            202          10000           5264            188
   2           3504           9492            575           4344            167          10000           4853            239
   2           3241           8367            448           4041            174          10000           4269            189
   2           3231           8221            533           3701            149           9999           3987            199
